VREF,IREF,VDD,IDD
+1.800000E+00,+2.180279E-10,+1.800000E+00,+4.071813E-09
+1.799000E+00,+9.212320E-11,+1.800000E+00,+4.423663E-09
+1.798000E+00,+9.212153E-11,+1.800000E+00,+4.951441E-09
+1.797000E+00,+7.701462E-11,+1.800000E+00,+4.664925E-09
+1.796000E+00,+3.168998E-11,+1.800000E+00,+6.137661E-09
+1.795000E+00,+3.169043E-11,+1.800000E+00,+5.383703E-09
+1.794000E+00,+8.205137E-11,+1.800000E+00,+4.795603E-09
+1.793000E+00,-3.881678E-11,+1.800000E+00,+3.348017E-09
+1.792000E+00,+5.687095E-11,+1.800000E+00,+4.785554E-09
+1.791000E+00,+3.672529E-11,+1.800000E+00,+3.569172E-09
+1.790000E+00,+1.122686E-10,+1.800000E+00,+3.478702E-09
+1.789000E+00,+1.273764E-10,+1.800000E+00,+5.087144E-09
+1.788000E+00,+3.169076E-11,+1.800000E+00,+2.629244E-09
+1.787000E+00,+1.072322E-10,+1.800000E+00,+2.825277E-09
+1.786000E+00,+6.694356E-11,+1.800000E+00,+4.247740E-09
+1.785000E+00,+3.168998E-11,+1.800000E+00,+4.991647E-09
+1.784000E+00,+6.190692E-11,+1.800000E+00,+6.409079E-09
+1.783000E+00,+6.190726E-11,+1.800000E+00,+6.600080E-09
+1.782000E+00,+8.205070E-11,+1.800000E+00,+5.464118E-09
+1.781000E+00,+6.694301E-11,+1.800000E+00,+7.022295E-09
+1.780000E+00,+4.679823E-11,+1.800000E+00,+3.770236E-09
+1.779000E+00,+2.161848E-11,+1.800000E+00,+3.463625E-09
+1.778000E+00,+1.273766E-10,+1.800000E+00,+2.966011E-09
+1.777000E+00,+2.161837E-11,+1.800000E+00,+5.363592E-09
+1.776000E+00,-1.363587E-11,+1.800000E+00,+2.297510E-09
+1.775000E+00,+1.223421E-10,+1.800000E+00,+3.905942E-09
+1.774000E+00,+5.687084E-11,+1.800000E+00,+4.629743E-09
+1.773000E+00,+2.161760E-11,+1.800000E+00,+4.056740E-09
+1.772000E+00,+4.176193E-11,+1.800000E+00,+3.850652E-09
+1.771000E+00,+9.715995E-11,+1.800000E+00,+5.444013E-09
+1.770000E+00,+5.687084E-11,+1.800000E+00,+4.272872E-09
+1.769000E+00,+6.190704E-11,+1.800000E+00,+3.805418E-09
+1.768000E+00,+8.205092E-11,+1.800000E+00,+3.986372E-09
+1.767000E+00,+3.168954E-11,+1.800000E+00,+2.674477E-09
