VDD,IDD,VREF,IREF
+1.800000E+00,+2.738823E-05,+0.000000E+00,-8.144142E-06
+1.799000E+00,+2.737239E-05,+0.000000E+00,-8.138238E-06
+1.798000E+00,+2.737438E-05,+0.000000E+00,-8.143757E-06
+1.797000E+00,+2.736180E-05,+0.000000E+00,-8.146278E-06
+1.796000E+00,+2.736363E-05,+0.000000E+00,-8.147898E-06
+1.795000E+00,+2.736795E-05,+0.000000E+00,-8.143579E-06
+1.794000E+00,+2.737155E-05,+0.000000E+00,-8.146676E-06
+1.793000E+00,+2.734805E-05,+0.000000E+00,-8.148091E-06
+1.792000E+00,+2.736088E-05,+0.000000E+00,-8.145845E-06
+1.791000E+00,+2.733820E-05,+0.000000E+00,-8.145845E-06
+1.790000E+00,+2.735404E-05,+0.000000E+00,-8.148215E-06
+1.789000E+00,+2.737170E-05,+0.000000E+00,-8.150309E-06
+1.788000E+00,+2.734556E-05,+0.000000E+00,-8.147876E-06
+1.787000E+00,+2.735223E-05,+0.000000E+00,-8.145988E-06
+1.786000E+00,+2.734305E-05,+0.000000E+00,-8.142871E-06
+1.785000E+00,+2.732820E-05,+0.000000E+00,-8.140933E-06
+1.784000E+00,+2.733163E-05,+0.000000E+00,-8.139926E-06
+1.783000E+00,+2.733316E-05,+0.000000E+00,-8.135913E-06
+1.782000E+00,+2.735185E-05,+0.000000E+00,-8.141395E-06
+1.781000E+00,+2.734821E-05,+0.000000E+00,-8.147031E-06
+1.780000E+00,+2.736041E-05,+0.000000E+00,-8.149727E-06
+1.779000E+00,+2.736866E-05,+0.000000E+00,-8.143501E-06
+1.778000E+00,+2.735168E-05,+0.000000E+00,-8.144135E-06
+1.777000E+00,+2.734380E-05,+0.000000E+00,-8.144203E-06
+1.776000E+00,+2.735731E-05,+0.000000E+00,-8.150547E-06
+1.775000E+00,+2.734868E-05,+0.000000E+00,-8.151809E-06
+1.774000E+00,+2.735335E-05,+0.000000E+00,-8.151041E-06
+1.773000E+00,+2.735403E-05,+0.000000E+00,-8.148002E-06
+1.772000E+00,+2.733757E-05,+0.000000E+00,-8.151188E-06
+1.771000E+00,+2.732314E-05,+0.000000E+00,-8.139428E-06
+1.770000E+00,+2.732283E-05,+0.000000E+00,-8.138244E-06
+1.769000E+00,+2.733678E-05,+0.000000E+00,-8.139318E-06
+1.768000E+00,+2.734243E-05,+0.000000E+00,-8.144220E-06
+1.767000E+00,+2.733374E-05,+0.000000E+00,-8.145713E-06
+1.766000E+00,+2.733174E-05,+0.000000E+00,-8.140217E-06
+1.765000E+00,+2.733875E-05,+0.000000E+00,-8.138258E-06
+1.764000E+00,+2.735108E-05,+0.000000E+00,-8.149544E-06
+1.763000E+00,+2.734631E-05,+0.000000E+00,-8.145966E-06
+1.762000E+00,+2.734225E-05,+0.000000E+00,-8.143496E-06
+1.761000E+00,+2.733840E-05,+0.000000E+00,-8.144315E-06
+1.760000E+00,+2.734395E-05,+0.000000E+00,-8.149897E-06
+1.759000E+00,+2.734673E-05,+0.000000E+00,-8.147005E-06
+1.758000E+00,+2.733952E-05,+0.000000E+00,-8.143891E-06
+1.757000E+00,+2.733698E-05,+0.000000E+00,-8.143667E-06
+1.756000E+00,+2.733627E-05,+0.000000E+00,-8.139587E-06
+1.755000E+00,+2.732766E-05,+0.000000E+00,-8.139526E-06
+1.754000E+00,+2.732141E-05,+0.000000E+00,-8.139210E-06
+1.753000E+00,+2.733175E-05,+0.000000E+00,-8.138482E-06
+1.752000E+00,+2.732955E-05,+0.000000E+00,-8.140171E-06
+1.751000E+00,+2.732769E-05,+0.000000E+00,-8.143265E-06
+1.750000E+00,+2.731724E-05,+0.000000E+00,-8.142692E-06
+1.749000E+00,+2.732876E-05,+0.000000E+00,-8.141752E-06
+1.748000E+00,+2.733205E-05,+0.000000E+00,-8.139000E-06
+1.747000E+00,+2.733945E-05,+0.000000E+00,-8.143727E-06
+1.746000E+00,+2.732278E-05,+0.000000E+00,-8.143134E-06
+1.745000E+00,+2.733765E-05,+0.000000E+00,-8.138775E-06
+1.744000E+00,+2.733556E-05,+0.000000E+00,-8.146140E-06
+1.743000E+00,+2.733051E-05,+0.000000E+00,-8.142393E-06
+1.742000E+00,+2.732435E-05,+0.000000E+00,-8.146861E-06
+1.741000E+00,+2.734740E-05,+0.000000E+00,-8.141983E-06
+1.740000E+00,+2.734649E-05,+0.000000E+00,-8.141144E-06
+1.739000E+00,+2.735341E-05,+0.000000E+00,-8.146391E-06
+1.738000E+00,+2.733692E-05,+0.000000E+00,-8.142160E-06
