VDD,IDD,VREF,IREF
+0.000000E+00,-3.251839E-09,+0.000000E+00,-2.871858E-11
+1.000000E-03,-3.513246E-09,+0.000000E+00,-8.915463E-11
+2.000000E-03,-3.528328E-09,+0.000000E+00,-7.404488E-11
+3.000000E-03,-6.011691E-09,+0.000000E+00,-3.879136E-11
+4.000000E-03,-5.790515E-09,+0.000000E+00,-8.411788E-11
+5.000000E-03,-3.126161E-09,+0.000000E+00,-5.893613E-11
+6.000000E-03,-1.562748E-09,+0.000000E+00,-1.244081E-10
+7.000000E-03,-2.040314E-09,+0.000000E+00,-8.915474E-11
+8.000000E-03,-9.444938E-10,+0.000000E+00,-3.375555E-11
+9.000000E-03,+2.523769E-09,+0.000000E+00,-1.697346E-10
+1.000000E-02,+3.272707E-09,+0.000000E+00,-8.915363E-11
+1.100000E-02,-1.402599E-10,+0.000000E+00,-6.397344E-11
+1.200000E-02,-2.678752E-09,+0.000000E+00,-7.404477E-11
+1.300000E-02,-2.286641E-09,+0.000000E+00,-8.411777E-11
+1.400000E-02,-1.979989E-09,+0.000000E+00,-3.375455E-11
+1.500000E-02,-4.453309E-09,+0.000000E+00,-5.893663E-11
+1.600000E-02,-6.630033E-09,+0.000000E+00,-7.908202E-11
+1.700000E-02,-4.810224E-09,+0.000000E+00,-3.375600E-11
+1.800000E-02,-1.557722E-09,+0.000000E+00,+1.499467E-12
+1.900000E-02,-6.931715E-10,+0.000000E+00,-1.143357E-10
+2.000000E-02,-1.236028E-09,+0.000000E+00,-3.879130E-11
+2.100000E-02,+2.026144E-09,+0.000000E+00,-7.908230E-11
+2.200000E-02,+3.720064E-09,+0.000000E+00,-1.193719E-10
+2.300000E-02,+2.453393E-09,+0.000000E+00,-1.093001E-10
+2.400000E-02,+6.388403E-10,+0.000000E+00,-6.397266E-11
+2.500000E-02,+1.513448E-09,+0.000000E+00,-1.360878E-11
+2.600000E-02,+1.342550E-09,+0.000000E+00,-7.404577E-11
+2.700000E-02,-2.201180E-09,+0.000000E+00,-1.294446E-10
+2.800000E-02,-4.885632E-09,+0.000000E+00,-9.922674E-11
+2.900000E-02,-5.121909E-09,+0.000000E+00,-4.886358E-11
+3.000000E-02,-1.447140E-09,+0.000000E+00,-1.361045E-11
+3.100000E-02,-1.180737E-09,+0.000000E+00,-1.747710E-10
+3.200000E-02,-1.874421E-09,+0.000000E+00,-1.092996E-10
+3.300000E-02,+5.986289E-10,+0.000000E+00,-1.294450E-10
+3.400000E-02,+4.715307E-09,+0.000000E+00,+3.675371E-11
+3.500000E-02,+2.433290E-09,+0.000000E+00,-9.419004E-11
+3.600000E-02,+1.302333E-09,+0.000000E+00,-6.397199E-11
+3.700000E-02,-1.804042E-09,+0.000000E+00,+1.660705E-11
+3.800000E-02,+6.639731E-10,+0.000000E+00,-9.419077E-11
+3.900000E-02,-1.457193E-09,+0.000000E+00,-9.419071E-11
+4.000000E-02,-3.970708E-09,+0.000000E+00,-6.397249E-11
+4.100000E-02,-5.609529E-09,+0.000000E+00,-1.360845E-11
+4.200000E-02,-2.859727E-09,+0.000000E+00,-2.871858E-11
+4.300000E-02,-2.165991E-09,+0.000000E+00,-1.646992E-10
+4.400000E-02,-8.288855E-10,+0.000000E+00,-6.900830E-11
+4.500000E-02,-2.465184E-11,+0.000000E+00,-1.360967E-11
+4.600000E-02,+2.121646E-09,+0.000000E+00,-9.419077E-11
+4.700000E-02,+4.373507E-09,+0.000000E+00,-8.915380E-11
+4.800000E-02,+3.031443E-09,+0.000000E+00,-7.908191E-11
+4.900000E-02,+8.090639E-11,+0.000000E+00,-4.382866E-11
+5.000000E-02,-3.966077E-10,+0.000000E+00,-5.893597E-11
+5.100000E-02,-8.489906E-10,+0.000000E+00,-7.404577E-11
+5.200000E-02,-2.417345E-09,+0.000000E+00,-8.411788E-11
+5.300000E-02,-4.191897E-09,+0.000000E+00,-7.404599E-11
+5.400000E-02,-4.347735E-09,+0.000000E+00,-8.572143E-12
+5.500000E-02,-4.519014E-10,+0.000000E+00,-7.908135E-11
+5.600000E-02,-4.475564E-11,+0.000000E+00,-6.397283E-11
+5.700000E-02,+7.085177E-11,+0.000000E+00,-8.411827E-11
+5.800000E-02,+1.930646E-09,+0.000000E+00,-9.922724E-11
+5.900000E-02,+4.197574E-09,+0.000000E+00,-5.893708E-11
