VREF,IREF,VDD,IDD
+0.000000E+00,-9.492333E-06,+1.800000E+00,+3.192967E-05
+1.000000E-03,-9.491836E-06,+1.800000E+00,+3.191942E-05
+2.000000E-03,-9.493257E-06,+1.800000E+00,+3.191460E-05
+3.000000E-03,-9.493013E-06,+1.800000E+00,+3.191743E-05
+4.000000E-03,-9.490940E-06,+1.800000E+00,+3.190330E-05
+5.000000E-03,-9.489372E-06,+1.800000E+00,+3.190414E-05
+6.000000E-03,-9.490541E-06,+1.800000E+00,+3.190295E-05
+7.000000E-03,-9.493077E-06,+1.800000E+00,+3.190177E-05
+8.000000E-03,-9.497715E-06,+1.800000E+00,+3.190928E-05
+9.000000E-03,-9.494221E-06,+1.800000E+00,+3.190502E-05
+1.000000E-02,-9.499873E-06,+1.800000E+00,+3.192242E-05
+1.100000E-02,-9.492298E-06,+1.800000E+00,+3.189415E-05
+1.200000E-02,-9.491216E-06,+1.800000E+00,+3.188753E-05
+1.300000E-02,-9.492290E-06,+1.800000E+00,+3.190423E-05
+1.400000E-02,-9.491400E-06,+1.800000E+00,+3.189330E-05
+1.500000E-02,-9.494978E-06,+1.800000E+00,+3.190879E-05
+1.600000E-02,-9.492313E-06,+1.800000E+00,+3.190892E-05
+1.700000E-02,-9.496595E-06,+1.800000E+00,+3.191254E-05
+1.800000E-02,-9.489266E-06,+1.800000E+00,+3.189214E-05
+1.900000E-02,-9.490395E-06,+1.800000E+00,+3.189323E-05
+2.000000E-02,-9.489068E-06,+1.800000E+00,+3.189527E-05
+2.100000E-02,-9.490550E-06,+1.800000E+00,+3.189209E-05
+2.200000E-02,-9.495077E-06,+1.800000E+00,+3.190891E-05
+2.300000E-02,-9.490373E-06,+1.800000E+00,+3.189451E-05
+2.400000E-02,-9.490747E-06,+1.800000E+00,+3.189427E-05
+2.500000E-02,-9.491677E-06,+1.800000E+00,+3.190040E-05
+2.600000E-02,-9.490292E-06,+1.800000E+00,+3.189188E-05
+2.700000E-02,-9.491077E-06,+1.800000E+00,+3.189479E-05
+2.800000E-02,-9.491418E-06,+1.800000E+00,+3.189700E-05
+2.900000E-02,-9.490956E-06,+1.800000E+00,+3.189499E-05
+3.000000E-02,-9.489172E-06,+1.800000E+00,+3.188955E-05
+3.100000E-02,-9.494691E-06,+1.800000E+00,+3.190035E-05
+3.200000E-02,-9.492415E-06,+1.800000E+00,+3.189156E-05
+3.300000E-02,-9.492604E-06,+1.800000E+00,+3.189460E-05
+3.400000E-02,-9.493992E-06,+1.800000E+00,+3.190585E-05
+3.500000E-02,-9.490321E-06,+1.800000E+00,+3.188972E-05
+3.600000E-02,-9.489692E-06,+1.800000E+00,+3.189135E-05
+3.700000E-02,-9.495787E-06,+1.800000E+00,+3.190463E-05
+3.800000E-02,-9.491686E-06,+1.800000E+00,+3.189684E-05
+3.900000E-02,-9.496212E-06,+1.800000E+00,+3.190889E-05
+4.000000E-02,-9.491641E-06,+1.800000E+00,+3.188787E-05
+4.100000E-02,-9.489844E-06,+1.800000E+00,+3.188518E-05
+4.200000E-02,-9.490371E-06,+1.800000E+00,+3.188536E-05
+4.300000E-02,-9.494047E-06,+1.800000E+00,+3.189337E-05
+4.400000E-02,-9.491040E-06,+1.800000E+00,+3.189024E-05
+4.500000E-02,-9.488145E-06,+1.800000E+00,+3.187927E-05
+4.600000E-02,-9.490859E-06,+1.800000E+00,+3.189399E-05
+4.700000E-02,-9.488008E-06,+1.800000E+00,+3.188979E-05
+4.800000E-02,-9.487785E-06,+1.800000E+00,+3.188502E-05
+4.900000E-02,-9.489308E-06,+1.800000E+00,+3.189281E-05
+5.000000E-02,-9.490779E-06,+1.800000E+00,+3.189270E-05
+5.100000E-02,-9.493389E-06,+1.800000E+00,+3.190677E-05
+5.200000E-02,-9.488954E-06,+1.800000E+00,+3.187930E-05
+5.300000E-02,-9.493547E-06,+1.800000E+00,+3.190380E-05
+5.400000E-02,-9.490624E-06,+1.800000E+00,+3.188989E-05
+5.500000E-02,-9.488382E-06,+1.800000E+00,+3.187723E-05
+5.600000E-02,-9.487107E-06,+1.800000E+00,+3.187553E-05
+5.700000E-02,-9.489316E-06,+1.800000E+00,+3.188552E-05
+5.800000E-02,-9.489549E-06,+1.800000E+00,+3.188782E-05
+5.900000E-02,-9.489912E-06,+1.800000E+00,+3.189032E-05
+6.000000E-02,-9.489009E-06,+1.800000E+00,+3.188408E-05
+6.100000E-02,-9.489318E-06,+1.800000E+00,+3.189285E-05
+6.200000E-02,-9.489733E-06,+1.800000E+00,+3.189380E-05
+6.300000E-02,-9.488613E-06,+1.800000E+00,+3.188566E-05
+6.400000E-02,-9.490961E-06,+1.800000E+00,+3.189119E-05
+6.500000E-02,-9.486118E-06,+1.800000E+00,+3.187648E-05
+6.600000E-02,-9.490173E-06,+1.800000E+00,+3.188593E-05
+6.700000E-02,-9.489556E-06,+1.800000E+00,+3.188285E-05
+6.800000E-02,-9.486829E-06,+1.800000E+00,+3.188610E-05
+6.900000E-02,-9.489295E-06,+1.800000E+00,+3.187873E-05
+7.000000E-02,-9.489153E-06,+1.800000E+00,+3.189005E-05
+7.100000E-02,-9.493903E-06,+1.800000E+00,+3.190645E-05
+7.200000E-02,-9.488482E-06,+1.800000E+00,+3.188498E-05
+7.300000E-02,-9.493006E-06,+1.800000E+00,+3.189501E-05
+7.400000E-02,-9.489761E-06,+1.800000E+00,+3.189172E-05
+7.500000E-02,-9.491370E-06,+1.800000E+00,+3.189270E-05
+7.600000E-02,-9.489189E-06,+1.800000E+00,+3.188086E-05
+7.700000E-02,-9.490092E-06,+1.800000E+00,+3.188736E-05
+7.800000E-02,-9.487214E-06,+1.800000E+00,+3.187652E-05
+7.900000E-02,-9.487064E-06,+1.800000E+00,+3.187457E-05
+8.000000E-02,-9.487134E-06,+1.800000E+00,+3.187733E-05
+8.100000E-02,-9.495472E-06,+1.800000E+00,+3.190112E-05
+8.200000E-02,-9.490344E-06,+1.800000E+00,+3.189596E-05
+8.300000E-02,-9.495971E-06,+1.800000E+00,+3.190882E-05
+8.400000E-02,-9.489263E-06,+1.800000E+00,+3.188949E-05
+8.500000E-02,-9.487205E-06,+1.800000E+00,+3.187763E-05
+8.600000E-02,-9.489488E-06,+1.800000E+00,+3.188380E-05
+8.700000E-02,-9.487205E-06,+1.800000E+00,+3.187811E-05
+8.800000E-02,-9.482080E-06,+1.800000E+00,+3.186481E-05
+8.900000E-02,-9.486723E-06,+1.800000E+00,+3.187192E-05
+9.000000E-02,-9.488173E-06,+1.800000E+00,+3.189022E-05
+9.100000E-02,-9.494574E-06,+1.800000E+00,+3.190518E-05
+9.200000E-02,-9.490902E-06,+1.800000E+00,+3.189040E-05
+9.300000E-02,-9.491247E-06,+1.800000E+00,+3.189964E-05
+9.400000E-02,-9.487580E-06,+1.800000E+00,+3.188636E-05
+9.500000E-02,-9.488105E-06,+1.800000E+00,+3.188688E-05
+9.600000E-02,-9.484637E-06,+1.800000E+00,+3.187473E-05
+9.700000E-02,-9.481815E-06,+1.800000E+00,+3.186089E-05
+9.800000E-02,-9.482510E-06,+1.800000E+00,+3.186951E-05
+9.900000E-02,-9.493147E-06,+1.800000E+00,+3.189750E-05
+1.000000E-01,-9.489879E-06,+1.800000E+00,+3.189289E-05
+1.010000E-01,-9.493116E-06,+1.800000E+00,+3.189941E-05
+1.020000E-01,-9.491720E-06,+1.800000E+00,+3.188465E-05
+1.030000E-01,-9.494645E-06,+1.800000E+00,+3.190271E-05
+1.040000E-01,-9.496170E-06,+1.800000E+00,+3.190803E-05
+1.050000E-01,-9.491041E-06,+1.800000E+00,+3.189631E-05
+1.060000E-01,-9.495857E-06,+1.800000E+00,+3.190473E-05
+1.070000E-01,-9.499997E-06,+1.800000E+00,+3.191302E-05
+1.080000E-01,-9.492421E-06,+1.800000E+00,+3.189787E-05
+1.090000E-01,-9.489439E-06,+1.800000E+00,+3.188784E-05
+1.100000E-01,-9.492830E-06,+1.800000E+00,+3.189544E-05
+1.110000E-01,-9.492011E-06,+1.800000E+00,+3.190064E-05
+1.120000E-01,-9.492174E-06,+1.800000E+00,+3.189769E-05
+1.130000E-01,-9.491975E-06,+1.800000E+00,+3.190411E-05
+1.140000E-01,-9.490052E-06,+1.800000E+00,+3.189012E-05
+1.150000E-01,-9.490121E-06,+1.800000E+00,+3.189332E-05
+1.160000E-01,-9.489415E-06,+1.800000E+00,+3.188573E-05
+1.170000E-01,-9.488259E-06,+1.800000E+00,+3.188619E-05
+1.180000E-01,-9.489767E-06,+1.800000E+00,+3.188827E-05
+1.190000E-01,-9.490386E-06,+1.800000E+00,+3.189469E-05
+1.200000E-01,-9.491157E-06,+1.800000E+00,+3.189047E-05
+1.210000E-01,-9.489208E-06,+1.800000E+00,+3.189684E-05
+1.220000E-01,-9.491615E-06,+1.800000E+00,+3.189418E-05
+1.230000E-01,-9.490891E-06,+1.800000E+00,+3.189563E-05
+1.240000E-01,-9.492702E-06,+1.800000E+00,+3.190157E-05
+1.250000E-01,-9.492869E-06,+1.800000E+00,+3.189737E-05
+1.260000E-01,-9.488997E-06,+1.800000E+00,+3.188915E-05
+1.270000E-01,-9.487963E-06,+1.800000E+00,+3.188901E-05
+1.280000E-01,-9.488644E-06,+1.800000E+00,+3.188897E-05
+1.290000E-01,-9.495077E-06,+1.800000E+00,+3.190600E-05
+1.300000E-01,-9.493527E-06,+1.800000E+00,+3.189782E-05
+1.310000E-01,-9.492515E-06,+1.800000E+00,+3.189525E-05
+1.320000E-01,-9.491751E-06,+1.800000E+00,+3.189614E-05
+1.330000E-01,-9.497956E-06,+1.800000E+00,+3.190363E-05
+1.340000E-01,-9.490445E-06,+1.800000E+00,+3.189699E-05
+1.350000E-01,-9.490049E-06,+1.800000E+00,+3.187910E-05
+1.360000E-01,-9.492596E-06,+1.800000E+00,+3.189576E-05
+1.370000E-01,-9.489849E-06,+1.800000E+00,+3.189271E-05
+1.380000E-01,-9.490234E-06,+1.800000E+00,+3.189698E-05
+1.390000E-01,-9.493805E-06,+1.800000E+00,+3.190448E-05
+1.400000E-01,-9.490615E-06,+1.800000E+00,+3.189289E-05
+1.410000E-01,-9.485638E-06,+1.800000E+00,+3.187591E-05
+1.420000E-01,-9.485113E-06,+1.800000E+00,+3.188202E-05
+1.430000E-01,-9.489765E-06,+1.800000E+00,+3.189130E-05
+1.440000E-01,-9.496381E-06,+1.800000E+00,+3.190507E-05
+1.450000E-01,-9.492263E-06,+1.800000E+00,+3.188991E-05
+1.460000E-01,-9.494166E-06,+1.800000E+00,+3.189658E-05
+1.470000E-01,-9.491643E-06,+1.800000E+00,+3.190105E-05
+1.480000E-01,-9.493356E-06,+1.800000E+00,+3.190739E-05
+1.490000E-01,-9.488261E-06,+1.800000E+00,+3.189299E-05
+1.500000E-01,-9.498077E-06,+1.800000E+00,+3.191767E-05
+1.510000E-01,-9.485585E-06,+1.800000E+00,+3.187873E-05
+1.520000E-01,-9.495342E-06,+1.800000E+00,+3.190071E-05
+1.530000E-01,-9.490284E-06,+1.800000E+00,+3.188942E-05
+1.540000E-01,-9.487411E-06,+1.800000E+00,+3.188569E-05
+1.550000E-01,-9.484774E-06,+1.800000E+00,+3.187277E-05
+1.560000E-01,-9.486734E-06,+1.800000E+00,+3.188533E-05
+1.570000E-01,-9.485244E-06,+1.800000E+00,+3.188001E-05
+1.580000E-01,-9.489895E-06,+1.800000E+00,+3.189686E-05
+1.590000E-01,-9.484425E-06,+1.800000E+00,+3.188142E-05
+1.600000E-01,-9.488258E-06,+1.800000E+00,+3.189459E-05
+1.610000E-01,-9.487489E-06,+1.800000E+00,+3.188776E-05
+1.620000E-01,-9.487295E-06,+1.800000E+00,+3.188335E-05
+1.630000E-01,-9.488694E-06,+1.800000E+00,+3.188457E-05
+1.640000E-01,-9.486666E-06,+1.800000E+00,+3.188381E-05
+1.650000E-01,-9.486895E-06,+1.800000E+00,+3.187775E-05
+1.660000E-01,-9.487664E-06,+1.800000E+00,+3.187679E-05
+1.670000E-01,-9.484018E-06,+1.800000E+00,+3.186953E-05
+1.680000E-01,-9.485449E-06,+1.800000E+00,+3.188108E-05
+1.690000E-01,-9.487999E-06,+1.800000E+00,+3.189470E-05
+1.700000E-01,-9.486770E-06,+1.800000E+00,+3.187475E-05
+1.710000E-01,-9.489597E-06,+1.800000E+00,+3.189022E-05
+1.720000E-01,-9.485188E-06,+1.800000E+00,+3.188325E-05
+1.730000E-01,-9.487619E-06,+1.800000E+00,+3.188516E-05
+1.740000E-01,-9.486849E-06,+1.800000E+00,+3.188336E-05
+1.750000E-01,-9.488944E-06,+1.800000E+00,+3.189657E-05
+1.760000E-01,-9.485337E-06,+1.800000E+00,+3.187914E-05
+1.770000E-01,-9.484682E-06,+1.800000E+00,+3.187314E-05
+1.780000E-01,-9.486067E-06,+1.800000E+00,+3.186314E-05
+1.790000E-01,-9.484032E-06,+1.800000E+00,+3.186698E-05
+1.800000E-01,-9.482430E-06,+1.800000E+00,+3.186835E-05
+1.810000E-01,-9.484721E-06,+1.800000E+00,+3.186938E-05
+1.820000E-01,-9.482224E-06,+1.800000E+00,+3.185631E-05
+1.830000E-01,-9.483329E-06,+1.800000E+00,+3.186852E-05
+1.840000E-01,-9.481797E-06,+1.800000E+00,+3.185263E-05
+1.850000E-01,-9.483024E-06,+1.800000E+00,+3.186255E-05
+1.860000E-01,-9.482184E-06,+1.800000E+00,+3.185625E-05
+1.870000E-01,-9.483186E-06,+1.800000E+00,+3.186698E-05
+1.880000E-01,-9.488684E-06,+1.800000E+00,+3.187284E-05
+1.890000E-01,-9.486261E-06,+1.800000E+00,+3.188562E-05
+1.900000E-01,-9.489597E-06,+1.800000E+00,+3.189936E-05
+1.910000E-01,-9.489770E-06,+1.800000E+00,+3.189794E-05
+1.920000E-01,-9.486587E-06,+1.800000E+00,+3.188017E-05
+1.930000E-01,-9.487459E-06,+1.800000E+00,+3.189359E-05
+1.940000E-01,-9.485599E-06,+1.800000E+00,+3.187841E-05
+1.950000E-01,-9.489024E-06,+1.800000E+00,+3.189140E-05
+1.960000E-01,-9.487670E-06,+1.800000E+00,+3.188964E-05
+1.970000E-01,-9.486520E-06,+1.800000E+00,+3.188227E-05
+1.980000E-01,-9.486849E-06,+1.800000E+00,+3.188196E-05
+1.990000E-01,-9.486966E-06,+1.800000E+00,+3.189053E-05
+2.000000E-01,-9.485544E-06,+1.800000E+00,+3.188934E-05
+2.010000E-01,-9.487288E-06,+1.800000E+00,+3.189583E-05
+2.020000E-01,-9.488183E-06,+1.800000E+00,+3.189628E-05
+2.030000E-01,-9.488500E-06,+1.800000E+00,+3.189773E-05
+2.040000E-01,-9.488324E-06,+1.800000E+00,+3.190124E-05
+2.050000E-01,-9.488484E-06,+1.800000E+00,+3.189411E-05
+2.060000E-01,-9.487218E-06,+1.800000E+00,+3.189289E-05
+2.070000E-01,-9.486508E-06,+1.800000E+00,+3.188796E-05
+2.080000E-01,-9.486898E-06,+1.800000E+00,+3.188119E-05
+2.090000E-01,-9.487294E-06,+1.800000E+00,+3.188743E-05
+2.100000E-01,-9.487957E-06,+1.800000E+00,+3.188301E-05
+2.110000E-01,-9.494352E-06,+1.800000E+00,+3.191161E-05
+2.120000E-01,-9.485601E-06,+1.800000E+00,+3.189079E-05
+2.130000E-01,-9.486209E-06,+1.800000E+00,+3.188109E-05
+2.140000E-01,-9.491682E-06,+1.800000E+00,+3.190489E-05
+2.150000E-01,-9.488978E-06,+1.800000E+00,+3.189528E-05
+2.160000E-01,-9.488866E-06,+1.800000E+00,+3.189231E-05
+2.170000E-01,-9.485997E-06,+1.800000E+00,+3.188784E-05
+2.180000E-01,-9.487126E-06,+1.800000E+00,+3.189141E-05
+2.190000E-01,-9.486279E-06,+1.800000E+00,+3.189164E-05
+2.200000E-01,-9.493041E-06,+1.800000E+00,+3.190927E-05
+2.210000E-01,-9.487845E-06,+1.800000E+00,+3.188926E-05
+2.220000E-01,-9.486841E-06,+1.800000E+00,+3.188251E-05
+2.230000E-01,-9.487037E-06,+1.800000E+00,+3.188817E-05
+2.240000E-01,-9.485964E-06,+1.800000E+00,+3.189289E-05
+2.250000E-01,-9.485550E-06,+1.800000E+00,+3.187868E-05
+2.260000E-01,-9.489437E-06,+1.800000E+00,+3.190032E-05
+2.270000E-01,-9.487208E-06,+1.800000E+00,+3.188903E-05
+2.280000E-01,-9.490012E-06,+1.800000E+00,+3.189842E-05
+2.290000E-01,-9.488860E-06,+1.800000E+00,+3.189253E-05
+2.300000E-01,-9.489188E-06,+1.800000E+00,+3.189214E-05
+2.310000E-01,-9.486452E-06,+1.800000E+00,+3.189189E-05
+2.320000E-01,-9.491852E-06,+1.800000E+00,+3.190529E-05
+2.330000E-01,-9.492029E-06,+1.800000E+00,+3.189812E-05
+2.340000E-01,-9.492318E-06,+1.800000E+00,+3.190188E-05
+2.350000E-01,-9.485741E-06,+1.800000E+00,+3.188532E-05
+2.360000E-01,-9.485618E-06,+1.800000E+00,+3.188007E-05
+2.370000E-01,-9.489716E-06,+1.800000E+00,+3.190016E-05
+2.380000E-01,-9.486781E-06,+1.800000E+00,+3.188839E-05
+2.390000E-01,-9.486621E-06,+1.800000E+00,+3.189627E-05
+2.400000E-01,-9.491927E-06,+1.800000E+00,+3.190480E-05
+2.410000E-01,-9.488179E-06,+1.800000E+00,+3.189077E-05
+2.420000E-01,-9.491919E-06,+1.800000E+00,+3.190674E-05
+2.430000E-01,-9.488544E-06,+1.800000E+00,+3.188671E-05
+2.440000E-01,-9.486045E-06,+1.800000E+00,+3.187764E-05
+2.450000E-01,-9.485293E-06,+1.800000E+00,+3.187590E-05
+2.460000E-01,-9.488183E-06,+1.800000E+00,+3.189384E-05
+2.470000E-01,-9.488405E-06,+1.800000E+00,+3.189494E-05
+2.480000E-01,-9.489014E-06,+1.800000E+00,+3.189460E-05
+2.490000E-01,-9.488997E-06,+1.800000E+00,+3.189805E-05
+2.500000E-01,-9.489300E-06,+1.800000E+00,+3.189980E-05
+2.510000E-01,-9.487600E-06,+1.800000E+00,+3.189033E-05
+2.520000E-01,-9.488887E-06,+1.800000E+00,+3.189931E-05
+2.530000E-01,-9.487129E-06,+1.800000E+00,+3.189222E-05
+2.540000E-01,-9.485960E-06,+1.800000E+00,+3.188475E-05
+2.550000E-01,-9.488376E-06,+1.800000E+00,+3.189030E-05
+2.560000E-01,-9.483819E-06,+1.800000E+00,+3.188045E-05
+2.570000E-01,-9.486515E-06,+1.800000E+00,+3.188667E-05
+2.580000E-01,-9.487035E-06,+1.800000E+00,+3.188939E-05
+2.590000E-01,-9.488478E-06,+1.800000E+00,+3.189610E-05
+2.600000E-01,-9.493865E-06,+1.800000E+00,+3.192155E-05
+2.610000E-01,-9.487130E-06,+1.800000E+00,+3.189633E-05
+2.620000E-01,-9.484744E-06,+1.800000E+00,+3.188733E-05
+2.630000E-01,-9.486159E-06,+1.800000E+00,+3.189081E-05
+2.640000E-01,-9.490348E-06,+1.800000E+00,+3.189289E-05
+2.650000E-01,-9.490869E-06,+1.800000E+00,+3.190089E-05
+2.660000E-01,-9.492930E-06,+1.800000E+00,+3.190351E-05
+2.670000E-01,-9.486614E-06,+1.800000E+00,+3.189623E-05
+2.680000E-01,-9.485864E-06,+1.800000E+00,+3.187714E-05
+2.690000E-01,-9.485249E-06,+1.800000E+00,+3.189117E-05
+2.700000E-01,-9.493174E-06,+1.800000E+00,+3.191199E-05
+2.710000E-01,-9.485377E-06,+1.800000E+00,+3.189252E-05
+2.720000E-01,-9.487358E-06,+1.800000E+00,+3.189388E-05
+2.730000E-01,-9.486631E-06,+1.800000E+00,+3.188816E-05
+2.740000E-01,-9.489922E-06,+1.800000E+00,+3.189788E-05
+2.750000E-01,-9.484726E-06,+1.800000E+00,+3.188257E-05
+2.760000E-01,-9.486984E-06,+1.800000E+00,+3.189110E-05
+2.770000E-01,-9.489176E-06,+1.800000E+00,+3.189840E-05
+2.780000E-01,-9.488305E-06,+1.800000E+00,+3.189321E-05
+2.790000E-01,-9.490548E-06,+1.800000E+00,+3.190562E-05
+2.800000E-01,-9.488373E-06,+1.800000E+00,+3.189117E-05
+2.810000E-01,-9.485956E-06,+1.800000E+00,+3.188999E-05
+2.820000E-01,-9.493830E-06,+1.800000E+00,+3.191507E-05
+2.830000E-01,-9.488511E-06,+1.800000E+00,+3.189373E-05
+2.840000E-01,-9.489048E-06,+1.800000E+00,+3.189938E-05
+2.850000E-01,-9.488694E-06,+1.800000E+00,+3.189360E-05
+2.860000E-01,-9.487709E-06,+1.800000E+00,+3.189078E-05
+2.870000E-01,-9.490521E-06,+1.800000E+00,+3.189747E-05
+2.880000E-01,-9.490821E-06,+1.800000E+00,+3.190390E-05
+2.890000E-01,-9.489539E-06,+1.800000E+00,+3.189465E-05
+2.900000E-01,-9.492600E-06,+1.800000E+00,+3.191218E-05
+2.910000E-01,-9.488661E-06,+1.800000E+00,+3.189277E-05
+2.920000E-01,-9.487117E-06,+1.800000E+00,+3.189433E-05
+2.930000E-01,-9.487866E-06,+1.800000E+00,+3.188973E-05
+2.940000E-01,-9.489145E-06,+1.800000E+00,+3.189830E-05
+2.950000E-01,-9.490594E-06,+1.800000E+00,+3.189832E-05
+2.960000E-01,-9.489860E-06,+1.800000E+00,+3.190300E-05
+2.970000E-01,-9.488916E-06,+1.800000E+00,+3.190160E-05
+2.980000E-01,-9.488151E-06,+1.800000E+00,+3.189352E-05
+2.990000E-01,-9.492596E-06,+1.800000E+00,+3.190689E-05
+3.000000E-01,-9.493109E-06,+1.800000E+00,+3.190701E-05
+3.010000E-01,-9.489468E-06,+1.800000E+00,+3.189929E-05
+3.020000E-01,-9.488867E-06,+1.800000E+00,+3.189608E-05
+3.030000E-01,-9.488537E-06,+1.800000E+00,+3.189645E-05
+3.040000E-01,-9.488153E-06,+1.800000E+00,+3.189469E-05
