VDD,IDD,VREF,IREF
+1.800000E+00,+4.227701E-05,+0.000000E+00,-1.256797E-05
+1.799000E+00,+4.228353E-05,+0.000000E+00,-1.257095E-05
+1.798000E+00,+4.229035E-05,+0.000000E+00,-1.257056E-05
+1.797000E+00,+4.228455E-05,+0.000000E+00,-1.256918E-05
+1.796000E+00,+4.228233E-05,+0.000000E+00,-1.256861E-05
+1.795000E+00,+4.229561E-05,+0.000000E+00,-1.257358E-05
+1.794000E+00,+4.230659E-05,+0.000000E+00,-1.257978E-05
+1.793000E+00,+4.231608E-05,+0.000000E+00,-1.258908E-05
+1.792000E+00,+4.231260E-05,+0.000000E+00,-1.258657E-05
+1.791000E+00,+4.230862E-05,+0.000000E+00,-1.258614E-05
+1.790000E+00,+4.230694E-05,+0.000000E+00,-1.258351E-05
+1.789000E+00,+4.229881E-05,+0.000000E+00,-1.258284E-05
+1.788000E+00,+4.231490E-05,+0.000000E+00,-1.258686E-05
+1.787000E+00,+4.230619E-05,+0.000000E+00,-1.258621E-05
+1.786000E+00,+4.231631E-05,+0.000000E+00,-1.258745E-05
+1.785000E+00,+4.229261E-05,+0.000000E+00,-1.258222E-05
+1.784000E+00,+4.229437E-05,+0.000000E+00,-1.257862E-05
+1.783000E+00,+4.228255E-05,+0.000000E+00,-1.257440E-05
+1.782000E+00,+4.228711E-05,+0.000000E+00,-1.257760E-05
+1.781000E+00,+4.228335E-05,+0.000000E+00,-1.257153E-05
+1.780000E+00,+4.230397E-05,+0.000000E+00,-1.257726E-05
+1.779000E+00,+4.229879E-05,+0.000000E+00,-1.258485E-05
+1.778000E+00,+4.229056E-05,+0.000000E+00,-1.257365E-05
+1.777000E+00,+4.229074E-05,+0.000000E+00,-1.257392E-05
+1.776000E+00,+4.230252E-05,+0.000000E+00,-1.257578E-05
+1.775000E+00,+4.230980E-05,+0.000000E+00,-1.257818E-05
+1.774000E+00,+4.228247E-05,+0.000000E+00,-1.257100E-05
+1.773000E+00,+4.228973E-05,+0.000000E+00,-1.257343E-05
+1.772000E+00,+4.233786E-05,+0.000000E+00,-1.258887E-05
+1.771000E+00,+4.232335E-05,+0.000000E+00,-1.258554E-05
+1.770000E+00,+4.229667E-05,+0.000000E+00,-1.257494E-05
+1.769000E+00,+4.230101E-05,+0.000000E+00,-1.257787E-05
+1.768000E+00,+4.230074E-05,+0.000000E+00,-1.257664E-05
+1.767000E+00,+4.229096E-05,+0.000000E+00,-1.257651E-05
+1.766000E+00,+4.230364E-05,+0.000000E+00,-1.257730E-05
+1.765000E+00,+4.227953E-05,+0.000000E+00,-1.257047E-05
+1.764000E+00,+4.227514E-05,+0.000000E+00,-1.257100E-05
+1.763000E+00,+4.227988E-05,+0.000000E+00,-1.257206E-05
+1.762000E+00,+4.227965E-05,+0.000000E+00,-1.257164E-05
+1.761000E+00,+4.228329E-05,+0.000000E+00,-1.257161E-05
+1.760000E+00,+4.228067E-05,+0.000000E+00,-1.257182E-05
