VDD,IDD,VREF,IREF
+1.800000E+00,+5.902124E-05,+0.000000E+00,-1.759202E-05
+1.799000E+00,+5.900134E-05,+0.000000E+00,-1.759203E-05
+1.798000E+00,+5.900369E-05,+0.000000E+00,-1.759313E-05
+1.797000E+00,+5.900207E-05,+0.000000E+00,-1.759070E-05
+1.796000E+00,+5.900353E-05,+0.000000E+00,-1.758829E-05
+1.795000E+00,+5.901645E-05,+0.000000E+00,-1.758637E-05
+1.794000E+00,+5.898672E-05,+0.000000E+00,-1.759041E-05
+1.793000E+00,+5.899118E-05,+0.000000E+00,-1.758890E-05
+1.792000E+00,+5.900872E-05,+0.000000E+00,-1.758964E-05
+1.791000E+00,+5.897240E-05,+0.000000E+00,-1.758977E-05
+1.790000E+00,+5.898737E-05,+0.000000E+00,-1.758429E-05
+1.789000E+00,+5.898370E-05,+0.000000E+00,-1.758240E-05
+1.788000E+00,+5.897653E-05,+0.000000E+00,-1.758634E-05
+1.787000E+00,+5.897027E-05,+0.000000E+00,-1.759542E-05
+1.786000E+00,+5.899799E-05,+0.000000E+00,-1.759288E-05
+1.785000E+00,+5.898101E-05,+0.000000E+00,-1.757931E-05
+1.784000E+00,+5.900068E-05,+0.000000E+00,-1.758714E-05
+1.783000E+00,+5.896514E-05,+0.000000E+00,-1.758843E-05
+1.782000E+00,+5.898688E-05,+0.000000E+00,-1.758547E-05
+1.781000E+00,+5.896257E-05,+0.000000E+00,-1.758068E-05
+1.780000E+00,+5.897984E-05,+0.000000E+00,-1.758276E-05
+1.779000E+00,+5.895516E-05,+0.000000E+00,-1.758294E-05
+1.778000E+00,+5.898049E-05,+0.000000E+00,-1.758279E-05
+1.777000E+00,+5.896787E-05,+0.000000E+00,-1.758678E-05
+1.776000E+00,+5.897287E-05,+0.000000E+00,-1.759131E-05
+1.775000E+00,+5.896320E-05,+0.000000E+00,-1.757916E-05
+1.774000E+00,+5.894340E-05,+0.000000E+00,-1.758547E-05
+1.773000E+00,+5.896112E-05,+0.000000E+00,-1.758568E-05
+1.772000E+00,+5.896611E-05,+0.000000E+00,-1.758155E-05
+1.771000E+00,+5.896923E-05,+0.000000E+00,-1.758413E-05
+1.770000E+00,+5.896872E-05,+0.000000E+00,-1.758261E-05
+1.769000E+00,+5.896497E-05,+0.000000E+00,-1.758066E-05
+1.768000E+00,+5.899087E-05,+0.000000E+00,-1.758092E-05
+1.767000E+00,+5.896893E-05,+0.000000E+00,-1.758520E-05
+1.766000E+00,+5.896861E-05,+0.000000E+00,-1.758346E-05
+1.765000E+00,+5.898650E-05,+0.000000E+00,-1.758590E-05
+1.764000E+00,+5.897952E-05,+0.000000E+00,-1.758467E-05
+1.763000E+00,+5.896571E-05,+0.000000E+00,-1.757805E-05
+1.762000E+00,+5.895623E-05,+0.000000E+00,-1.758255E-05
+1.761000E+00,+5.897442E-05,+0.000000E+00,-1.757476E-05
+1.760000E+00,+5.892452E-05,+0.000000E+00,-1.758371E-05
+1.759000E+00,+5.895689E-05,+0.000000E+00,-1.757728E-05
+1.758000E+00,+5.894946E-05,+0.000000E+00,-1.758107E-05
+1.757000E+00,+5.896443E-05,+0.000000E+00,-1.758655E-05
+1.756000E+00,+5.894542E-05,+0.000000E+00,-1.757693E-05
+1.755000E+00,+5.894143E-05,+0.000000E+00,-1.758810E-05
+1.754000E+00,+5.894657E-05,+0.000000E+00,-1.758304E-05
+1.753000E+00,+5.892860E-05,+0.000000E+00,-1.758163E-05
+1.752000E+00,+5.895215E-05,+0.000000E+00,-1.757251E-05
+1.751000E+00,+5.893371E-05,+0.000000E+00,-1.757306E-05
+1.750000E+00,+5.895577E-05,+0.000000E+00,-1.757647E-05
+1.749000E+00,+5.894667E-05,+0.000000E+00,-1.757801E-05
+1.748000E+00,+5.895009E-05,+0.000000E+00,-1.757680E-05
+1.747000E+00,+5.894636E-05,+0.000000E+00,-1.756595E-05
+1.746000E+00,+5.895647E-05,+0.000000E+00,-1.757209E-05
+1.745000E+00,+5.894601E-05,+0.000000E+00,-1.757698E-05
+1.744000E+00,+5.894683E-05,+0.000000E+00,-1.757978E-05
+1.743000E+00,+5.892639E-05,+0.000000E+00,-1.756707E-05
+1.742000E+00,+5.893507E-05,+0.000000E+00,-1.756698E-05
+1.741000E+00,+5.893573E-05,+0.000000E+00,-1.756834E-05
+1.740000E+00,+5.892167E-05,+0.000000E+00,-1.756995E-05
+1.739000E+00,+5.895730E-05,+0.000000E+00,-1.757922E-05
+1.738000E+00,+5.894457E-05,+0.000000E+00,-1.758861E-05
+1.737000E+00,+5.895063E-05,+0.000000E+00,-1.758405E-05
+1.736000E+00,+5.895252E-05,+0.000000E+00,-1.758119E-05
+1.735000E+00,+5.895973E-05,+0.000000E+00,-1.758795E-05
+1.734000E+00,+5.894516E-05,+0.000000E+00,-1.758977E-05
+1.733000E+00,+5.892270E-05,+0.000000E+00,-1.758618E-05
+1.732000E+00,+5.894266E-05,+0.000000E+00,-1.757914E-05
+1.731000E+00,+5.893610E-05,+0.000000E+00,-1.757880E-05
+1.730000E+00,+5.895181E-05,+0.000000E+00,-1.757965E-05
+1.729000E+00,+5.895112E-05,+0.000000E+00,-1.757769E-05
+1.728000E+00,+5.893933E-05,+0.000000E+00,-1.757785E-05
+1.727000E+00,+5.895983E-05,+0.000000E+00,-1.757400E-05
+1.726000E+00,+5.895407E-05,+0.000000E+00,-1.757873E-05
+1.725000E+00,+5.892029E-05,+0.000000E+00,-1.757866E-05
+1.724000E+00,+5.892456E-05,+0.000000E+00,-1.757820E-05
+1.723000E+00,+5.892896E-05,+0.000000E+00,-1.757501E-05
+1.722000E+00,+5.893080E-05,+0.000000E+00,-1.757171E-05
+1.721000E+00,+5.896544E-05,+0.000000E+00,-1.757055E-05
+1.720000E+00,+5.891176E-05,+0.000000E+00,-1.758602E-05
+1.719000E+00,+5.896248E-05,+0.000000E+00,-1.757075E-05
+1.718000E+00,+5.889369E-05,+0.000000E+00,-1.757222E-05
+1.717000E+00,+5.894630E-05,+0.000000E+00,-1.756686E-05
+1.716000E+00,+5.894580E-05,+0.000000E+00,-1.757843E-05
+1.715000E+00,+5.893302E-05,+0.000000E+00,-1.758150E-05
+1.714000E+00,+5.894767E-05,+0.000000E+00,-1.757743E-05
+1.713000E+00,+5.894037E-05,+0.000000E+00,-1.757654E-05
+1.712000E+00,+5.891634E-05,+0.000000E+00,-1.757053E-05
+1.711000E+00,+5.892342E-05,+0.000000E+00,-1.756572E-05
+1.710000E+00,+5.891038E-05,+0.000000E+00,-1.756772E-05
+1.709000E+00,+5.892305E-05,+0.000000E+00,-1.756799E-05
+1.708000E+00,+5.895512E-05,+0.000000E+00,-1.756614E-05
+1.707000E+00,+5.893937E-05,+0.000000E+00,-1.757249E-05
+1.706000E+00,+5.890945E-05,+0.000000E+00,-1.757207E-05
+1.705000E+00,+5.893676E-05,+0.000000E+00,-1.756830E-05
+1.704000E+00,+5.889610E-05,+0.000000E+00,-1.756363E-05
+1.703000E+00,+5.891369E-05,+0.000000E+00,-1.756663E-05
+1.702000E+00,+5.893697E-05,+0.000000E+00,-1.756464E-05
+1.701000E+00,+5.892301E-05,+0.000000E+00,-1.756441E-05
+1.700000E+00,+5.891612E-05,+0.000000E+00,-1.755945E-05
+1.699000E+00,+5.889370E-05,+0.000000E+00,-1.756096E-05
+1.698000E+00,+5.890444E-05,+0.000000E+00,-1.756204E-05
+1.697000E+00,+5.891041E-05,+0.000000E+00,-1.755993E-05
+1.696000E+00,+5.890624E-05,+0.000000E+00,-1.755486E-05
+1.695000E+00,+5.889920E-05,+0.000000E+00,-1.755622E-05
+1.694000E+00,+5.889805E-05,+0.000000E+00,-1.755400E-05
+1.693000E+00,+5.890537E-05,+0.000000E+00,-1.754709E-05
+1.692000E+00,+5.890075E-05,+0.000000E+00,-1.755033E-05
+1.691000E+00,+5.888639E-05,+0.000000E+00,-1.754944E-05
+1.690000E+00,+5.887907E-05,+0.000000E+00,-1.754738E-05
+1.689000E+00,+5.889224E-05,+0.000000E+00,-1.755068E-05
+1.688000E+00,+5.889551E-05,+0.000000E+00,-1.754980E-05
