VDD,IDD,VREF,IREF
+0.000000E+00,-4.629250E-09,+0.000000E+00,-2.200986E-10
+1.000000E-03,-4.699634E-09,+0.000000E+00,-1.361256E-11
+2.000000E-03,-7.620353E-09,+0.000000E+00,-1.647002E-10
+3.000000E-03,-4.961041E-09,+0.000000E+00,-1.495912E-10
+4.000000E-03,-1.225976E-09,+0.000000E+00,-1.344833E-10
+5.000000E-03,-1.236028E-09,+0.000000E+00,-2.100257E-10
+6.000000E-03,-1.442113E-09,+0.000000E+00,-1.848462E-10
+7.000000E-03,+9.002177E-10,+0.000000E+00,-2.150636E-10
+8.000000E-03,+2.181966E-09,+0.000000E+00,-1.445554E-10
+9.000000E-03,+3.483815E-09,+0.000000E+00,-2.049907E-10
+1.000000E-02,+2.282492E-09,+0.000000E+00,-1.647012E-10
+1.100000E-02,-7.735939E-10,+0.000000E+00,-2.654263E-10
+1.200000E-02,-6.730653E-10,+0.000000E+00,-2.100266E-10
+1.300000E-02,+3.064271E-11,+0.000000E+00,-1.344833E-10
+1.400000E-02,-2.362046E-09,+0.000000E+00,-1.546280E-10
+1.500000E-02,-3.628867E-09,+0.000000E+00,-1.445558E-10
+1.600000E-02,-3.553460E-09,+0.000000E+00,-2.503167E-10
+1.700000E-02,-4.267677E-10,+0.000000E+00,-1.798101E-10
+1.800000E-02,+2.058675E-11,+0.000000E+00,-2.200999E-10
+1.900000E-02,-8.942290E-10,+0.000000E+00,-1.596648E-10
+2.000000E-02,-9.444936E-10,+0.000000E+00,-1.848459E-10
+2.100000E-02,+2.614238E-09,+0.000000E+00,-1.495922E-10
+2.200000E-02,+6.253385E-09,+0.000000E+00,-2.301726E-10
+2.300000E-02,+4.217683E-09,+0.000000E+00,-2.503170E-10
+2.400000E-02,+2.493600E-09,+0.000000E+00,-6.397460E-11
+2.500000E-02,+1.242014E-09,+0.000000E+00,-1.747731E-10
+2.600000E-02,-6.680383E-10,+0.000000E+00,-9.922990E-11
+2.700000E-02,+7.192649E-10,+0.000000E+00,-2.352084E-10
+2.800000E-02,-4.538764E-09,+0.000000E+00,-1.143379E-10
+2.900000E-02,-4.749903E-09,+0.000000E+00,-2.402447E-10
+3.000000E-02,-1.748744E-09,+0.000000E+00,-9.922946E-11
+3.100000E-02,+1.287254E-09,+0.000000E+00,-1.546274E-10
+3.200000E-02,+1.110634E-10,+0.000000E+00,-1.344821E-10
+3.300000E-02,+1.267149E-09,+0.000000E+00,-1.898815E-10
+3.400000E-02,+3.061598E-09,+0.000000E+00,-1.143375E-10
+3.500000E-02,+5.087248E-09,+0.000000E+00,-1.647001E-10
+3.600000E-02,+6.600231E-09,+0.000000E+00,-1.445554E-10
+3.700000E-02,+1.935670E-09,+0.000000E+00,-1.949183E-10
+3.800000E-02,+2.372968E-09,+0.000000E+00,-2.301723E-10
+3.900000E-02,+9.052423E-10,+0.000000E+00,-1.798104E-10
+4.000000E-02,+2.940954E-09,+0.000000E+00,-1.697379E-10
+4.100000E-02,-2.296694E-09,+0.000000E+00,-2.603900E-10
+4.200000E-02,-3.412704E-09,+0.000000E+00,-8.411943E-11
+4.300000E-02,-1.613014E-09,+0.000000E+00,-2.402449E-10
+4.400000E-02,+7.085244E-11,+0.000000E+00,-3.208245E-10
+4.500000E-02,+1.362648E-09,+0.000000E+00,-1.143390E-10
+4.600000E-02,+4.142288E-09,+0.000000E+00,-1.747739E-10
+4.700000E-02,+1.402860E-09,+0.000000E+00,-1.495913E-10
+4.800000E-02,+4.594665E-09,+0.000000E+00,-1.093022E-10
+4.900000E-02,+6.283551E-09,+0.000000E+00,-1.294485E-10
+5.000000E-02,+3.659745E-09,+0.000000E+00,-1.093022E-10
+5.100000E-02,+3.473046E-10,+0.000000E+00,-1.244108E-10
+5.200000E-02,+1.955771E-09,+0.000000E+00,-2.049900E-10
+5.300000E-02,+1.242018E-09,+0.000000E+00,-9.922996E-11
+5.400000E-02,-1.296346E-09,+0.000000E+00,-2.049909E-10
+5.500000E-02,-2.593291E-09,+0.000000E+00,-1.042650E-10
+5.600000E-02,-4.448277E-09,+0.000000E+00,-1.596642E-10
+5.700000E-02,+1.463182E-09,+0.000000E+00,-9.419282E-11
+5.800000E-02,+2.222178E-09,+0.000000E+00,-2.704624E-10
+5.900000E-02,+1.242014E-09,+0.000000E+00,-2.049905E-10
+6.000000E-02,+7.846039E-10,+0.000000E+00,-1.898824E-10
+6.100000E-02,+5.504449E-09,+0.000000E+00,-9.922896E-11
+6.200000E-02,+7.339123E-09,+0.000000E+00,-2.402445E-10
+6.300000E-02,+3.503924E-09,+0.000000E+00,-1.596652E-10
+6.400000E-02,+2.619263E-09,+0.000000E+00,-1.747738E-10
+6.500000E-02,+2.317678E-09,+0.000000E+00,-1.294464E-10
+6.600000E-02,+2.599164E-09,+0.000000E+00,-1.848460E-10
+6.700000E-02,+4.377825E-10,+0.000000E+00,-1.143385E-10
+6.800000E-02,-3.377513E-09,+0.000000E+00,-1.495916E-10
+6.900000E-02,-1.944800E-09,+0.000000E+00,-2.553533E-10
+7.000000E-02,+5.577228E-11,+0.000000E+00,-1.445561E-10
+7.100000E-02,+1.684346E-09,+0.000000E+00,-1.495924E-10
+7.200000E-02,+1.166617E-09,+0.000000E+00,-2.200998E-10
+7.300000E-02,+1.975881E-09,+0.000000E+00,-2.251354E-10
+7.400000E-02,+5.720593E-09,+0.000000E+00,-1.193748E-10
+7.500000E-02,+6.127742E-09,+0.000000E+00,-1.647000E-10
+7.600000E-02,+4.489114E-09,+0.000000E+00,-1.848462E-10
+7.700000E-02,+3.056571E-09,+0.000000E+00,-9.419304E-11
+7.800000E-02,+2.453393E-09,+0.000000E+00,-1.798100E-10
+7.900000E-02,+2.367948E-09,+0.000000E+00,-1.143385E-10
+8.000000E-02,+1.347572E-09,+0.000000E+00,-2.150628E-10
+8.100000E-02,-2.065450E-09,+0.000000E+00,-2.100266E-10
+8.200000E-02,-1.723609E-09,+0.000000E+00,-1.747739E-10
+8.300000E-02,-3.915830E-10,+0.000000E+00,-2.100271E-10
+8.400000E-02,+1.734610E-09,+0.000000E+00,-1.546281E-10
+8.500000E-02,+1.835137E-09,+0.000000E+00,-1.898813E-10
+8.600000E-02,+1.985929E-09,+0.000000E+00,-1.646999E-10
+8.700000E-02,+4.660013E-09,+0.000000E+00,-2.251359E-10
+8.800000E-02,+8.062920E-09,+0.000000E+00,-2.301723E-10
+8.900000E-02,+5.750750E-09,+0.000000E+00,-1.848461E-10
+9.000000E-02,+3.071651E-09,+0.000000E+00,-1.495915E-10
+9.100000E-02,+3.081707E-09,+0.000000E+00,-1.898816E-10
+9.200000E-02,+2.880652E-09,+0.000000E+00,-1.898819E-10
+9.300000E-02,+1.634082E-09,+0.000000E+00,-1.596647E-10
+9.400000E-02,-1.879448E-09,+0.000000E+00,-1.747728E-10
+9.500000E-02,-4.679523E-09,+0.000000E+00,-1.395190E-10
+9.600000E-02,-1.145553E-09,+0.000000E+00,-1.143377E-10
+9.700000E-02,+2.181960E-09,+0.000000E+00,-1.093017E-10
+9.800000E-02,+2.589104E-09,+0.000000E+00,-2.049916E-10
+9.900000E-02,+2.126672E-09,+0.000000E+00,-2.352093E-10
+1.000000E-01,+2.408154E-09,+0.000000E+00,-1.546273E-10
+1.010000E-01,+6.228257E-09,+0.000000E+00,-3.879408E-11
+1.020000E-01,+6.479584E-09,+0.000000E+00,-2.352087E-10
+1.030000E-01,+5.921650E-09,+0.000000E+00,-8.411943E-11
+1.040000E-01,+4.051809E-09,+0.000000E+00,-1.697368E-10
+1.050000E-01,+5.594926E-09,+0.000000E+00,-1.193745E-10
+1.060000E-01,+1.387783E-09,+0.000000E+00,-1.798092E-10
+1.070000E-01,+3.875178E-10,+0.000000E+00,-2.368605E-11
+1.080000E-01,-1.607987E-09,+0.000000E+00,-9.922962E-11
+1.090000E-01,-1.623068E-09,+0.000000E+00,-8.412049E-11
+1.100000E-01,+1.211855E-09,+0.000000E+00,-1.143382E-10
+1.110000E-01,+2.624293E-09,+0.000000E+00,-2.402452E-10
+1.120000E-01,+2.252336E-09,+0.000000E+00,-2.352092E-10
+1.130000E-01,+4.187522E-09,+0.000000E+00,-1.596637E-10
+1.140000E-01,+4.755509E-09,+0.000000E+00,-1.898833E-10
