VREF,IREF,VDD,IDD
+0.000000E+00,+6.703460E-11,+1.800000E+00,+1.106403E-08
+1.000000E-03,+1.425858E-10,+1.800000E+00,+1.088309E-08
+2.000000E-03,+1.123653E-10,+1.800000E+00,+1.695521E-08
+3.000000E-03,+2.886451E-10,+1.800000E+00,+1.276803E-08
+4.000000E-03,+1.274758E-10,+1.800000E+00,+6.077659E-09
+5.000000E-03,+1.375485E-10,+1.800000E+00,+4.283170E-09
+6.000000E-03,+6.199818E-11,+1.800000E+00,+6.680847E-09
+7.000000E-03,+1.476214E-10,+1.800000E+00,+1.291885E-08
+8.000000E-03,+8.718237E-11,+1.800000E+00,+9.897856E-09
+9.000000E-03,-8.512746E-12,+1.800000E+00,+4.333439E-09
+1.000000E-02,+1.576944E-10,+1.800000E+00,+1.206903E-09
+1.100000E-02,+1.375490E-10,+1.800000E+00,+3.921255E-09
+1.200000E-02,+1.677676E-10,+1.800000E+00,+1.053624E-08
+1.300000E-02,+1.325114E-10,+1.800000E+00,+7.459969E-09
+1.400000E-02,+9.725587E-11,+1.800000E+00,+3.026527E-09
+1.500000E-02,+7.207279E-11,+1.800000E+00,-4.016075E-10
+1.600000E-02,+1.375497E-10,+1.800000E+00,+2.172003E-09
+1.700000E-02,+1.425853E-10,+1.800000E+00,+8.726681E-09
+1.800000E-02,+7.207202E-11,+1.800000E+00,+6.580322E-09
+1.900000E-02,+1.425849E-10,+1.800000E+00,+2.865669E-09
+2.000000E-02,+1.425846E-10,+1.800000E+00,-5.775375E-10
+2.100000E-02,-1.354983E-11,+1.800000E+00,+2.207186E-09
+2.200000E-02,+8.718315E-11,+1.800000E+00,+8.937794E-09
+2.300000E-02,+1.174020E-10,+1.800000E+00,+6.424490E-09
+2.400000E-02,+2.170630E-11,+1.800000E+00,+3.086844E-09
+2.500000E-02,+1.677676E-10,+1.800000E+00,-1.331524E-09
+2.600000E-02,+1.526580E-10,+1.800000E+00,+2.141848E-09
+2.700000E-02,+1.174025E-10,+1.800000E+00,+6.323969E-09
+2.800000E-02,+9.221957E-11,+1.800000E+00,+6.816562E-09
+2.900000E-02,+1.274763E-10,+1.800000E+00,+4.182642E-09
+3.000000E-02,+1.073284E-10,+1.800000E+00,-2.341957E-09
+3.100000E-02,+1.325114E-10,+1.800000E+00,+1.091289E-09
+3.200000E-02,+1.627311E-10,+1.800000E+00,+6.117868E-09
+3.300000E-02,+2.674339E-11,+1.800000E+00,+6.761272E-09
+3.400000E-02,+9.725487E-11,+1.800000E+00,+3.504048E-09
+3.500000E-02,+1.073294E-10,+1.800000E+00,-2.648616E-09
+3.600000E-02,+1.325116E-10,+1.800000E+00,+1.815114E-09
+3.700000E-02,+1.274756E-10,+1.800000E+00,+5.630294E-09
+3.800000E-02,+1.174025E-10,+1.800000E+00,+5.645375E-09
+3.900000E-02,+2.170730E-11,+1.800000E+00,+3.297960E-09
+4.000000E-02,+1.476207E-10,+1.800000E+00,-2.558125E-09
+4.100000E-02,+1.022921E-10,+1.800000E+00,-9.498358E-11
+4.200000E-02,+1.123660E-10,+1.800000E+00,+5.449339E-09
+4.300000E-02,+2.170653E-11,+1.800000E+00,+6.298821E-09
+4.400000E-02,+1.325118E-10,+1.800000E+00,+3.458809E-09
+4.500000E-02,-1.354905E-11,+1.800000E+00,-5.373249E-10
+4.600000E-02,+7.207235E-11,+1.800000E+00,+1.563463E-10
+4.700000E-02,+1.022917E-10,+1.800000E+00,+6.012315E-09
+4.800000E-02,+1.224388E-10,+1.800000E+00,+5.901734E-09
+4.900000E-02,+1.274758E-10,+1.800000E+00,+4.504338E-09
+5.000000E-02,+8.214551E-11,+1.800000E+00,-2.819541E-09
+5.100000E-02,+2.483531E-10,+1.800000E+00,-2.407549E-10
+5.200000E-02,+1.224395E-10,+1.800000E+00,+5.333726E-09
+5.300000E-02,+5.192580E-11,+1.800000E+00,+6.469740E-09
+5.400000E-02,+3.177902E-11,+1.800000E+00,+4.333433E-09
+5.500000E-02,+1.476218E-10,+1.800000E+00,-3.518318E-09
+5.600000E-02,+6.703627E-11,+1.800000E+00,-5.222440E-10
+5.700000E-02,+1.375476E-10,+1.800000E+00,+4.499310E-09
+5.800000E-02,+1.274743E-10,+1.800000E+00,+6.751231E-09
+5.900000E-02,+1.123652E-10,+1.800000E+00,+4.303279E-09
+6.000000E-02,+1.728052E-10,+1.800000E+00,-2.502826E-09
+6.100000E-02,+1.425842E-10,+1.800000E+00,-6.482481E-11
+6.200000E-02,+1.476210E-10,+1.800000E+00,+3.413568E-09
+6.300000E-02,+1.224388E-10,+1.800000E+00,+6.253589E-09
+6.400000E-02,+1.325124E-10,+1.800000E+00,+3.659877E-09
+6.500000E-02,+1.677681E-10,+1.800000E+00,-2.432445E-09
+6.600000E-02,+6.199985E-11,+1.800000E+00,-2.709152E-10
+6.700000E-02,+9.725598E-11,+1.800000E+00,+2.765149E-09
+6.800000E-02,+1.123653E-10,+1.800000E+00,+6.379260E-09
+6.900000E-02,+1.677678E-10,+1.800000E+00,+4.604871E-09
+7.000000E-02,+1.224382E-10,+1.800000E+00,-3.181497E-09
+7.100000E-02,+1.325117E-10,+1.800000E+00,-1.195807E-09
+7.200000E-02,+2.231708E-10,+1.800000E+00,+2.493702E-09
+7.300000E-02,+1.627316E-10,+1.800000E+00,+7.339334E-09
+7.400000E-02,+9.725587E-11,+1.800000E+00,+4.318364E-09
+7.500000E-02,+9.725531E-11,+1.800000E+00,-1.974971E-09
+7.600000E-02,+7.710876E-11,+1.800000E+00,-7.987062E-10
+7.700000E-02,+1.224382E-10,+1.800000E+00,+2.719903E-09
+7.800000E-02,+1.073280E-10,+1.800000E+00,+7.746481E-09
+7.900000E-02,+9.725443E-11,+1.800000E+00,+4.971811E-09
+8.000000E-02,+1.425846E-10,+1.800000E+00,-2.910027E-09
+8.100000E-02,+1.325104E-10,+1.800000E+00,-1.125435E-09
+8.200000E-02,-1.858669E-11,+1.800000E+00,+2.750058E-09
+8.300000E-02,+9.725654E-11,+1.800000E+00,+6.233487E-09
+8.400000E-02,+1.022920E-10,+1.800000E+00,+4.222860E-09
+8.500000E-02,+7.207157E-11,+1.800000E+00,-3.020628E-09
+8.600000E-02,+6.703615E-11,+1.800000E+00,-9.394503E-10
