VDD,IDD,VREF,IREF
+1.800000E+00,+1.491216E-05,+0.000000E+00,-4.456675E-06
+1.799000E+00,+1.490590E-05,+0.000000E+00,-4.455666E-06
+1.798000E+00,+1.489857E-05,+0.000000E+00,-4.456129E-06
+1.797000E+00,+1.489779E-05,+0.000000E+00,-4.455952E-06
+1.796000E+00,+1.489856E-05,+0.000000E+00,-4.455893E-06
+1.795000E+00,+1.490494E-05,+0.000000E+00,-4.455811E-06
+1.794000E+00,+1.489988E-05,+0.000000E+00,-4.456868E-06
+1.793000E+00,+1.489412E-05,+0.000000E+00,-4.455820E-06
+1.792000E+00,+1.489662E-05,+0.000000E+00,-4.455300E-06
+1.791000E+00,+1.489772E-05,+0.000000E+00,-4.455409E-06
+1.790000E+00,+1.490280E-05,+0.000000E+00,-4.455920E-06
+1.789000E+00,+1.490424E-05,+0.000000E+00,-4.456253E-06
+1.788000E+00,+1.489565E-05,+0.000000E+00,-4.456249E-06
+1.787000E+00,+1.489906E-05,+0.000000E+00,-4.455708E-06
+1.786000E+00,+1.490185E-05,+0.000000E+00,-4.454633E-06
+1.785000E+00,+1.490834E-05,+0.000000E+00,-4.455365E-06
+1.784000E+00,+1.492117E-05,+0.000000E+00,-4.455067E-06
+1.783000E+00,+1.489382E-05,+0.000000E+00,-4.462052E-06
+1.782000E+00,+1.490105E-05,+0.000000E+00,-4.455035E-06
+1.781000E+00,+1.489678E-05,+0.000000E+00,-4.456215E-06
+1.780000E+00,+1.490247E-05,+0.000000E+00,-4.455410E-06
+1.779000E+00,+1.489769E-05,+0.000000E+00,-4.454793E-06
+1.778000E+00,+1.466374E-05,+0.000000E+00,-4.454682E-06
+1.777000E+00,+1.460685E-05,+0.000000E+00,-4.371698E-06
+1.776000E+00,+1.462896E-05,+0.000000E+00,-4.373458E-06
+1.775000E+00,+1.461629E-05,+0.000000E+00,-4.368284E-06
+1.774000E+00,+1.461277E-05,+0.000000E+00,-4.369504E-06
+1.773000E+00,+1.460789E-05,+0.000000E+00,-4.369893E-06
+1.772000E+00,+1.461042E-05,+0.000000E+00,-4.369145E-06
+1.771000E+00,+1.461213E-05,+0.000000E+00,-4.369379E-06
+1.770000E+00,+1.461033E-05,+0.000000E+00,-4.369247E-06
+1.769000E+00,+1.460846E-05,+0.000000E+00,-4.369553E-06
+1.768000E+00,+1.460044E-05,+0.000000E+00,-4.366852E-06
+1.767000E+00,+1.460321E-05,+0.000000E+00,-4.368507E-06
+1.766000E+00,+1.460613E-05,+0.000000E+00,-4.367283E-06
+1.765000E+00,+1.460968E-05,+0.000000E+00,-4.368026E-06
+1.764000E+00,+1.460639E-05,+0.000000E+00,-4.366523E-06
+1.763000E+00,+1.460208E-05,+0.000000E+00,-4.367821E-06
+1.762000E+00,+1.460239E-05,+0.000000E+00,-4.367975E-06
+1.761000E+00,+1.460803E-05,+0.000000E+00,-4.367562E-06
+1.760000E+00,+1.460692E-05,+0.000000E+00,-4.368612E-06
+1.759000E+00,+1.460386E-05,+0.000000E+00,-4.367735E-06
+1.758000E+00,+1.459657E-05,+0.000000E+00,-4.367295E-06
+1.757000E+00,+1.460166E-05,+0.000000E+00,-4.368632E-06
+1.756000E+00,+1.460863E-05,+0.000000E+00,-4.366236E-06
+1.755000E+00,+1.460419E-05,+0.000000E+00,-4.366895E-06
+1.754000E+00,+1.460397E-05,+0.000000E+00,-4.367431E-06
+1.753000E+00,+1.459681E-05,+0.000000E+00,-4.367887E-06
+1.752000E+00,+1.460005E-05,+0.000000E+00,-4.367594E-06
+1.751000E+00,+1.460980E-05,+0.000000E+00,-4.367055E-06
+1.750000E+00,+1.460247E-05,+0.000000E+00,-4.367140E-06
+1.749000E+00,+1.460051E-05,+0.000000E+00,-4.365460E-06
+1.748000E+00,+1.459940E-05,+0.000000E+00,-4.366355E-06
+1.747000E+00,+1.459963E-05,+0.000000E+00,-4.365579E-06
