VREF,IREF,VDD,IDD
+0.000000E+00,-1.213808E-05,+2.200000E+00,+4.118990E-05
+1.000000E-03,-1.213988E-05,+2.200000E+00,+4.115193E-05
+2.000000E-03,-1.213990E-05,+2.200000E+00,+4.107325E-05
+3.000000E-03,-1.214403E-05,+2.200000E+00,+4.102593E-05
+4.000000E-03,-1.213369E-05,+2.200000E+00,+4.106640E-05
+5.000000E-03,-1.212812E-05,+2.200000E+00,+4.093523E-05
+6.000000E-03,-1.212649E-05,+2.200000E+00,+4.078656E-05
+7.000000E-03,-1.212984E-05,+2.200000E+00,+4.061072E-05
+8.000000E-03,-1.213016E-05,+2.200000E+00,+4.075476E-05
+9.000000E-03,-1.213038E-05,+2.200000E+00,+4.085630E-05
+1.000000E-02,-1.214661E-05,+2.200000E+00,+4.099062E-05
+1.100000E-02,-1.213905E-05,+2.200000E+00,+4.095543E-05
+1.200000E-02,-1.213123E-05,+2.200000E+00,+4.090635E-05
+1.300000E-02,-1.213138E-05,+2.200000E+00,+4.094691E-05
+1.400000E-02,-1.213128E-05,+2.200000E+00,+4.090143E-05
+1.500000E-02,-1.213047E-05,+2.200000E+00,+4.083414E-05
+1.600000E-02,-1.213549E-05,+2.200000E+00,+4.080219E-05
+1.700000E-02,-1.213255E-05,+2.200000E+00,+4.078065E-05
+1.800000E-02,-1.213124E-05,+2.200000E+00,+4.080507E-05
+1.900000E-02,-1.213186E-05,+2.200000E+00,+4.075983E-05
+2.000000E-02,-1.213045E-05,+2.200000E+00,+4.091316E-05
+2.100000E-02,-1.212973E-05,+2.200000E+00,+4.085705E-05
+2.200000E-02,-1.213425E-05,+2.200000E+00,+4.080115E-05
+2.300000E-02,-1.212832E-05,+2.200000E+00,+4.078902E-05
+2.400000E-02,-1.212661E-05,+2.200000E+00,+4.085707E-05
+2.500000E-02,-1.212876E-05,+2.200000E+00,+4.080040E-05
+2.600000E-02,-1.212738E-05,+2.200000E+00,+4.073959E-05
+2.700000E-02,-1.212452E-05,+2.200000E+00,+4.070836E-05
+2.800000E-02,-1.212736E-05,+2.200000E+00,+4.080149E-05
+2.900000E-02,-1.213242E-05,+2.200000E+00,+4.077068E-05
+3.000000E-02,-1.212754E-05,+2.200000E+00,+4.079096E-05
+3.100000E-02,-1.212421E-05,+2.200000E+00,+4.079591E-05
+3.200000E-02,-1.212676E-05,+2.200000E+00,+4.083824E-05
+3.300000E-02,-1.212392E-05,+2.200000E+00,+4.084723E-05
+3.400000E-02,-1.212306E-05,+2.200000E+00,+4.078880E-05
+3.500000E-02,-1.212635E-05,+2.200000E+00,+4.073761E-05
+3.600000E-02,-1.212654E-05,+2.200000E+00,+4.078212E-05
+3.700000E-02,-1.212389E-05,+2.200000E+00,+4.088487E-05
+3.800000E-02,-1.212395E-05,+2.200000E+00,+4.085250E-05
+3.900000E-02,-1.212232E-05,+2.200000E+00,+4.070028E-05
+4.000000E-02,-1.212707E-05,+2.200000E+00,+4.075709E-05
+4.100000E-02,-1.212001E-05,+2.200000E+00,+4.094012E-05
+4.200000E-02,-1.212539E-05,+2.200000E+00,+4.082569E-05
+4.300000E-02,-1.212612E-05,+2.200000E+00,+4.068462E-05
+4.400000E-02,-1.212321E-05,+2.200000E+00,+4.076519E-05
+4.500000E-02,-1.212549E-05,+2.200000E+00,+4.085118E-05
+4.600000E-02,-1.212851E-05,+2.200000E+00,+4.078345E-05
+4.700000E-02,-1.212036E-05,+2.200000E+00,+4.065947E-05
+4.800000E-02,-1.213481E-05,+2.200000E+00,+4.069425E-05
+4.900000E-02,-1.213434E-05,+2.200000E+00,+4.080374E-05
+5.000000E-02,-1.212379E-05,+2.200000E+00,+4.082653E-05
+5.100000E-02,-1.212150E-05,+2.200000E+00,+4.075935E-05
+5.200000E-02,-1.211861E-05,+2.200000E+00,+4.067593E-05
+5.300000E-02,-1.212317E-05,+2.200000E+00,+4.063958E-05
+5.400000E-02,-1.212436E-05,+2.200000E+00,+4.073914E-05
+5.500000E-02,-1.212269E-05,+2.200000E+00,+4.078774E-05
+5.600000E-02,-1.212203E-05,+2.200000E+00,+4.075568E-05
+5.700000E-02,-1.212115E-05,+2.200000E+00,+4.075300E-05
+5.800000E-02,-1.212748E-05,+2.200000E+00,+4.077332E-05
+5.900000E-02,-1.212517E-05,+2.200000E+00,+4.089092E-05
+6.000000E-02,-1.213346E-05,+2.200000E+00,+4.089322E-05
+6.100000E-02,-1.213574E-05,+2.200000E+00,+4.087737E-05
+6.200000E-02,-1.213237E-05,+2.200000E+00,+4.077912E-05
+6.300000E-02,-1.213147E-05,+2.200000E+00,+4.074480E-05
+6.400000E-02,-1.213507E-05,+2.200000E+00,+4.070632E-05
+6.500000E-02,-1.212521E-05,+2.200000E+00,+4.070181E-05
+6.600000E-02,-1.212442E-05,+2.200000E+00,+4.068590E-05
+6.700000E-02,-1.212353E-05,+2.200000E+00,+4.075913E-05
+6.800000E-02,-1.211915E-05,+2.200000E+00,+4.077817E-05
+6.900000E-02,-1.212168E-05,+2.200000E+00,+4.069202E-05
+7.000000E-02,-1.212225E-05,+2.200000E+00,+4.068026E-05
+7.100000E-02,-1.212002E-05,+2.200000E+00,+4.068546E-05
+7.200000E-02,-1.211998E-05,+2.200000E+00,+4.073730E-05
+7.300000E-02,-1.212402E-05,+2.200000E+00,+4.084179E-05
+7.400000E-02,-1.212309E-05,+2.200000E+00,+4.087313E-05
+7.500000E-02,-1.212342E-05,+2.200000E+00,+4.083415E-05
+7.600000E-02,-1.212189E-05,+2.200000E+00,+4.073923E-05
+7.700000E-02,-1.212198E-05,+2.200000E+00,+4.073681E-05
+7.800000E-02,-1.212288E-05,+2.200000E+00,+4.076082E-05
+7.900000E-02,-1.212100E-05,+2.200000E+00,+4.075459E-05
+8.000000E-02,-1.212720E-05,+2.200000E+00,+4.087945E-05
+8.100000E-02,-1.212414E-05,+2.200000E+00,+4.077407E-05
+8.200000E-02,-1.212121E-05,+2.200000E+00,+4.088340E-05
+8.300000E-02,-1.212498E-05,+2.200000E+00,+4.087054E-05
+8.400000E-02,-1.213050E-05,+2.200000E+00,+4.076838E-05
+8.500000E-02,-1.213353E-05,+2.200000E+00,+4.081281E-05
+8.600000E-02,-1.212262E-05,+2.200000E+00,+4.088922E-05
+8.700000E-02,-1.212190E-05,+2.200000E+00,+4.090435E-05
+8.800000E-02,-1.212491E-05,+2.200000E+00,+4.087044E-05
+8.900000E-02,-1.212708E-05,+2.200000E+00,+4.071321E-05
+9.000000E-02,-1.212652E-05,+2.200000E+00,+4.073752E-05
+9.100000E-02,-1.212151E-05,+2.200000E+00,+4.074313E-05
+9.200000E-02,-1.212340E-05,+2.200000E+00,+4.086848E-05
+9.300000E-02,-1.212273E-05,+2.200000E+00,+4.076871E-05
+9.400000E-02,-1.212609E-05,+2.200000E+00,+4.075884E-05
+9.500000E-02,-1.212447E-05,+2.200000E+00,+4.091707E-05
+9.600000E-02,-1.212142E-05,+2.200000E+00,+4.090077E-05
+9.700000E-02,-1.212610E-05,+2.200000E+00,+4.084974E-05
+9.800000E-02,-1.213056E-05,+2.200000E+00,+4.083902E-05
+9.900000E-02,-1.212919E-05,+2.200000E+00,+4.089721E-05
+1.000000E-01,-1.212475E-05,+2.200000E+00,+4.090601E-05
+1.010000E-01,-1.212374E-05,+2.200000E+00,+4.088346E-05
+1.020000E-01,-1.214052E-05,+2.200000E+00,+4.082002E-05
+1.030000E-01,-1.212634E-05,+2.200000E+00,+4.074640E-05
+1.040000E-01,-1.212368E-05,+2.200000E+00,+4.072121E-05
+1.050000E-01,-1.212432E-05,+2.200000E+00,+4.081693E-05
+1.060000E-01,-1.212213E-05,+2.200000E+00,+4.073051E-05
+1.070000E-01,-1.212127E-05,+2.200000E+00,+4.071382E-05
