VREF,IREF,VDD,IDD
+0.000000E+00,-1.208263E-05,+1.800000E+00,+4.066348E-05
+1.000000E-03,-1.209086E-05,+1.800000E+00,+4.067807E-05
+2.000000E-03,-1.208741E-05,+1.800000E+00,+4.066168E-05
+3.000000E-03,-1.208523E-05,+1.800000E+00,+4.066092E-05
+4.000000E-03,-1.208406E-05,+1.800000E+00,+4.066156E-05
+5.000000E-03,-1.208417E-05,+1.800000E+00,+4.066238E-05
+6.000000E-03,-1.209583E-05,+1.800000E+00,+4.069186E-05
+7.000000E-03,-1.209296E-05,+1.800000E+00,+4.068265E-05
+8.000000E-03,-1.208047E-05,+1.800000E+00,+4.065323E-05
+9.000000E-03,-1.208035E-05,+1.800000E+00,+4.064777E-05
+1.000000E-02,-1.208487E-05,+1.800000E+00,+4.066045E-05
+1.100000E-02,-1.208285E-05,+1.800000E+00,+4.065243E-05
+1.200000E-02,-1.208358E-05,+1.800000E+00,+4.064665E-05
+1.300000E-02,-1.208821E-05,+1.800000E+00,+4.066142E-05
+1.400000E-02,-1.208807E-05,+1.800000E+00,+4.065733E-05
+1.500000E-02,-1.208591E-05,+1.800000E+00,+4.065725E-05
+1.600000E-02,-1.208682E-05,+1.800000E+00,+4.065276E-05
+1.700000E-02,-1.208596E-05,+1.800000E+00,+4.065317E-05
+1.800000E-02,-1.208577E-05,+1.800000E+00,+4.065179E-05
+1.900000E-02,-1.208802E-05,+1.800000E+00,+4.065864E-05
+2.000000E-02,-1.208454E-05,+1.800000E+00,+4.064606E-05
+2.100000E-02,-1.208589E-05,+1.800000E+00,+4.064633E-05
+2.200000E-02,-1.208534E-05,+1.800000E+00,+4.065110E-05
+2.300000E-02,-1.208879E-05,+1.800000E+00,+4.064822E-05
+2.400000E-02,-1.209361E-05,+1.800000E+00,+4.066763E-05
+2.500000E-02,-1.208928E-05,+1.800000E+00,+4.065964E-05
+2.600000E-02,-1.208782E-05,+1.800000E+00,+4.065290E-05
+2.700000E-02,-1.208564E-05,+1.800000E+00,+4.064899E-05
+2.800000E-02,-1.208913E-05,+1.800000E+00,+4.065493E-05
+2.900000E-02,-1.208820E-05,+1.800000E+00,+4.065178E-05
+3.000000E-02,-1.208940E-05,+1.800000E+00,+4.065703E-05
+3.100000E-02,-1.208674E-05,+1.800000E+00,+4.064684E-05
+3.200000E-02,-1.208906E-05,+1.800000E+00,+4.066589E-05
+3.300000E-02,-1.208632E-05,+1.800000E+00,+4.065495E-05
+3.400000E-02,-1.208703E-05,+1.800000E+00,+4.064391E-05
+3.500000E-02,-1.208516E-05,+1.800000E+00,+4.064476E-05
+3.600000E-02,-1.208718E-05,+1.800000E+00,+4.064828E-05
+3.700000E-02,-1.208833E-05,+1.800000E+00,+4.066098E-05
+3.800000E-02,-1.209033E-05,+1.800000E+00,+4.065543E-05
+3.900000E-02,-1.209088E-05,+1.800000E+00,+4.065984E-05
+4.000000E-02,-1.208561E-05,+1.800000E+00,+4.064589E-05
+4.100000E-02,-1.208739E-05,+1.800000E+00,+4.064705E-05
+4.200000E-02,-1.208893E-05,+1.800000E+00,+4.065853E-05
+4.300000E-02,-1.208712E-05,+1.800000E+00,+4.064877E-05
+4.400000E-02,-1.208689E-05,+1.800000E+00,+4.065635E-05
+4.500000E-02,-1.208687E-05,+1.800000E+00,+4.065323E-05
+4.600000E-02,-1.208741E-05,+1.800000E+00,+4.065116E-05
