VREF,IREF,VDD,IDD
+0.000000E+00,-1.211059E-05,+2.000000E+00,+4.087495E-05
+1.000000E-03,-1.210990E-05,+2.000000E+00,+4.083988E-05
+2.000000E-03,-1.210684E-05,+2.000000E+00,+4.081355E-05
+3.000000E-03,-1.210883E-05,+2.000000E+00,+4.081055E-05
+4.000000E-03,-1.211067E-05,+2.000000E+00,+4.080638E-05
+5.000000E-03,-1.211020E-05,+2.000000E+00,+4.079564E-05
+6.000000E-03,-1.210814E-05,+2.000000E+00,+4.078206E-05
+7.000000E-03,-1.210945E-05,+2.000000E+00,+4.077555E-05
+8.000000E-03,-1.211470E-05,+2.000000E+00,+4.079349E-05
+9.000000E-03,-1.211042E-05,+2.000000E+00,+4.077557E-05
+1.000000E-02,-1.211272E-05,+2.000000E+00,+4.077237E-05
+1.100000E-02,-1.211217E-05,+2.000000E+00,+4.076396E-05
+1.200000E-02,-1.211141E-05,+2.000000E+00,+4.076249E-05
+1.300000E-02,-1.210939E-05,+2.000000E+00,+4.075868E-05
+1.400000E-02,-1.211015E-05,+2.000000E+00,+4.075723E-05
+1.500000E-02,-1.210849E-05,+2.000000E+00,+4.075274E-05
+1.600000E-02,-1.211036E-05,+2.000000E+00,+4.075505E-05
+1.700000E-02,-1.210948E-05,+2.000000E+00,+4.075876E-05
+1.800000E-02,-1.210948E-05,+2.000000E+00,+4.074526E-05
+1.900000E-02,-1.210805E-05,+2.000000E+00,+4.074150E-05
+2.000000E-02,-1.210610E-05,+2.000000E+00,+4.074009E-05
+2.100000E-02,-1.210808E-05,+2.000000E+00,+4.074066E-05
+2.200000E-02,-1.211037E-05,+2.000000E+00,+4.074048E-05
+2.300000E-02,-1.210628E-05,+2.000000E+00,+4.073394E-05
+2.400000E-02,-1.210538E-05,+2.000000E+00,+4.073339E-05
+2.500000E-02,-1.210798E-05,+2.000000E+00,+4.073888E-05
+2.600000E-02,-1.210671E-05,+2.000000E+00,+4.073836E-05
+2.700000E-02,-1.210228E-05,+2.000000E+00,+4.072115E-05
+2.800000E-02,-1.210416E-05,+2.000000E+00,+4.072697E-05
