VDD,IDD,VREF,IREF
+2.000000E+00,+4.087648E-05,+0.000000E+00,-1.209959E-05
+1.999000E+00,+4.085778E-05,+0.000000E+00,-1.210012E-05
+1.998000E+00,+4.083553E-05,+0.000000E+00,-1.209739E-05
+1.997000E+00,+4.082623E-05,+0.000000E+00,-1.209837E-05
+1.996000E+00,+4.081604E-05,+0.000000E+00,-1.209568E-05
+1.995000E+00,+4.080997E-05,+0.000000E+00,-1.209580E-05
+1.994000E+00,+4.079072E-05,+0.000000E+00,-1.209393E-05
+1.993000E+00,+4.078231E-05,+0.000000E+00,-1.209448E-05
+1.992000E+00,+4.078492E-05,+0.000000E+00,-1.208958E-05
+1.991000E+00,+4.076511E-05,+0.000000E+00,-1.209244E-05
+1.990000E+00,+4.077454E-05,+0.000000E+00,-1.209393E-05
+1.989000E+00,+4.076981E-05,+0.000000E+00,-1.209687E-05
+1.988000E+00,+4.077039E-05,+0.000000E+00,-1.209698E-05
+1.987000E+00,+4.076857E-05,+0.000000E+00,-1.209721E-05
+1.986000E+00,+4.076235E-05,+0.000000E+00,-1.209674E-05
+1.985000E+00,+4.074136E-05,+0.000000E+00,-1.209734E-05
+1.984000E+00,+4.074753E-05,+0.000000E+00,-1.209274E-05
+1.983000E+00,+4.073848E-05,+0.000000E+00,-1.209813E-05
+1.982000E+00,+4.074507E-05,+0.000000E+00,-1.210125E-05
+1.981000E+00,+4.074256E-05,+0.000000E+00,-1.209892E-05
+1.980000E+00,+4.074219E-05,+0.000000E+00,-1.210115E-05
+1.979000E+00,+4.074364E-05,+0.000000E+00,-1.210241E-05
+1.978000E+00,+4.073157E-05,+0.000000E+00,-1.209692E-05
+1.977000E+00,+4.072601E-05,+0.000000E+00,-1.210134E-05
+1.976000E+00,+4.076099E-05,+0.000000E+00,-1.209677E-05
+1.975000E+00,+4.075568E-05,+0.000000E+00,-1.211347E-05
+1.974000E+00,+4.075110E-05,+0.000000E+00,-1.210673E-05
+1.973000E+00,+4.072950E-05,+0.000000E+00,-1.210850E-05
+1.972000E+00,+4.072511E-05,+0.000000E+00,-1.209982E-05
+1.971000E+00,+4.072593E-05,+0.000000E+00,-1.209737E-05
+1.970000E+00,+4.071961E-05,+0.000000E+00,-1.209908E-05
+1.969000E+00,+4.072952E-05,+0.000000E+00,-1.209727E-05
+1.968000E+00,+4.073111E-05,+0.000000E+00,-1.209753E-05
+1.967000E+00,+4.072425E-05,+0.000000E+00,-1.210066E-05
+1.966000E+00,+4.072107E-05,+0.000000E+00,-1.209126E-05
+1.965000E+00,+4.072261E-05,+0.000000E+00,-1.209512E-05
+1.964000E+00,+4.071332E-05,+0.000000E+00,-1.209052E-05
+1.963000E+00,+4.072424E-05,+0.000000E+00,-1.209418E-05
+1.962000E+00,+4.072150E-05,+0.000000E+00,-1.209355E-05
+1.961000E+00,+4.071741E-05,+0.000000E+00,-1.209144E-05
+1.960000E+00,+4.074163E-05,+0.000000E+00,-1.210162E-05
+1.959000E+00,+4.071209E-05,+0.000000E+00,-1.210872E-05
+1.958000E+00,+4.071370E-05,+0.000000E+00,-1.208876E-05
+1.957000E+00,+4.071273E-05,+0.000000E+00,-1.209263E-05
+1.956000E+00,+4.071804E-05,+0.000000E+00,-1.209203E-05
+1.955000E+00,+4.070951E-05,+0.000000E+00,-1.209369E-05
+1.954000E+00,+4.070426E-05,+0.000000E+00,-1.209012E-05
+1.953000E+00,+4.070037E-05,+0.000000E+00,-1.209166E-05
+1.952000E+00,+4.070391E-05,+0.000000E+00,-1.209192E-05
+1.951000E+00,+4.071509E-05,+0.000000E+00,-1.209418E-05
+1.950000E+00,+4.070040E-05,+0.000000E+00,-1.209250E-05
+1.949000E+00,+4.070924E-05,+0.000000E+00,-1.209230E-05
+1.948000E+00,+4.070676E-05,+0.000000E+00,-1.209283E-05
+1.947000E+00,+4.069573E-05,+0.000000E+00,-1.208916E-05
+1.946000E+00,+4.069160E-05,+0.000000E+00,-1.208724E-05
+1.945000E+00,+4.069214E-05,+0.000000E+00,-1.208994E-05
+1.944000E+00,+4.070106E-05,+0.000000E+00,-1.208948E-05
+1.943000E+00,+4.069312E-05,+0.000000E+00,-1.208647E-05
+1.942000E+00,+4.069353E-05,+0.000000E+00,-1.208584E-05
+1.941000E+00,+4.069457E-05,+0.000000E+00,-1.208681E-05
+1.940000E+00,+4.070526E-05,+0.000000E+00,-1.208638E-05
+1.939000E+00,+4.069648E-05,+0.000000E+00,-1.208747E-05
+1.938000E+00,+4.069498E-05,+0.000000E+00,-1.208614E-05
+1.937000E+00,+4.069649E-05,+0.000000E+00,-1.208672E-05
+1.936000E+00,+4.068088E-05,+0.000000E+00,-1.208640E-05
+1.935000E+00,+4.068120E-05,+0.000000E+00,-1.208740E-05
+1.934000E+00,+4.069498E-05,+0.000000E+00,-1.208406E-05
+1.933000E+00,+4.069574E-05,+0.000000E+00,-1.208795E-05
+1.932000E+00,+4.069172E-05,+0.000000E+00,-1.209318E-05
+1.931000E+00,+4.069437E-05,+0.000000E+00,-1.209479E-05
+1.930000E+00,+4.069021E-05,+0.000000E+00,-1.209605E-05
+1.929000E+00,+4.069003E-05,+0.000000E+00,-1.209496E-05
+1.928000E+00,+4.069783E-05,+0.000000E+00,-1.209765E-05
+1.927000E+00,+4.069992E-05,+0.000000E+00,-1.210211E-05
+1.926000E+00,+4.069987E-05,+0.000000E+00,-1.209277E-05
+1.925000E+00,+4.068765E-05,+0.000000E+00,-1.209807E-05
+1.924000E+00,+4.068921E-05,+0.000000E+00,-1.208899E-05
