VREF,IREF,VDD,IDD
+0.000000E+00,-1.213618E-05,+2.300000E+00,+4.063455E-05
+1.000000E-03,-1.212946E-05,+2.300000E+00,+4.076921E-05
+2.000000E-03,-1.213341E-05,+2.300000E+00,+4.076813E-05
+3.000000E-03,-1.213115E-05,+2.300000E+00,+4.083868E-05
+4.000000E-03,-1.212835E-05,+2.300000E+00,+4.095548E-05
+5.000000E-03,-1.212925E-05,+2.300000E+00,+4.084957E-05
+6.000000E-03,-1.212676E-05,+2.300000E+00,+4.091502E-05
+7.000000E-03,-1.212659E-05,+2.300000E+00,+4.091425E-05
+8.000000E-03,-1.212065E-05,+2.300000E+00,+4.094218E-05
+9.000000E-03,-1.212270E-05,+2.300000E+00,+4.085452E-05
+1.000000E-02,-1.212297E-05,+2.300000E+00,+4.084678E-05
+1.100000E-02,-1.212326E-05,+2.300000E+00,+4.096317E-05
+1.200000E-02,-1.212206E-05,+2.300000E+00,+4.094885E-05
+1.300000E-02,-1.212411E-05,+2.300000E+00,+4.086876E-05
+1.400000E-02,-1.212166E-05,+2.300000E+00,+4.082545E-05
+1.500000E-02,-1.212078E-05,+2.300000E+00,+4.085125E-05
+1.600000E-02,-1.212010E-05,+2.300000E+00,+4.097581E-05
+1.700000E-02,-1.212349E-05,+2.300000E+00,+4.086024E-05
+1.800000E-02,-1.212399E-05,+2.300000E+00,+4.068369E-05
+1.900000E-02,-1.212382E-05,+2.300000E+00,+4.072513E-05
+2.000000E-02,-1.212852E-05,+2.300000E+00,+4.086042E-05
+2.100000E-02,-1.212631E-05,+2.300000E+00,+4.090138E-05
+2.200000E-02,-1.213011E-05,+2.300000E+00,+4.086022E-05
+2.300000E-02,-1.212105E-05,+2.300000E+00,+4.074619E-05
+2.400000E-02,-1.212107E-05,+2.300000E+00,+4.070629E-05
+2.500000E-02,-1.212062E-05,+2.300000E+00,+4.080647E-05
+2.600000E-02,-1.212250E-05,+2.300000E+00,+4.081959E-05
+2.700000E-02,-1.212387E-05,+2.300000E+00,+4.075867E-05
+2.800000E-02,-1.211997E-05,+2.300000E+00,+4.082944E-05
+2.900000E-02,-1.212115E-05,+2.300000E+00,+4.079971E-05
+3.000000E-02,-1.213099E-05,+2.300000E+00,+4.083314E-05
+3.100000E-02,-1.212549E-05,+2.300000E+00,+4.085040E-05
+3.200000E-02,-1.212009E-05,+2.300000E+00,+4.076546E-05
+3.300000E-02,-1.212058E-05,+2.300000E+00,+4.080814E-05
+3.400000E-02,-1.212288E-05,+2.300000E+00,+4.083362E-05
+3.500000E-02,-1.212034E-05,+2.300000E+00,+4.085437E-05
+3.600000E-02,-1.211890E-05,+2.300000E+00,+4.078539E-05
+3.700000E-02,-1.211901E-05,+2.300000E+00,+4.085057E-05
+3.800000E-02,-1.211677E-05,+2.300000E+00,+4.087174E-05
+3.900000E-02,-1.211933E-05,+2.300000E+00,+4.088546E-05
+4.000000E-02,-1.211999E-05,+2.300000E+00,+4.090818E-05
+4.100000E-02,-1.211998E-05,+2.300000E+00,+4.082165E-05
+4.200000E-02,-1.212945E-05,+2.300000E+00,+4.079340E-05
+4.300000E-02,-1.212467E-05,+2.300000E+00,+4.081072E-05
+4.400000E-02,-1.212055E-05,+2.300000E+00,+4.083107E-05
+4.500000E-02,-1.212057E-05,+2.300000E+00,+4.072913E-05
+4.600000E-02,-1.211811E-05,+2.300000E+00,+4.076152E-05
+4.700000E-02,-1.212401E-05,+2.300000E+00,+4.074023E-05
+4.800000E-02,-1.212035E-05,+2.300000E+00,+4.070838E-05
+4.900000E-02,-1.212296E-05,+2.300000E+00,+4.075190E-05
+5.000000E-02,-1.212601E-05,+2.300000E+00,+4.074697E-05
+5.100000E-02,-1.212173E-05,+2.300000E+00,+4.069149E-05
+5.200000E-02,-1.212007E-05,+2.300000E+00,+4.085459E-05
+5.300000E-02,-1.213709E-05,+2.300000E+00,+4.083325E-05
+5.400000E-02,-1.213185E-05,+2.300000E+00,+4.067132E-05
+5.500000E-02,-1.213007E-05,+2.300000E+00,+4.082745E-05
+5.600000E-02,-1.212807E-05,+2.300000E+00,+4.072635E-05
+5.700000E-02,-1.212180E-05,+2.300000E+00,+4.072452E-05
+5.800000E-02,-1.211682E-05,+2.300000E+00,+4.073857E-05
+5.900000E-02,-1.212015E-05,+2.300000E+00,+4.070061E-05
+6.000000E-02,-1.211998E-05,+2.300000E+00,+4.068800E-05
+6.100000E-02,-1.211958E-05,+2.300000E+00,+4.077205E-05
+6.200000E-02,-1.212048E-05,+2.300000E+00,+4.070930E-05
+6.300000E-02,-1.211808E-05,+2.300000E+00,+4.069613E-05
+6.400000E-02,-1.212447E-05,+2.300000E+00,+4.068248E-05
+6.500000E-02,-1.212206E-05,+2.300000E+00,+4.079754E-05
+6.600000E-02,-1.212013E-05,+2.300000E+00,+4.076335E-05
+6.700000E-02,-1.212149E-05,+2.300000E+00,+4.084979E-05
+6.800000E-02,-1.211997E-05,+2.300000E+00,+4.070446E-05
+6.900000E-02,-1.213588E-05,+2.300000E+00,+4.087667E-05
+7.000000E-02,-1.212372E-05,+2.300000E+00,+4.090018E-05
+7.100000E-02,-1.212533E-05,+2.300000E+00,+4.082014E-05
+7.200000E-02,-1.212126E-05,+2.300000E+00,+4.079422E-05
+7.300000E-02,-1.212768E-05,+2.300000E+00,+4.068193E-05
+7.400000E-02,-1.211888E-05,+2.300000E+00,+4.074172E-05
+7.500000E-02,-1.212198E-05,+2.300000E+00,+4.085521E-05
+7.600000E-02,-1.212162E-05,+2.300000E+00,+4.088365E-05
+7.700000E-02,-1.213476E-05,+2.300000E+00,+4.084777E-05
+7.800000E-02,-1.212815E-05,+2.300000E+00,+4.082308E-05
+7.900000E-02,-1.213149E-05,+2.300000E+00,+4.088742E-05
+8.000000E-02,-1.211918E-05,+2.300000E+00,+4.084445E-05
+8.100000E-02,-1.212298E-05,+2.300000E+00,+4.086989E-05
+8.200000E-02,-1.212063E-05,+2.300000E+00,+4.075785E-05
+8.300000E-02,-1.211891E-05,+2.300000E+00,+4.082275E-05
+8.400000E-02,-1.212117E-05,+2.300000E+00,+4.077834E-05
+8.500000E-02,-1.212455E-05,+2.300000E+00,+4.078159E-05
+8.600000E-02,-1.212026E-05,+2.300000E+00,+4.076228E-05
+8.700000E-02,-1.212125E-05,+2.300000E+00,+4.080341E-05
+8.800000E-02,-1.212131E-05,+2.300000E+00,+4.078042E-05
+8.900000E-02,-1.211960E-05,+2.300000E+00,+4.072982E-05
+9.000000E-02,-1.211511E-05,+2.300000E+00,+4.071105E-05
+9.100000E-02,-1.212113E-05,+2.300000E+00,+4.072263E-05
+9.200000E-02,-1.211946E-05,+2.300000E+00,+4.071181E-05
+9.300000E-02,-1.212171E-05,+2.300000E+00,+4.076805E-05
+9.400000E-02,-1.211807E-05,+2.300000E+00,+4.083640E-05
+9.500000E-02,-1.211789E-05,+2.300000E+00,+4.075811E-05
+9.600000E-02,-1.212015E-05,+2.300000E+00,+4.074540E-05
+9.700000E-02,-1.212921E-05,+2.300000E+00,+4.077899E-05
+9.800000E-02,-1.212764E-05,+2.300000E+00,+4.084939E-05
+9.900000E-02,-1.211974E-05,+2.300000E+00,+4.087440E-05
+1.000000E-01,-1.212056E-05,+2.300000E+00,+4.075562E-05
+1.010000E-01,-1.211675E-05,+2.300000E+00,+4.076008E-05
+1.020000E-01,-1.211831E-05,+2.300000E+00,+4.084303E-05
+1.030000E-01,-1.212075E-05,+2.300000E+00,+4.082559E-05
+1.040000E-01,-1.212122E-05,+2.300000E+00,+4.087243E-05
+1.050000E-01,-1.211918E-05,+2.300000E+00,+4.086127E-05
+1.060000E-01,-1.211696E-05,+2.300000E+00,+4.076814E-05
+1.070000E-01,-1.211701E-05,+2.300000E+00,+4.084469E-05
+1.080000E-01,-1.212035E-05,+2.300000E+00,+4.085377E-05
+1.090000E-01,-1.212425E-05,+2.300000E+00,+4.081789E-05
+1.100000E-01,-1.211972E-05,+2.300000E+00,+4.085699E-05
+1.110000E-01,-1.212165E-05,+2.300000E+00,+4.089202E-05
+1.120000E-01,-1.212021E-05,+2.300000E+00,+4.079366E-05
+1.130000E-01,-1.211683E-05,+2.300000E+00,+4.077041E-05
+1.140000E-01,-1.211921E-05,+2.300000E+00,+4.072905E-05
+1.150000E-01,-1.211663E-05,+2.300000E+00,+4.074555E-05
+1.160000E-01,-1.211834E-05,+2.300000E+00,+4.085189E-05
+1.170000E-01,-1.211835E-05,+2.300000E+00,+4.080942E-05
+1.180000E-01,-1.211629E-05,+2.300000E+00,+4.083100E-05
+1.190000E-01,-1.211957E-05,+2.300000E+00,+4.085586E-05
+1.200000E-01,-1.211749E-05,+2.300000E+00,+4.095097E-05
+1.210000E-01,-1.211424E-05,+2.300000E+00,+4.085364E-05
+1.220000E-01,-1.211097E-05,+2.300000E+00,+4.075048E-05
+1.230000E-01,-1.211428E-05,+2.300000E+00,+4.081370E-05
+1.240000E-01,-1.212164E-05,+2.300000E+00,+4.075391E-05
+1.250000E-01,-1.212003E-05,+2.300000E+00,+4.074489E-05
+1.260000E-01,-1.211290E-05,+2.300000E+00,+4.070345E-05
+1.270000E-01,-1.211423E-05,+2.300000E+00,+4.066570E-05
+1.280000E-01,-1.211319E-05,+2.300000E+00,+4.063385E-05
+1.290000E-01,-1.211487E-05,+2.300000E+00,+4.072700E-05
+1.300000E-01,-1.211933E-05,+2.300000E+00,+4.071352E-05
+1.310000E-01,-1.211701E-05,+2.300000E+00,+4.058054E-05
+1.320000E-01,-1.211688E-05,+2.300000E+00,+4.060357E-05
+1.330000E-01,-1.211861E-05,+2.300000E+00,+4.049851E-05
+1.340000E-01,-1.212151E-05,+2.300000E+00,+4.072702E-05
+1.350000E-01,-1.211741E-05,+2.300000E+00,+4.068595E-05
+1.360000E-01,-1.211228E-05,+2.300000E+00,+4.054210E-05
+1.370000E-01,-1.211578E-05,+2.300000E+00,+4.070119E-05
+1.380000E-01,-1.211761E-05,+2.300000E+00,+4.078406E-05
+1.390000E-01,-1.211388E-05,+2.300000E+00,+4.073437E-05
+1.400000E-01,-1.211541E-05,+2.300000E+00,+4.073805E-05
+1.410000E-01,-1.211374E-05,+2.300000E+00,+4.071357E-05
+1.420000E-01,-1.211638E-05,+2.300000E+00,+4.082056E-05
+1.430000E-01,-1.211493E-05,+2.300000E+00,+4.079364E-05
+1.440000E-01,-1.211675E-05,+2.300000E+00,+4.084915E-05
+1.450000E-01,-1.211228E-05,+2.300000E+00,+4.080573E-05
+1.460000E-01,-1.211615E-05,+2.300000E+00,+4.073506E-05
+1.470000E-01,-1.211791E-05,+2.300000E+00,+4.081316E-05
+1.480000E-01,-1.211882E-05,+2.300000E+00,+4.083337E-05
+1.490000E-01,-1.212539E-05,+2.300000E+00,+4.076659E-05
+1.500000E-01,-1.212927E-05,+2.300000E+00,+4.071563E-05
+1.510000E-01,-1.212988E-05,+2.300000E+00,+4.064814E-05
+1.520000E-01,-1.211702E-05,+2.300000E+00,+4.074541E-05
+1.530000E-01,-1.212084E-05,+2.300000E+00,+4.067460E-05
+1.540000E-01,-1.212243E-05,+2.300000E+00,+4.069904E-05
+1.550000E-01,-1.211987E-05,+2.300000E+00,+4.062643E-05
+1.560000E-01,-1.212606E-05,+2.300000E+00,+4.071006E-05
+1.570000E-01,-1.213386E-05,+2.300000E+00,+4.076998E-05
+1.580000E-01,-1.212341E-05,+2.300000E+00,+4.071449E-05
+1.590000E-01,-1.211637E-05,+2.300000E+00,+4.074510E-05
+1.600000E-01,-1.211735E-05,+2.300000E+00,+4.081072E-05
+1.610000E-01,-1.213033E-05,+2.300000E+00,+4.092992E-05
+1.620000E-01,-1.212866E-05,+2.300000E+00,+4.088324E-05
+1.630000E-01,-1.211802E-05,+2.300000E+00,+4.083718E-05
+1.640000E-01,-1.211864E-05,+2.300000E+00,+4.080833E-05
+1.650000E-01,-1.211858E-05,+2.300000E+00,+4.087847E-05
+1.660000E-01,-1.211924E-05,+2.300000E+00,+4.089976E-05
+1.670000E-01,-1.211758E-05,+2.300000E+00,+4.077390E-05
+1.680000E-01,-1.212056E-05,+2.300000E+00,+4.072205E-05
+1.690000E-01,-1.211814E-05,+2.300000E+00,+4.072831E-05
+1.700000E-01,-1.211705E-05,+2.300000E+00,+4.078314E-05
+1.710000E-01,-1.211766E-05,+2.300000E+00,+4.079978E-05
+1.720000E-01,-1.212020E-05,+2.300000E+00,+4.078499E-05
+1.730000E-01,-1.211667E-05,+2.300000E+00,+4.070176E-05
+1.740000E-01,-1.211741E-05,+2.300000E+00,+4.069399E-05
+1.750000E-01,-1.211972E-05,+2.300000E+00,+4.081981E-05
+1.760000E-01,-1.211601E-05,+2.300000E+00,+4.072281E-05
+1.770000E-01,-1.211976E-05,+2.300000E+00,+4.073051E-05
+1.780000E-01,-1.212344E-05,+2.300000E+00,+4.076712E-05
+1.790000E-01,-1.211834E-05,+2.300000E+00,+4.075696E-05
+1.800000E-01,-1.211918E-05,+2.300000E+00,+4.069029E-05
+1.810000E-01,-1.211645E-05,+2.300000E+00,+4.063750E-05
+1.820000E-01,-1.211321E-05,+2.300000E+00,+4.069601E-05
+1.830000E-01,-1.211737E-05,+2.300000E+00,+4.071929E-05
+1.840000E-01,-1.211799E-05,+2.300000E+00,+4.088604E-05
+1.850000E-01,-1.211826E-05,+2.300000E+00,+4.090946E-05
+1.860000E-01,-1.211805E-05,+2.300000E+00,+4.083537E-05
+1.870000E-01,-1.211844E-05,+2.300000E+00,+4.078927E-05
+1.880000E-01,-1.212032E-05,+2.300000E+00,+4.083675E-05
+1.890000E-01,-1.211885E-05,+2.300000E+00,+4.074710E-05
+1.900000E-01,-1.212040E-05,+2.300000E+00,+4.071233E-05
+1.910000E-01,-1.211949E-05,+2.300000E+00,+4.074338E-05
+1.920000E-01,-1.211615E-05,+2.300000E+00,+4.072551E-05
+1.930000E-01,-1.211684E-05,+2.300000E+00,+4.075489E-05
+1.940000E-01,-1.211678E-05,+2.300000E+00,+4.072705E-05
+1.950000E-01,-1.212006E-05,+2.300000E+00,+4.074952E-05
+1.960000E-01,-1.212746E-05,+2.300000E+00,+4.089178E-05
+1.970000E-01,-1.212137E-05,+2.300000E+00,+4.077682E-05
+1.980000E-01,-1.211929E-05,+2.300000E+00,+4.080236E-05
+1.990000E-01,-1.212359E-05,+2.300000E+00,+4.072184E-05
+2.000000E-01,-1.213081E-05,+2.300000E+00,+4.061976E-05
+2.010000E-01,-1.213287E-05,+2.300000E+00,+4.078356E-05
+2.020000E-01,-1.213126E-05,+2.300000E+00,+4.073629E-05
+2.030000E-01,-1.213298E-05,+2.300000E+00,+4.068907E-05
+2.040000E-01,-1.213449E-05,+2.300000E+00,+4.077744E-05
+2.050000E-01,-1.213398E-05,+2.300000E+00,+4.076624E-05
+2.060000E-01,-1.213234E-05,+2.300000E+00,+4.080416E-05
+2.070000E-01,-1.213433E-05,+2.300000E+00,+4.083930E-05
+2.080000E-01,-1.213106E-05,+2.300000E+00,+4.078945E-05
+2.090000E-01,-1.213131E-05,+2.300000E+00,+4.068699E-05
+2.100000E-01,-1.213351E-05,+2.300000E+00,+4.077296E-05
+2.110000E-01,-1.214129E-05,+2.300000E+00,+4.076974E-05
+2.120000E-01,-1.214317E-05,+2.300000E+00,+4.084609E-05
+2.130000E-01,-1.214618E-05,+2.300000E+00,+4.080223E-05
+2.140000E-01,-1.214997E-05,+2.300000E+00,+4.078187E-05
+2.150000E-01,-1.214220E-05,+2.300000E+00,+4.079657E-05
+2.160000E-01,-1.213543E-05,+2.300000E+00,+4.086137E-05
+2.170000E-01,-1.213834E-05,+2.300000E+00,+4.080969E-05
