VDD,IDD,VREF,IREF
0.00E+00,-1.00E-04,0.00E+00,-1.21E-05
1.00E-03,1.73E-07,0.00E+00,-1.14E-10
2.00E-03,-4.75E-07,0.00E+00,-1.50E-10
3.00E-03,-2.80E-07,0.00E+00,-4.89E-11
4.00E-03,-2.22E-07,0.00E+00,-1.85E-10
5.00E-03,-1.72E-07,0.00E+00,-6.90E-11
6.00E-03,-1.54E-07,0.00E+00,-1.45E-10
7.00E-03,-1.26E-07,0.00E+00,-3.54E-12
8.00E-03,-9.91E-08,0.00E+00,-1.55E-10
9.00E-03,-8.93E-08,0.00E+00,-5.89E-11
1.00E-02,-9.38E-08,0.00E+00,-1.24E-10
1.10E-02,-8.42E-08,0.00E+00,-8.92E-11
1.20E-02,-7.93E-08,0.00E+00,-1.09E-10
1.30E-02,-5.12E-08,0.00E+00,-5.39E-11
1.40E-02,-5.94E-08,0.00E+00,-9.42E-11
1.50E-02,-4.01E-08,0.00E+00,-1.09E-10
1.60E-02,-4.52E-08,0.00E+00,-6.90E-11
1.70E-02,-3.77E-08,0.00E+00,-1.65E-10
1.80E-02,-4.64E-08,0.00E+00,-8.41E-11
1.90E-02,-2.77E-08,0.00E+00,-1.09E-10
2.00E-02,-1.19E-08,0.00E+00,-1.60E-10
2.10E-02,-3.43E-08,0.00E+00,-3.88E-11
2.20E-02,-3.50E-08,0.00E+00,-1.45E-10
2.30E-02,-4.67E-08,0.00E+00,-1.04E-10
2.40E-02,-4.14E-08,0.00E+00,-1.04E-10
2.50E-02,-2.56E-08,0.00E+00,-8.92E-11
2.60E-02,-3.89E-08,0.00E+00,-1.34E-10
2.70E-02,-1.63E-08,0.00E+00,-5.89E-11
2.80E-02,-1.18E-08,0.00E+00,-1.04E-10
2.90E-02,-8.81E-09,0.00E+00,-1.34E-10
3.00E-02,-1.14E-08,0.00E+00,-5.89E-11
3.10E-02,8.55E-10,0.00E+00,-8.92E-11
3.20E-02,2.57E-09,0.00E+00,-1.04E-10
3.30E-02,-2.12E-08,0.00E+00,-9.42E-11
3.40E-02,-2.96E-08,0.00E+00,-1.09E-10
3.50E-02,-8.42E-09,0.00E+00,-1.04E-10
3.60E-02,-3.19E-09,0.00E+00,-2.05E-10
3.70E-02,-1.72E-08,0.00E+00,-1.09E-10
3.80E-02,-2.96E-08,0.00E+00,-2.37E-11
3.90E-02,6.22E-09,0.00E+00,-8.41E-11
4.00E-02,-2.10E-08,0.00E+00,-9.92E-11
4.10E-02,-1.64E-08,0.00E+00,-9.42E-11
4.20E-02,-1.28E-08,0.00E+00,-6.90E-11
4.30E-02,3.52E-09,0.00E+00,-1.24E-10
4.40E-02,2.30E-08,0.00E+00,-1.34E-10
4.50E-02,-3.66E-09,0.00E+00,-4.89E-11
4.60E-02,9.98E-09,0.00E+00,-1.70E-10
4.70E-02,-1.47E-08,0.00E+00,-1.14E-10
4.80E-02,6.44E-10,0.00E+00,-1.19E-10
4.90E-02,-8.51E-09,0.00E+00,-1.24E-10
5.00E-02,-1.72E-08,0.00E+00,-8.41E-11
5.10E-02,-1.10E-08,0.00E+00,-1.45E-10
5.20E-02,9.75E-09,0.00E+00,-1.09E-10
5.30E-02,-1.34E-09,0.00E+00,-1.14E-10
5.40E-02,-5.62E-09,0.00E+00,-3.88E-11
5.50E-02,1.43E-08,0.00E+00,-8.92E-11
5.60E-02,1.32E-08,0.00E+00,-1.09E-10
5.70E-02,5.90E-09,0.00E+00,-1.19E-10
5.80E-02,-3.72E-09,0.00E+00,-1.04E-10
5.90E-02,9.14E-09,0.00E+00,-1.34E-10
6.00E-02,4.07E-09,0.00E+00,-1.55E-10
6.10E-02,-1.02E-08,0.00E+00,-1.14E-10
6.20E-02,1.07E-08,0.00E+00,-1.09E-10
6.30E-02,-1.01E-08,0.00E+00,-6.90E-11
6.40E-02,-1.05E-08,0.00E+00,-1.55E-10
6.50E-02,-1.19E-08,0.00E+00,-1.40E-10
6.60E-02,-1.82E-08,0.00E+00,-1.34E-10
6.70E-02,-1.39E-09,0.00E+00,-5.39E-11
6.80E-02,-2.10E-08,0.00E+00,-4.89E-11
6.90E-02,9.64E-09,0.00E+00,-5.39E-11
7.00E-02,6.12E-09,0.00E+00,-4.89E-11
7.10E-02,3.42E-09,0.00E+00,-4.38E-11
7.20E-02,1.10E-09,0.00E+00,-8.92E-11
7.30E-02,2.46E-08,0.00E+00,-1.29E-10
7.40E-02,3.55E-09,0.00E+00,-1.14E-10
7.50E-02,1.79E-08,0.00E+00,-7.91E-11
7.60E-02,1.49E-08,0.00E+00,-9.42E-11
7.70E-02,7.15E-09,0.00E+00,-7.91E-11
7.80E-02,9.39E-09,0.00E+00,-3.54E-12
7.90E-02,-3.19E-09,0.00E+00,-6.40E-11
8.00E-02,-1.51E-08,0.00E+00,-8.92E-11
8.10E-02,7.74E-09,0.00E+00,-4.89E-11
8.20E-02,1.10E-09,0.00E+00,-1.24E-10
8.30E-02,6.19E-10,0.00E+00,-3.88E-11
8.40E-02,-2.91E-09,0.00E+00,-7.91E-11
8.50E-02,2.02E-08,0.00E+00,-7.40E-11
8.60E-02,1.26E-08,0.00E+00,-4.89E-11
8.70E-02,1.96E-08,0.00E+00,-5.89E-11
8.80E-02,-2.21E-10,0.00E+00,-1.36E-11
8.90E-02,-1.35E-10,0.00E+00,-1.40E-10
9.00E-02,-6.77E-09,0.00E+00,-1.14E-10
9.10E-02,-1.68E-08,0.00E+00,-1.50E-10
9.20E-02,2.03E-08,0.00E+00,-1.04E-10
9.30E-02,1.08E-09,0.00E+00,-1.14E-10
