VDD,IDD,VREF,IREF
+1.900000E+00,+4.081152E-05,+0.000000E+00,-1.208963E-05
+1.899000E+00,+4.079676E-05,+0.000000E+00,-1.208819E-05
+1.898000E+00,+4.077509E-05,+0.000000E+00,-1.209166E-05
+1.897000E+00,+4.077786E-05,+0.000000E+00,-1.209435E-05
+1.896000E+00,+4.076935E-05,+0.000000E+00,-1.208948E-05
+1.895000E+00,+4.075284E-05,+0.000000E+00,-1.209105E-05
+1.894000E+00,+4.074608E-05,+0.000000E+00,-1.208892E-05
+1.893000E+00,+4.072856E-05,+0.000000E+00,-1.208881E-05
+1.892000E+00,+4.072970E-05,+0.000000E+00,-1.209169E-05
+1.891000E+00,+4.071538E-05,+0.000000E+00,-1.208159E-05
+1.890000E+00,+4.070295E-05,+0.000000E+00,-1.208228E-05
+1.889000E+00,+4.070859E-05,+0.000000E+00,-1.208239E-05
+1.888000E+00,+4.071427E-05,+0.000000E+00,-1.208092E-05
+1.887000E+00,+4.070528E-05,+0.000000E+00,-1.208106E-05
+1.886000E+00,+4.069974E-05,+0.000000E+00,-1.208103E-05
+1.885000E+00,+4.069408E-05,+0.000000E+00,-1.208455E-05
+1.884000E+00,+4.071736E-05,+0.000000E+00,-1.207767E-05
+1.883000E+00,+4.073259E-05,+0.000000E+00,-1.208862E-05
+1.882000E+00,+4.071786E-05,+0.000000E+00,-1.208683E-05
+1.881000E+00,+4.071274E-05,+0.000000E+00,-1.209157E-05
+1.880000E+00,+4.069330E-05,+0.000000E+00,-1.209234E-05
+1.879000E+00,+4.068545E-05,+0.000000E+00,-1.207804E-05
+1.878000E+00,+4.071302E-05,+0.000000E+00,-1.208627E-05
+1.877000E+00,+4.070811E-05,+0.000000E+00,-1.209210E-05
+1.876000E+00,+4.067990E-05,+0.000000E+00,-1.208623E-05
+1.875000E+00,+4.068639E-05,+0.000000E+00,-1.208689E-05
+1.874000E+00,+4.068736E-05,+0.000000E+00,-1.208907E-05
+1.873000E+00,+4.066595E-05,+0.000000E+00,-1.208599E-05
+1.872000E+00,+4.067891E-05,+0.000000E+00,-1.208074E-05
