VDD,IDD,VREF,IREF
+0.000000E+00,-5.046501E-09,+0.000000E+00,-1.445550E-10
+1.000000E-03,-3.563512E-09,+0.000000E+00,-1.395176E-10
+2.000000E-03,-3.156321E-09,+0.000000E+00,-6.901074E-11
+3.000000E-03,-1.406928E-09,+0.000000E+00,-3.375689E-11
+4.000000E-03,+2.624287E-09,+0.000000E+00,-1.495911E-10
+5.000000E-03,+1.593869E-09,+0.000000E+00,-7.404743E-11
+6.000000E-03,-1.704200E-10,+0.000000E+00,-1.697362E-10
+7.000000E-03,-1.809069E-09,+0.000000E+00,-1.042645E-10
+8.000000E-03,-1.251108E-09,+0.000000E+00,-7.404738E-11
+9.000000E-03,-1.708528E-09,+0.000000E+00,-1.596631E-10
+1.000000E-02,-2.638534E-09,+0.000000E+00,-1.596634E-10
+1.100000E-02,-4.674497E-09,+0.000000E+00,-1.798092E-10
+1.200000E-02,-4.322598E-09,+0.000000E+00,-9.922946E-11
+1.300000E-02,-1.442114E-09,+0.000000E+00,-1.294463E-10
+1.400000E-02,-1.296346E-09,+0.000000E+00,-1.697369E-10
+1.500000E-02,-9.545466E-10,+0.000000E+00,-4.382933E-11
+1.600000E-02,-3.413201E-10,+0.000000E+00,-7.908429E-11
+1.700000E-02,+4.881172E-09,+0.000000E+00,-1.445550E-10
+1.800000E-02,+4.981702E-09,+0.000000E+00,-1.445551E-10
+1.900000E-02,+3.373235E-09,+0.000000E+00,-6.901119E-11
+2.000000E-02,-2.508427E-10,+0.000000E+00,-7.908313E-11
+2.100000E-02,-8.999790E-11,+0.000000E+00,-1.949176E-10
+2.200000E-02,+5.885745E-10,+0.000000E+00,-1.294467E-10
+2.300000E-02,-1.341584E-09,+0.000000E+00,-1.244094E-10
+2.400000E-02,-3.261890E-09,+0.000000E+00,-1.445537E-10
+2.500000E-02,-4.614174E-09,+0.000000E+00,-8.915629E-11
+2.600000E-02,-1.326505E-09,+0.000000E+00,-1.647009E-10
+2.700000E-02,-8.037530E-10,+0.000000E+00,-1.294455E-10
+2.800000E-02,+1.277203E-09,+0.000000E+00,-7.404660E-11
+2.900000E-02,+3.036459E-09,+0.000000E+00,-8.915579E-11
+3.000000E-02,+2.257356E-09,+0.000000E+00,-1.949177E-10
+3.100000E-02,+5.841220E-09,+0.000000E+00,-2.100262E-10
+3.200000E-02,+2.317674E-09,+0.000000E+00,-1.697369E-10
+3.300000E-02,+1.634079E-09,+0.000000E+00,-1.747718E-10
+3.400000E-02,-2.508432E-10,+0.000000E+00,-1.395187E-10
+3.500000E-02,+2.467752E-10,+0.000000E+00,-1.647010E-10
+3.600000E-02,+8.398984E-10,+0.000000E+00,-2.301704E-10
+3.700000E-02,-1.718582E-09,+0.000000E+00,-7.908407E-11
+3.800000E-02,-3.654001E-09,+0.000000E+00,-1.445549E-10
+3.900000E-02,-2.271559E-09,+0.000000E+00,-1.344818E-10
+4.000000E-02,+3.623868E-10,+0.000000E+00,-1.244100E-10
+4.100000E-02,-1.603678E-10,+0.000000E+00,-6.900991E-11
+4.200000E-02,+1.814319E-10,+0.000000E+00,-1.294465E-10
+4.300000E-02,+2.463444E-09,+0.000000E+00,-1.495918E-10
+4.400000E-02,+4.192552E-09,+0.000000E+00,-1.143372E-10
+4.500000E-02,+4.745450E-09,+0.000000E+00,-1.093009E-10
+4.600000E-02,+3.770318E-09,+0.000000E+00,-1.898807E-10
+4.700000E-02,+1.302331E-09,+0.000000E+00,-1.898809E-10
+4.800000E-02,+1.669262E-09,+0.000000E+00,-9.419265E-11
+4.900000E-02,+2.101540E-09,+0.000000E+00,-1.999534E-10
+5.000000E-02,-2.824535E-09,+0.000000E+00,-1.646999E-10
+5.100000E-02,-4.468389E-09,+0.000000E+00,-1.445550E-10
+5.200000E-02,-2.155936E-09,+0.000000E+00,-1.143372E-10
+5.300000E-02,-2.465217E-11,+0.000000E+00,-1.294452E-10
+5.400000E-02,+3.031431E-09,+0.000000E+00,-2.049904E-10
+5.500000E-02,+1.583814E-09,+0.000000E+00,-1.546274E-10
+5.600000E-02,+1.176673E-09,+0.000000E+00,-9.419115E-11
+5.700000E-02,+4.886203E-09,+0.000000E+00,-2.872080E-11
+5.800000E-02,+4.770583E-09,+0.000000E+00,-1.193741E-10
+5.900000E-02,+4.097042E-09,+0.000000E+00,-1.344827E-10
+6.000000E-02,+2.925876E-09,+0.000000E+00,-1.646998E-10
+6.100000E-02,+2.493603E-09,+0.000000E+00,-1.193733E-10
+6.200000E-02,+2.001010E-09,+0.000000E+00,-1.798087E-10
+6.300000E-02,+5.734948E-10,+0.000000E+00,-1.747720E-10
+6.400000E-02,-3.075890E-09,+0.000000E+00,-1.143373E-10
+6.500000E-02,-3.095997E-09,+0.000000E+00,-1.294461E-10
+6.600000E-02,-5.976699E-10,+0.000000E+00,-9.419271E-11
+6.700000E-02,+1.719529E-09,+0.000000E+00,-4.886624E-11
+6.800000E-02,+2.111596E-09,+0.000000E+00,-1.596638E-10
+6.900000E-02,+2.065678E-10,+0.000000E+00,-8.915635E-11
+7.000000E-02,+2.689636E-09,+0.000000E+00,-6.397449E-11
+7.100000E-02,+5.599956E-09,+0.000000E+00,-7.908424E-11
+7.200000E-02,+7.324021E-09,+0.000000E+00,-8.915690E-11
+7.300000E-02,+3.317946E-09,+0.000000E+00,-1.445550E-10
+7.400000E-02,+3.221750E-10,+0.000000E+00,-1.848459E-10
+7.500000E-02,+2.156830E-09,+0.000000E+00,-1.042653E-10
+7.600000E-02,+1.302334E-09,+0.000000E+00,-1.244086E-10
