VREF,IREF,VDD,IDD
+0.000000E+00,-1.210610E-05,+2.100000E+00,+4.087805E-05
+1.000000E-03,-1.210505E-05,+2.100000E+00,+4.083677E-05
+2.000000E-03,-1.210516E-05,+2.100000E+00,+4.082046E-05
+3.000000E-03,-1.210915E-05,+2.100000E+00,+4.081399E-05
+4.000000E-03,-1.210877E-05,+2.100000E+00,+4.079898E-05
+5.000000E-03,-1.211268E-05,+2.100000E+00,+4.079861E-05
+6.000000E-03,-1.211098E-05,+2.100000E+00,+4.078455E-05
+7.000000E-03,-1.210968E-05,+2.100000E+00,+4.077604E-05
+8.000000E-03,-1.211094E-05,+2.100000E+00,+4.076913E-05
+9.000000E-03,-1.211230E-05,+2.100000E+00,+4.077686E-05
+1.000000E-02,-1.211498E-05,+2.100000E+00,+4.077307E-05
+1.100000E-02,-1.211998E-05,+2.100000E+00,+4.079121E-05
+1.200000E-02,-1.211501E-05,+2.100000E+00,+4.076863E-05
+1.300000E-02,-1.211435E-05,+2.100000E+00,+4.077187E-05
+1.400000E-02,-1.211022E-05,+2.100000E+00,+4.075743E-05
+1.500000E-02,-1.211032E-05,+2.100000E+00,+4.074655E-05
+1.600000E-02,-1.210944E-05,+2.100000E+00,+4.074581E-05
+1.700000E-02,-1.211546E-05,+2.100000E+00,+4.075858E-05
+1.800000E-02,-1.211511E-05,+2.100000E+00,+4.075079E-05
+1.900000E-02,-1.211860E-05,+2.100000E+00,+4.075722E-05
+2.000000E-02,-1.211362E-05,+2.100000E+00,+4.074472E-05
+2.100000E-02,-1.211227E-05,+2.100000E+00,+4.074104E-05
+2.200000E-02,-1.211134E-05,+2.100000E+00,+4.074234E-05
+2.300000E-02,-1.211018E-05,+2.100000E+00,+4.074403E-05
+2.400000E-02,-1.211139E-05,+2.100000E+00,+4.073501E-05
+2.500000E-02,-1.211024E-05,+2.100000E+00,+4.073818E-05
+2.600000E-02,-1.211132E-05,+2.100000E+00,+4.073814E-05
+2.700000E-02,-1.211262E-05,+2.100000E+00,+4.074794E-05
+2.800000E-02,-1.211304E-05,+2.100000E+00,+4.074055E-05
+2.900000E-02,-1.211080E-05,+2.100000E+00,+4.073437E-05
+3.000000E-02,-1.210933E-05,+2.100000E+00,+4.073797E-05
+3.100000E-02,-1.210657E-05,+2.100000E+00,+4.071905E-05
+3.200000E-02,-1.210776E-05,+2.100000E+00,+4.073184E-05
+3.300000E-02,-1.210782E-05,+2.100000E+00,+4.072361E-05
+3.400000E-02,-1.210716E-05,+2.100000E+00,+4.071879E-05
+3.500000E-02,-1.211008E-05,+2.100000E+00,+4.073829E-05
+3.600000E-02,-1.210770E-05,+2.100000E+00,+4.072132E-05
+3.700000E-02,-1.211735E-05,+2.100000E+00,+4.075461E-05
+3.800000E-02,-1.211024E-05,+2.100000E+00,+4.072579E-05
+3.900000E-02,-1.210777E-05,+2.100000E+00,+4.073259E-05
