VREF,IREF,VDD,IDD
+1.800000E+00,+2.467848E-08,+1.800000E+00,+4.701365E-05
+1.799000E+00,-6.094348E-08,+1.800000E+00,+4.710858E-05
+1.798000E+00,-1.431942E-07,+1.800000E+00,+4.716939E-05
+1.797000E+00,-2.277316E-07,+1.800000E+00,+4.726882E-05
+1.796000E+00,-3.094936E-07,+1.800000E+00,+4.735528E-05
+1.795000E+00,-3.939354E-07,+1.800000E+00,+4.744597E-05
+1.794000E+00,-4.754961E-07,+1.800000E+00,+4.752789E-05
+1.793000E+00,-5.594741E-07,+1.800000E+00,+4.759222E-05
+1.792000E+00,-6.396099E-07,+1.800000E+00,+4.769045E-05
+1.791000E+00,-7.235122E-07,+1.800000E+00,+4.777302E-05
+1.790000E+00,-8.042364E-07,+1.800000E+00,+4.785729E-05
+1.789000E+00,-8.877373E-07,+1.800000E+00,+4.792661E-05
+1.788000E+00,-9.674894E-07,+1.800000E+00,+4.801092E-05
+1.787000E+00,-1.050425E-06,+1.800000E+00,+4.808352E-05
+1.786000E+00,-1.130757E-06,+1.800000E+00,+4.818215E-05
+1.785000E+00,-1.212902E-06,+1.800000E+00,+4.824764E-05
+1.784000E+00,-1.291554E-06,+1.800000E+00,+4.832209E-05
+1.783000E+00,-1.374436E-06,+1.800000E+00,+4.844035E-05
+1.782000E+00,-1.453529E-06,+1.800000E+00,+4.850420E-05
+1.781000E+00,-1.534833E-06,+1.800000E+00,+4.857852E-05
+1.780000E+00,-1.613751E-06,+1.800000E+00,+4.867093E-05
+1.779000E+00,-1.694142E-06,+1.800000E+00,+4.873865E-05
+1.778000E+00,-1.773194E-06,+1.800000E+00,+4.881813E-05
+1.777000E+00,-1.853789E-06,+1.800000E+00,+4.890679E-05
+1.776000E+00,-1.932058E-06,+1.800000E+00,+4.897782E-05
+1.775000E+00,-2.012773E-06,+1.800000E+00,+4.907327E-05
+1.774000E+00,-2.090139E-06,+1.800000E+00,+4.914837E-05
+1.773000E+00,-2.169836E-06,+1.800000E+00,+4.920820E-05
+1.772000E+00,-2.247552E-06,+1.800000E+00,+4.930769E-05
+1.771000E+00,-2.326736E-06,+1.800000E+00,+4.937976E-05
+1.770000E+00,-2.404731E-06,+1.800000E+00,+4.947195E-05
+1.769000E+00,-2.484097E-06,+1.800000E+00,+4.953629E-05
+1.768000E+00,-2.559874E-06,+1.800000E+00,+4.960108E-05
+1.767000E+00,-2.639099E-06,+1.800000E+00,+4.968040E-05
+1.766000E+00,-2.715697E-06,+1.800000E+00,+4.978088E-05
+1.765000E+00,-2.794178E-06,+1.800000E+00,+4.985657E-05
+1.764000E+00,-2.869140E-06,+1.800000E+00,+4.992078E-05
+1.763000E+00,-2.947200E-06,+1.800000E+00,+4.999299E-05
+1.762000E+00,-3.023527E-06,+1.800000E+00,+5.008743E-05
+1.761000E+00,-3.101849E-06,+1.800000E+00,+5.015990E-05
+1.760000E+00,-3.176675E-06,+1.800000E+00,+5.024163E-05
+1.759000E+00,-3.253554E-06,+1.800000E+00,+5.030176E-05
+1.758000E+00,-3.328101E-06,+1.800000E+00,+5.037584E-05
+1.757000E+00,-3.405315E-06,+1.800000E+00,+5.047069E-05
+1.756000E+00,-3.480242E-06,+1.800000E+00,+5.055151E-05
+1.755000E+00,-3.555098E-06,+1.800000E+00,+5.059793E-05
+1.754000E+00,-3.629763E-06,+1.800000E+00,+5.066945E-05
+1.753000E+00,-3.706425E-06,+1.800000E+00,+5.077786E-05
+1.752000E+00,-3.778699E-06,+1.800000E+00,+5.082056E-05
+1.751000E+00,-3.856941E-06,+1.800000E+00,+5.093213E-05
+1.750000E+00,-3.928313E-06,+1.800000E+00,+5.096823E-05
+1.749000E+00,-4.004752E-06,+1.800000E+00,+5.105618E-05
+1.748000E+00,-4.077172E-06,+1.800000E+00,+5.112661E-05
+1.747000E+00,-4.152274E-06,+1.800000E+00,+5.119859E-05
+1.746000E+00,-4.224052E-06,+1.800000E+00,+5.125568E-05
+1.745000E+00,-4.299559E-06,+1.800000E+00,+5.135285E-05
+1.744000E+00,-4.369990E-06,+1.800000E+00,+5.140100E-05
+1.743000E+00,-4.445645E-06,+1.800000E+00,+5.149612E-05
+1.742000E+00,-4.517359E-06,+1.800000E+00,+5.156906E-05
+1.741000E+00,-4.591477E-06,+1.800000E+00,+5.164224E-05
+1.740000E+00,-4.661458E-06,+1.800000E+00,+5.169760E-05
+1.739000E+00,-4.734849E-06,+1.800000E+00,+5.178036E-05
+1.738000E+00,-4.808086E-06,+1.800000E+00,+5.186703E-05
+1.737000E+00,-4.881327E-06,+1.800000E+00,+5.194604E-05
+1.736000E+00,-4.950467E-06,+1.800000E+00,+5.199504E-05
+1.735000E+00,-5.021209E-06,+1.800000E+00,+5.203630E-05
+1.734000E+00,-5.093960E-06,+1.800000E+00,+5.213010E-05
+1.733000E+00,-5.165035E-06,+1.800000E+00,+5.219642E-05
+1.732000E+00,-5.233599E-06,+1.800000E+00,+5.225372E-05
+1.731000E+00,-5.308321E-06,+1.800000E+00,+5.235149E-05
+1.730000E+00,-5.378651E-06,+1.800000E+00,+5.243325E-05
+1.729000E+00,-5.449166E-06,+1.800000E+00,+5.249082E-05
+1.728000E+00,-5.520426E-06,+1.800000E+00,+5.257842E-05
+1.727000E+00,-5.589505E-06,+1.800000E+00,+5.265068E-05
+1.726000E+00,-5.656122E-06,+1.800000E+00,+5.268893E-05
+1.725000E+00,-5.728707E-06,+1.800000E+00,+5.277606E-05
+1.724000E+00,-5.797422E-06,+1.800000E+00,+5.283823E-05
+1.723000E+00,-5.867010E-06,+1.800000E+00,+5.290629E-05
+1.722000E+00,-5.935113E-06,+1.800000E+00,+5.297471E-05
+1.721000E+00,-6.004282E-06,+1.800000E+00,+5.302956E-05
+1.720000E+00,-6.072086E-06,+1.800000E+00,+5.311221E-05
+1.719000E+00,-6.142184E-06,+1.800000E+00,+5.317243E-05
+1.718000E+00,-6.208786E-06,+1.800000E+00,+5.321912E-05
+1.717000E+00,-6.281118E-06,+1.800000E+00,+5.334439E-05
+1.716000E+00,-6.347412E-06,+1.800000E+00,+5.340021E-05
+1.715000E+00,-6.414244E-06,+1.800000E+00,+5.344095E-05
+1.714000E+00,-6.481526E-06,+1.800000E+00,+5.352316E-05
+1.713000E+00,-6.551199E-06,+1.800000E+00,+5.360667E-05
+1.712000E+00,-6.617005E-06,+1.800000E+00,+5.366250E-05
+1.711000E+00,-6.683639E-06,+1.800000E+00,+5.371187E-05
+1.710000E+00,-6.749196E-06,+1.800000E+00,+5.378059E-05
+1.709000E+00,-6.817472E-06,+1.800000E+00,+5.386698E-05
+1.708000E+00,-6.882270E-06,+1.800000E+00,+5.390462E-05
+1.707000E+00,-6.950496E-06,+1.800000E+00,+5.399115E-05
+1.706000E+00,-7.014396E-06,+1.800000E+00,+5.405840E-05
+1.705000E+00,-7.083181E-06,+1.800000E+00,+5.413747E-05
+1.704000E+00,-7.145659E-06,+1.800000E+00,+5.418577E-05
+1.703000E+00,-7.212866E-06,+1.800000E+00,+5.424182E-05
+1.702000E+00,-7.279446E-06,+1.800000E+00,+5.432218E-05
+1.701000E+00,-7.340826E-06,+1.800000E+00,+5.436417E-05
+1.700000E+00,-7.404592E-06,+1.800000E+00,+5.442997E-05
+1.699000E+00,-7.471650E-06,+1.800000E+00,+5.449244E-05
+1.698000E+00,-7.535982E-06,+1.800000E+00,+5.457882E-05
+1.697000E+00,-7.599404E-06,+1.800000E+00,+5.462353E-05
+1.696000E+00,-7.663487E-06,+1.800000E+00,+5.469016E-05
+1.695000E+00,-7.729220E-06,+1.800000E+00,+5.477684E-05
+1.694000E+00,-7.791109E-06,+1.800000E+00,+5.483844E-05
+1.693000E+00,-7.854820E-06,+1.800000E+00,+5.488968E-05
+1.692000E+00,-7.914496E-06,+1.800000E+00,+5.493389E-05
+1.691000E+00,-7.981715E-06,+1.800000E+00,+5.502240E-05
+1.690000E+00,-8.042982E-06,+1.800000E+00,+5.507221E-05
+1.689000E+00,-8.106645E-06,+1.800000E+00,+5.514832E-05
+1.688000E+00,-8.166211E-06,+1.800000E+00,+5.520372E-05
+1.687000E+00,-8.230802E-06,+1.800000E+00,+5.526256E-05
+1.686000E+00,-8.292467E-06,+1.800000E+00,+5.533154E-05
+1.685000E+00,-8.354636E-06,+1.800000E+00,+5.537999E-05
+1.684000E+00,-8.416243E-06,+1.800000E+00,+5.545044E-05
+1.683000E+00,-8.478370E-06,+1.800000E+00,+5.552204E-05
+1.682000E+00,-8.537145E-06,+1.800000E+00,+5.555901E-05
+1.681000E+00,-8.597095E-06,+1.800000E+00,+5.558082E-05
+1.680000E+00,-8.661694E-06,+1.800000E+00,+5.570058E-05
+1.679000E+00,-8.723428E-06,+1.800000E+00,+5.576350E-05
+1.678000E+00,-8.777423E-06,+1.800000E+00,+5.578149E-05
+1.677000E+00,-8.840709E-06,+1.800000E+00,+5.585289E-05
+1.676000E+00,-8.900281E-06,+1.800000E+00,+5.592674E-05
+1.675000E+00,-8.959640E-06,+1.800000E+00,+5.598972E-05
+1.674000E+00,-9.021500E-06,+1.800000E+00,+5.606908E-05
+1.673000E+00,-9.082402E-06,+1.800000E+00,+5.612376E-05
+1.672000E+00,-9.140143E-06,+1.800000E+00,+5.617863E-05
+1.671000E+00,-9.198334E-06,+1.800000E+00,+5.621657E-05
+1.670000E+00,-9.254669E-06,+1.800000E+00,+5.627667E-05
+1.669000E+00,-9.317036E-06,+1.800000E+00,+5.637319E-05
+1.668000E+00,-9.372465E-06,+1.800000E+00,+5.641285E-05
+1.667000E+00,-9.435166E-06,+1.800000E+00,+5.649291E-05
+1.666000E+00,-9.488052E-06,+1.800000E+00,+5.651885E-05
+1.665000E+00,-9.545182E-06,+1.800000E+00,+5.657027E-05
+1.664000E+00,-9.604330E-06,+1.800000E+00,+5.663040E-05
+1.663000E+00,-9.668000E-06,+1.800000E+00,+5.672402E-05
+1.662000E+00,-9.719032E-06,+1.800000E+00,+5.674223E-05
+1.661000E+00,-9.777851E-06,+1.800000E+00,+5.680986E-05
+1.660000E+00,-9.830119E-06,+1.800000E+00,+5.684614E-05
+1.659000E+00,-9.891325E-06,+1.800000E+00,+5.691856E-05
+1.658000E+00,-9.946050E-06,+1.800000E+00,+5.696720E-05
+1.657000E+00,-1.000098E-05,+1.800000E+00,+5.701094E-05
+1.656000E+00,-1.006465E-05,+1.800000E+00,+5.711690E-05
+1.655000E+00,-1.011564E-05,+1.800000E+00,+5.714258E-05
+1.654000E+00,-1.017052E-05,+1.800000E+00,+5.720150E-05
+1.653000E+00,-1.022388E-05,+1.800000E+00,+5.722401E-05
+1.652000E+00,-1.027993E-05,+1.800000E+00,+5.730003E-05
+1.651000E+00,-1.033078E-05,+1.800000E+00,+5.733091E-05
+1.650000E+00,-1.039121E-05,+1.800000E+00,+5.742637E-05
+1.649000E+00,-1.044211E-05,+1.800000E+00,+5.746705E-05
+1.648000E+00,-1.049507E-05,+1.800000E+00,+5.750880E-05
+1.647000E+00,-1.054982E-05,+1.800000E+00,+5.756699E-05
+1.646000E+00,-1.060630E-05,+1.800000E+00,+5.762992E-05
+1.645000E+00,-1.065890E-05,+1.800000E+00,+5.767554E-05
+1.644000E+00,-1.071455E-05,+1.800000E+00,+5.773827E-05
+1.643000E+00,-1.076842E-05,+1.800000E+00,+5.779000E-05
+1.642000E+00,-1.081824E-05,+1.800000E+00,+5.782666E-05
+1.641000E+00,-1.087522E-05,+1.800000E+00,+5.790114E-05
+1.640000E+00,-1.092724E-05,+1.800000E+00,+5.794164E-05
+1.639000E+00,-1.097575E-05,+1.800000E+00,+5.797854E-05
+1.638000E+00,-1.103174E-05,+1.800000E+00,+5.806573E-05
+1.637000E+00,-1.108365E-05,+1.800000E+00,+5.811274E-05
+1.636000E+00,-1.113157E-05,+1.800000E+00,+5.813858E-05
+1.635000E+00,-1.119208E-05,+1.800000E+00,+5.826017E-05
+1.634000E+00,-1.124105E-05,+1.800000E+00,+5.829019E-05
+1.633000E+00,-1.128344E-05,+1.800000E+00,+5.829276E-05
+1.632000E+00,-1.133754E-05,+1.800000E+00,+5.835108E-05
+1.631000E+00,-1.139005E-05,+1.800000E+00,+5.841126E-05
+1.630000E+00,-1.143806E-05,+1.800000E+00,+5.845256E-05
+1.629000E+00,-1.149135E-05,+1.800000E+00,+5.852931E-05
+1.628000E+00,-1.154130E-05,+1.800000E+00,+5.857505E-05
+1.627000E+00,-1.159519E-05,+1.800000E+00,+5.864722E-05
+1.626000E+00,-1.163928E-05,+1.800000E+00,+5.866739E-05
+1.625000E+00,-1.169528E-05,+1.800000E+00,+5.874080E-05
+1.624000E+00,-1.174303E-05,+1.800000E+00,+5.879312E-05
+1.623000E+00,-1.179249E-05,+1.800000E+00,+5.882925E-05
+1.622000E+00,-1.183811E-05,+1.800000E+00,+5.886651E-05
+1.621000E+00,-1.189314E-05,+1.800000E+00,+5.894613E-05
+1.620000E+00,-1.193772E-05,+1.800000E+00,+5.897044E-05
+1.619000E+00,-1.198540E-05,+1.800000E+00,+5.900678E-05
+1.618000E+00,-1.203123E-05,+1.800000E+00,+5.905096E-05
+1.617000E+00,-1.208289E-05,+1.800000E+00,+5.912067E-05
+1.616000E+00,-1.212654E-05,+1.800000E+00,+5.916947E-05
+1.615000E+00,-1.217920E-05,+1.800000E+00,+5.923839E-05
+1.614000E+00,-1.222566E-05,+1.800000E+00,+5.928211E-05
+1.613000E+00,-1.227143E-05,+1.800000E+00,+5.930420E-05
+1.612000E+00,-1.232105E-05,+1.800000E+00,+5.936939E-05
+1.611000E+00,-1.236740E-05,+1.800000E+00,+5.941061E-05
+1.610000E+00,-1.240610E-05,+1.800000E+00,+5.942031E-05
+1.609000E+00,-1.245803E-05,+1.800000E+00,+5.949205E-05
+1.608000E+00,-1.250402E-05,+1.800000E+00,+5.955067E-05
+1.607000E+00,-1.254653E-05,+1.800000E+00,+5.956993E-05
+1.606000E+00,-1.259106E-05,+1.800000E+00,+5.961152E-05
+1.605000E+00,-1.263377E-05,+1.800000E+00,+5.964373E-05
+1.604000E+00,-1.268529E-05,+1.800000E+00,+5.971972E-05
+1.603000E+00,-1.273503E-05,+1.800000E+00,+5.978350E-05
+1.602000E+00,-1.277777E-05,+1.800000E+00,+5.981001E-05
+1.601000E+00,-1.281798E-05,+1.800000E+00,+5.983798E-05
+1.600000E+00,-1.286433E-05,+1.800000E+00,+5.989884E-05
+1.599000E+00,-1.291172E-05,+1.800000E+00,+5.994786E-05
+1.598000E+00,-1.294793E-05,+1.800000E+00,+5.997066E-05
+1.597000E+00,-1.299115E-05,+1.800000E+00,+6.000689E-05
+1.596000E+00,-1.303899E-05,+1.800000E+00,+6.007444E-05
+1.595000E+00,-1.308516E-05,+1.800000E+00,+6.012444E-05
+1.594000E+00,-1.312440E-05,+1.800000E+00,+6.015835E-05
+1.593000E+00,-1.317417E-05,+1.800000E+00,+6.021271E-05
+1.592000E+00,-1.320996E-05,+1.800000E+00,+6.024339E-05
+1.591000E+00,-1.325496E-05,+1.800000E+00,+6.029040E-05
+1.590000E+00,-1.329280E-05,+1.800000E+00,+6.029544E-05
+1.589000E+00,-1.333287E-05,+1.800000E+00,+6.033282E-05
+1.588000E+00,-1.337953E-05,+1.800000E+00,+6.040048E-05
+1.587000E+00,-1.342035E-05,+1.800000E+00,+6.043725E-05
+1.586000E+00,-1.346616E-05,+1.800000E+00,+6.050154E-05
+1.585000E+00,-1.351119E-05,+1.800000E+00,+6.055165E-05
+1.584000E+00,-1.354765E-05,+1.800000E+00,+6.058499E-05
+1.583000E+00,-1.359078E-05,+1.800000E+00,+6.063767E-05
+1.582000E+00,-1.363264E-05,+1.800000E+00,+6.066364E-05
+1.581000E+00,-1.366704E-05,+1.800000E+00,+6.069100E-05
+1.580000E+00,-1.371746E-05,+1.800000E+00,+6.075024E-05
+1.579000E+00,-1.375317E-05,+1.800000E+00,+6.077562E-05
+1.578000E+00,-1.379113E-05,+1.800000E+00,+6.080923E-05
+1.577000E+00,-1.382410E-05,+1.800000E+00,+6.083340E-05
+1.576000E+00,-1.386596E-05,+1.800000E+00,+6.088190E-05
+1.575000E+00,-1.390553E-05,+1.800000E+00,+6.092305E-05
+1.574000E+00,-1.394451E-05,+1.800000E+00,+6.094520E-05
+1.573000E+00,-1.398595E-05,+1.800000E+00,+6.100597E-05
+1.572000E+00,-1.402782E-05,+1.800000E+00,+6.105076E-05
+1.571000E+00,-1.406769E-05,+1.800000E+00,+6.110474E-05
+1.570000E+00,-1.410413E-05,+1.800000E+00,+6.112020E-05
+1.569000E+00,-1.413635E-05,+1.800000E+00,+6.115041E-05
+1.568000E+00,-1.417411E-05,+1.800000E+00,+6.120380E-05
+1.567000E+00,-1.421175E-05,+1.800000E+00,+6.122966E-05
+1.566000E+00,-1.425384E-05,+1.800000E+00,+6.127611E-05
+1.565000E+00,-1.429844E-05,+1.800000E+00,+6.134603E-05
+1.564000E+00,-1.432695E-05,+1.800000E+00,+6.133552E-05
+1.563000E+00,-1.436159E-05,+1.800000E+00,+6.137472E-05
+1.562000E+00,-1.440055E-05,+1.800000E+00,+6.142301E-05
+1.561000E+00,-1.442943E-05,+1.800000E+00,+6.142783E-05
+1.560000E+00,-1.447227E-05,+1.800000E+00,+6.148596E-05
+1.559000E+00,-1.450855E-05,+1.800000E+00,+6.154502E-05
+1.558000E+00,-1.454445E-05,+1.800000E+00,+6.156231E-05
+1.557000E+00,-1.458276E-05,+1.800000E+00,+6.158512E-05
+1.556000E+00,-1.461682E-05,+1.800000E+00,+6.162464E-05
+1.555000E+00,-1.464819E-05,+1.800000E+00,+6.164512E-05
+1.554000E+00,-1.468347E-05,+1.800000E+00,+6.169022E-05
+1.553000E+00,-1.472236E-05,+1.800000E+00,+6.172900E-05
+1.552000E+00,-1.475330E-05,+1.800000E+00,+6.176185E-05
+1.551000E+00,-1.479995E-05,+1.800000E+00,+6.184008E-05
+1.550000E+00,-1.482904E-05,+1.800000E+00,+6.186127E-05
+1.549000E+00,-1.485974E-05,+1.800000E+00,+6.187765E-05
+1.548000E+00,-1.490003E-05,+1.800000E+00,+6.192054E-05
+1.547000E+00,-1.492548E-05,+1.800000E+00,+6.194739E-05
+1.546000E+00,-1.495619E-05,+1.800000E+00,+6.197085E-05
+1.545000E+00,-1.499305E-05,+1.800000E+00,+6.201795E-05
+1.544000E+00,-1.503065E-05,+1.800000E+00,+6.205777E-05
+1.543000E+00,-1.505958E-05,+1.800000E+00,+6.207090E-05
+1.542000E+00,-1.509019E-05,+1.800000E+00,+6.208191E-05
+1.541000E+00,-1.512414E-05,+1.800000E+00,+6.213866E-05
+1.540000E+00,-1.515673E-05,+1.800000E+00,+6.216131E-05
+1.539000E+00,-1.518857E-05,+1.800000E+00,+6.220728E-05
+1.538000E+00,-1.523251E-05,+1.800000E+00,+6.228298E-05
+1.537000E+00,-1.526277E-05,+1.800000E+00,+6.229834E-05
+1.536000E+00,-1.528984E-05,+1.800000E+00,+6.231145E-05
+1.535000E+00,-1.531793E-05,+1.800000E+00,+6.234275E-05
+1.534000E+00,-1.535183E-05,+1.800000E+00,+6.238067E-05
+1.533000E+00,-1.537973E-05,+1.800000E+00,+6.240281E-05
+1.532000E+00,-1.541220E-05,+1.800000E+00,+6.244771E-05
+1.531000E+00,-1.543732E-05,+1.800000E+00,+6.246433E-05
+1.530000E+00,-1.547286E-05,+1.800000E+00,+6.251195E-05
+1.529000E+00,-1.549545E-05,+1.800000E+00,+6.252005E-05
+1.528000E+00,-1.554323E-05,+1.800000E+00,+6.260223E-05
+1.527000E+00,-1.555949E-05,+1.800000E+00,+6.258569E-05
+1.526000E+00,-1.559643E-05,+1.800000E+00,+6.264282E-05
+1.525000E+00,-1.562590E-05,+1.800000E+00,+6.267651E-05
+1.524000E+00,-1.566155E-05,+1.800000E+00,+6.272818E-05
+1.523000E+00,-1.568275E-05,+1.800000E+00,+6.273244E-05
+1.522000E+00,-1.570573E-05,+1.800000E+00,+6.271473E-05
+1.521000E+00,-1.573249E-05,+1.800000E+00,+6.274713E-05
+1.520000E+00,-1.576856E-05,+1.800000E+00,+6.279287E-05
+1.519000E+00,-1.579115E-05,+1.800000E+00,+6.279898E-05
+1.518000E+00,-1.582544E-05,+1.800000E+00,+6.285266E-05
+1.517000E+00,-1.584948E-05,+1.800000E+00,+6.286943E-05
+1.516000E+00,-1.588250E-05,+1.800000E+00,+6.290248E-05
+1.515000E+00,-1.590496E-05,+1.800000E+00,+6.292320E-05
+1.514000E+00,-1.593466E-05,+1.800000E+00,+6.296138E-05
+1.513000E+00,-1.596922E-05,+1.800000E+00,+6.301003E-05
