VDD,IDD,VREF,IREF
+1.800000E+00,-2.207065E-10,+0.000000E+00,-1.345002E-10
+1.799000E+00,+1.392762E-09,+0.000000E+00,-1.697527E-10
+1.798000E+00,+3.824614E-10,+0.000000E+00,-1.949327E-10
+1.797000E+00,+5.433061E-10,+0.000000E+00,-1.647172E-10
+1.796000E+00,-4.016553E-10,+0.000000E+00,-1.898970E-10
+1.795000E+00,-1.427037E-09,+0.000000E+00,-1.445715E-10
+1.794000E+00,-2.005996E-10,+0.000000E+00,-1.193919E-10
+1.793000E+00,-1.145560E-09,+0.000000E+00,-1.395358E-10
+1.792000E+00,+3.478708E-09,+0.000000E+00,-1.143553E-10
+1.791000E+00,+2.915760E-09,+0.000000E+00,-1.496083E-10
+1.790000E+00,+1.523447E-09,+0.000000E+00,-2.100433E-10
+1.789000E+00,+1.850164E-09,+0.000000E+00,-4.384920E-11
+1.788000E+00,-8.490037E-10,+0.000000E+00,-2.201155E-10
+1.787000E+00,+3.724074E-10,+0.000000E+00,-8.413853E-11
+1.786000E+00,-7.333966E-10,+0.000000E+00,-1.949333E-10
+1.785000E+00,+4.729352E-10,+0.000000E+00,-9.421025E-11
+1.784000E+00,-1.252035E-10,+0.000000E+00,-3.881268E-11
+1.783000E+00,+2.919842E-10,+0.000000E+00,-1.496088E-10
+1.782000E+00,+9.403918E-10,+0.000000E+00,-1.244276E-10
+1.781000E+00,+6.438345E-10,+0.000000E+00,-1.395363E-10
+1.780000E+00,+8.197563E-10,+0.000000E+00,-1.546457E-10
+1.779000E+00,+2.081380E-09,+0.000000E+00,-8.413809E-11
+1.778000E+00,+3.141942E-09,+0.000000E+00,-8.917500E-11
+1.777000E+00,+2.021058E-09,+0.000000E+00,-2.452952E-10
+1.776000E+00,+5.634091E-10,+0.000000E+00,-1.647175E-10
+1.775000E+00,-1.673337E-09,+0.000000E+00,-1.496084E-10
+1.774000E+00,+6.890699E-10,+0.000000E+00,-1.445720E-10
+1.773000E+00,+1.156526E-09,+0.000000E+00,-1.596812E-10
+1.772000E+00,-1.648203E-09,+0.000000E+00,-1.244269E-10
+1.771000E+00,+1.361675E-10,+0.000000E+00,-1.546446E-10
+1.770000E+00,-2.408115E-10,+0.000000E+00,-7.406609E-11
+1.769000E+00,+2.302536E-09,+0.000000E+00,-1.294642E-10
+1.768000E+00,-4.820785E-10,+0.000000E+00,-6.903017E-11
+1.767000E+00,+2.433222E-09,+0.000000E+00,-1.949342E-10
+1.766000E+00,+2.865495E-09,+0.000000E+00,-2.050062E-10
+1.765000E+00,+1.247002E-09,+0.000000E+00,-6.399448E-11
+1.764000E+00,-1.014874E-09,+0.000000E+00,-9.924689E-11
+1.763000E+00,-6.680525E-10,+0.000000E+00,-1.949345E-10
+1.762000E+00,+1.277154E-09,+0.000000E+00,-9.924828E-11
+1.761000E+00,-6.781065E-10,+0.000000E+00,-1.747893E-10
+1.760000E+00,+2.216152E-10,+0.000000E+00,-1.294637E-10
+1.759000E+00,+9.554677E-10,+0.000000E+00,-1.798251E-10
+1.758000E+00,-7.786334E-10,+0.000000E+00,-1.496080E-10
+1.757000E+00,-9.997941E-10,+0.000000E+00,-2.251515E-10
+1.756000E+00,-1.834201E-09,+0.000000E+00,-3.377681E-11
+1.755000E+00,+8.499155E-10,+0.000000E+00,-1.042835E-10
+1.754000E+00,+1.206787E-09,+0.000000E+00,-9.924650E-11
+1.753000E+00,+9.554681E-10,+0.000000E+00,-7.406575E-11
+1.752000E+00,+2.136669E-09,+0.000000E+00,-9.924656E-11
+1.751000E+00,-9.746626E-10,+0.000000E+00,-1.093189E-10
+1.750000E+00,-6.982123E-10,+0.000000E+00,-1.143560E-10
+1.749000E+00,-2.056283E-10,+0.000000E+00,-1.697528E-10
+1.748000E+00,-2.020199E-09,+0.000000E+00,-1.093187E-10
+1.747000E+00,-1.658257E-09,+0.000000E+00,-2.370359E-11
+1.746000E+00,-1.738688E-09,+0.000000E+00,-2.150784E-10
+1.745000E+00,-1.165666E-09,+0.000000E+00,-1.848610E-10
+1.744000E+00,+7.192298E-10,+0.000000E+00,-1.496087E-10
+1.743000E+00,+8.448877E-10,+0.000000E+00,-1.395363E-10
+1.742000E+00,+1.759690E-09,+0.000000E+00,-2.050061E-10
+1.741000E+00,+3.222364E-09,+0.000000E+00,-2.251514E-10
+1.740000E+00,+1.629000E-09,+0.000000E+00,-2.301866E-10
+1.739000E+00,+1.714451E-09,+0.000000E+00,-1.093193E-10
+1.738000E+00,-1.301377E-09,+0.000000E+00,-1.042832E-10
+1.737000E+00,-1.849282E-09,+0.000000E+00,-1.143549E-10
+1.736000E+00,-1.683391E-09,+0.000000E+00,-1.093191E-10
+1.735000E+00,-2.537980E-09,+0.000000E+00,-1.866762E-11
+1.734000E+00,+7.544103E-10,+0.000000E+00,-1.496091E-10
+1.733000E+00,-3.513912E-10,+0.000000E+00,-7.910300E-11
+1.732000E+00,-2.357853E-10,+0.000000E+00,-1.445726E-10
+1.731000E+00,+1.578744E-09,+0.000000E+00,-8.917378E-11
+1.730000E+00,+3.247498E-09,+0.000000E+00,-8.413836E-11
+1.729000E+00,-9.796883E-10,+0.000000E+00,-2.553676E-10
+1.728000E+00,+2.749886E-09,+0.000000E+00,-8.917422E-11
+1.727000E+00,-1.503354E-10,+0.000000E+00,-9.421081E-11
+1.726000E+00,-1.241061E-09,+0.000000E+00,-1.193916E-10
+1.725000E+00,+6.187004E-10,+0.000000E+00,-1.647179E-10
+1.724000E+00,-1.175718E-09,+0.000000E+00,-1.143555E-10
+1.723000E+00,-8.439765E-10,+0.000000E+00,-1.647171E-10
+1.722000E+00,-2.307582E-10,+0.000000E+00,-8.917550E-11
+1.721000E+00,-1.386826E-09,+0.000000E+00,-1.747885E-10
+1.720000E+00,+1.262076E-09,+0.000000E+00,-6.399414E-11
+1.719000E+00,-3.643915E-09,+0.000000E+00,-6.399320E-11
+1.718000E+00,-1.151529E-10,+0.000000E+00,-8.413775E-11
+1.717000E+00,+1.061022E-09,+0.000000E+00,-1.143549E-10
+1.716000E+00,+3.528978E-09,+0.000000E+00,-1.798256E-10
+1.715000E+00,+9.152610E-10,+0.000000E+00,-1.798250E-10
+1.714000E+00,+8.448884E-10,+0.000000E+00,-1.345000E-10
+1.713000E+00,-2.306738E-09,+0.000000E+00,-1.193911E-10
+1.712000E+00,-8.841881E-10,+0.000000E+00,-8.413842E-11
+1.711000E+00,-6.781053E-10,+0.000000E+00,-1.898974E-10
+1.710000E+00,+2.316702E-10,+0.000000E+00,-1.949335E-10
+1.709000E+00,+9.052057E-10,+0.000000E+00,-3.057294E-10
+1.708000E+00,-1.754696E-10,+0.000000E+00,-1.898977E-10
+1.707000E+00,-1.101260E-10,+0.000000E+00,-1.496077E-10
+1.706000E+00,+5.583833E-10,+0.000000E+00,-7.406592E-11
+1.705000E+00,+4.980658E-10,+0.000000E+00,-1.999700E-10
+1.704000E+00,+8.590628E-11,+0.000000E+00,-2.604043E-10
+1.703000E+00,+4.980687E-10,+0.000000E+00,-8.413809E-11
+1.702000E+00,+3.874896E-10,+0.000000E+00,-2.201149E-10
+1.701000E+00,+7.946193E-10,+0.000000E+00,-1.798257E-10
+1.700000E+00,-6.781056E-10,+0.000000E+00,-1.445722E-10
+1.699000E+00,-1.979984E-09,+0.000000E+00,-1.798258E-10
+1.698000E+00,-1.482327E-09,+0.000000E+00,+3.672973E-11
+1.697000E+00,-2.940138E-09,+0.000000E+00,-1.747885E-10
+1.696000E+00,-1.060111E-09,+0.000000E+00,-1.747898E-10
+1.695000E+00,-1.512485E-09,+0.000000E+00,-1.697533E-10
+1.694000E+00,-1.236034E-09,+0.000000E+00,-1.647174E-10
+1.693000E+00,-1.105348E-09,+0.000000E+00,-2.654398E-10
+1.692000E+00,+1.131390E-09,+0.000000E+00,-1.143559E-10
+1.691000E+00,+8.348342E-10,+0.000000E+00,+3.169298E-11
+1.690000E+00,-9.595837E-10,+0.000000E+00,-2.402598E-10
+1.689000E+00,-2.257313E-10,+0.000000E+00,-1.344994E-10
+1.688000E+00,-1.070164E-09,+0.000000E+00,-1.445715E-10
+1.687000E+00,-1.401905E-09,+0.000000E+00,-7.406636E-11
+1.686000E+00,-1.200850E-09,+0.000000E+00,-1.345014E-10
+1.685000E+00,-1.462221E-09,+0.000000E+00,-4.888501E-11
+1.684000E+00,-1.447142E-09,+0.000000E+00,-1.093184E-10
+1.683000E+00,+1.719474E-09,+0.000000E+00,-1.798252E-10
+1.682000E+00,-2.257325E-10,+0.000000E+00,-1.647164E-10
+1.681000E+00,+1.563662E-09,+0.000000E+00,-5.895828E-11
+1.680000E+00,+1.201759E-09,+0.000000E+00,-5.895678E-11
+1.679000E+00,+4.276997E-10,+0.000000E+00,-1.093197E-10
+1.678000E+00,+4.276979E-10,+0.000000E+00,-1.496083E-10
+1.677000E+00,-5.976838E-10,+0.000000E+00,-1.596801E-10
+1.676000E+00,-1.361694E-09,+0.000000E+00,-1.143553E-10
+1.675000E+00,-5.021832E-10,+0.000000E+00,+4.176581E-11
+1.674000E+00,-1.080217E-09,+0.000000E+00,-7.406614E-11
+1.673000E+00,-6.831334E-10,+0.000000E+00,-1.143559E-10
+1.672000E+00,+1.462207E-10,+0.000000E+00,-1.445722E-10
+1.671000E+00,+1.443029E-09,+0.000000E+00,-1.244272E-10
+1.670000E+00,+3.673826E-10,+0.000000E+00,-1.395363E-10
+1.669000E+00,-9.243994E-10,+0.000000E+00,-1.697533E-10
+1.668000E+00,+2.005981E-09,+0.000000E+00,-7.406559E-11
+1.667000E+00,-7.183169E-10,+0.000000E+00,-1.344995E-10
+1.666000E+00,-7.233433E-10,+0.000000E+00,-1.848621E-10
+1.665000E+00,-6.228158E-10,+0.000000E+00,-1.344994E-10
+1.664000E+00,-2.311763E-09,+0.000000E+00,-1.999702E-10
+1.663000E+00,-1.603889E-10,+0.000000E+00,-3.057288E-10
+1.662000E+00,-1.000731E-10,+0.000000E+00,-1.596817E-10
+1.661000E+00,-5.323409E-10,+0.000000E+00,-1.999694E-10
+1.660000E+00,-1.150586E-09,+0.000000E+00,-2.251510E-10
+1.659000E+00,+1.146472E-09,+0.000000E+00,-9.924639E-11
+1.658000E+00,+8.750483E-10,+0.000000E+00,-2.251519E-10
+1.657000E+00,-1.427037E-09,+0.000000E+00,-1.798237E-10
+1.656000E+00,-1.492380E-09,+0.000000E+00,-2.301874E-10
+1.655000E+00,+1.985874E-09,+0.000000E+00,-1.193911E-10
+1.654000E+00,-5.273143E-10,+0.000000E+00,-8.917478E-11
+1.653000E+00,+1.990903E-09,+0.000000E+00,-1.546441E-10
+1.652000E+00,+3.724063E-10,+0.000000E+00,-1.647172E-10
+1.651000E+00,+6.187026E-10,+0.000000E+00,-1.496076E-10
+1.650000E+00,+4.126204E-10,+0.000000E+00,-1.042822E-10
+1.649000E+00,-1.366720E-09,+0.000000E+00,-1.848617E-10
+1.648000E+00,-1.547670E-09,+0.000000E+00,-8.917439E-11
+1.647000E+00,-2.241387E-09,+0.000000E+00,-2.150782E-10
+1.646000E+00,-2.130793E-09,+0.000000E+00,-1.697532E-10
+1.645000E+00,-1.693445E-09,+0.000000E+00,+7.198164E-11
+1.644000E+00,-4.468924E-10,+0.000000E+00,-1.798245E-10
+1.643000E+00,+1.669213E-09,+0.000000E+00,-1.747891E-10
+1.642000E+00,+2.267356E-09,+0.000000E+00,-9.924661E-11
+1.641000E+00,-1.195824E-09,+0.000000E+00,-8.917406E-11
+1.640000E+00,+3.523020E-10,+0.000000E+00,-1.496079E-10
+1.639000E+00,+1.402814E-09,+0.000000E+00,-6.399287E-11
+1.638000E+00,-2.497763E-09,+0.000000E+00,-7.910261E-11
+1.637000E+00,-2.261495E-09,+0.000000E+00,-1.345003E-10
+1.636000E+00,-1.567776E-09,+0.000000E+00,-1.244286E-10
+1.635000E+00,-2.341927E-09,+0.000000E+00,-1.496085E-10
+1.634000E+00,-2.000092E-09,+0.000000E+00,-1.747896E-10
+1.633000E+00,+2.919855E-10,+0.000000E+00,-1.647164E-10
+1.632000E+00,+1.181657E-09,+0.000000E+00,-1.848611E-10
+1.631000E+00,+7.996497E-10,+0.000000E+00,-1.546436E-10
+1.630000E+00,-2.759959E-10,+0.000000E+00,-2.352236E-10
+1.629000E+00,+1.025836E-09,+0.000000E+00,-1.042834E-10
+1.628000E+00,-1.733661E-09,+0.000000E+00,-1.848620E-10
+1.627000E+00,-1.252031E-10,+0.000000E+00,+1.154776E-11
