VDD,IDD,VREF,IREF
+0.000000E+00,-2.613384E-09,+0.000000E+00,-1.193902E-10
+1.000000E-03,-2.869760E-09,+0.000000E+00,-1.143549E-10
+2.000000E-03,-3.337272E-09,+0.000000E+00,-1.848611E-10
+3.000000E-03,-4.091321E-09,+0.000000E+00,-1.697516E-10
+4.000000E-03,-4.433150E-09,+0.000000E+00,-9.420875E-11
+5.000000E-03,-3.377487E-09,+0.000000E+00,-1.244258E-10
+6.000000E-03,-2.945165E-09,+0.000000E+00,-9.924572E-11
+7.000000E-03,-2.357007E-09,+0.000000E+00,-2.100418E-10
+8.000000E-03,-6.580008E-10,+0.000000E+00,-8.917378E-11
+9.000000E-03,-1.453068E-10,+0.000000E+00,-1.042817E-10
+1.000000E-02,+6.337804E-10,+0.000000E+00,-1.143531E-10
+1.100000E-02,-6.488732E-11,+0.000000E+00,-1.747882E-10
+1.200000E-02,-6.680529E-10,+0.000000E+00,-1.647147E-10
+1.300000E-02,-1.145560E-09,+0.000000E+00,-2.301862E-10
+1.400000E-02,-1.834201E-09,+0.000000E+00,-2.100418E-10
+1.500000E-02,-1.120427E-09,+0.000000E+00,-1.898964E-10
+1.600000E-02,-2.583222E-09,+0.000000E+00,-1.949331E-10
+1.700000E-02,-1.834201E-09,+0.000000E+00,-2.873934E-11
+1.800000E-02,+7.393322E-10,+0.000000E+00,-1.042813E-10
+1.900000E-02,-5.624992E-10,+0.000000E+00,-2.654395E-10
+2.000000E-02,-1.210902E-09,+0.000000E+00,-1.798249E-10
+2.100000E-02,+1.468160E-09,+0.000000E+00,-1.445720E-10
+2.200000E-02,+6.589140E-10,+0.000000E+00,-7.406487E-11
+2.300000E-02,-5.986234E-11,+0.000000E+00,-1.848601E-10
+2.400000E-02,+4.880158E-10,+0.000000E+00,-2.755116E-10
+2.500000E-02,-1.406931E-09,+0.000000E+00,-1.898968E-10
+2.600000E-02,-9.947676E-10,+0.000000E+00,-1.193899E-10
+2.700000E-02,-2.125767E-09,+0.000000E+00,-1.999693E-10
+2.800000E-02,-1.693445E-09,+0.000000E+00,-1.193912E-10
+2.900000E-02,-5.474202E-10,+0.000000E+00,-9.924650E-11
+3.000000E-02,-1.281272E-09,+0.000000E+00,-1.747883E-10
+3.100000E-02,-8.288981E-10,+0.000000E+00,-1.747880E-10
+3.200000E-02,-3.212332E-10,+0.000000E+00,-1.546444E-10
+3.300000E-02,+1.699372E-09,+0.000000E+00,-1.294631E-10
+3.400000E-02,+6.579925E-11,+0.000000E+00,-1.143545E-10
+3.500000E-02,-1.095296E-09,+0.000000E+00,-1.798243E-10
+3.600000E-02,-1.472274E-09,+0.000000E+00,-1.143541E-10
+3.700000E-02,-1.034978E-09,+0.000000E+00,-1.647159E-10
+3.800000E-02,-3.212330E-10,+0.000000E+00,+3.673106E-11
+3.900000E-02,-5.926575E-10,+0.000000E+00,-1.798241E-10
+4.000000E-02,-1.884471E-09,+0.000000E+00,-1.697515E-10
+4.100000E-02,-1.160638E-09,+0.000000E+00,-2.452942E-10
+4.200000E-02,-1.281272E-09,+0.000000E+00,-1.395344E-10
+4.300000E-02,+1.462193E-10,+0.000000E+00,-8.917350E-11
+4.400000E-02,+1.498316E-09,+0.000000E+00,-1.647164E-10
+4.500000E-02,+1.201759E-09,+0.000000E+00,-1.193898E-10
+4.600000E-02,+2.141696E-09,+0.000000E+00,-1.244267E-10
+4.700000E-02,+1.754666E-09,+0.000000E+00,-8.413692E-11
+4.800000E-02,+2.668559E-10,+0.000000E+00,-4.888340E-11
+4.900000E-02,-3.765228E-10,+0.000000E+00,-1.496066E-10
+5.000000E-02,-4.669974E-10,+0.000000E+00,-9.924594E-11
+5.100000E-02,-7.333950E-10,+0.000000E+00,-2.251500E-10
+5.200000E-02,-2.231333E-09,+0.000000E+00,-1.294624E-10
+5.300000E-02,-8.590557E-10,+0.000000E+00,-1.747879E-10
+5.400000E-02,-1.427037E-09,+0.000000E+00,-1.747886E-10
+5.500000E-02,-3.111786E-10,+0.000000E+00,-1.596798E-10
+5.600000E-02,-5.725520E-10,+0.000000E+00,-9.420997E-11
+5.700000E-02,+5.030956E-10,+0.000000E+00,-1.244274E-10
+5.800000E-02,+2.202008E-09,+0.000000E+00,-3.377576E-11
+5.900000E-02,+1.432977E-09,+0.000000E+00,-1.344983E-10
+6.000000E-02,+1.644086E-09,+0.000000E+00,-1.747887E-10
+6.100000E-02,+1.573718E-09,+0.000000E+00,-1.697530E-10
+6.200000E-02,+1.312345E-09,+0.000000E+00,-8.413698E-11
+6.300000E-02,-1.497406E-09,+0.000000E+00,-1.647161E-10
+6.400000E-02,-6.429212E-10,+0.000000E+00,-2.201138E-10
+6.500000E-02,+5.734615E-10,+0.000000E+00,-1.697518E-10
+6.600000E-02,+5.131482E-10,+0.000000E+00,-6.399331E-11
+6.700000E-02,+2.216212E-10,+0.000000E+00,-1.445711E-10
+6.800000E-02,-5.222887E-10,+0.000000E+00,-9.924611E-11
+6.900000E-02,+1.312340E-09,+0.000000E+00,-1.042814E-10
+7.000000E-02,+2.136668E-09,+0.000000E+00,-1.445714E-10
+7.100000E-02,+9.554710E-10,+0.000000E+00,-1.395350E-10
+7.200000E-02,+3.961248E-09,+0.000000E+00,-7.406520E-11
+7.300000E-02,+1.261167E-10,+0.000000E+00,-1.798236E-10
+7.400000E-02,+1.009817E-10,+0.000000E+00,-1.999704E-10
+7.500000E-02,-1.462552E-11,+0.000000E+00,-1.697523E-10
+7.600000E-02,-1.386826E-09,+0.000000E+00,-9.420936E-11
+7.700000E-02,-5.222881E-10,+0.000000E+00,-1.747875E-10
+7.800000E-02,-1.180744E-09,+0.000000E+00,-9.420936E-11
+7.900000E-02,+3.221443E-10,+0.000000E+00,-9.924594E-11
+8.000000E-02,+1.246997E-09,+0.000000E+00,-4.888334E-11
+8.100000E-02,+2.322651E-09,+0.000000E+00,-1.042810E-10
+8.200000E-02,-2.458371E-10,+0.000000E+00,-1.496073E-10
+8.300000E-02,+2.081382E-09,+0.000000E+00,-1.445709E-10
+8.400000E-02,+2.212071E-09,+0.000000E+00,-6.902978E-11
+8.500000E-02,+7.644643E-10,+0.000000E+00,-1.697529E-10
+8.600000E-02,-2.408113E-10,+0.000000E+00,-5.391981E-11
+8.700000E-02,-1.834201E-09,+0.000000E+00,-8.917334E-11
+8.800000E-02,+1.060100E-10,+0.000000E+00,-2.755108E-10
+8.900000E-02,-7.283694E-10,+0.000000E+00,-1.143538E-10
+9.000000E-02,-6.328676E-10,+0.000000E+00,-1.193901E-10
+9.100000E-02,+6.488581E-10,+0.000000E+00,-1.143550E-10
+9.200000E-02,+6.840459E-10,+0.000000E+00,-1.697523E-10
+9.300000E-02,+3.221456E-10,+0.000000E+00,-1.445715E-10
+9.400000E-02,+2.578992E-09,+0.000000E+00,-2.755116E-10
+9.500000E-02,+2.805175E-09,+0.000000E+00,-1.395355E-10
+9.600000E-02,+2.614173E-09,+0.000000E+00,-1.798244E-10
+9.700000E-02,+8.298089E-10,+0.000000E+00,-6.902923E-11
+9.800000E-02,+1.337476E-09,+0.000000E+00,-1.848611E-10
+9.900000E-02,+6.388072E-10,+0.000000E+00,-1.999693E-10
+1.000000E-01,+3.774385E-10,+0.000000E+00,-2.956561E-10
+1.010000E-01,-1.075190E-09,+0.000000E+00,-1.647161E-10
+1.020000E-01,+1.860222E-09,+0.000000E+00,-1.596795E-10
+1.030000E-01,+2.668528E-10,+0.000000E+00,-1.143545E-10
+1.040000E-01,-3.463644E-10,+0.000000E+00,-1.647155E-10
+1.050000E-01,+1.191709E-09,+0.000000E+00,-1.345001E-10
+1.060000E-01,+1.714452E-09,+0.000000E+00,-1.244257E-10
+1.070000E-01,+1.317368E-09,+0.000000E+00,-1.344985E-10
+1.080000E-01,-4.478196E-11,+0.000000E+00,-1.898974E-10
+1.090000E-01,+1.508373E-09,+0.000000E+00,-1.697512E-10
+1.100000E-01,+9.595580E-11,+0.000000E+00,-1.798245E-10
+1.110000E-01,-4.066824E-10,+0.000000E+00,-1.344987E-10
+1.120000E-01,-1.185771E-09,+0.000000E+00,+4.680367E-11
+1.130000E-01,-7.283680E-10,+0.000000E+00,-1.445717E-10
+1.140000E-01,-2.156799E-10,+0.000000E+00,-1.093182E-10
+1.150000E-01,+6.579826E-11,+0.000000E+00,-1.143539E-10
+1.160000E-01,+1.206792E-09,+0.000000E+00,-7.406553E-11
+1.170000E-01,+6.086476E-10,+0.000000E+00,-1.042820E-10
+1.180000E-01,+3.378188E-09,+0.000000E+00,+5.687395E-11
+1.190000E-01,+3.187186E-09,+0.000000E+00,-1.395351E-10
+1.200000E-01,+3.629506E-09,+0.000000E+00,-1.344979E-10
+1.210000E-01,+2.106514E-09,+0.000000E+00,-8.413720E-11
+1.220000E-01,+3.673821E-10,+0.000000E+00,-1.294633E-10
+1.230000E-01,-4.570566E-12,+0.000000E+00,-1.999696E-10
+1.240000E-01,-8.942400E-10,+0.000000E+00,-5.895612E-11
+1.250000E-01,-1.155612E-09,+0.000000E+00,-1.344996E-10
+1.260000E-01,+1.462208E-10,+0.000000E+00,-1.093179E-10
+1.270000E-01,-4.770493E-10,+0.000000E+00,-1.244263E-10
+1.280000E-01,+2.467484E-10,+0.000000E+00,-1.496078E-10
+1.290000E-01,+2.694594E-09,+0.000000E+00,-1.999690E-10
+1.300000E-01,+1.950692E-09,+0.000000E+00,-1.747880E-10
+1.310000E-01,+1.970799E-09,+0.000000E+00,-9.924622E-11
+1.320000E-01,+3.765227E-09,+0.000000E+00,-8.917328E-11
+1.330000E-01,+2.418151E-09,+0.000000E+00,-2.100412E-10
+1.340000E-01,+4.276988E-10,+0.000000E+00,-1.244267E-10
+1.350000E-01,-4.871038E-10,+0.000000E+00,-1.244267E-10
+1.360000E-01,+4.729357E-10,+0.000000E+00,-2.654391E-10
+1.370000E-01,-3.262577E-10,+0.000000E+00,-1.546440E-10
+1.380000E-01,-2.558904E-10,+0.000000E+00,-9.421003E-11
+1.390000E-01,+1.789854E-09,+0.000000E+00,-1.496076E-10
+1.400000E-01,+7.644658E-10,+0.000000E+00,-1.395344E-10
+1.410000E-01,+4.427767E-10,+0.000000E+00,-1.445704E-10
+1.420000E-01,+1.885352E-09,+0.000000E+00,-7.910089E-11
+1.430000E-01,+2.553860E-09,+0.000000E+00,-9.421042E-11
+1.440000E-01,+2.518669E-09,+0.000000E+00,-1.395345E-10
+1.450000E-01,+1.292240E-09,+0.000000E+00,-1.747880E-10
+1.460000E-01,+2.664442E-09,+0.000000E+00,-1.193914E-10
+1.470000E-01,+1.045944E-09,+0.000000E+00,-1.596799E-10
+1.480000E-01,-9.997935E-10,+0.000000E+00,-3.762339E-10
+1.490000E-01,-1.654153E-10,+0.000000E+00,-1.647171E-10
+1.500000E-01,-6.982113E-10,+0.000000E+00,-1.445702E-10
+1.510000E-01,+2.664436E-09,+0.000000E+00,-1.798245E-10
+1.520000E-01,+7.644674E-10,+0.000000E+00,-9.924617E-11
+1.530000E-01,+1.186681E-09,+0.000000E+00,-1.042820E-10
+1.540000E-01,+9.253129E-10,+0.000000E+00,-7.910050E-11
+1.550000E-01,+1.297264E-09,+0.000000E+00,-1.898968E-10
+1.560000E-01,+2.523707E-09,+0.000000E+00,-9.924561E-11
+1.570000E-01,+3.152000E-09,+0.000000E+00,-9.420847E-11
+1.580000E-01,+1.840112E-09,+0.000000E+00,-1.496070E-10
