VDD,IDD,VREF,IREF
+1.800000E+00,+4.644742E-05,+0.000000E+00,-1.382377E-05
+1.799000E+00,+4.645874E-05,+0.000000E+00,-1.383224E-05
+1.798000E+00,+4.647987E-05,+0.000000E+00,-1.383670E-05
+1.797000E+00,+4.646395E-05,+0.000000E+00,-1.382658E-05
+1.796000E+00,+4.646334E-05,+0.000000E+00,-1.382996E-05
+1.795000E+00,+4.646326E-05,+0.000000E+00,-1.382620E-05
+1.794000E+00,+4.646162E-05,+0.000000E+00,-1.382708E-05
+1.793000E+00,+4.645816E-05,+0.000000E+00,-1.382507E-05
+1.792000E+00,+4.645742E-05,+0.000000E+00,-1.382286E-05
+1.791000E+00,+4.645000E-05,+0.000000E+00,-1.382869E-05
+1.790000E+00,+4.644987E-05,+0.000000E+00,-1.381903E-05
+1.789000E+00,+4.643826E-05,+0.000000E+00,-1.382244E-05
+1.788000E+00,+4.645409E-05,+0.000000E+00,-1.381482E-05
+1.787000E+00,+4.643577E-05,+0.000000E+00,-1.381334E-05
+1.786000E+00,+4.645119E-05,+0.000000E+00,-1.381587E-05
+1.785000E+00,+4.644177E-05,+0.000000E+00,-1.382018E-05
+1.784000E+00,+4.644275E-05,+0.000000E+00,-1.381567E-05
+1.783000E+00,+4.643983E-05,+0.000000E+00,-1.381674E-05
+1.782000E+00,+4.645326E-05,+0.000000E+00,-1.382490E-05
+1.781000E+00,+4.647353E-05,+0.000000E+00,-1.382731E-05
+1.780000E+00,+4.647228E-05,+0.000000E+00,-1.382957E-05
+1.779000E+00,+4.647685E-05,+0.000000E+00,-1.383058E-05
+1.778000E+00,+4.645665E-05,+0.000000E+00,-1.382552E-05
+1.777000E+00,+4.646970E-05,+0.000000E+00,-1.382728E-05
+1.776000E+00,+4.648137E-05,+0.000000E+00,-1.383519E-05
+1.775000E+00,+4.647700E-05,+0.000000E+00,-1.383761E-05
+1.774000E+00,+4.647313E-05,+0.000000E+00,-1.383337E-05
+1.773000E+00,+4.646174E-05,+0.000000E+00,-1.383459E-05
+1.772000E+00,+4.646354E-05,+0.000000E+00,-1.383342E-05
+1.771000E+00,+4.647127E-05,+0.000000E+00,-1.383112E-05
+1.770000E+00,+4.646532E-05,+0.000000E+00,-1.382655E-05
+1.769000E+00,+4.648039E-05,+0.000000E+00,-1.383392E-05
+1.768000E+00,+4.646370E-05,+0.000000E+00,-1.382624E-05
+1.767000E+00,+4.647088E-05,+0.000000E+00,-1.383386E-05
+1.766000E+00,+4.650955E-05,+0.000000E+00,-1.384901E-05
+1.765000E+00,+4.647062E-05,+0.000000E+00,-1.383673E-05
+1.764000E+00,+4.647419E-05,+0.000000E+00,-1.383243E-05
+1.763000E+00,+4.648954E-05,+0.000000E+00,-1.384306E-05
+1.762000E+00,+4.647778E-05,+0.000000E+00,-1.383190E-05
+1.761000E+00,+4.647936E-05,+0.000000E+00,-1.383662E-05
+1.760000E+00,+4.646596E-05,+0.000000E+00,-1.382359E-05
+1.759000E+00,+4.647715E-05,+0.000000E+00,-1.383438E-05
+1.758000E+00,+4.646535E-05,+0.000000E+00,-1.383563E-05
+1.757000E+00,+4.645444E-05,+0.000000E+00,-1.382498E-05
+1.756000E+00,+4.646071E-05,+0.000000E+00,-1.383384E-05
+1.755000E+00,+4.645869E-05,+0.000000E+00,-1.382505E-05
+1.754000E+00,+4.644713E-05,+0.000000E+00,-1.382074E-05
+1.753000E+00,+4.645443E-05,+0.000000E+00,-1.382945E-05
+1.752000E+00,+4.644118E-05,+0.000000E+00,-1.381937E-05
+1.751000E+00,+4.645888E-05,+0.000000E+00,-1.382914E-05
+1.750000E+00,+4.644900E-05,+0.000000E+00,-1.382812E-05
