VDD,IDD,VREF,IREF
+0.000000E+00,-5.574267E-09,+0.000000E+00,-2.352268E-10
+1.000000E-03,-5.689891E-09,+0.000000E+00,-1.496119E-10
+2.000000E-03,-6.464044E-09,+0.000000E+00,-2.050091E-10
+3.000000E-03,-3.679101E-09,+0.000000E+00,-2.201186E-10
+4.000000E-03,-3.276944E-09,+0.000000E+00,-1.596840E-10
+5.000000E-03,-2.472626E-09,+0.000000E+00,-1.546481E-10
+6.000000E-03,-2.799379E-09,+0.000000E+00,-2.251543E-10
+7.000000E-03,-1.457196E-09,+0.000000E+00,-1.848650E-10
+8.000000E-03,-7.132939E-10,+0.000000E+00,-1.445760E-10
+9.000000E-03,+7.745087E-10,+0.000000E+00,-1.294673E-10
+1.000000E-02,-7.836632E-10,+0.000000E+00,-1.093227E-10
+1.100000E-02,-6.027124E-10,+0.000000E+00,-1.848651E-10
+1.200000E-02,-1.301378E-09,+0.000000E+00,-1.899009E-10
+1.300000E-02,-5.273181E-10,+0.000000E+00,-1.697572E-10
+1.400000E-02,-1.577828E-09,+0.000000E+00,-2.251537E-10
+1.500000E-02,+8.398531E-10,+0.000000E+00,-1.345037E-10
+1.600000E-02,-1.809066E-09,+0.000000E+00,-1.546481E-10
+1.700000E-02,-2.040306E-09,+0.000000E+00,-2.301909E-10
+1.800000E-02,-2.095603E-09,+0.000000E+00,-1.697570E-10
+1.900000E-02,-6.781083E-10,+0.000000E+00,-1.395387E-10
+2.000000E-02,+9.595424E-11,+0.000000E+00,-1.596848E-10
+2.100000E-02,+1.362595E-09,+0.000000E+00,-2.604073E-10
+2.200000E-02,+2.382953E-09,+0.000000E+00,-2.100457E-10
+2.300000E-02,+2.101477E-09,+0.000000E+00,-1.798289E-10
+2.400000E-02,+3.523938E-09,+0.000000E+00,-1.647193E-10
+2.500000E-02,+2.950926E-09,+0.000000E+00,-1.345035E-10
+2.600000E-02,+2.382954E-09,+0.000000E+00,-2.201183E-10
+2.700000E-02,+1.558627E-09,+0.000000E+00,-1.647208E-10
+2.800000E-02,+1.885338E-09,+0.000000E+00,-1.445757E-10
+2.900000E-02,-1.453134E-10,+0.000000E+00,-1.949368E-10
+3.000000E-02,-7.132929E-10,+0.000000E+00,-1.244308E-10
+3.100000E-02,+8.901191E-10,+0.000000E+00,-1.345028E-10
+3.200000E-02,+1.030857E-09,+0.000000E+00,-1.496124E-10
+3.300000E-02,+1.729523E-09,+0.000000E+00,-1.496120E-10
+3.400000E-02,+1.623967E-09,+0.000000E+00,-1.093232E-10
+3.500000E-02,+7.493810E-10,+0.000000E+00,-1.647202E-10
+3.600000E-02,+2.533743E-09,+0.000000E+00,-1.596848E-10
+3.700000E-02,+3.493778E-09,+0.000000E+00,-2.150813E-10
+3.800000E-02,+2.232155E-09,+0.000000E+00,-2.150818E-10
+3.900000E-02,+4.318105E-09,+0.000000E+00,-2.150819E-10
+4.000000E-02,+2.061262E-09,+0.000000E+00,-1.445761E-10
+4.100000E-02,+1.196728E-09,+0.000000E+00,-2.251545E-10
+4.200000E-02,+3.785305E-09,+0.000000E+00,-1.596842E-10
+4.300000E-02,+1.553599E-09,+0.000000E+00,-1.193944E-10
+4.400000E-02,+1.086145E-09,+0.000000E+00,-1.697562E-10
+4.500000E-02,-6.228188E-10,+0.000000E+00,-1.596837E-10
+4.600000E-02,+1.106250E-09,+0.000000E+00,-7.910539E-11
+4.700000E-02,+3.091662E-09,+0.000000E+00,-1.798284E-10
+4.800000E-02,+1.548574E-09,+0.000000E+00,-1.848650E-10
+4.900000E-02,+2.423161E-09,+0.000000E+00,-1.546485E-10
+5.000000E-02,+3.644573E-09,+0.000000E+00,-1.899010E-10
+5.100000E-02,+3.900912E-09,+0.000000E+00,-1.395394E-10
+5.200000E-02,+1.885342E-09,+0.000000E+00,-1.747923E-10
+5.300000E-02,+4.916247E-09,+0.000000E+00,-1.697569E-10
+5.400000E-02,+4.710159E-09,+0.000000E+00,-9.925094E-11
+5.500000E-02,+2.262318E-09,+0.000000E+00,-1.546472E-10
+5.600000E-02,+3.579220E-09,+0.000000E+00,-1.848646E-10
+5.700000E-02,+3.141931E-09,+0.000000E+00,-1.798277E-10
+5.800000E-02,+3.056481E-09,+0.000000E+00,-2.251538E-10
+5.900000E-02,+6.337724E-10,+0.000000E+00,-1.445751E-10
+6.000000E-02,+3.388218E-09,+0.000000E+00,-1.294669E-10
