VREF,IREF,VDD,IDD
+1.800000E+00,+1.519548E-08,+1.800000E+00,+3.576826E-05
+1.775000E+00,-2.071395E-06,+1.800000E+00,+3.753173E-05
+1.750000E+00,-3.977957E-06,+1.800000E+00,+3.945694E-05
+1.725000E+00,-5.700855E-06,+1.800000E+00,+4.119329E-05
+1.700000E+00,-7.228580E-06,+1.800000E+00,+4.271182E-05
+1.675000E+00,-8.562363E-06,+1.800000E+00,+4.404138E-05
+1.650000E+00,-9.703173E-06,+1.800000E+00,+4.519943E-05
+1.625000E+00,-1.064798E-05,+1.800000E+00,+4.613610E-05
+1.600000E+00,-1.141910E-05,+1.800000E+00,+4.692783E-05
+1.575000E+00,-1.203882E-05,+1.800000E+00,+4.755219E-05
+1.550000E+00,-1.253756E-05,+1.800000E+00,+4.805927E-05
+1.525000E+00,-1.292978E-05,+1.800000E+00,+4.845588E-05
+1.500000E+00,-1.323876E-05,+1.800000E+00,+4.875493E-05
+1.475000E+00,-1.350225E-05,+1.800000E+00,+4.902312E-05
+1.450000E+00,-1.372873E-05,+1.800000E+00,+4.924782E-05
+1.425000E+00,-1.391585E-05,+1.800000E+00,+4.942193E-05
+1.400000E+00,-1.408402E-05,+1.800000E+00,+4.958814E-05
+1.375000E+00,-1.423172E-05,+1.800000E+00,+4.974589E-05
+1.350000E+00,-1.436803E-05,+1.800000E+00,+4.989106E-05
+1.325000E+00,-1.448201E-05,+1.800000E+00,+5.000394E-05
+1.300000E+00,-1.457933E-05,+1.800000E+00,+5.009456E-05
+1.275000E+00,-1.467185E-05,+1.800000E+00,+5.019077E-05
+1.250000E+00,-1.475243E-05,+1.800000E+00,+5.028898E-05
+1.225000E+00,-1.480727E-05,+1.800000E+00,+5.033251E-05
+1.200000E+00,-1.485336E-05,+1.800000E+00,+5.037967E-05
+1.175000E+00,-1.490277E-05,+1.800000E+00,+5.042010E-05
+1.150000E+00,-1.492344E-05,+1.800000E+00,+5.042960E-05
+1.125000E+00,-1.494456E-05,+1.800000E+00,+5.045611E-05
+1.100000E+00,-1.495978E-05,+1.800000E+00,+5.047378E-05
+1.075000E+00,-1.496348E-05,+1.800000E+00,+5.045191E-05
+1.050000E+00,-1.497561E-05,+1.800000E+00,+5.046987E-05
+1.025000E+00,-1.498737E-05,+1.800000E+00,+5.049572E-05
+1.000000E+00,-1.499259E-05,+1.800000E+00,+5.049337E-05
+9.750000E-01,-1.499636E-05,+1.800000E+00,+5.049834E-05
+9.500000E-01,-1.499772E-05,+1.800000E+00,+5.048668E-05
+9.250000E-01,-1.499898E-05,+1.800000E+00,+5.048545E-05
+9.000000E-01,-1.500102E-05,+1.800000E+00,+5.049710E-05
+8.750000E-01,-1.499527E-05,+1.800000E+00,+5.048245E-05
+8.500000E-01,-1.500134E-05,+1.800000E+00,+5.049779E-05
+8.250000E-01,-1.500453E-05,+1.800000E+00,+5.049315E-05
+8.000000E-01,-1.501406E-05,+1.800000E+00,+5.050571E-05
+7.750000E-01,-1.501092E-05,+1.800000E+00,+5.049567E-05
+7.500000E-01,-1.501713E-05,+1.800000E+00,+5.050122E-05
+7.250000E-01,-1.502202E-05,+1.800000E+00,+5.050969E-05
+7.000000E-01,-1.501923E-05,+1.800000E+00,+5.049415E-05
+6.750000E-01,-1.502217E-05,+1.800000E+00,+5.050660E-05
+6.500000E-01,-1.502101E-05,+1.800000E+00,+5.052003E-05
+6.250000E-01,-1.502966E-05,+1.800000E+00,+5.055486E-05
+6.000000E-01,-1.503299E-05,+1.800000E+00,+5.055889E-05
+5.750000E-01,-1.502853E-05,+1.800000E+00,+5.055168E-05
+5.500000E-01,-1.503475E-05,+1.800000E+00,+5.054712E-05
+5.250000E-01,-1.503698E-05,+1.800000E+00,+5.056175E-05
+5.000000E-01,-1.504037E-05,+1.800000E+00,+5.056765E-05
+4.750000E-01,-1.504180E-05,+1.800000E+00,+5.055712E-05
+4.500000E-01,-1.504184E-05,+1.800000E+00,+5.055709E-05
+4.250000E-01,-1.504039E-05,+1.800000E+00,+5.055300E-05
+4.000000E-01,-1.504137E-05,+1.800000E+00,+5.054712E-05
+3.750000E-01,-1.504354E-05,+1.800000E+00,+5.055167E-05
+3.500000E-01,-1.504393E-05,+1.800000E+00,+5.055149E-05
+3.250000E-01,-1.505001E-05,+1.800000E+00,+5.056101E-05
+3.000000E-01,-1.505076E-05,+1.800000E+00,+5.056012E-05
+2.750000E-01,-1.505220E-05,+1.800000E+00,+5.057571E-05
+2.500000E-01,-1.505133E-05,+1.800000E+00,+5.056482E-05
+2.250000E-01,-1.505168E-05,+1.800000E+00,+5.055096E-05
+2.000000E-01,-1.504680E-05,+1.800000E+00,+5.055561E-05
+1.750000E-01,-1.504216E-05,+1.800000E+00,+5.052149E-05
+1.500000E-01,-1.504439E-05,+1.800000E+00,+5.052382E-05
+1.250000E-01,-1.504224E-05,+1.800000E+00,+5.052732E-05
+1.000000E-01,-1.504909E-05,+1.800000E+00,+5.054232E-05
+7.500000E-02,-1.505166E-05,+1.800000E+00,+5.055267E-05
+5.000000E-02,-1.504920E-05,+1.800000E+00,+5.055237E-05
+2.500000E-02,-1.505210E-05,+1.800000E+00,+5.054545E-05
+0.000000E+00,-1.505906E-05,+1.800000E+00,+5.057523E-05
