VREF,IREF,VDD,IDD
+1.800000E+00,+1.548760E-08,+1.800000E+00,+3.576232E-05
+1.775000E+00,-2.072025E-06,+1.800000E+00,+3.751833E-05
+1.750000E+00,-3.979559E-06,+1.800000E+00,+3.945030E-05
+1.725000E+00,-5.700839E-06,+1.800000E+00,+4.118216E-05
+1.700000E+00,-7.227857E-06,+1.800000E+00,+4.268436E-05
+1.675000E+00,-8.561385E-06,+1.800000E+00,+4.404269E-05
+1.650000E+00,-9.699561E-06,+1.800000E+00,+4.518377E-05
+1.625000E+00,-1.064165E-05,+1.800000E+00,+4.611613E-05
+1.600000E+00,-1.141670E-05,+1.800000E+00,+4.690305E-05
+1.575000E+00,-1.203018E-05,+1.800000E+00,+4.751312E-05
+1.550000E+00,-1.251903E-05,+1.800000E+00,+4.800360E-05
+1.525000E+00,-1.291539E-05,+1.800000E+00,+4.841763E-05
+1.500000E+00,-1.322869E-05,+1.800000E+00,+4.873492E-05
+1.475000E+00,-1.348910E-05,+1.800000E+00,+4.898604E-05
+1.450000E+00,-1.371195E-05,+1.800000E+00,+4.921978E-05
+1.425000E+00,-1.390444E-05,+1.800000E+00,+4.940462E-05
+1.400000E+00,-1.407394E-05,+1.800000E+00,+4.957366E-05
+1.375000E+00,-1.421193E-05,+1.800000E+00,+4.969219E-05
+1.350000E+00,-1.435698E-05,+1.800000E+00,+4.986150E-05
+1.325000E+00,-1.447498E-05,+1.800000E+00,+4.997858E-05
+1.300000E+00,-1.457827E-05,+1.800000E+00,+5.008391E-05
+1.275000E+00,-1.466732E-05,+1.800000E+00,+5.016107E-05
+1.250000E+00,-1.474092E-05,+1.800000E+00,+5.023916E-05
+1.225000E+00,-1.479748E-05,+1.800000E+00,+5.028156E-05
+1.200000E+00,-1.484917E-05,+1.800000E+00,+5.034102E-05
+1.175000E+00,-1.488307E-05,+1.800000E+00,+5.037507E-05
+1.150000E+00,-1.491123E-05,+1.800000E+00,+5.039602E-05
+1.125000E+00,-1.493442E-05,+1.800000E+00,+5.042087E-05
+1.100000E+00,-1.494493E-05,+1.800000E+00,+5.042199E-05
+1.075000E+00,-1.495975E-05,+1.800000E+00,+5.044776E-05
+1.050000E+00,-1.496048E-05,+1.800000E+00,+5.044937E-05
+1.025000E+00,-1.496818E-05,+1.800000E+00,+5.045039E-05
+1.000000E+00,-1.497190E-05,+1.800000E+00,+5.044981E-05
+9.750000E-01,-1.497735E-05,+1.800000E+00,+5.045419E-05
+9.500000E-01,-1.498128E-05,+1.800000E+00,+5.045945E-05
+9.250000E-01,-1.498705E-05,+1.800000E+00,+5.047124E-05
+9.000000E-01,-1.499063E-05,+1.800000E+00,+5.046616E-05
+8.750000E-01,-1.499579E-05,+1.800000E+00,+5.049284E-05
+8.500000E-01,-1.500057E-05,+1.800000E+00,+5.049160E-05
+8.250000E-01,-1.499793E-05,+1.800000E+00,+5.048641E-05
+8.000000E-01,-1.499781E-05,+1.800000E+00,+5.048871E-05
+7.750000E-01,-1.500057E-05,+1.800000E+00,+5.049962E-05
+7.500000E-01,-1.501071E-05,+1.800000E+00,+5.049834E-05
+7.250000E-01,-1.501089E-05,+1.800000E+00,+5.049933E-05
+7.000000E-01,-1.500348E-05,+1.800000E+00,+5.049083E-05
+6.750000E-01,-1.501536E-05,+1.800000E+00,+5.049650E-05
+6.500000E-01,-1.501338E-05,+1.800000E+00,+5.049494E-05
+6.250000E-01,-1.500730E-05,+1.800000E+00,+5.049630E-05
+6.000000E-01,-1.501694E-05,+1.800000E+00,+5.050123E-05
+5.750000E-01,-1.501581E-05,+1.800000E+00,+5.050824E-05
+5.500000E-01,-1.501109E-05,+1.800000E+00,+5.050167E-05
+5.250000E-01,-1.501932E-05,+1.800000E+00,+5.050586E-05
+5.000000E-01,-1.502762E-05,+1.800000E+00,+5.051869E-05
+4.750000E-01,-1.502799E-05,+1.800000E+00,+5.053202E-05
+4.500000E-01,-1.502320E-05,+1.800000E+00,+5.051096E-05
+4.250000E-01,-1.502794E-05,+1.800000E+00,+5.053281E-05
+4.000000E-01,-1.503180E-05,+1.800000E+00,+5.052814E-05
+3.750000E-01,-1.504007E-05,+1.800000E+00,+5.055059E-05
+3.500000E-01,-1.503427E-05,+1.800000E+00,+5.055334E-05
+3.250000E-01,-1.503823E-05,+1.800000E+00,+5.054797E-05
+3.000000E-01,-1.503977E-05,+1.800000E+00,+5.054663E-05
+2.750000E-01,-1.504222E-05,+1.800000E+00,+5.055700E-05
+2.500000E-01,-1.504316E-05,+1.800000E+00,+5.051928E-05
+2.250000E-01,-1.504536E-05,+1.800000E+00,+5.055037E-05
+2.000000E-01,-1.504597E-05,+1.800000E+00,+5.055579E-05
+1.750000E-01,-1.504316E-05,+1.800000E+00,+5.054977E-05
+1.500000E-01,-1.504571E-05,+1.800000E+00,+5.055925E-05
+1.250000E-01,-1.504906E-05,+1.800000E+00,+5.054898E-05
+1.000000E-01,-1.504929E-05,+1.800000E+00,+5.055489E-05
+7.500000E-02,-1.505273E-05,+1.800000E+00,+5.056138E-05
+5.000000E-02,-1.504850E-05,+1.800000E+00,+5.054929E-05
+2.500000E-02,-1.505127E-05,+1.800000E+00,+5.055633E-05
+0.000000E+00,-1.505219E-05,+1.800000E+00,+5.055813E-05
