VREF,IREF,VDD,IDD
+1.800000E+00,+1.692287E-08,+1.800000E+00,+3.521069E-05
+1.782850E+00,-1.434462E-06,+1.800000E+00,+3.695156E-05
+1.765700E+00,-2.800806E-06,+1.800000E+00,+3.831538E-05
+1.748550E+00,-4.082450E-06,+1.800000E+00,+3.960095E-05
+1.731450E+00,-5.272398E-06,+1.800000E+00,+4.079152E-05
+1.714300E+00,-6.378256E-06,+1.800000E+00,+4.190275E-05
+1.697150E+00,-7.391591E-06,+1.800000E+00,+4.290836E-05
+1.680000E+00,-8.310412E-06,+1.800000E+00,+4.382964E-05
+1.662850E+00,-9.140398E-06,+1.800000E+00,+4.463967E-05
+1.645700E+00,-9.873022E-06,+1.800000E+00,+4.536956E-05
+1.628550E+00,-1.052101E-05,+1.800000E+00,+4.600783E-05
+1.611450E+00,-1.107892E-05,+1.800000E+00,+4.655986E-05
+1.594300E+00,-1.156806E-05,+1.800000E+00,+4.705994E-05
+1.577150E+00,-1.198493E-05,+1.800000E+00,+4.747526E-05
+1.560000E+00,-1.234488E-05,+1.800000E+00,+4.783185E-05
+1.542850E+00,-1.265054E-05,+1.800000E+00,+4.813433E-05
+1.525700E+00,-1.291071E-05,+1.800000E+00,+4.839784E-05
+1.508550E+00,-1.313609E-05,+1.800000E+00,+4.863091E-05
+1.491450E+00,-1.333626E-05,+1.800000E+00,+4.883469E-05
+1.474300E+00,-1.351241E-05,+1.800000E+00,+4.900337E-05
+1.457150E+00,-1.366243E-05,+1.800000E+00,+4.915383E-05
+1.440000E+00,-1.380434E-05,+1.800000E+00,+4.928566E-05
+1.422850E+00,-1.392594E-05,+1.800000E+00,+4.941087E-05
+1.405700E+00,-1.404529E-05,+1.800000E+00,+4.952725E-05
+1.388550E+00,-1.415056E-05,+1.800000E+00,+4.961971E-05
+1.371450E+00,-1.425548E-05,+1.800000E+00,+4.974375E-05
+1.354300E+00,-1.434284E-05,+1.800000E+00,+4.983014E-05
+1.337150E+00,-1.442332E-05,+1.800000E+00,+4.990910E-05
+1.320000E+00,-1.450860E-05,+1.800000E+00,+4.999670E-05
+1.302850E+00,-1.457593E-05,+1.800000E+00,+5.006304E-05
+1.285700E+00,-1.463320E-05,+1.800000E+00,+5.011884E-05
+1.268550E+00,-1.469197E-05,+1.800000E+00,+5.017446E-05
+1.251450E+00,-1.474419E-05,+1.800000E+00,+5.022260E-05
+1.234300E+00,-1.479479E-05,+1.800000E+00,+5.028732E-05
+1.217150E+00,-1.482948E-05,+1.800000E+00,+5.031441E-05
+1.200000E+00,-1.486459E-05,+1.800000E+00,+5.036065E-05
+1.182850E+00,-1.488076E-05,+1.800000E+00,+5.036019E-05
+1.165700E+00,-1.491038E-05,+1.800000E+00,+5.039481E-05
+1.148550E+00,-1.492969E-05,+1.800000E+00,+5.040519E-05
+1.131450E+00,-1.494211E-05,+1.800000E+00,+5.041223E-05
+1.114300E+00,-1.495716E-05,+1.800000E+00,+5.042619E-05
+1.097150E+00,-1.496026E-05,+1.800000E+00,+5.043866E-05
+1.080000E+00,-1.497756E-05,+1.800000E+00,+5.047828E-05
+1.062850E+00,-1.498131E-05,+1.800000E+00,+5.047128E-05
+1.045700E+00,-1.498165E-05,+1.800000E+00,+5.045184E-05
+1.028550E+00,-1.498661E-05,+1.800000E+00,+5.046264E-05
+1.011450E+00,-1.498821E-05,+1.800000E+00,+5.046673E-05
+9.943000E-01,-1.498995E-05,+1.800000E+00,+5.048885E-05
+9.771500E-01,-1.499124E-05,+1.800000E+00,+5.047812E-05
+9.600000E-01,-1.499433E-05,+1.800000E+00,+5.046932E-05
+9.428500E-01,-1.501017E-05,+1.800000E+00,+5.050122E-05
+9.257000E-01,-1.499940E-05,+1.800000E+00,+5.048142E-05
+9.085500E-01,-1.499648E-05,+1.800000E+00,+5.044967E-05
+8.914500E-01,-1.499754E-05,+1.800000E+00,+5.045425E-05
+8.743000E-01,-1.499889E-05,+1.800000E+00,+5.045592E-05
+8.571500E-01,-1.500515E-05,+1.800000E+00,+5.046018E-05
+8.400000E-01,-1.501008E-05,+1.800000E+00,+5.048595E-05
+8.228500E-01,-1.501399E-05,+1.800000E+00,+5.049969E-05
+8.057000E-01,-1.501644E-05,+1.800000E+00,+5.050383E-05
+7.885500E-01,-1.501899E-05,+1.800000E+00,+5.050670E-05
+7.714500E-01,-1.501851E-05,+1.800000E+00,+5.050950E-05
+7.543000E-01,-1.502402E-05,+1.800000E+00,+5.051044E-05
+7.371500E-01,-1.502208E-05,+1.800000E+00,+5.050707E-05
+7.200000E-01,-1.502367E-05,+1.800000E+00,+5.051233E-05
+7.028500E-01,-1.502428E-05,+1.800000E+00,+5.051590E-05
+6.857000E-01,-1.502662E-05,+1.800000E+00,+5.052313E-05
+6.685500E-01,-1.503350E-05,+1.800000E+00,+5.052871E-05
+6.514500E-01,-1.502027E-05,+1.800000E+00,+5.050635E-05
+6.343000E-01,-1.502622E-05,+1.800000E+00,+5.051920E-05
+6.171500E-01,-1.503314E-05,+1.800000E+00,+5.053535E-05
+6.000000E-01,-1.503154E-05,+1.800000E+00,+5.052701E-05
+5.828500E-01,-1.503451E-05,+1.800000E+00,+5.053511E-05
+5.657000E-01,-1.503278E-05,+1.800000E+00,+5.052559E-05
