VDD,IDD,VREF,IREF
+1.800000E+00,+4.907614E-05,+0.000000E+00,-1.461184E-05
+1.790000E+00,+4.908007E-05,+0.000000E+00,-1.461814E-05
+1.780000E+00,+4.907557E-05,+0.000000E+00,-1.461672E-05
+1.770000E+00,+4.906789E-05,+0.000000E+00,-1.461535E-05
+1.760000E+00,+4.903516E-05,+0.000000E+00,-1.460510E-05
+1.750000E+00,+4.903266E-05,+0.000000E+00,-1.460439E-05
+1.740000E+00,+4.902723E-05,+0.000000E+00,-1.460453E-05
+1.730000E+00,+4.904065E-05,+0.000000E+00,-1.461032E-05
+1.720000E+00,+4.902940E-05,+0.000000E+00,-1.460340E-05
+1.710000E+00,+4.903526E-05,+0.000000E+00,-1.460988E-05
+1.700000E+00,+4.902971E-05,+0.000000E+00,-1.460706E-05
+1.690000E+00,+4.900557E-05,+0.000000E+00,-1.459638E-05
+1.680000E+00,+4.900274E-05,+0.000000E+00,-1.459543E-05
+1.670000E+00,+4.901170E-05,+0.000000E+00,-1.460339E-05
+1.660000E+00,+4.900970E-05,+0.000000E+00,-1.460333E-05
+1.650000E+00,+4.899570E-05,+0.000000E+00,-1.459525E-05
+1.640000E+00,+4.899261E-05,+0.000000E+00,-1.459860E-05
+1.630000E+00,+4.898888E-05,+0.000000E+00,-1.459729E-05
+1.620000E+00,+4.898567E-05,+0.000000E+00,-1.459752E-05
+1.610000E+00,+4.895938E-05,+0.000000E+00,-1.458709E-05
+1.600000E+00,+4.896005E-05,+0.000000E+00,-1.458861E-05
+1.590000E+00,+4.892860E-05,+0.000000E+00,-1.457911E-05
+1.580000E+00,+4.891673E-05,+0.000000E+00,-1.457001E-05
+1.570000E+00,+4.891238E-05,+0.000000E+00,-1.457559E-05
+1.560000E+00,+4.889587E-05,+0.000000E+00,-1.457218E-05
+1.550000E+00,+4.882879E-05,+0.000000E+00,-1.455037E-05
+1.540000E+00,+4.881791E-05,+0.000000E+00,-1.455055E-05
+1.530000E+00,+4.877944E-05,+0.000000E+00,-1.453832E-05
+1.520000E+00,+4.872081E-05,+0.000000E+00,-1.452165E-05
+1.510000E+00,+4.865835E-05,+0.000000E+00,-1.450525E-05
+1.500000E+00,+4.856463E-05,+0.000000E+00,-1.447882E-05
+1.490000E+00,+4.844831E-05,+0.000000E+00,-1.444502E-05
+1.480000E+00,+4.827321E-05,+0.000000E+00,-1.438782E-05
+1.470000E+00,+4.806321E-05,+0.000000E+00,-1.432509E-05
+1.460000E+00,+4.778335E-05,+0.000000E+00,-1.424862E-05
+1.450000E+00,+4.743389E-05,+0.000000E+00,-1.414272E-05
+1.440000E+00,+4.702257E-05,+0.000000E+00,-1.402532E-05
+1.430000E+00,+4.650435E-05,+0.000000E+00,-1.387030E-05
+1.420000E+00,+4.590813E-05,+0.000000E+00,-1.368711E-05
+1.410000E+00,+4.524804E-05,+0.000000E+00,-1.349255E-05
+1.400000E+00,+4.452847E-05,+0.000000E+00,-1.328030E-05
+1.390000E+00,+4.375731E-05,+0.000000E+00,-1.305739E-05
+1.380000E+00,+4.292815E-05,+0.000000E+00,-1.281430E-05
+1.370000E+00,+4.205919E-05,+0.000000E+00,-1.255798E-05
+1.360000E+00,+4.115189E-05,+0.000000E+00,-1.228891E-05
+1.350000E+00,+4.022834E-05,+0.000000E+00,-1.201682E-05
+1.340000E+00,+3.926999E-05,+0.000000E+00,-1.173420E-05
+1.330000E+00,+3.829935E-05,+0.000000E+00,-1.144616E-05
+1.320000E+00,+3.731703E-05,+0.000000E+00,-1.115541E-05
+1.310000E+00,+3.632021E-05,+0.000000E+00,-1.085832E-05
+1.300000E+00,+3.533514E-05,+0.000000E+00,-1.056849E-05
+1.290000E+00,+3.432901E-05,+0.000000E+00,-1.027137E-05
+1.280000E+00,+3.332744E-05,+0.000000E+00,-9.974305E-06
+1.270000E+00,+3.233117E-05,+0.000000E+00,-9.676157E-06
+1.260000E+00,+3.135024E-05,+0.000000E+00,-9.389560E-06
+1.250000E+00,+3.036746E-05,+0.000000E+00,-9.100268E-06
+1.240000E+00,+2.939324E-05,+0.000000E+00,-8.812573E-06
+1.230000E+00,+2.842634E-05,+0.000000E+00,-8.524556E-06
+1.220000E+00,+2.746789E-05,+0.000000E+00,-8.240139E-06
+1.210000E+00,+2.652164E-05,+0.000000E+00,-7.959986E-06
+1.200000E+00,+2.559184E-05,+0.000000E+00,-7.687215E-06
+1.190000E+00,+2.466639E-05,+0.000000E+00,-7.412286E-06
+1.180000E+00,+2.376381E-05,+0.000000E+00,-7.144990E-06
+1.170000E+00,+2.287227E-05,+0.000000E+00,-6.880332E-06
+1.160000E+00,+2.199742E-05,+0.000000E+00,-6.620001E-06
+1.150000E+00,+2.113327E-05,+0.000000E+00,-6.363451E-06
+1.140000E+00,+2.028867E-05,+0.000000E+00,-6.113522E-06
+1.130000E+00,+1.946425E-05,+0.000000E+00,-5.868372E-06
+1.120000E+00,+1.864915E-05,+0.000000E+00,-5.626679E-06
+1.110000E+00,+1.785330E-05,+0.000000E+00,-5.390080E-06
+1.100000E+00,+1.707831E-05,+0.000000E+00,-5.160122E-06
+1.090000E+00,+1.631597E-05,+0.000000E+00,-4.933646E-06
+1.080000E+00,+1.557485E-05,+0.000000E+00,-4.713702E-06
+1.070000E+00,+1.485956E-05,+0.000000E+00,-4.499809E-06
+1.060000E+00,+1.415631E-05,+0.000000E+00,-4.291011E-06
+1.050000E+00,+1.347119E-05,+0.000000E+00,-4.086998E-06
+1.040000E+00,+1.280246E-05,+0.000000E+00,-3.888472E-06
+1.030000E+00,+1.216386E-05,+0.000000E+00,-3.699030E-06
+1.020000E+00,+1.153605E-05,+0.000000E+00,-3.511301E-06
+1.010000E+00,+1.092749E-05,+0.000000E+00,-3.328647E-06
+1.000000E+00,+1.033821E-05,+0.000000E+00,-3.152631E-06
+9.900000E-01,+9.769300E-06,+0.000000E+00,-2.981872E-06
+9.800000E-01,+9.220396E-06,+0.000000E+00,-2.817663E-06
+9.700000E-01,+8.690709E-06,+0.000000E+00,-2.659209E-06
+9.600000E-01,+8.179768E-06,+0.000000E+00,-2.505952E-06
+9.500000E-01,+7.688106E-06,+0.000000E+00,-2.358209E-06
+9.400000E-01,+7.214925E-06,+0.000000E+00,-2.214915E-06
+9.300000E-01,+6.763840E-06,+0.000000E+00,-2.079243E-06
+9.200000E-01,+6.328428E-06,+0.000000E+00,-1.948005E-06
+9.100000E-01,+5.911982E-06,+0.000000E+00,-1.821344E-06
+9.000000E-01,+5.515166E-06,+0.000000E+00,-1.702261E-06
+8.900000E-01,+5.135508E-06,+0.000000E+00,-1.587864E-06
+8.800000E-01,+4.773789E-06,+0.000000E+00,-1.479165E-06
+8.700000E-01,+4.428149E-06,+0.000000E+00,-1.374015E-06
+8.600000E-01,+4.099640E-06,+0.000000E+00,-1.274664E-06
+8.500000E-01,+3.786984E-06,+0.000000E+00,-1.179686E-06
+8.400000E-01,+3.490072E-06,+0.000000E+00,-1.089770E-06
+8.300000E-01,+3.209147E-06,+0.000000E+00,-1.004617E-06
+8.200000E-01,+2.941674E-06,+0.000000E+00,-9.230520E-07
+8.100000E-01,+2.687763E-06,+0.000000E+00,-8.460975E-07
+8.000000E-01,+2.449118E-06,+0.000000E+00,-7.732089E-07
+7.900000E-01,+2.222427E-06,+0.000000E+00,-7.040975E-07
+7.800000E-01,+2.008608E-06,+0.000000E+00,-6.388390E-07
+7.700000E-01,+1.807767E-06,+0.000000E+00,-5.776665E-07
+7.600000E-01,+1.620868E-06,+0.000000E+00,-5.205033E-07
+7.500000E-01,+1.446220E-06,+0.000000E+00,-4.666426E-07
+7.400000E-01,+1.284719E-06,+0.000000E+00,-4.173243E-07
+7.300000E-01,+1.136764E-06,+0.000000E+00,-3.710305E-07
+7.200000E-01,+1.000710E-06,+0.000000E+00,-3.288000E-07
+7.100000E-01,+8.771286E-07,+0.000000E+00,-2.903071E-07
+7.000000E-01,+7.653632E-07,+0.000000E+00,-2.550076E-07
+6.900000E-01,+6.645164E-07,+0.000000E+00,-2.227413E-07
+6.800000E-01,+5.735616E-07,+0.000000E+00,-1.931143E-07
+6.700000E-01,+4.919065E-07,+0.000000E+00,-1.665850E-07
+6.600000E-01,+4.186349E-07,+0.000000E+00,-1.422617E-07
+6.500000E-01,+3.521840E-07,+0.000000E+00,-1.201750E-07
+6.400000E-01,+2.925943E-07,+0.000000E+00,-1.000169E-07
+6.300000E-01,+2.400973E-07,+0.000000E+00,-8.243793E-08
+6.200000E-01,+1.939939E-07,+0.000000E+00,-6.663696E-08
+6.100000E-01,+1.556317E-07,+0.000000E+00,-5.356630E-08
+6.000000E-01,+1.244369E-07,+0.000000E+00,-4.263623E-08
+5.900000E-01,+9.949546E-08,+0.000000E+00,-3.484892E-08
+5.800000E-01,+7.995224E-08,+0.000000E+00,-2.786776E-08
+5.700000E-01,+6.458126E-08,+0.000000E+00,-2.299707E-08
+5.600000E-01,+5.238690E-08,+0.000000E+00,-1.885165E-08
+5.500000E-01,+4.257518E-08,+0.000000E+00,-1.561289E-08
+5.400000E-01,+3.466844E-08,+0.000000E+00,-1.301887E-08
+5.300000E-01,+2.835515E-08,+0.000000E+00,-1.073711E-08
+5.200000E-01,+2.281588E-08,+0.000000E+00,-9.125341E-09
+5.100000E-01,+1.849810E-08,+0.000000E+00,-7.573922E-09
+5.000000E-01,+1.474330E-08,+0.000000E+00,-6.188778E-09
+4.900000E-01,+1.161681E-08,+0.000000E+00,-5.085699E-09
+4.800000E-01,+9.334762E-09,+0.000000E+00,-4.279757E-09
+4.700000E-01,+7.148219E-09,+0.000000E+00,-3.443640E-09
+4.600000E-01,+5.388944E-09,+0.000000E+00,-2.879499E-09
+4.500000E-01,+4.016686E-09,+0.000000E+00,-2.073595E-09
+4.400000E-01,+2.875668E-09,+0.000000E+00,-1.640416E-09
+4.300000E-01,+2.146828E-09,+0.000000E+00,-1.600117E-09
+4.200000E-01,+1.272208E-09,+0.000000E+00,-9.956851E-10
+4.100000E-01,+7.695566E-10,+0.000000E+00,-1.030944E-09
+4.000000E-01,+3.473297E-10,+0.000000E+00,-7.841560E-10
+3.900000E-01,+1.563248E-10,+0.000000E+00,-1.020870E-09
+3.800000E-01,-1.301879E-10,+0.000000E+00,-4.870158E-10
+3.700000E-01,-3.815159E-10,+0.000000E+00,-5.978155E-10
+3.600000E-01,-3.764885E-10,+0.000000E+00,-3.611081E-10
+3.500000E-01,-6.278152E-10,+0.000000E+00,-1.042596E-10
+3.400000E-01,-5.775496E-10,+0.000000E+00,-7.403750E-11
+3.300000E-01,-7.032134E-10,+0.000000E+00,-1.747643E-10
+3.200000E-01,-5.323112E-10,+0.000000E+00,-3.510360E-10
+3.100000E-01,-5.926286E-10,+0.000000E+00,-4.014013E-10
+3.000000E-01,-7.333738E-10,+0.000000E+00,-3.913264E-10
+2.900000E-01,-6.479225E-10,+0.000000E+00,-5.893486E-11
+2.800000E-01,-5.423626E-10,+0.000000E+00,-2.049864E-10
+2.700000E-01,-6.177627E-10,+0.000000E+00,-8.915213E-11
+2.600000E-01,-7.082389E-10,+0.000000E+00,-4.886114E-11
+2.500000E-01,-6.378678E-10,+0.000000E+00,-5.575239E-10
+2.400000E-01,-6.629997E-10,+0.000000E+00,-3.258532E-10
+2.300000E-01,-6.529477E-10,+0.000000E+00,-1.193723E-10
+2.200000E-01,-8.791418E-10,+0.000000E+00,-4.114706E-10
+2.100000E-01,-7.987175E-10,+0.000000E+00,-1.193660E-10
+2.000000E-01,-5.674970E-10,+0.000000E+00,+1.576312E-10
+1.900000E-01,-5.876015E-10,+0.000000E+00,-1.294378E-10
+1.800000E-01,-6.378660E-10,+0.000000E+00,-2.553453E-10
+1.700000E-01,-8.087690E-10,+0.000000E+00,-2.452741E-10
+1.600000E-01,-6.881345E-10,+0.000000E+00,-2.871825E-11
+1.500000E-01,-7.534788E-10,+0.000000E+00,-1.395118E-10
+1.400000E-01,-7.836371E-10,+0.000000E+00,-4.885808E-11
+1.300000E-01,-7.484511E-10,+0.000000E+00,-2.754915E-10
+1.200000E-01,-7.836365E-10,+0.000000E+00,+5.186740E-11
+1.100000E-01,-7.735840E-10,+0.000000E+00,-2.855651E-10
+1.000000E-01,-7.283457E-10,+0.000000E+00,-2.754935E-10
+9.000000E-02,-7.585057E-10,+0.000000E+00,-8.568923E-12
+8.000000E-02,-7.987166E-10,+0.000000E+00,-2.503128E-10
+7.000000E-02,-7.735845E-10,+0.000000E+00,-1.646910E-10
+6.000000E-02,-7.886645E-10,+0.000000E+00,-1.747639E-10
+5.000000E-02,-8.339021E-10,+0.000000E+00,-3.107448E-10
+4.000000E-02,-7.283466E-10,+0.000000E+00,-4.467260E-10
+3.000000E-02,-6.529468E-10,+0.000000E+00,-1.344768E-10
+2.000000E-02,-7.182930E-10,+0.000000E+00,-1.395102E-10
+1.000000E-02,-8.540094E-10,+0.000000E+00,-5.892731E-11
+0.000000E+00,-8.037436E-10,+0.000000E+00,-3.963682E-10
