VDD,IDD,VREF,IREF
+0.000000E+00,-5.574415E-10,+0.000000E+00,-9.921258E-11
+1.000000E-02,-6.177628E-10,+0.000000E+00,+1.475614E-10
+2.000000E-02,-8.590342E-10,+0.000000E+00,-4.366547E-10
+3.000000E-02,-7.886634E-10,+0.000000E+00,-6.396694E-11
+4.000000E-02,-7.434257E-10,+0.000000E+00,-3.812528E-10
+5.000000E-02,-7.132656E-10,+0.000000E+00,-1.898741E-10
+6.000000E-02,-6.881336E-10,+0.000000E+00,-4.215470E-10
+7.000000E-02,-7.132662E-10,+0.000000E+00,+2.633952E-10
+8.000000E-02,-7.032137E-10,+0.000000E+00,-7.907125E-11
+9.000000E-02,-7.936909E-10,+0.000000E+00,-4.215487E-10
+1.000000E-01,-7.032119E-10,+0.000000E+00,-1.459071E-09
+1.100000E-01,-6.428951E-10,+0.000000E+00,+6.059018E-10
+1.200000E-01,-5.071780E-10,+0.000000E+00,-6.229858E-10
+1.300000E-01,-7.484507E-10,+0.000000E+00,-1.395070E-10
+1.400000E-01,-9.394596E-10,+0.000000E+00,-3.812547E-10
+1.500000E-01,-6.026828E-10,+0.000000E+00,-5.927800E-10
+1.600000E-01,-7.484511E-10,+0.000000E+00,-8.411366E-11
+1.700000E-01,-7.333717E-10,+0.000000E+00,-9.921847E-11
+1.800000E-01,-7.484512E-10,+0.000000E+00,-5.625589E-10
+1.900000E-01,-7.333713E-10,+0.000000E+00,+2.533204E-10
+2.000000E-01,-6.831057E-10,+0.000000E+00,-1.646971E-10
+2.100000E-01,-6.328419E-10,+0.000000E+00,-2.855649E-10
+2.200000E-01,-6.529475E-10,+0.000000E+00,-3.878742E-11
+2.300000E-01,-7.534782E-10,+0.000000E+00,-1.056127E-09
+2.400000E-01,-6.630008E-10,+0.000000E+00,-2.352024E-10
+2.500000E-01,-6.931601E-10,+0.000000E+00,-6.179630E-10
+2.600000E-01,-7.786112E-10,+0.000000E+00,-3.208163E-10
+2.700000E-01,-6.529478E-10,+0.000000E+00,-3.611075E-10
+2.800000E-01,-6.881322E-10,+0.000000E+00,-1.546205E-10
+2.900000E-01,-6.127349E-10,+0.000000E+00,-1.093022E-10
+3.000000E-01,-6.730534E-10,+0.000000E+00,-2.503093E-10
+3.100000E-01,-6.227886E-10,+0.000000E+00,-3.510332E-10
+3.200000E-01,-5.122032E-10,+0.000000E+00,+1.525894E-10
+3.300000E-01,-4.971261E-10,+0.000000E+00,-3.258572E-10
+3.400000E-01,-6.077103E-10,+0.000000E+00,+8.208556E-11
+3.500000E-01,-4.418342E-10,+0.000000E+00,-8.999916E-10
+3.600000E-01,-3.513567E-10,+0.000000E+00,-8.915224E-11
+3.700000E-01,-1.402425E-10,+0.000000E+00,+3.187928E-10
+3.800000E-01,-5.981760E-11,+0.000000E+00,-4.886319E-11
+3.900000E-01,+2.518277E-10,+0.000000E+00,-9.503539E-10
+4.000000E-01,+3.624092E-10,+0.000000E+00,-1.443971E-09
