VREF,IREF,VDD,IDD
+1.800000E+00,+2.005094E-08,+1.800000E+00,+3.442479E-05
+1.790000E+00,-8.362919E-07,+1.800000E+00,+3.528509E-05
+1.780000E+00,-1.662921E-06,+1.800000E+00,+3.611194E-05
+1.770000E+00,-2.459940E-06,+1.800000E+00,+3.691206E-05
+1.760000E+00,-3.226686E-06,+1.800000E+00,+3.767525E-05
+1.750000E+00,-3.962097E-06,+1.800000E+00,+3.840731E-05
+1.740000E+00,-4.665584E-06,+1.800000E+00,+3.910667E-05
+1.730000E+00,-5.339507E-06,+1.800000E+00,+3.978223E-05
+1.720000E+00,-5.981371E-06,+1.800000E+00,+4.042948E-05
+1.710000E+00,-6.592494E-06,+1.800000E+00,+4.104833E-05
+1.700000E+00,-7.166251E-06,+1.800000E+00,+4.161202E-05
+1.690000E+00,-7.712132E-06,+1.800000E+00,+4.215299E-05
+1.680000E+00,-8.223813E-06,+1.800000E+00,+4.266620E-05
+1.670000E+00,-8.702967E-06,+1.800000E+00,+4.314624E-05
+1.660000E+00,-9.147046E-06,+1.800000E+00,+4.358893E-05
+1.650000E+00,-9.561433E-06,+1.800000E+00,+4.400612E-05
+1.640000E+00,-9.937613E-06,+1.800000E+00,+4.437571E-05
+1.630000E+00,-1.029111E-05,+1.800000E+00,+4.472126E-05
+1.620000E+00,-1.061853E-05,+1.800000E+00,+4.506576E-05
+1.610000E+00,-1.091445E-05,+1.800000E+00,+4.535283E-05
+1.600000E+00,-1.118724E-05,+1.800000E+00,+4.563773E-05
+1.590000E+00,-1.143142E-05,+1.800000E+00,+4.587007E-05
+1.580000E+00,-1.165813E-05,+1.800000E+00,+4.610241E-05
+1.570000E+00,-1.186092E-05,+1.800000E+00,+4.630119E-05
+1.560000E+00,-1.205558E-05,+1.800000E+00,+4.650260E-05
+1.550000E+00,-1.221610E-05,+1.800000E+00,+4.663430E-05
+1.540000E+00,-1.237786E-05,+1.800000E+00,+4.679415E-05
+1.530000E+00,-1.252427E-05,+1.800000E+00,+4.697900E-05
+1.520000E+00,-1.266058E-05,+1.800000E+00,+4.711012E-05
+1.510000E+00,-1.277682E-05,+1.800000E+00,+4.721305E-05
+1.500000E+00,-1.288418E-05,+1.800000E+00,+4.733011E-05
+1.490000E+00,-1.298767E-05,+1.800000E+00,+4.742649E-05
+1.480000E+00,-1.308377E-05,+1.800000E+00,+4.753036E-05
+1.470000E+00,-1.317602E-05,+1.800000E+00,+4.762439E-05
+1.460000E+00,-1.325860E-05,+1.800000E+00,+4.770073E-05
+1.450000E+00,-1.333968E-05,+1.800000E+00,+4.777105E-05
+1.440000E+00,-1.341810E-05,+1.800000E+00,+4.785703E-05
+1.430000E+00,-1.349347E-05,+1.800000E+00,+4.792491E-05
+1.420000E+00,-1.355901E-05,+1.800000E+00,+4.799584E-05
+1.410000E+00,-1.362739E-05,+1.800000E+00,+4.806494E-05
+1.400000E+00,-1.368376E-05,+1.800000E+00,+4.812769E-05
+1.390000E+00,-1.374597E-05,+1.800000E+00,+4.818986E-05
+1.380000E+00,-1.379884E-05,+1.800000E+00,+4.824690E-05
+1.370000E+00,-1.385975E-05,+1.800000E+00,+4.830063E-05
+1.360000E+00,-1.390443E-05,+1.800000E+00,+4.834330E-05
+1.350000E+00,-1.395095E-05,+1.800000E+00,+4.838856E-05
+1.340000E+00,-1.400316E-05,+1.800000E+00,+4.844553E-05
+1.330000E+00,-1.404783E-05,+1.800000E+00,+4.849187E-05
+1.320000E+00,-1.408615E-05,+1.800000E+00,+4.853078E-05
+1.310000E+00,-1.412136E-05,+1.800000E+00,+4.855912E-05
+1.300000E+00,-1.416424E-05,+1.800000E+00,+4.859908E-05
+1.290000E+00,-1.420056E-05,+1.800000E+00,+4.864414E-05
+1.280000E+00,-1.423082E-05,+1.800000E+00,+4.867068E-05
+1.270000E+00,-1.426129E-05,+1.800000E+00,+4.870205E-05
+1.260000E+00,-1.429540E-05,+1.800000E+00,+4.873746E-05
+1.250000E+00,-1.433264E-05,+1.800000E+00,+4.878028E-05
+1.240000E+00,-1.436034E-05,+1.800000E+00,+4.881328E-05
+1.230000E+00,-1.437658E-05,+1.800000E+00,+4.882300E-05
+1.220000E+00,-1.439999E-05,+1.800000E+00,+4.883993E-05
+1.210000E+00,-1.442064E-05,+1.800000E+00,+4.886184E-05
+1.200000E+00,-1.443433E-05,+1.800000E+00,+4.888786E-05
+1.190000E+00,-1.444660E-05,+1.800000E+00,+4.888007E-05
+1.180000E+00,-1.445252E-05,+1.800000E+00,+4.888380E-05
+1.170000E+00,-1.446666E-05,+1.800000E+00,+4.889373E-05
+1.160000E+00,-1.447299E-05,+1.800000E+00,+4.890708E-05
+1.150000E+00,-1.447830E-05,+1.800000E+00,+4.891566E-05
+1.140000E+00,-1.448673E-05,+1.800000E+00,+4.892004E-05
+1.130000E+00,-1.449998E-05,+1.800000E+00,+4.893319E-05
+1.120000E+00,-1.451526E-05,+1.800000E+00,+4.895845E-05
+1.110000E+00,-1.450909E-05,+1.800000E+00,+4.894725E-05
+1.100000E+00,-1.452599E-05,+1.800000E+00,+4.897207E-05
+1.090000E+00,-1.452823E-05,+1.800000E+00,+4.897201E-05
+1.080000E+00,-1.453442E-05,+1.800000E+00,+4.897569E-05
+1.070000E+00,-1.453581E-05,+1.800000E+00,+4.897606E-05
+1.060000E+00,-1.453505E-05,+1.800000E+00,+4.896920E-05
+1.050000E+00,-1.454313E-05,+1.800000E+00,+4.898095E-05
+1.040000E+00,-1.454411E-05,+1.800000E+00,+4.898054E-05
+1.030000E+00,-1.454879E-05,+1.800000E+00,+4.899634E-05
+1.020000E+00,-1.455060E-05,+1.800000E+00,+4.899627E-05
+1.010000E+00,-1.454739E-05,+1.800000E+00,+4.899758E-05
+1.000000E+00,-1.455407E-05,+1.800000E+00,+4.899901E-05
+9.900000E-01,-1.455217E-05,+1.800000E+00,+4.899478E-05
+9.800000E-01,-1.455379E-05,+1.800000E+00,+4.898721E-05
+9.700000E-01,-1.454724E-05,+1.800000E+00,+4.898385E-05
+9.600000E-01,-1.454799E-05,+1.800000E+00,+4.898771E-05
+9.500000E-01,-1.454822E-05,+1.800000E+00,+4.897897E-05
+9.400000E-01,-1.455382E-05,+1.800000E+00,+4.898606E-05
+9.300000E-01,-1.455657E-05,+1.800000E+00,+4.899266E-05
+9.200000E-01,-1.455717E-05,+1.800000E+00,+4.899576E-05
+9.100000E-01,-1.456368E-05,+1.800000E+00,+4.900896E-05
