VDD,IDD,VREF,IREF
+1.800000E+00,+4.907694E-05,+0.000000E+00,-1.462474E-05
+1.790000E+00,+4.906378E-05,+0.000000E+00,-1.461765E-05
+1.780000E+00,+4.906776E-05,+0.000000E+00,-1.462030E-05
+1.770000E+00,+4.906524E-05,+0.000000E+00,-1.461720E-05
+1.760000E+00,+4.905344E-05,+0.000000E+00,-1.461422E-05
+1.750000E+00,+4.904727E-05,+0.000000E+00,-1.461366E-05
+1.740000E+00,+4.904558E-05,+0.000000E+00,-1.461484E-05
+1.730000E+00,+4.904154E-05,+0.000000E+00,-1.460864E-05
+1.720000E+00,+4.905183E-05,+0.000000E+00,-1.461947E-05
+1.710000E+00,+4.904191E-05,+0.000000E+00,-1.461450E-05
+1.700000E+00,+4.905210E-05,+0.000000E+00,-1.461763E-05
+1.690000E+00,+4.904001E-05,+0.000000E+00,-1.461414E-05
+1.680000E+00,+4.903351E-05,+0.000000E+00,-1.461091E-05
+1.670000E+00,+4.902032E-05,+0.000000E+00,-1.460783E-05
+1.660000E+00,+4.901042E-05,+0.000000E+00,-1.460307E-05
+1.650000E+00,+4.900893E-05,+0.000000E+00,-1.460500E-05
+1.640000E+00,+4.901212E-05,+0.000000E+00,-1.460845E-05
+1.630000E+00,+4.899449E-05,+0.000000E+00,-1.460164E-05
+1.620000E+00,+4.897855E-05,+0.000000E+00,-1.459350E-05
+1.610000E+00,+4.896446E-05,+0.000000E+00,-1.459389E-05
+1.600000E+00,+4.895997E-05,+0.000000E+00,-1.459087E-05
+1.590000E+00,+4.893282E-05,+0.000000E+00,-1.457980E-05
+1.580000E+00,+4.891794E-05,+0.000000E+00,-1.457196E-05
+1.570000E+00,+4.891284E-05,+0.000000E+00,-1.457437E-05
+1.560000E+00,+4.889548E-05,+0.000000E+00,-1.457109E-05
+1.550000E+00,+4.884612E-05,+0.000000E+00,-1.455639E-05
+1.540000E+00,+4.881139E-05,+0.000000E+00,-1.454750E-05
+1.530000E+00,+4.878106E-05,+0.000000E+00,-1.454174E-05
+1.520000E+00,+4.873570E-05,+0.000000E+00,-1.452500E-05
+1.510000E+00,+4.866893E-05,+0.000000E+00,-1.450542E-05
+1.500000E+00,+4.857490E-05,+0.000000E+00,-1.447855E-05
+1.490000E+00,+4.844462E-05,+0.000000E+00,-1.443840E-05
+1.480000E+00,+4.827103E-05,+0.000000E+00,-1.438457E-05
+1.470000E+00,+4.807028E-05,+0.000000E+00,-1.433304E-05
+1.460000E+00,+4.778288E-05,+0.000000E+00,-1.424736E-05
+1.450000E+00,+4.742350E-05,+0.000000E+00,-1.413661E-05
+1.440000E+00,+4.700914E-05,+0.000000E+00,-1.401732E-05
+1.430000E+00,+4.649613E-05,+0.000000E+00,-1.386778E-05
+1.420000E+00,+4.591955E-05,+0.000000E+00,-1.369757E-05
+1.410000E+00,+4.526031E-05,+0.000000E+00,-1.350316E-05
+1.400000E+00,+4.454549E-05,+0.000000E+00,-1.329474E-05
+1.390000E+00,+4.376336E-05,+0.000000E+00,-1.305872E-05
+1.380000E+00,+4.293426E-05,+0.000000E+00,-1.281760E-05
+1.370000E+00,+4.206619E-05,+0.000000E+00,-1.256159E-05
+1.360000E+00,+4.116807E-05,+0.000000E+00,-1.229530E-05
+1.350000E+00,+4.023452E-05,+0.000000E+00,-1.202091E-05
+1.340000E+00,+3.927555E-05,+0.000000E+00,-1.173793E-05
+1.330000E+00,+3.830809E-05,+0.000000E+00,-1.145321E-05
+1.320000E+00,+3.732267E-05,+0.000000E+00,-1.115879E-05
+1.310000E+00,+3.633500E-05,+0.000000E+00,-1.086893E-05
+1.300000E+00,+3.534259E-05,+0.000000E+00,-1.057634E-05
+1.290000E+00,+3.434980E-05,+0.000000E+00,-1.028127E-05
+1.280000E+00,+3.334376E-05,+0.000000E+00,-9.980711E-06
+1.270000E+00,+3.235852E-05,+0.000000E+00,-9.693911E-06
+1.260000E+00,+3.136921E-05,+0.000000E+00,-9.399957E-06
+1.250000E+00,+3.038503E-05,+0.000000E+00,-9.106723E-06
+1.240000E+00,+2.940940E-05,+0.000000E+00,-8.818325E-06
+1.230000E+00,+2.844830E-05,+0.000000E+00,-8.536580E-06
+1.220000E+00,+2.749048E-05,+0.000000E+00,-8.253381E-06
+1.210000E+00,+2.654056E-05,+0.000000E+00,-7.970693E-06
+1.200000E+00,+2.560881E-05,+0.000000E+00,-7.694636E-06
+1.190000E+00,+2.468530E-05,+0.000000E+00,-7.420288E-06
+1.180000E+00,+2.377950E-05,+0.000000E+00,-7.152336E-06
+1.170000E+00,+2.289085E-05,+0.000000E+00,-6.889098E-06
+1.160000E+00,+2.201466E-05,+0.000000E+00,-6.629107E-06
+1.150000E+00,+2.114933E-05,+0.000000E+00,-6.371694E-06
+1.140000E+00,+2.030156E-05,+0.000000E+00,-6.121053E-06
+1.130000E+00,+1.947602E-05,+0.000000E+00,-5.875404E-06
+1.120000E+00,+1.866479E-05,+0.000000E+00,-5.635260E-06
+1.110000E+00,+1.786745E-05,+0.000000E+00,-5.398700E-06
+1.100000E+00,+1.708995E-05,+0.000000E+00,-5.166653E-06
+1.090000E+00,+1.632996E-05,+0.000000E+00,-4.940073E-06
+1.080000E+00,+1.559187E-05,+0.000000E+00,-4.722498E-06
+1.070000E+00,+1.486922E-05,+0.000000E+00,-4.505477E-06
+1.060000E+00,+1.416540E-05,+0.000000E+00,-4.297046E-06
+1.050000E+00,+1.347904E-05,+0.000000E+00,-4.092223E-06
+1.040000E+00,+1.281331E-05,+0.000000E+00,-3.895186E-06
+1.030000E+00,+1.216578E-05,+0.000000E+00,-3.701134E-06
+1.020000E+00,+1.153886E-05,+0.000000E+00,-3.513401E-06
+1.010000E+00,+1.092941E-05,+0.000000E+00,-3.330652E-06
+1.000000E+00,+1.034110E-05,+0.000000E+00,-3.154440E-06
+9.900000E-01,+9.771366E-06,+0.000000E+00,-2.984056E-06
+9.800000E-01,+9.220512E-06,+0.000000E+00,-2.819254E-06
+9.700000E-01,+8.691452E-06,+0.000000E+00,-2.660198E-06
+9.600000E-01,+8.180215E-06,+0.000000E+00,-2.507646E-06
+9.500000E-01,+7.688142E-06,+0.000000E+00,-2.359563E-06
+9.400000E-01,+7.215957E-06,+0.000000E+00,-2.217422E-06
+9.300000E-01,+6.763719E-06,+0.000000E+00,-2.080828E-06
+9.200000E-01,+6.328316E-06,+0.000000E+00,-1.950105E-06
+9.100000E-01,+5.913291E-06,+0.000000E+00,-1.824303E-06
+9.000000E-01,+5.515134E-06,+0.000000E+00,-1.704490E-06
+8.900000E-01,+5.135445E-06,+0.000000E+00,-1.589740E-06
+8.800000E-01,+4.772025E-06,+0.000000E+00,-1.479102E-06
+8.700000E-01,+4.427894E-06,+0.000000E+00,-1.375299E-06
+8.600000E-01,+4.099405E-06,+0.000000E+00,-1.275502E-06
+8.500000E-01,+3.787023E-06,+0.000000E+00,-1.180927E-06
+8.400000E-01,+3.489682E-06,+0.000000E+00,-1.090593E-06
+8.300000E-01,+3.208798E-06,+0.000000E+00,-1.005210E-06
+8.200000E-01,+2.940752E-06,+0.000000E+00,-9.237623E-07
+8.100000E-01,+2.687567E-06,+0.000000E+00,-8.465392E-07
+8.000000E-01,+2.448500E-06,+0.000000E+00,-7.736985E-07
+7.900000E-01,+2.222520E-06,+0.000000E+00,-7.048352E-07
+7.800000E-01,+2.008826E-06,+0.000000E+00,-6.396428E-07
+7.700000E-01,+1.808849E-06,+0.000000E+00,-5.784580E-07
+7.600000E-01,+1.620878E-06,+0.000000E+00,-5.210749E-07
+7.500000E-01,+1.446805E-06,+0.000000E+00,-4.674366E-07
+7.400000E-01,+1.284885E-06,+0.000000E+00,-4.177123E-07
+7.300000E-01,+1.136807E-06,+0.000000E+00,-3.717143E-07
+7.200000E-01,+1.001263E-06,+0.000000E+00,-3.295261E-07
+7.100000E-01,+8.774993E-07,+0.000000E+00,-2.905052E-07
+7.000000E-01,+7.659626E-07,+0.000000E+00,-2.548585E-07
+6.900000E-01,+6.650097E-07,+0.000000E+00,-2.226368E-07
+6.800000E-01,+5.739393E-07,+0.000000E+00,-1.935579E-07
+6.700000E-01,+4.921974E-07,+0.000000E+00,-1.666961E-07
+6.600000E-01,+4.187144E-07,+0.000000E+00,-1.425790E-07
+6.500000E-01,+3.523698E-07,+0.000000E+00,-1.200441E-07
+6.400000E-01,+2.929262E-07,+0.000000E+00,-1.002134E-07
+6.300000E-01,+2.401930E-07,+0.000000E+00,-8.237281E-08
+6.200000E-01,+1.943962E-07,+0.000000E+00,-6.690910E-08
+6.100000E-01,+1.556518E-07,+0.000000E+00,-5.362171E-08
+6.000000E-01,+1.243918E-07,+0.000000E+00,-4.284279E-08
+5.900000E-01,+9.965130E-08,+0.000000E+00,-3.436045E-08
+5.800000E-01,+8.016356E-08,+0.000000E+00,-2.803903E-08
+5.700000E-01,+6.474719E-08,+0.000000E+00,-2.294164E-08
+5.600000E-01,+5.237687E-08,+0.000000E+00,-1.870051E-08
+5.500000E-01,+4.275110E-08,+0.000000E+00,-1.554746E-08
+5.400000E-01,+3.460814E-08,+0.000000E+00,-1.273181E-08
+5.300000E-01,+2.836016E-08,+0.000000E+00,-1.061122E-08
+5.200000E-01,+2.299686E-08,+0.000000E+00,-9.155511E-09
+5.100000E-01,+1.844782E-08,+0.000000E+00,-7.306995E-09
+5.000000E-01,+1.477347E-08,+0.000000E+00,-6.088037E-09
+4.900000E-01,+1.181283E-08,+0.000000E+00,-4.979912E-09
+4.800000E-01,+9.224173E-09,+0.000000E+00,-4.123635E-09
+4.700000E-01,+7.374427E-09,+0.000000E+00,-3.060832E-09
+4.600000E-01,+5.589999E-09,+0.000000E+00,-2.637735E-09
+4.500000E-01,+3.875947E-09,+0.000000E+00,-2.421140E-09
+4.400000E-01,+3.026467E-09,+0.000000E+00,-1.897297E-09
+4.300000E-01,+1.975920E-09,+0.000000E+00,-1.378495E-09
+4.200000E-01,+1.312423E-09,+0.000000E+00,-1.166941E-09
+4.100000E-01,+8.650627E-10,+0.000000E+00,-7.589751E-10
+4.000000E-01,+2.618790E-10,+0.000000E+00,-7.891927E-10
+3.900000E-01,+1.055289E-11,+0.000000E+00,-2.805260E-10
+3.800000E-01,-2.206668E-10,+0.000000E+00,-3.560714E-10
+3.700000E-01,-3.714614E-10,+0.000000E+00,-2.352015E-10
+3.600000E-01,-4.518879E-10,+0.000000E+00,-2.956355E-10
+3.500000E-01,-4.920968E-10,+0.000000E+00,-3.459989E-10
+3.400000E-01,-6.127361E-10,+0.000000E+00,-4.316176E-10
+3.300000E-01,-5.775516E-10,+0.000000E+00,-5.893103E-11
+3.200000E-01,-5.624693E-10,+0.000000E+00,-6.900325E-11
+3.100000E-01,-6.428941E-10,+0.000000E+00,-1.949104E-10
+3.000000E-01,-6.378676E-10,+0.000000E+00,-1.344760E-10
+2.900000E-01,-5.323104E-10,+0.000000E+00,-2.367573E-11
+2.800000E-01,-7.383983E-10,+0.000000E+00,-6.396611E-11
+2.700000E-01,-6.127354E-10,+0.000000E+00,-1.646941E-10
+2.600000E-01,-6.730526E-10,+0.000000E+00,-1.646924E-10
+2.500000E-01,-6.328406E-10,+0.000000E+00,-8.568146E-12
+2.400000E-01,-7.484512E-10,+0.000000E+00,-6.396778E-11
+2.300000E-01,-6.227878E-10,+0.000000E+00,-1.797993E-10
+2.200000E-01,-6.780810E-10,+0.000000E+00,-2.402381E-10
+2.100000E-01,-7.233179E-10,+0.000000E+00,-1.143302E-10
+2.000000E-01,-5.071779E-10,+0.000000E+00,-6.900652E-11
+1.900000E-01,-8.137967E-10,+0.000000E+00,-1.596567E-10
+1.800000E-01,-5.574436E-10,+0.000000E+00,-5.389600E-11
+1.700000E-01,-7.283443E-10,+0.000000E+00,-2.351994E-10
+1.600000E-01,-7.333715E-10,+0.000000E+00,-1.244020E-10
+1.500000E-01,-7.786109E-10,+0.000000E+00,-1.898766E-10
+1.400000E-01,-7.032129E-10,+0.000000E+00,-1.495838E-10
+1.300000E-01,-7.233184E-10,+0.000000E+00,-2.553471E-10
+1.200000E-01,-8.137956E-10,+0.000000E+00,-2.452730E-10
+1.100000E-01,-6.328419E-10,+0.000000E+00,-2.553474E-10
+1.000000E-01,-6.328404E-10,+0.000000E+00,-8.914697E-11
+9.000000E-02,-7.635296E-10,+0.000000E+00,-2.956363E-10
+8.000000E-02,-7.484512E-10,+0.000000E+00,-4.870161E-10
+7.000000E-02,-7.786109E-10,+0.000000E+00,-1.294387E-10
+6.000000E-02,-7.484512E-10,+0.000000E+00,-1.949109E-10
+5.000000E-02,-6.378673E-10,+0.000000E+00,-2.452740E-10
+4.000000E-02,-8.087692E-10,+0.000000E+00,-2.956370E-10
+3.000000E-02,-5.976556E-10,+0.000000E+00,-7.907625E-11
+2.000000E-02,-5.976540E-10,+0.000000E+00,-1.697284E-10
+1.000000E-02,-7.032114E-10,+0.000000E+00,-2.906022E-10
+0.000000E+00,-5.674959E-10,+0.000000E+00,-2.402361E-10
