VDD,IDD,VREF,IREF
+0.000000E+00,-7.735831E-10,+0.000000E+00,-3.374917E-11
+1.000000E-02,-6.931591E-10,+0.000000E+00,-7.907425E-11
+2.000000E-02,-7.333712E-10,+0.000000E+00,-1.344768E-10
+3.000000E-02,-7.132649E-10,+0.000000E+00,-2.150571E-10
+4.000000E-02,-7.333719E-10,+0.000000E+00,-2.049829E-10
+5.000000E-02,-6.831072E-10,+0.000000E+00,-3.611094E-10
+6.000000E-02,-6.428946E-10,+0.000000E+00,-2.553472E-10
+7.000000E-02,-7.635309E-10,+0.000000E+00,-1.596582E-10
+8.000000E-02,-6.881329E-10,+0.000000E+00,-1.193672E-10
+9.000000E-02,-6.479204E-10,+0.000000E+00,-8.914941E-11
+1.000000E-01,-6.328403E-10,+0.000000E+00,-4.366540E-10
+1.100000E-01,-6.529481E-10,+0.000000E+00,-1.294385E-10
+1.200000E-01,-6.378666E-10,+0.000000E+00,-2.754915E-10
+1.300000E-01,-8.339028E-10,+0.000000E+00,-1.898742E-10
+1.400000E-01,-6.831068E-10,+0.000000E+00,-1.646931E-10
+1.500000E-01,-6.680264E-10,+0.000000E+00,-1.646933E-10
+1.600000E-01,-6.630014E-10,+0.000000E+00,-2.200916E-10
+1.700000E-01,-6.177616E-10,+0.000000E+00,-3.460008E-10
+1.800000E-01,-7.484519E-10,+0.000000E+00,-1.395128E-10
+1.900000E-01,-6.278150E-10,+0.000000E+00,-7.907780E-11
+2.000000E-01,-7.182926E-10,+0.000000E+00,+1.661637E-11
+2.100000E-01,-6.831065E-10,+0.000000E+00,-2.251276E-10
+2.200000E-01,-6.328406E-10,+0.000000E+00,-2.452741E-10
+2.300000E-01,-6.680272E-10,+0.000000E+00,-3.812543E-10
+2.400000E-01,-6.479199E-10,+0.000000E+00,-2.754900E-10
+2.500000E-01,-7.685569E-10,+0.000000E+00,-1.445487E-10
+2.600000E-01,-6.127341E-10,+0.000000E+00,-3.359285E-10
+2.700000E-01,-6.831072E-10,+0.000000E+00,-2.200927E-10
+2.800000E-01,-7.484522E-10,+0.000000E+00,-8.411200E-11
+2.900000E-01,-5.071786E-10,+0.000000E+00,-2.100186E-10
+3.000000E-01,-5.323104E-10,+0.000000E+00,-1.898743E-10
+3.100000E-01,-7.635299E-10,+0.000000E+00,-1.495852E-10
+3.200000E-01,-5.021515E-10,+0.000000E+00,-1.898727E-10
+3.300000E-01,-5.976557E-10,+0.000000E+00,-1.697303E-10
+3.400000E-01,-5.825763E-10,+0.000000E+00,-4.366522E-10
+3.500000E-01,-5.674959E-10,+0.000000E+00,-1.747656E-10
+3.600000E-01,-3.614092E-10,+0.000000E+00,-3.057092E-10
+3.700000E-01,-3.614097E-10,+0.000000E+00,-3.812530E-10
+3.800000E-01,-1.905071E-10,+0.000000E+00,-4.165081E-10
+3.900000E-01,+4.992673E-13,+0.000000E+00,-4.316144E-10
+4.000000E-01,+2.467975E-10,+0.000000E+00,-7.589752E-10
+4.100000E-01,+7.394010E-10,+0.000000E+00,-7.186843E-10
+4.200000E-01,+1.428032E-09,+0.000000E+00,-1.051091E-09
+4.300000E-01,+2.041272E-09,+0.000000E+00,-1.433899E-09
+4.400000E-01,+2.941016E-09,+0.000000E+00,-1.700859E-09
+4.500000E-01,+4.132304E-09,+0.000000E+00,-2.118925E-09
+4.600000E-01,+5.504540E-09,+0.000000E+00,-2.788839E-09
+4.700000E-01,+7.258812E-09,+0.000000E+00,-3.302609E-09
+4.800000E-01,+9.163847E-09,+0.000000E+00,-4.304956E-09
+4.900000E-01,+1.180277E-08,+0.000000E+00,-5.166277E-09
+5.000000E-01,+1.498458E-08,+0.000000E+00,-6.218980E-09
+5.100000E-01,+1.858356E-08,+0.000000E+00,-7.473203E-09
+5.200000E-01,+2.291140E-08,+0.000000E+00,-8.863394E-09
+5.300000E-01,+2.831996E-08,+0.000000E+00,-1.100909E-08
+5.400000E-01,+3.484935E-08,+0.000000E+00,-1.273680E-08
+5.500000E-01,+4.261033E-08,+0.000000E+00,-1.560791E-08
+5.600000E-01,+5.241214E-08,+0.000000E+00,-1.882649E-08
+5.700000E-01,+6.486767E-08,+0.000000E+00,-2.282584E-08
+5.800000E-01,+8.017355E-08,+0.000000E+00,-2.800384E-08
+5.900000E-01,+9.986747E-08,+0.000000E+00,-3.468285E-08
+6.000000E-01,+1.247287E-07,+0.000000E+00,-4.324055E-08
+6.100000E-01,+1.560037E-07,+0.000000E+00,-5.399942E-08
+6.200000E-01,+1.946023E-07,+0.000000E+00,-6.704018E-08
+6.300000E-01,+2.406505E-07,+0.000000E+00,-8.267994E-08
+6.400000E-01,+2.935649E-07,+0.000000E+00,-1.006012E-07
+6.500000E-01,+3.534405E-07,+0.000000E+00,-1.208498E-07
+6.600000E-01,+4.197800E-07,+0.000000E+00,-1.431384E-07
+6.700000E-01,+4.934639E-07,+0.000000E+00,-1.676075E-07
+6.800000E-01,+5.754671E-07,+0.000000E+00,-1.945200E-07
+6.900000E-01,+6.667130E-07,+0.000000E+00,-2.239963E-07
+7.000000E-01,+7.678767E-07,+0.000000E+00,-2.563085E-07
+7.100000E-01,+8.797025E-07,+0.000000E+00,-2.919553E-07
+7.200000E-01,+1.003655E-06,+0.000000E+00,-3.311368E-07
+7.300000E-01,+1.139981E-06,+0.000000E+00,-3.735539E-07
+7.400000E-01,+1.287990E-06,+0.000000E+00,-4.194296E-07
+7.500000E-01,+1.450047E-06,+0.000000E+00,-4.698030E-07
+7.600000E-01,+1.624124E-06,+0.000000E+00,-5.232071E-07
+7.700000E-01,+1.811526E-06,+0.000000E+00,-5.805990E-07
+7.800000E-01,+2.012547E-06,+0.000000E+00,-6.425213E-07
+7.900000E-01,+2.227219E-06,+0.000000E+00,-7.081334E-07
+8.000000E-01,+2.453646E-06,+0.000000E+00,-7.766531E-07
+8.100000E-01,+2.693807E-06,+0.000000E+00,-8.500618E-07
+8.200000E-01,+2.947646E-06,+0.000000E+00,-9.276696E-07
+8.300000E-01,+3.215507E-06,+0.000000E+00,-1.008775E-06
+8.400000E-01,+3.496694E-06,+0.000000E+00,-1.094160E-06
+8.500000E-01,+3.795699E-06,+0.000000E+00,-1.185081E-06
+8.600000E-01,+4.108730E-06,+0.000000E+00,-1.280568E-06
+8.700000E-01,+4.437837E-06,+0.000000E+00,-1.380496E-06
+8.800000E-01,+4.783088E-06,+0.000000E+00,-1.485293E-06
+8.900000E-01,+5.146328E-06,+0.000000E+00,-1.595450E-06
+9.000000E-01,+5.525087E-06,+0.000000E+00,-1.709976E-06
+9.100000E-01,+5.922187E-06,+0.000000E+00,-1.829846E-06
+9.200000E-01,+6.339513E-06,+0.000000E+00,-1.955896E-06
+9.300000E-01,+6.776237E-06,+0.000000E+00,-2.087750E-06
+9.400000E-01,+7.229027E-06,+0.000000E+00,-2.224180E-06
+9.500000E-01,+7.702954E-06,+0.000000E+00,-2.366756E-06
+9.600000E-01,+8.194645E-06,+0.000000E+00,-2.514187E-06
+9.700000E-01,+8.708272E-06,+0.000000E+00,-2.668870E-06
+9.800000E-01,+9.237172E-06,+0.000000E+00,-2.826742E-06
+9.900000E-01,+9.783873E-06,+0.000000E+00,-2.991660E-06
+1.000000E+00,+1.035659E-05,+0.000000E+00,-3.163500E-06
+1.010000E+00,+1.094482E-05,+0.000000E+00,-3.340803E-06
+1.020000E+00,+1.155264E-05,+0.000000E+00,-3.522611E-06
+1.030000E+00,+1.218183E-05,+0.000000E+00,-3.710489E-06
+1.040000E+00,+1.282912E-05,+0.000000E+00,-3.904507E-06
+1.050000E+00,+1.349694E-05,+0.000000E+00,-4.102935E-06
+1.060000E+00,+1.417582E-05,+0.000000E+00,-4.301431E-06
+1.070000E+00,+1.488045E-05,+0.000000E+00,-4.511466E-06
+1.080000E+00,+1.560333E-05,+0.000000E+00,-4.726462E-06
+1.090000E+00,+1.634346E-05,+0.000000E+00,-4.946382E-06
+1.100000E+00,+1.710491E-05,+0.000000E+00,-5.172652E-06
+1.110000E+00,+1.787736E-05,+0.000000E+00,-5.402622E-06
+1.120000E+00,+1.867271E-05,+0.000000E+00,-5.638960E-06
+1.130000E+00,+1.948408E-05,+0.000000E+00,-5.880219E-06
