VREF,IREF,VDD,IDD
+1.800000E+00,+1.936040E-08,+1.800000E+00,+3.596861E-05
+1.799000E+00,-7.330892E-08,+1.800000E+00,+3.571141E-05
+1.798000E+00,-1.578214E-07,+1.800000E+00,+3.576177E-05
+1.797000E+00,-2.450788E-07,+1.800000E+00,+3.586455E-05
+1.796000E+00,-3.299338E-07,+1.800000E+00,+3.595456E-05
+1.795000E+00,-4.172014E-07,+1.800000E+00,+3.604432E-05
+1.794000E+00,-5.013104E-07,+1.800000E+00,+3.612230E-05
+1.793000E+00,-5.880845E-07,+1.800000E+00,+3.621821E-05
+1.792000E+00,-6.708540E-07,+1.800000E+00,+3.627471E-05
+1.791000E+00,-7.568733E-07,+1.800000E+00,+3.636233E-05
+1.790000E+00,-8.400656E-07,+1.800000E+00,+3.644586E-05
+1.789000E+00,-9.256302E-07,+1.800000E+00,+3.652169E-05
+1.788000E+00,-1.007388E-06,+1.800000E+00,+3.661277E-05
+1.787000E+00,-1.092182E-06,+1.800000E+00,+3.669869E-05
+1.786000E+00,-1.174806E-06,+1.800000E+00,+3.679187E-05
+1.785000E+00,-1.259293E-06,+1.800000E+00,+3.687424E-05
+1.784000E+00,-1.338900E-06,+1.800000E+00,+3.693045E-05
+1.783000E+00,-1.422285E-06,+1.800000E+00,+3.701294E-05
+1.782000E+00,-1.502974E-06,+1.800000E+00,+3.710700E-05
+1.781000E+00,-1.585437E-06,+1.800000E+00,+3.716345E-05
+1.780000E+00,-1.665602E-06,+1.800000E+00,+3.726585E-05
+1.779000E+00,-1.747715E-06,+1.800000E+00,+3.734879E-05
+1.778000E+00,-1.827811E-06,+1.800000E+00,+3.742265E-05
+1.777000E+00,-1.910157E-06,+1.800000E+00,+3.750579E-05
+1.776000E+00,-1.989705E-06,+1.800000E+00,+3.760707E-05
+1.775000E+00,-2.070592E-06,+1.800000E+00,+3.767561E-05
+1.774000E+00,-2.149329E-06,+1.800000E+00,+3.775418E-05
+1.773000E+00,-2.230751E-06,+1.800000E+00,+3.784559E-05
+1.772000E+00,-2.307956E-06,+1.800000E+00,+3.791208E-05
+1.771000E+00,-2.387369E-06,+1.800000E+00,+3.800023E-05
+1.770000E+00,-2.465635E-06,+1.800000E+00,+3.807763E-05
+1.769000E+00,-2.545227E-06,+1.800000E+00,+3.815678E-05
+1.768000E+00,-2.621176E-06,+1.800000E+00,+3.822409E-05
+1.767000E+00,-2.700594E-06,+1.800000E+00,+3.830028E-05
+1.766000E+00,-2.775681E-06,+1.800000E+00,+3.836431E-05
+1.765000E+00,-2.854293E-06,+1.800000E+00,+3.844831E-05
+1.764000E+00,-2.929746E-06,+1.800000E+00,+3.852804E-05
+1.763000E+00,-3.008350E-06,+1.800000E+00,+3.860382E-05
+1.762000E+00,-3.082925E-06,+1.800000E+00,+3.868376E-05
+1.761000E+00,-3.160455E-06,+1.800000E+00,+3.875689E-05
+1.760000E+00,-3.234930E-06,+1.800000E+00,+3.881432E-05
+1.759000E+00,-3.311496E-06,+1.800000E+00,+3.889716E-05
+1.758000E+00,-3.384875E-06,+1.800000E+00,+3.897929E-05
+1.757000E+00,-3.460865E-06,+1.800000E+00,+3.905079E-05
+1.756000E+00,-3.534360E-06,+1.800000E+00,+3.913906E-05
+1.755000E+00,-3.610015E-06,+1.800000E+00,+3.921971E-05
+1.754000E+00,-3.682353E-06,+1.800000E+00,+3.929015E-05
+1.753000E+00,-3.757485E-06,+1.800000E+00,+3.936124E-05
+1.752000E+00,-3.828991E-06,+1.800000E+00,+3.943123E-05
+1.751000E+00,-3.904111E-06,+1.800000E+00,+3.950322E-05
+1.750000E+00,-3.975201E-06,+1.800000E+00,+3.957465E-05
+1.749000E+00,-4.048955E-06,+1.800000E+00,+3.964666E-05
+1.748000E+00,-4.120103E-06,+1.800000E+00,+3.972666E-05
+1.747000E+00,-4.193505E-06,+1.800000E+00,+3.980953E-05
+1.746000E+00,-4.263510E-06,+1.800000E+00,+3.987049E-05
+1.745000E+00,-4.336790E-06,+1.800000E+00,+3.995024E-05
+1.744000E+00,-4.406445E-06,+1.800000E+00,+4.001953E-05
+1.743000E+00,-4.480360E-06,+1.800000E+00,+4.009409E-05
+1.742000E+00,-4.548381E-06,+1.800000E+00,+4.015686E-05
+1.741000E+00,-4.618798E-06,+1.800000E+00,+4.020768E-05
+1.740000E+00,-4.686674E-06,+1.800000E+00,+4.029295E-05
+1.739000E+00,-4.758198E-06,+1.800000E+00,+4.036805E-05
+1.738000E+00,-4.826105E-06,+1.800000E+00,+4.042351E-05
+1.737000E+00,-4.895873E-06,+1.800000E+00,+4.051322E-05
+1.736000E+00,-4.963495E-06,+1.800000E+00,+4.058704E-05
+1.735000E+00,-5.033045E-06,+1.800000E+00,+4.065609E-05
+1.734000E+00,-5.099294E-06,+1.800000E+00,+4.071838E-05
+1.733000E+00,-5.166937E-06,+1.800000E+00,+4.078035E-05
+1.732000E+00,-5.234911E-06,+1.800000E+00,+4.085333E-05
+1.731000E+00,-5.300298E-06,+1.800000E+00,+4.091583E-05
+1.730000E+00,-5.366971E-06,+1.800000E+00,+4.097917E-05
+1.729000E+00,-5.433579E-06,+1.800000E+00,+4.104488E-05
+1.728000E+00,-5.498125E-06,+1.800000E+00,+4.110174E-05
+1.727000E+00,-5.565177E-06,+1.800000E+00,+4.118156E-05
+1.726000E+00,-5.631083E-06,+1.800000E+00,+4.123767E-05
+1.725000E+00,-5.697494E-06,+1.800000E+00,+4.130849E-05
+1.724000E+00,-5.762059E-06,+1.800000E+00,+4.136729E-05
+1.723000E+00,-5.826003E-06,+1.800000E+00,+4.143736E-05
+1.722000E+00,-5.891037E-06,+1.800000E+00,+4.150794E-05
+1.721000E+00,-5.955781E-06,+1.800000E+00,+4.157200E-05
+1.720000E+00,-6.017869E-06,+1.800000E+00,+4.162907E-05
+1.719000E+00,-6.082329E-06,+1.800000E+00,+4.169100E-05
+1.718000E+00,-6.145103E-06,+1.800000E+00,+4.175927E-05
+1.717000E+00,-6.209006E-06,+1.800000E+00,+4.181561E-05
+1.716000E+00,-6.269333E-06,+1.800000E+00,+4.187104E-05
+1.715000E+00,-6.333234E-06,+1.800000E+00,+4.193887E-05
+1.714000E+00,-6.394756E-06,+1.800000E+00,+4.200626E-05
+1.713000E+00,-6.458992E-06,+1.800000E+00,+4.207443E-05
+1.712000E+00,-6.517662E-06,+1.800000E+00,+4.212429E-05
+1.711000E+00,-6.580478E-06,+1.800000E+00,+4.219845E-05
