VDD,IDD,VREF,IREF
+1.800000E+00,+5.062740E-05,+0.000000E+00,-1.508643E-05
+1.799000E+00,+5.062340E-05,+0.000000E+00,-1.509200E-05
+1.798000E+00,+5.061338E-05,+0.000000E+00,-1.508231E-05
+1.797000E+00,+5.060602E-05,+0.000000E+00,-1.507895E-05
+1.796000E+00,+5.060521E-05,+0.000000E+00,-1.507571E-05
+1.795000E+00,+5.059510E-05,+0.000000E+00,-1.507141E-05
+1.794000E+00,+5.058848E-05,+0.000000E+00,-1.506840E-05
+1.793000E+00,+5.061555E-05,+0.000000E+00,-1.508147E-05
+1.792000E+00,+5.062944E-05,+0.000000E+00,-1.509019E-05
+1.791000E+00,+5.060937E-05,+0.000000E+00,-1.508685E-05
+1.790000E+00,+5.063284E-05,+0.000000E+00,-1.508705E-05
+1.789000E+00,+5.064009E-05,+0.000000E+00,-1.508794E-05
+1.788000E+00,+5.063760E-05,+0.000000E+00,-1.508314E-05
+1.787000E+00,+5.062770E-05,+0.000000E+00,-1.509287E-05
+1.786000E+00,+5.060182E-05,+0.000000E+00,-1.507970E-05
+1.785000E+00,+5.059195E-05,+0.000000E+00,-1.507500E-05
+1.784000E+00,+5.059157E-05,+0.000000E+00,-1.507271E-05
+1.783000E+00,+5.059178E-05,+0.000000E+00,-1.507574E-05
+1.782000E+00,+5.058675E-05,+0.000000E+00,-1.507633E-05
+1.781000E+00,+5.060501E-05,+0.000000E+00,-1.507073E-05
+1.780000E+00,+5.061174E-05,+0.000000E+00,-1.508839E-05
+1.779000E+00,+5.059467E-05,+0.000000E+00,-1.508866E-05
+1.778000E+00,+5.060527E-05,+0.000000E+00,-1.506990E-05
+1.777000E+00,+5.057716E-05,+0.000000E+00,-1.507729E-05
+1.776000E+00,+5.061527E-05,+0.000000E+00,-1.507694E-05
+1.775000E+00,+5.062809E-05,+0.000000E+00,-1.508346E-05
+1.774000E+00,+5.059933E-05,+0.000000E+00,-1.508660E-05
+1.773000E+00,+5.060680E-05,+0.000000E+00,-1.507945E-05
+1.772000E+00,+5.060406E-05,+0.000000E+00,-1.508091E-05
+1.771000E+00,+5.060784E-05,+0.000000E+00,-1.508149E-05
+1.770000E+00,+5.060942E-05,+0.000000E+00,-1.508699E-05
+1.769000E+00,+5.060276E-05,+0.000000E+00,-1.508050E-05
+1.768000E+00,+5.062735E-05,+0.000000E+00,-1.508336E-05
+1.767000E+00,+5.061148E-05,+0.000000E+00,-1.508797E-05
+1.766000E+00,+5.059744E-05,+0.000000E+00,-1.507395E-05
+1.765000E+00,+5.059950E-05,+0.000000E+00,-1.507521E-05
+1.764000E+00,+5.059369E-05,+0.000000E+00,-1.507640E-05
+1.763000E+00,+5.059479E-05,+0.000000E+00,-1.507686E-05
+1.762000E+00,+5.058328E-05,+0.000000E+00,-1.507588E-05
+1.761000E+00,+5.054832E-05,+0.000000E+00,-1.507300E-05
+1.760000E+00,+5.057745E-05,+0.000000E+00,-1.506545E-05
+1.759000E+00,+5.060672E-05,+0.000000E+00,-1.507446E-05
+1.758000E+00,+5.059653E-05,+0.000000E+00,-1.507934E-05
+1.757000E+00,+5.058755E-05,+0.000000E+00,-1.508272E-05
+1.756000E+00,+5.058950E-05,+0.000000E+00,-1.507820E-05
+1.755000E+00,+5.059722E-05,+0.000000E+00,-1.508253E-05
+1.754000E+00,+5.059527E-05,+0.000000E+00,-1.507867E-05
+1.753000E+00,+5.057767E-05,+0.000000E+00,-1.507924E-05
+1.752000E+00,+5.056654E-05,+0.000000E+00,-1.507878E-05
+1.751000E+00,+5.057477E-05,+0.000000E+00,-1.507457E-05
+1.750000E+00,+5.056532E-05,+0.000000E+00,-1.507623E-05
+1.749000E+00,+5.057204E-05,+0.000000E+00,-1.507087E-05
+1.748000E+00,+5.056560E-05,+0.000000E+00,-1.507271E-05
+1.747000E+00,+5.058508E-05,+0.000000E+00,-1.506883E-05
+1.746000E+00,+5.057492E-05,+0.000000E+00,-1.506787E-05
+1.745000E+00,+5.056900E-05,+0.000000E+00,-1.506718E-05
+1.744000E+00,+5.058230E-05,+0.000000E+00,-1.506816E-05
+1.743000E+00,+5.057754E-05,+0.000000E+00,-1.506598E-05
+1.742000E+00,+5.056726E-05,+0.000000E+00,-1.506594E-05
+1.741000E+00,+5.055499E-05,+0.000000E+00,-1.507032E-05
+1.740000E+00,+5.056851E-05,+0.000000E+00,-1.507377E-05
+1.739000E+00,+5.057357E-05,+0.000000E+00,-1.507064E-05
+1.738000E+00,+5.055891E-05,+0.000000E+00,-1.506294E-05
+1.737000E+00,+5.056263E-05,+0.000000E+00,-1.506781E-05
+1.736000E+00,+5.055499E-05,+0.000000E+00,-1.506890E-05
+1.735000E+00,+5.056748E-05,+0.000000E+00,-1.506574E-05
+1.734000E+00,+5.056191E-05,+0.000000E+00,-1.506922E-05
+1.733000E+00,+5.057533E-05,+0.000000E+00,-1.506613E-05
+1.732000E+00,+5.056492E-05,+0.000000E+00,-1.507942E-05
+1.731000E+00,+5.056597E-05,+0.000000E+00,-1.506832E-05
+1.730000E+00,+5.057104E-05,+0.000000E+00,-1.506911E-05
+1.729000E+00,+5.056040E-05,+0.000000E+00,-1.507307E-05
+1.728000E+00,+5.056243E-05,+0.000000E+00,-1.507066E-05
+1.727000E+00,+5.054907E-05,+0.000000E+00,-1.506998E-05
+1.726000E+00,+5.054985E-05,+0.000000E+00,-1.505981E-05
+1.725000E+00,+5.054249E-05,+0.000000E+00,-1.506693E-05
+1.724000E+00,+5.056510E-05,+0.000000E+00,-1.506202E-05
+1.723000E+00,+5.056627E-05,+0.000000E+00,-1.506868E-05
+1.722000E+00,+5.058478E-05,+0.000000E+00,-1.506941E-05
+1.721000E+00,+5.057434E-05,+0.000000E+00,-1.507859E-05
+1.720000E+00,+5.056765E-05,+0.000000E+00,-1.507418E-05
+1.719000E+00,+5.057206E-05,+0.000000E+00,-1.507573E-05
+1.718000E+00,+5.054939E-05,+0.000000E+00,-1.506328E-05
+1.717000E+00,+5.056473E-05,+0.000000E+00,-1.506194E-05
+1.716000E+00,+5.054471E-05,+0.000000E+00,-1.506133E-05
+1.715000E+00,+5.054940E-05,+0.000000E+00,-1.506321E-05
+1.714000E+00,+5.054603E-05,+0.000000E+00,-1.506265E-05
+1.713000E+00,+5.056682E-05,+0.000000E+00,-1.506089E-05
+1.712000E+00,+5.055185E-05,+0.000000E+00,-1.506942E-05
+1.711000E+00,+5.055404E-05,+0.000000E+00,-1.506527E-05
+1.710000E+00,+5.054135E-05,+0.000000E+00,-1.506416E-05
+1.709000E+00,+5.053788E-05,+0.000000E+00,-1.506140E-05
+1.708000E+00,+5.055604E-05,+0.000000E+00,-1.505725E-05
+1.707000E+00,+5.055374E-05,+0.000000E+00,-1.506417E-05
+1.706000E+00,+5.052375E-05,+0.000000E+00,-1.506186E-05
+1.705000E+00,+5.055426E-05,+0.000000E+00,-1.505998E-05
+1.704000E+00,+5.056700E-05,+0.000000E+00,-1.507114E-05
+1.703000E+00,+5.057641E-05,+0.000000E+00,-1.507498E-05
+1.702000E+00,+5.054871E-05,+0.000000E+00,-1.507330E-05
+1.701000E+00,+5.056158E-05,+0.000000E+00,-1.507022E-05
+1.700000E+00,+5.053640E-05,+0.000000E+00,-1.506716E-05
+1.699000E+00,+5.054890E-05,+0.000000E+00,-1.506901E-05
+1.698000E+00,+5.054045E-05,+0.000000E+00,-1.506291E-05
