VDD,IDD,VREF,IREF
+0.000000E+00,-4.337645E-09,+0.000000E+00,-1.244271E-10
+1.000000E-03,-5.172608E-10,+0.000000E+00,-1.546430E-10
+2.000000E-03,-1.266192E-09,+0.000000E+00,-2.301860E-10
+3.000000E-03,-2.910721E-10,+0.000000E+00,-2.050056E-10
+4.000000E-03,-9.243969E-10,+0.000000E+00,-1.798250E-10
+5.000000E-03,-1.849282E-09,+0.000000E+00,-1.798249E-10
+6.000000E-03,-3.447869E-09,+0.000000E+00,-2.050054E-10
+7.000000E-03,-2.563116E-09,+0.000000E+00,-1.697521E-10
+8.000000E-03,-2.040309E-09,+0.000000E+00,-2.503315E-10
+9.000000E-03,-3.025599E-09,+0.000000E+00,-2.251494E-10
+1.000000E-02,-1.638149E-09,+0.000000E+00,-2.301869E-10
+1.100000E-02,-2.688791E-09,+0.000000E+00,-2.704758E-10
+1.200000E-02,-9.595824E-10,+0.000000E+00,-2.503314E-10
+1.300000E-02,+5.181779E-10,+0.000000E+00,-2.150774E-10
+1.400000E-02,+2.664443E-09,+0.000000E+00,-2.452951E-10
+1.500000E-02,+8.499188E-10,+0.000000E+00,-1.697521E-10
+1.600000E-02,+2.518680E-09,+0.000000E+00,-2.452951E-10
+1.700000E-02,+1.905462E-09,+0.000000E+00,-2.100424E-10
+1.800000E-02,+2.242224E-09,+0.000000E+00,-1.949335E-10
+1.900000E-02,+1.453083E-09,+0.000000E+00,-2.150781E-10
+2.000000E-02,+9.052106E-10,+0.000000E+00,-2.301865E-10
+2.100000E-02,-1.773877E-09,+0.000000E+00,-2.050065E-10
+2.200000E-02,-1.236034E-09,+0.000000E+00,-1.848608E-10
+2.300000E-02,-9.042924E-10,+0.000000E+00,-2.654401E-10
+2.400000E-02,+4.679119E-10,+0.000000E+00,-2.553669E-10
+2.500000E-02,+4.277001E-10,+0.000000E+00,-2.503318E-10
+2.600000E-02,+5.081247E-10,+0.000000E+00,-2.301865E-10
+2.700000E-02,+1.563666E-09,+0.000000E+00,-2.050057E-10
+2.800000E-02,+1.880330E-09,+0.000000E+00,-2.503307E-10
+2.900000E-02,+3.775278E-09,+0.000000E+00,-2.352223E-10
+3.000000E-02,+3.358087E-09,+0.000000E+00,-2.503310E-10
+3.100000E-02,+2.986140E-09,+0.000000E+00,-1.999697E-10
+3.200000E-02,+3.086662E-09,+0.000000E+00,-2.654397E-10
+3.300000E-02,+3.162058E-09,+0.000000E+00,-2.654399E-10
+3.400000E-02,+2.448316E-09,+0.000000E+00,-1.848605E-10
+3.500000E-02,+1.629005E-09,+0.000000E+00,-2.352225E-10
+3.600000E-02,+2.417279E-10,+0.000000E+00,-1.244272E-10
+3.700000E-02,-5.675252E-10,+0.000000E+00,-1.999693E-10
+3.800000E-02,+6.589167E-10,+0.000000E+00,-1.546431E-10
+3.900000E-02,+3.874907E-10,+0.000000E+00,-1.949332E-10
+4.000000E-02,+3.321974E-10,+0.000000E+00,-1.999694E-10
+4.100000E-02,+2.418153E-09,+0.000000E+00,-1.999698E-10
+4.200000E-02,+1.252030E-09,+0.000000E+00,-2.100412E-10
+4.300000E-02,+3.237452E-09,+0.000000E+00,-1.496084E-10
+4.400000E-02,+4.071837E-09,+0.000000E+00,-2.201141E-10
+4.500000E-02,+4.956474E-09,+0.000000E+00,-2.301870E-10
+4.600000E-02,+6.027101E-09,+0.000000E+00,-1.496074E-10
+4.700000E-02,+3.674748E-09,+0.000000E+00,-1.848601E-10
+4.800000E-02,+3.549092E-09,+0.000000E+00,-2.050054E-10
+4.900000E-02,+3.916010E-09,+0.000000E+00,-2.100415E-10
+5.000000E-02,+2.161805E-09,+0.000000E+00,-1.848612E-10
+5.100000E-02,+1.583766E-09,+0.000000E+00,-1.898970E-10
+5.200000E-02,-1.673338E-09,+0.000000E+00,-1.798252E-10
+5.300000E-02,-3.262571E-10,+0.000000E+00,-1.949338E-10
+5.400000E-02,+5.684404E-10,+0.000000E+00,-2.100425E-10
+5.500000E-02,+2.051220E-09,+0.000000E+00,-1.798237E-10
+5.600000E-02,+3.232425E-09,+0.000000E+00,-1.395363E-10
+5.700000E-02,+2.393019E-09,+0.000000E+00,-2.301868E-10
+5.800000E-02,+4.664954E-09,+0.000000E+00,-2.503304E-10
+5.900000E-02,+5.303299E-09,+0.000000E+00,-1.596798E-10
+6.000000E-02,+5.926569E-09,+0.000000E+00,-2.805476E-10
+6.100000E-02,+5.358585E-09,+0.000000E+00,-1.949334E-10
+6.200000E-02,+3.775276E-09,+0.000000E+00,-2.150781E-10
+6.300000E-02,+5.062029E-09,+0.000000E+00,-1.747889E-10
+6.400000E-02,+4.056746E-09,+0.000000E+00,-2.150784E-10
+6.500000E-02,+2.795129E-09,+0.000000E+00,-2.150779E-10
+6.600000E-02,+1.518428E-09,+0.000000E+00,-1.697515E-10
+6.700000E-02,+9.605012E-10,+0.000000E+00,-2.201139E-10
+6.800000E-02,+9.604983E-10,+0.000000E+00,-2.352229E-10
+6.900000E-02,+1.629008E-09,+0.000000E+00,-1.647163E-10
+7.000000E-02,+3.207298E-09,+0.000000E+00,-2.251502E-10
+7.100000E-02,+3.549095E-09,+0.000000E+00,-1.798253E-10
+7.200000E-02,+4.403578E-09,+0.000000E+00,-1.898978E-10
+7.300000E-02,+5.167585E-09,+0.000000E+00,-2.050061E-10
+7.400000E-02,+5.051974E-09,+0.000000E+00,-2.100417E-10
+7.500000E-02,+4.871027E-09,+0.000000E+00,-1.697521E-10
+7.600000E-02,+4.966537E-09,+0.000000E+00,-2.251502E-10
+7.700000E-02,+3.579247E-09,+0.000000E+00,-2.100421E-10
+7.800000E-02,+4.524217E-09,+0.000000E+00,-4.384787E-11
+7.900000E-02,+1.920540E-09,+0.000000E+00,-1.445716E-10
+8.000000E-02,+9.755776E-10,+0.000000E+00,-2.352232E-10
+8.100000E-02,+1.257054E-09,+0.000000E+00,-1.898977E-10
+8.200000E-02,-4.669940E-10,+0.000000E+00,-2.352223E-10
+8.300000E-02,+2.297521E-09,+0.000000E+00,-2.301861E-10
+8.400000E-02,+1.674249E-09,+0.000000E+00,-1.546445E-10
+8.500000E-02,+3.237466E-09,+0.000000E+00,-1.898969E-10
+8.600000E-02,+6.243241E-09,+0.000000E+00,-1.898978E-10
+8.700000E-02,+5.062038E-09,+0.000000E+00,-2.050053E-10
+8.800000E-02,+5.494309E-09,+0.000000E+00,-1.496073E-10
+8.900000E-02,+6.434239E-09,+0.000000E+00,-1.747892E-10
+9.000000E-02,+5.117325E-09,+0.000000E+00,-1.647168E-10
+9.100000E-02,+5.484246E-09,+0.000000E+00,-2.402583E-10
+9.200000E-02,+5.147488E-09,+0.000000E+00,-2.402587E-10
+9.300000E-02,+4.750396E-09,+0.000000E+00,-1.848613E-10
+9.400000E-02,+3.800404E-09,+0.000000E+00,-1.344987E-10
+9.500000E-02,-3.463619E-10,+0.000000E+00,-1.949337E-10
+9.600000E-02,+1.749644E-09,+0.000000E+00,-3.460164E-10
+9.700000E-02,+9.303405E-10,+0.000000E+00,-2.251502E-10
+9.800000E-02,+2.498575E-09,+0.000000E+00,-2.050053E-10
+9.900000E-02,+3.493798E-09,+0.000000E+00,-1.848612E-10
+1.000000E-01,+3.167093E-09,+0.000000E+00,-1.747887E-10
+1.010000E-01,+3.609416E-09,+0.000000E+00,-1.596799E-10
+1.020000E-01,+5.464148E-09,+0.000000E+00,-2.301861E-10
+1.030000E-01,+5.036906E-09,+0.000000E+00,-1.999697E-10
+1.040000E-01,+5.936626E-09,+0.000000E+00,-2.855844E-10
+1.050000E-01,+5.253037E-09,+0.000000E+00,-2.755121E-10
+1.060000E-01,+5.861226E-09,+0.000000E+00,-2.301858E-10
+1.070000E-01,+4.212575E-09,+0.000000E+00,-2.100425E-10
+1.080000E-01,+4.700134E-09,+0.000000E+00,-3.309088E-10
+1.090000E-01,+3.051481E-09,+0.000000E+00,-1.949333E-10
+1.100000E-01,+2.810212E-09,+0.000000E+00,-2.301866E-10
+1.110000E-01,+1.814983E-09,+0.000000E+00,-2.704760E-10
+1.120000E-01,+2.463391E-09,+0.000000E+00,-1.848613E-10
+1.130000E-01,+3.559144E-09,+0.000000E+00,-1.999698E-10
+1.140000E-01,+4.132152E-09,+0.000000E+00,-1.747889E-10
+1.150000E-01,+4.876050E-09,+0.000000E+00,-2.402582E-10
+1.160000E-01,+5.449063E-09,+0.000000E+00,-2.503310E-10
+1.170000E-01,+5.805947E-09,+0.000000E+00,-1.395352E-10
+1.180000E-01,+7.379199E-09,+0.000000E+00,-1.647159E-10
+1.190000E-01,+6.725769E-09,+0.000000E+00,-2.150785E-10
+1.200000E-01,+5.846155E-09,+0.000000E+00,-9.420958E-11
+1.210000E-01,+5.383722E-09,+0.000000E+00,-1.798247E-10
+1.220000E-01,+4.564423E-09,+0.000000E+00,-2.301855E-10
+1.230000E-01,+4.619713E-09,+0.000000E+00,-2.402590E-10
+1.240000E-01,+2.594073E-09,+0.000000E+00,-2.805479E-10
+1.250000E-01,+2.729792E-09,+0.000000E+00,-2.402584E-10
+1.260000E-01,+2.920791E-09,+0.000000E+00,-9.421092E-11
+1.270000E-01,+3.951199E-09,+0.000000E+00,-1.647160E-10
+1.280000E-01,+5.378684E-09,+0.000000E+00,-1.798245E-10
+1.290000E-01,+4.860973E-09,+0.000000E+00,-2.150778E-10
+1.300000E-01,+2.754917E-09,+0.000000E+00,-1.445711E-10
+1.310000E-01,+6.363871E-09,+0.000000E+00,-1.647164E-10
+1.320000E-01,+7.097730E-09,+0.000000E+00,-2.301863E-10
+1.330000E-01,+7.298779E-09,+0.000000E+00,-1.798247E-10
