VREF,IREF,VDD,IDD
+1.800000E+00,+1.580988E-08,+1.800000E+00,+3.541058E-05
+1.799000E+00,-7.260375E-08,+1.800000E+00,+3.571160E-05
+1.798000E+00,-1.575039E-07,+1.800000E+00,+3.579451E-05
+1.797000E+00,-2.451038E-07,+1.800000E+00,+3.588951E-05
+1.796000E+00,-3.298324E-07,+1.800000E+00,+3.596886E-05
+1.795000E+00,-4.171304E-07,+1.800000E+00,+3.604570E-05
+1.794000E+00,-5.012694E-07,+1.800000E+00,+3.614399E-05
+1.793000E+00,-5.881090E-07,+1.800000E+00,+3.622613E-05
+1.792000E+00,-6.705765E-07,+1.800000E+00,+3.632800E-05
+1.791000E+00,-7.568219E-07,+1.800000E+00,+3.639618E-05
+1.790000E+00,-8.395204E-07,+1.800000E+00,+3.647179E-05
+1.789000E+00,-9.255385E-07,+1.800000E+00,+3.656241E-05
+1.788000E+00,-1.007713E-06,+1.800000E+00,+3.665366E-05
+1.787000E+00,-1.092312E-06,+1.800000E+00,+3.673836E-05
+1.786000E+00,-1.174708E-06,+1.800000E+00,+3.682425E-05
+1.785000E+00,-1.258571E-06,+1.800000E+00,+3.690771E-05
+1.784000E+00,-1.339190E-06,+1.800000E+00,+3.697797E-05
+1.783000E+00,-1.422877E-06,+1.800000E+00,+3.706000E-05
+1.782000E+00,-1.504772E-06,+1.800000E+00,+3.712469E-05
+1.781000E+00,-1.587620E-06,+1.800000E+00,+3.725828E-05
+1.780000E+00,-1.667270E-06,+1.800000E+00,+3.734234E-05
+1.779000E+00,-1.749422E-06,+1.800000E+00,+3.740735E-05
+1.778000E+00,-1.828932E-06,+1.800000E+00,+3.747148E-05
+1.777000E+00,-1.910833E-06,+1.800000E+00,+3.754796E-05
+1.776000E+00,-1.989550E-06,+1.800000E+00,+3.762749E-05
+1.775000E+00,-2.071523E-06,+1.800000E+00,+3.770744E-05
+1.774000E+00,-2.150668E-06,+1.800000E+00,+3.779214E-05
+1.773000E+00,-2.231184E-06,+1.800000E+00,+3.789686E-05
+1.772000E+00,-2.308408E-06,+1.800000E+00,+3.797364E-05
+1.771000E+00,-2.388546E-06,+1.800000E+00,+3.802125E-05
+1.770000E+00,-2.466538E-06,+1.800000E+00,+3.811418E-05
+1.769000E+00,-2.543830E-06,+1.800000E+00,+3.819817E-05
+1.768000E+00,-2.620107E-06,+1.800000E+00,+3.822894E-05
+1.767000E+00,-2.699764E-06,+1.800000E+00,+3.831664E-05
+1.766000E+00,-2.776516E-06,+1.800000E+00,+3.840187E-05
+1.765000E+00,-2.854785E-06,+1.800000E+00,+3.847524E-05
+1.764000E+00,-2.931530E-06,+1.800000E+00,+3.854236E-05
+1.763000E+00,-3.009069E-06,+1.800000E+00,+3.863536E-05
+1.762000E+00,-3.084162E-06,+1.800000E+00,+3.870922E-05
+1.761000E+00,-3.162301E-06,+1.800000E+00,+3.880028E-05
+1.760000E+00,-3.236115E-06,+1.800000E+00,+3.885998E-05
+1.759000E+00,-3.311991E-06,+1.800000E+00,+3.892933E-05
+1.758000E+00,-3.385552E-06,+1.800000E+00,+3.900281E-05
+1.757000E+00,-3.463041E-06,+1.800000E+00,+3.907445E-05
+1.756000E+00,-3.535594E-06,+1.800000E+00,+3.915360E-05
+1.755000E+00,-3.610965E-06,+1.800000E+00,+3.924111E-05
+1.754000E+00,-3.684402E-06,+1.800000E+00,+3.930898E-05
+1.753000E+00,-3.760084E-06,+1.800000E+00,+3.941148E-05
+1.752000E+00,-3.832369E-06,+1.800000E+00,+3.948468E-05
+1.751000E+00,-3.905761E-06,+1.800000E+00,+3.955555E-05
+1.750000E+00,-3.977940E-06,+1.800000E+00,+3.961663E-05
+1.749000E+00,-4.051752E-06,+1.800000E+00,+3.969106E-05
+1.748000E+00,-4.121237E-06,+1.800000E+00,+3.976308E-05
+1.747000E+00,-4.193829E-06,+1.800000E+00,+3.983342E-05
+1.746000E+00,-4.265449E-06,+1.800000E+00,+3.990117E-05
+1.745000E+00,-4.335724E-06,+1.800000E+00,+3.996377E-05
+1.744000E+00,-4.406570E-06,+1.800000E+00,+4.004406E-05
+1.743000E+00,-4.479940E-06,+1.800000E+00,+4.011788E-05
+1.742000E+00,-4.549778E-06,+1.800000E+00,+4.020581E-05
+1.741000E+00,-4.621255E-06,+1.800000E+00,+4.027898E-05
+1.740000E+00,-4.689157E-06,+1.800000E+00,+4.032894E-05
+1.739000E+00,-4.759585E-06,+1.800000E+00,+4.039261E-05
+1.738000E+00,-4.828014E-06,+1.800000E+00,+4.049216E-05
+1.737000E+00,-4.898103E-06,+1.800000E+00,+4.055765E-05
+1.736000E+00,-4.965171E-06,+1.800000E+00,+4.063082E-05
+1.735000E+00,-5.034621E-06,+1.800000E+00,+4.070752E-05
+1.734000E+00,-5.100925E-06,+1.800000E+00,+4.076932E-05
+1.733000E+00,-5.169382E-06,+1.800000E+00,+4.081676E-05
