VREF,IREF,VDD,IDD
+1.800000E+00,+1.743675E-08,+1.800000E+00,+3.468250E-05
+1.790000E+00,-8.416593E-07,+1.800000E+00,+3.552750E-05
+1.780000E+00,-1.668063E-06,+1.800000E+00,+3.630027E-05
+1.770000E+00,-2.465707E-06,+1.800000E+00,+3.711587E-05
+1.760000E+00,-3.233012E-06,+1.800000E+00,+3.787141E-05
+1.750000E+00,-3.968999E-06,+1.800000E+00,+3.861122E-05
+1.740000E+00,-4.672110E-06,+1.800000E+00,+3.930068E-05
+1.730000E+00,-5.347232E-06,+1.800000E+00,+3.997426E-05
+1.720000E+00,-5.988687E-06,+1.800000E+00,+4.060689E-05
+1.710000E+00,-6.599152E-06,+1.800000E+00,+4.122678E-05
+1.700000E+00,-7.176355E-06,+1.800000E+00,+4.180771E-05
+1.690000E+00,-7.723053E-06,+1.800000E+00,+4.234103E-05
+1.680000E+00,-8.230605E-06,+1.800000E+00,+4.283584E-05
+1.670000E+00,-8.709175E-06,+1.800000E+00,+4.330777E-05
+1.660000E+00,-9.153993E-06,+1.800000E+00,+4.374636E-05
+1.650000E+00,-9.572947E-06,+1.800000E+00,+4.417776E-05
+1.640000E+00,-9.958992E-06,+1.800000E+00,+4.456999E-05
+1.630000E+00,-1.031192E-05,+1.800000E+00,+4.492164E-05
+1.620000E+00,-1.064077E-05,+1.800000E+00,+4.524684E-05
+1.610000E+00,-1.093656E-05,+1.800000E+00,+4.554295E-05
+1.600000E+00,-1.120795E-05,+1.800000E+00,+4.581063E-05
+1.590000E+00,-1.145998E-05,+1.800000E+00,+4.605709E-05
+1.580000E+00,-1.168063E-05,+1.800000E+00,+4.628660E-05
+1.570000E+00,-1.188602E-05,+1.800000E+00,+4.648334E-05
+1.560000E+00,-1.207773E-05,+1.800000E+00,+4.666617E-05
+1.550000E+00,-1.224784E-05,+1.800000E+00,+4.684428E-05
+1.540000E+00,-1.240135E-05,+1.800000E+00,+4.699098E-05
+1.530000E+00,-1.254667E-05,+1.800000E+00,+4.715125E-05
+1.520000E+00,-1.267273E-05,+1.800000E+00,+4.726251E-05
+1.510000E+00,-1.279785E-05,+1.800000E+00,+4.739593E-05
+1.500000E+00,-1.290983E-05,+1.800000E+00,+4.750762E-05
+1.490000E+00,-1.300744E-05,+1.800000E+00,+4.757518E-05
+1.480000E+00,-1.310369E-05,+1.800000E+00,+4.767100E-05
+1.470000E+00,-1.320869E-05,+1.800000E+00,+4.778402E-05
+1.460000E+00,-1.328414E-05,+1.800000E+00,+4.785808E-05
+1.450000E+00,-1.336325E-05,+1.800000E+00,+4.792983E-05
+1.440000E+00,-1.344248E-05,+1.800000E+00,+4.799707E-05
+1.430000E+00,-1.351848E-05,+1.800000E+00,+4.808308E-05
+1.420000E+00,-1.358198E-05,+1.800000E+00,+4.814445E-05
+1.410000E+00,-1.365437E-05,+1.800000E+00,+4.823159E-05
+1.400000E+00,-1.371844E-05,+1.800000E+00,+4.827967E-05
+1.390000E+00,-1.377600E-05,+1.800000E+00,+4.834131E-05
+1.380000E+00,-1.383636E-05,+1.800000E+00,+4.840563E-05
+1.370000E+00,-1.388204E-05,+1.800000E+00,+4.844998E-05
+1.360000E+00,-1.393481E-05,+1.800000E+00,+4.851283E-05
+1.350000E+00,-1.399161E-05,+1.800000E+00,+4.856760E-05
+1.340000E+00,-1.403745E-05,+1.800000E+00,+4.861035E-05
+1.330000E+00,-1.407462E-05,+1.800000E+00,+4.863655E-05
+1.320000E+00,-1.411753E-05,+1.800000E+00,+4.868842E-05
+1.310000E+00,-1.415535E-05,+1.800000E+00,+4.871902E-05
+1.300000E+00,-1.419847E-05,+1.800000E+00,+4.876032E-05
+1.290000E+00,-1.423027E-05,+1.800000E+00,+4.878153E-05
+1.280000E+00,-1.426486E-05,+1.800000E+00,+4.882580E-05
+1.270000E+00,-1.429780E-05,+1.800000E+00,+4.885397E-05
+1.260000E+00,-1.432675E-05,+1.800000E+00,+4.888722E-05
+1.250000E+00,-1.435403E-05,+1.800000E+00,+4.890479E-05
+1.240000E+00,-1.437818E-05,+1.800000E+00,+4.894249E-05
+1.230000E+00,-1.440461E-05,+1.800000E+00,+4.895179E-05
+1.220000E+00,-1.442464E-05,+1.800000E+00,+4.898954E-05
+1.210000E+00,-1.444804E-05,+1.800000E+00,+4.900323E-05
+1.200000E+00,-1.446625E-05,+1.800000E+00,+4.900662E-05
+1.190000E+00,-1.447893E-05,+1.800000E+00,+4.903530E-05
+1.180000E+00,-1.448688E-05,+1.800000E+00,+4.904025E-05
+1.170000E+00,-1.450576E-05,+1.800000E+00,+4.906622E-05
+1.160000E+00,-1.451470E-05,+1.800000E+00,+4.908511E-05
+1.150000E+00,-1.452815E-05,+1.800000E+00,+4.908721E-05
+1.140000E+00,-1.453472E-05,+1.800000E+00,+4.910218E-05
+1.130000E+00,-1.454241E-05,+1.800000E+00,+4.910045E-05
+1.120000E+00,-1.455066E-05,+1.800000E+00,+4.912212E-05
+1.110000E+00,-1.455392E-05,+1.800000E+00,+4.911708E-05
+1.100000E+00,-1.455551E-05,+1.800000E+00,+4.912021E-05
+1.090000E+00,-1.456154E-05,+1.800000E+00,+4.913160E-05
+1.080000E+00,-1.456213E-05,+1.800000E+00,+4.912409E-05
+1.070000E+00,-1.457022E-05,+1.800000E+00,+4.912061E-05
+1.060000E+00,-1.457529E-05,+1.800000E+00,+4.913449E-05
+1.050000E+00,-1.456975E-05,+1.800000E+00,+4.912334E-05
+1.040000E+00,-1.456725E-05,+1.800000E+00,+4.912408E-05
+1.030000E+00,-1.457282E-05,+1.800000E+00,+4.913620E-05
+1.020000E+00,-1.457734E-05,+1.800000E+00,+4.914505E-05
+1.010000E+00,-1.457986E-05,+1.800000E+00,+4.913358E-05
+1.000000E+00,-1.457970E-05,+1.800000E+00,+4.914030E-05
+9.900000E-01,-1.458222E-05,+1.800000E+00,+4.914152E-05
+9.800000E-01,-1.457860E-05,+1.800000E+00,+4.913446E-05
+9.700000E-01,-1.457960E-05,+1.800000E+00,+4.914006E-05
+9.600000E-01,-1.457922E-05,+1.800000E+00,+4.914016E-05
+9.500000E-01,-1.458836E-05,+1.800000E+00,+4.916400E-05
+9.400000E-01,-1.458791E-05,+1.800000E+00,+4.915959E-05
+9.300000E-01,-1.459281E-05,+1.800000E+00,+4.915589E-05
+9.200000E-01,-1.459665E-05,+1.800000E+00,+4.916462E-05
+9.100000E-01,-1.460115E-05,+1.800000E+00,+4.916378E-05
+9.000000E-01,-1.459922E-05,+1.800000E+00,+4.916826E-05
+8.900000E-01,-1.460382E-05,+1.800000E+00,+4.916409E-05
+8.800000E-01,-1.460176E-05,+1.800000E+00,+4.916905E-05
+8.700000E-01,-1.460544E-05,+1.800000E+00,+4.917540E-05
+8.600000E-01,-1.460964E-05,+1.800000E+00,+4.917241E-05
+8.500000E-01,-1.460799E-05,+1.800000E+00,+4.917281E-05
+8.400000E-01,-1.460223E-05,+1.800000E+00,+4.917054E-05
+8.300000E-01,-1.460612E-05,+1.800000E+00,+4.918084E-05
+8.200000E-01,-1.460907E-05,+1.800000E+00,+4.917857E-05
+8.100000E-01,-1.460552E-05,+1.800000E+00,+4.916657E-05
+8.000000E-01,-1.460709E-05,+1.800000E+00,+4.917273E-05
+7.900000E-01,-1.461325E-05,+1.800000E+00,+4.917004E-05
+7.800000E-01,-1.460863E-05,+1.800000E+00,+4.917736E-05
+7.700000E-01,-1.461081E-05,+1.800000E+00,+4.917225E-05
+7.600000E-01,-1.461258E-05,+1.800000E+00,+4.916931E-05
+7.500000E-01,-1.460593E-05,+1.800000E+00,+4.917062E-05
+7.400000E-01,-1.461044E-05,+1.800000E+00,+4.917390E-05
+7.300000E-01,-1.461077E-05,+1.800000E+00,+4.917484E-05
+7.200000E-01,-1.460968E-05,+1.800000E+00,+4.918404E-05
+7.100000E-01,-1.460762E-05,+1.800000E+00,+4.917939E-05
+7.000000E-01,-1.461273E-05,+1.800000E+00,+4.919608E-05
+6.900000E-01,-1.461326E-05,+1.800000E+00,+4.917637E-05
+6.800000E-01,-1.461288E-05,+1.800000E+00,+4.917097E-05
+6.700000E-01,-1.461542E-05,+1.800000E+00,+4.918118E-05
+6.600000E-01,-1.461241E-05,+1.800000E+00,+4.917151E-05
+6.500000E-01,-1.461139E-05,+1.800000E+00,+4.917044E-05
+6.400000E-01,-1.460830E-05,+1.800000E+00,+4.915944E-05
+6.300000E-01,-1.461494E-05,+1.800000E+00,+4.916739E-05
+6.200000E-01,-1.462261E-05,+1.800000E+00,+4.918097E-05
+6.100000E-01,-1.462363E-05,+1.800000E+00,+4.918329E-05
+6.000000E-01,-1.461682E-05,+1.800000E+00,+4.917837E-05
+5.900000E-01,-1.462299E-05,+1.800000E+00,+4.917842E-05
+5.800000E-01,-1.461946E-05,+1.800000E+00,+4.917958E-05
+5.700000E-01,-1.461997E-05,+1.800000E+00,+4.918906E-05
+5.600000E-01,-1.461239E-05,+1.800000E+00,+4.917252E-05
+5.500000E-01,-1.461565E-05,+1.800000E+00,+4.917173E-05
+5.400000E-01,-1.461307E-05,+1.800000E+00,+4.916622E-05
+5.300000E-01,-1.462780E-05,+1.800000E+00,+4.919197E-05
+5.200000E-01,-1.462836E-05,+1.800000E+00,+4.918330E-05
+5.100000E-01,-1.462090E-05,+1.800000E+00,+4.917270E-05
+5.000000E-01,-1.461453E-05,+1.800000E+00,+4.916241E-05
+4.900000E-01,-1.461381E-05,+1.800000E+00,+4.915500E-05
+4.800000E-01,-1.461453E-05,+1.800000E+00,+4.917240E-05
+4.700000E-01,-1.461528E-05,+1.800000E+00,+4.916465E-05
+4.600000E-01,-1.461875E-05,+1.800000E+00,+4.916825E-05
+4.500000E-01,-1.461570E-05,+1.800000E+00,+4.916564E-05
+4.400000E-01,-1.462132E-05,+1.800000E+00,+4.917230E-05
+4.300000E-01,-1.462282E-05,+1.800000E+00,+4.917055E-05
+4.200000E-01,-1.461258E-05,+1.800000E+00,+4.916335E-05
+4.100000E-01,-1.462051E-05,+1.800000E+00,+4.916180E-05
+4.000000E-01,-1.461234E-05,+1.800000E+00,+4.916339E-05
+3.900000E-01,-1.461555E-05,+1.800000E+00,+4.917501E-05
+3.800000E-01,-1.462282E-05,+1.800000E+00,+4.917037E-05
+3.700000E-01,-1.462333E-05,+1.800000E+00,+4.917397E-05
+3.600000E-01,-1.461615E-05,+1.800000E+00,+4.917188E-05
+3.500000E-01,-1.462641E-05,+1.800000E+00,+4.920282E-05
+3.400000E-01,-1.462321E-05,+1.800000E+00,+4.918228E-05
+3.300000E-01,-1.462931E-05,+1.800000E+00,+4.917851E-05
+3.200000E-01,-1.462980E-05,+1.800000E+00,+4.919709E-05
+3.100000E-01,-1.463139E-05,+1.800000E+00,+4.919268E-05
+3.000000E-01,-1.463463E-05,+1.800000E+00,+4.918642E-05
+2.900000E-01,-1.463270E-05,+1.800000E+00,+4.918965E-05
+2.800000E-01,-1.463305E-05,+1.800000E+00,+4.918455E-05
+2.700000E-01,-1.464105E-05,+1.800000E+00,+4.919595E-05
+2.600000E-01,-1.463960E-05,+1.800000E+00,+4.918472E-05
+2.500000E-01,-1.463050E-05,+1.800000E+00,+4.919040E-05
+2.400000E-01,-1.463701E-05,+1.800000E+00,+4.918344E-05
+2.300000E-01,-1.463564E-05,+1.800000E+00,+4.918903E-05
+2.200000E-01,-1.464019E-05,+1.800000E+00,+4.919850E-05
+2.100000E-01,-1.463867E-05,+1.800000E+00,+4.918006E-05
+2.000000E-01,-1.463813E-05,+1.800000E+00,+4.919608E-05
+1.900000E-01,-1.463502E-05,+1.800000E+00,+4.919247E-05
+1.800000E-01,-1.463727E-05,+1.800000E+00,+4.919036E-05
+1.700000E-01,-1.463862E-05,+1.800000E+00,+4.918530E-05
+1.600000E-01,-1.463919E-05,+1.800000E+00,+4.918586E-05
+1.500000E-01,-1.463783E-05,+1.800000E+00,+4.918861E-05
+1.400000E-01,-1.463947E-05,+1.800000E+00,+4.918445E-05
+1.300000E-01,-1.464288E-05,+1.800000E+00,+4.920027E-05
+1.200000E-01,-1.464472E-05,+1.800000E+00,+4.919683E-05
+1.100000E-01,-1.463891E-05,+1.800000E+00,+4.918697E-05
+1.000000E-01,-1.464501E-05,+1.800000E+00,+4.918902E-05
+9.000000E-02,-1.464451E-05,+1.800000E+00,+4.919466E-05
+8.000000E-02,-1.464399E-05,+1.800000E+00,+4.919558E-05
+7.000000E-02,-1.464000E-05,+1.800000E+00,+4.918870E-05
+6.000000E-02,-1.464357E-05,+1.800000E+00,+4.919134E-05
+5.000000E-02,-1.464626E-05,+1.800000E+00,+4.919143E-05
+4.000000E-02,-1.464151E-05,+1.800000E+00,+4.919045E-05
+3.000000E-02,-1.464564E-05,+1.800000E+00,+4.919015E-05
+2.000000E-02,-1.464600E-05,+1.800000E+00,+4.918959E-05
+1.000000E-02,-1.464049E-05,+1.800000E+00,+4.919427E-05
+0.000000E+00,-1.464123E-05,+1.800000E+00,+4.919986E-05
