VDD,IDD,VREF,IREF
+1.800000E+00,+5.069372E-05,+0.000000E+00,-1.463766E-05
+1.790000E+00,+5.037192E-05,+0.000000E+00,-1.464449E-05
+1.780000E+00,+5.014431E-05,+0.000000E+00,-1.464684E-05
+1.770000E+00,+5.001375E-05,+0.000000E+00,-1.464478E-05
+1.760000E+00,+4.987529E-05,+0.000000E+00,-1.463982E-05
+1.750000E+00,+4.976664E-05,+0.000000E+00,-1.463155E-05
+1.740000E+00,+4.966041E-05,+0.000000E+00,-1.463838E-05
+1.730000E+00,+4.962822E-05,+0.000000E+00,-1.464217E-05
+1.720000E+00,+4.955655E-05,+0.000000E+00,-1.463068E-05
+1.710000E+00,+4.951905E-05,+0.000000E+00,-1.462907E-05
+1.700000E+00,+4.949769E-05,+0.000000E+00,-1.463433E-05
+1.690000E+00,+4.943124E-05,+0.000000E+00,-1.463237E-05
+1.680000E+00,+4.937367E-05,+0.000000E+00,-1.461848E-05
+1.670000E+00,+4.936746E-05,+0.000000E+00,-1.461804E-05
+1.660000E+00,+4.932480E-05,+0.000000E+00,-1.461645E-05
+1.650000E+00,+4.926198E-05,+0.000000E+00,-1.460881E-05
+1.640000E+00,+4.924214E-05,+0.000000E+00,-1.460116E-05
+1.630000E+00,+4.923421E-05,+0.000000E+00,-1.460149E-05
+1.620000E+00,+4.924107E-05,+0.000000E+00,-1.460680E-05
+1.610000E+00,+4.915989E-05,+0.000000E+00,-1.459003E-05
+1.600000E+00,+4.912213E-05,+0.000000E+00,-1.458591E-05
+1.590000E+00,+4.912070E-05,+0.000000E+00,-1.459130E-05
+1.580000E+00,+4.910097E-05,+0.000000E+00,-1.458826E-05
+1.570000E+00,+4.907686E-05,+0.000000E+00,-1.458191E-05
+1.560000E+00,+4.901131E-05,+0.000000E+00,-1.457961E-05
+1.550000E+00,+4.900152E-05,+0.000000E+00,-1.457511E-05
+1.540000E+00,+4.896852E-05,+0.000000E+00,-1.456387E-05
+1.530000E+00,+4.895035E-05,+0.000000E+00,-1.455615E-05
+1.520000E+00,+4.886917E-05,+0.000000E+00,-1.454252E-05
+1.510000E+00,+4.878570E-05,+0.000000E+00,-1.451897E-05
+1.500000E+00,+4.872956E-05,+0.000000E+00,-1.449669E-05
+1.490000E+00,+4.858991E-05,+0.000000E+00,-1.446189E-05
+1.480000E+00,+4.840039E-05,+0.000000E+00,-1.440598E-05
+1.470000E+00,+4.815177E-05,+0.000000E+00,-1.433738E-05
+1.460000E+00,+4.786908E-05,+0.000000E+00,-1.425777E-05
+1.450000E+00,+4.752911E-05,+0.000000E+00,-1.415273E-05
+1.440000E+00,+4.709485E-05,+0.000000E+00,-1.402990E-05
+1.430000E+00,+4.656727E-05,+0.000000E+00,-1.387796E-05
+1.420000E+00,+4.595026E-05,+0.000000E+00,-1.370080E-05
+1.410000E+00,+4.528950E-05,+0.000000E+00,-1.350084E-05
+1.400000E+00,+4.454864E-05,+0.000000E+00,-1.329564E-05
+1.390000E+00,+4.367481E-05,+0.000000E+00,-1.306334E-05
+1.380000E+00,+4.275202E-05,+0.000000E+00,-1.281207E-05
+1.370000E+00,+4.181467E-05,+0.000000E+00,-1.256221E-05
+1.360000E+00,+4.077478E-05,+0.000000E+00,-1.229006E-05
+1.350000E+00,+3.970505E-05,+0.000000E+00,-1.201688E-05
+1.340000E+00,+3.859040E-05,+0.000000E+00,-1.173319E-05
+1.330000E+00,+3.747647E-05,+0.000000E+00,-1.144700E-05
+1.320000E+00,+3.638353E-05,+0.000000E+00,-1.116064E-05
+1.310000E+00,+3.530879E-05,+0.000000E+00,-1.086423E-05
+1.300000E+00,+3.413630E-05,+0.000000E+00,-1.056890E-05
+1.290000E+00,+3.295412E-05,+0.000000E+00,-1.027302E-05
+1.280000E+00,+3.181477E-05,+0.000000E+00,-9.983399E-06
+1.270000E+00,+3.070243E-05,+0.000000E+00,-9.690967E-06
+1.260000E+00,+2.958129E-05,+0.000000E+00,-9.395492E-06
+1.250000E+00,+2.839150E-05,+0.000000E+00,-9.104499E-06
+1.240000E+00,+2.728914E-05,+0.000000E+00,-8.818966E-06
+1.230000E+00,+2.620805E-05,+0.000000E+00,-8.532671E-06
+1.220000E+00,+2.515898E-05,+0.000000E+00,-8.248798E-06
+1.210000E+00,+2.408311E-05,+0.000000E+00,-7.965244E-06
+1.200000E+00,+2.308200E-05,+0.000000E+00,-7.692292E-06
+1.190000E+00,+2.211028E-05,+0.000000E+00,-7.418556E-06
+1.180000E+00,+2.119172E-05,+0.000000E+00,-7.149745E-06
+1.170000E+00,+2.028873E-05,+0.000000E+00,-6.886650E-06
+1.160000E+00,+1.936602E-05,+0.000000E+00,-6.625855E-06
+1.150000E+00,+1.851371E-05,+0.000000E+00,-6.371813E-06
+1.140000E+00,+1.769507E-05,+0.000000E+00,-6.120910E-06
+1.130000E+00,+1.692854E-05,+0.000000E+00,-5.874196E-06
+1.120000E+00,+1.613800E-05,+0.000000E+00,-5.633428E-06
+1.110000E+00,+1.540437E-05,+0.000000E+00,-5.398331E-06
+1.100000E+00,+1.468740E-05,+0.000000E+00,-5.168384E-06
+1.090000E+00,+1.392412E-05,+0.000000E+00,-4.943251E-06
+1.080000E+00,+1.318671E-05,+0.000000E+00,-4.723373E-06
+1.070000E+00,+1.250568E-05,+0.000000E+00,-4.508149E-06
+1.060000E+00,+1.179342E-05,+0.000000E+00,-4.298289E-06
+1.050000E+00,+1.109128E-05,+0.000000E+00,-4.094808E-06
+1.040000E+00,+1.044812E-05,+0.000000E+00,-3.895336E-06
+1.030000E+00,+9.826541E-06,+0.000000E+00,-3.701769E-06
+1.020000E+00,+9.202617E-06,+0.000000E+00,-3.516192E-06
+1.010000E+00,+8.626266E-06,+0.000000E+00,-3.334993E-06
+1.000000E+00,+8.118871E-06,+0.000000E+00,-3.159277E-06
+9.900000E-01,+7.583788E-06,+0.000000E+00,-2.988463E-06
+9.800000E-01,+7.015656E-06,+0.000000E+00,-2.824358E-06
+9.700000E-01,+6.474092E-06,+0.000000E+00,-2.664863E-06
+9.600000E-01,+5.964814E-06,+0.000000E+00,-2.513740E-06
+9.500000E-01,+5.445754E-06,+0.000000E+00,-2.365378E-06
+9.400000E-01,+4.928092E-06,+0.000000E+00,-2.223607E-06
+9.300000E-01,+4.375538E-06,+0.000000E+00,-2.087538E-06
+9.200000E-01,+3.833822E-06,+0.000000E+00,-1.955833E-06
+9.100000E-01,+3.372314E-06,+0.000000E+00,-1.829830E-06
+9.000000E-01,+2.981657E-06,+0.000000E+00,-1.710499E-06
+8.900000E-01,+2.577171E-06,+0.000000E+00,-1.595213E-06
+8.800000E-01,+2.227220E-06,+0.000000E+00,-1.485121E-06
+8.700000E-01,+1.893028E-06,+0.000000E+00,-1.380143E-06
+8.600000E-01,+1.553692E-06,+0.000000E+00,-1.280378E-06
+8.500000E-01,+1.218054E-06,+0.000000E+00,-1.185329E-06
+8.400000E-01,+8.979877E-07,+0.000000E+00,-1.095341E-06
