VDD,IDD,VREF,IREF
+0.000000E+00,-7.180519E-08,+0.000000E+00,-2.049996E-10
+1.000000E-02,+2.255096E-06,+0.000000E+00,-2.301802E-10
+2.000000E-02,+2.311278E-06,+0.000000E+00,-2.956506E-10
+3.000000E-02,+2.386142E-06,+0.000000E+00,-1.798184E-10
+4.000000E-02,+2.417710E-06,+0.000000E+00,-2.452886E-10
+5.000000E-02,+2.407141E-06,+0.000000E+00,-1.848539E-10
+6.000000E-02,+2.392149E-06,+0.000000E+00,-1.647086E-10
+7.000000E-02,+2.441249E-06,+0.000000E+00,-1.949256E-10
+8.000000E-02,+2.471810E-06,+0.000000E+00,-1.949258E-10
+9.000000E-02,+2.472846E-06,+0.000000E+00,-2.402528E-10
+1.000000E-01,+2.444730E-06,+0.000000E+00,-2.049992E-10
+1.100000E-01,+2.452506E-06,+0.000000E+00,-2.301794E-10
+1.200000E-01,+2.504768E-06,+0.000000E+00,-2.956509E-10
+1.300000E-01,+2.512672E-06,+0.000000E+00,-2.855777E-10
+1.400000E-01,+2.456205E-06,+0.000000E+00,-2.603964E-10
+1.500000E-01,+2.490577E-06,+0.000000E+00,-2.704701E-10
+1.600000E-01,+2.518128E-06,+0.000000E+00,-2.049990E-10
+1.700000E-01,+2.527779E-06,+0.000000E+00,-2.251435E-10
+1.800000E-01,+2.513953E-06,+0.000000E+00,-2.352153E-10
+1.900000E-01,+2.495333E-06,+0.000000E+00,-3.006868E-10
+2.000000E-01,+2.515549E-06,+0.000000E+00,-2.704690E-10
+2.100000E-01,+2.546272E-06,+0.000000E+00,-2.603974E-10
+2.200000E-01,+2.551334E-06,+0.000000E+00,-1.848534E-10
+2.300000E-01,+2.499181E-06,+0.000000E+00,-2.553603E-10
+2.400000E-01,+2.488290E-06,+0.000000E+00,-2.855780E-10
+2.500000E-01,+2.545268E-06,+0.000000E+00,-2.150713E-10
+2.600000E-01,+2.551300E-06,+0.000000E+00,-2.301799E-10
+2.700000E-01,+2.533546E-06,+0.000000E+00,-2.402529E-10
+2.800000E-01,+2.521080E-06,+0.000000E+00,-2.251435E-10
+2.900000E-01,+2.551061E-06,+0.000000E+00,-2.352162E-10
+3.000000E-01,+2.565978E-06,+0.000000E+00,-2.402519E-10
+3.100000E-01,+2.544211E-06,+0.000000E+00,-2.855783E-10
+3.200000E-01,+2.526221E-06,+0.000000E+00,-1.949261E-10
+3.300000E-01,+2.534922E-06,+0.000000E+00,-2.755061E-10
+3.400000E-01,+2.573310E-06,+0.000000E+00,-3.309035E-10
+3.500000E-01,+2.543668E-06,+0.000000E+00,-2.855778E-10
+3.600000E-01,+2.516332E-06,+0.000000E+00,-3.510487E-10
+3.700000E-01,+2.523166E-06,+0.000000E+00,-4.265907E-10
+3.800000E-01,+2.544356E-06,+0.000000E+00,-4.517718E-10
+3.900000E-01,+2.589812E-06,+0.000000E+00,-5.273147E-10
