VREF,IREF,VDD,IDD
+1.800000E+00,+1.750216E-08,+1.800000E+00,+3.468485E-05
+1.790000E+00,-8.418389E-07,+1.800000E+00,+3.557197E-05
+1.780000E+00,-1.668445E-06,+1.800000E+00,+3.634164E-05
+1.770000E+00,-2.466252E-06,+1.800000E+00,+3.714650E-05
+1.760000E+00,-3.233800E-06,+1.800000E+00,+3.793489E-05
+1.750000E+00,-3.970493E-06,+1.800000E+00,+3.866510E-05
+1.740000E+00,-4.677262E-06,+1.800000E+00,+3.937109E-05
+1.730000E+00,-5.352030E-06,+1.800000E+00,+4.005258E-05
+1.720000E+00,-5.995915E-06,+1.800000E+00,+4.069833E-05
+1.710000E+00,-6.606442E-06,+1.800000E+00,+4.129744E-05
+1.700000E+00,-7.184424E-06,+1.800000E+00,+4.187164E-05
+1.690000E+00,-7.728997E-06,+1.800000E+00,+4.242362E-05
+1.680000E+00,-8.242463E-06,+1.800000E+00,+4.292042E-05
+1.670000E+00,-8.724648E-06,+1.800000E+00,+4.341183E-05
+1.660000E+00,-9.171446E-06,+1.800000E+00,+4.384811E-05
+1.650000E+00,-9.588264E-06,+1.800000E+00,+4.425366E-05
+1.640000E+00,-9.974962E-06,+1.800000E+00,+4.463924E-05
+1.630000E+00,-1.032913E-05,+1.800000E+00,+4.500015E-05
+1.620000E+00,-1.065632E-05,+1.800000E+00,+4.533467E-05
+1.610000E+00,-1.095507E-05,+1.800000E+00,+4.562170E-05
+1.600000E+00,-1.123188E-05,+1.800000E+00,+4.590420E-05
+1.590000E+00,-1.147846E-05,+1.800000E+00,+4.614229E-05
+1.580000E+00,-1.170202E-05,+1.800000E+00,+4.636079E-05
+1.570000E+00,-1.191350E-05,+1.800000E+00,+4.656940E-05
+1.560000E+00,-1.209967E-05,+1.800000E+00,+4.674869E-05
+1.550000E+00,-1.227068E-05,+1.800000E+00,+4.691577E-05
+1.540000E+00,-1.242726E-05,+1.800000E+00,+4.706954E-05
+1.530000E+00,-1.256896E-05,+1.800000E+00,+4.721219E-05
+1.520000E+00,-1.270434E-05,+1.800000E+00,+4.735429E-05
+1.510000E+00,-1.282554E-05,+1.800000E+00,+4.747439E-05
+1.500000E+00,-1.293807E-05,+1.800000E+00,+4.757790E-05
+1.490000E+00,-1.304011E-05,+1.800000E+00,+4.768919E-05
+1.480000E+00,-1.313955E-05,+1.800000E+00,+4.778966E-05
+1.470000E+00,-1.323469E-05,+1.800000E+00,+4.788788E-05
+1.460000E+00,-1.331498E-05,+1.800000E+00,+4.795934E-05
+1.450000E+00,-1.339783E-05,+1.800000E+00,+4.805983E-05
+1.440000E+00,-1.347576E-05,+1.800000E+00,+4.811698E-05
+1.430000E+00,-1.354227E-05,+1.800000E+00,+4.818063E-05
+1.420000E+00,-1.362181E-05,+1.800000E+00,+4.828171E-05
+1.410000E+00,-1.369823E-05,+1.800000E+00,+4.837057E-05
+1.400000E+00,-1.374822E-05,+1.800000E+00,+4.841209E-05
+1.390000E+00,-1.380828E-05,+1.800000E+00,+4.845683E-05
+1.380000E+00,-1.386101E-05,+1.800000E+00,+4.851151E-05
+1.370000E+00,-1.391519E-05,+1.800000E+00,+4.857514E-05
+1.360000E+00,-1.396675E-05,+1.800000E+00,+4.861621E-05
+1.350000E+00,-1.401612E-05,+1.800000E+00,+4.866905E-05
+1.340000E+00,-1.407366E-05,+1.800000E+00,+4.873751E-05
+1.330000E+00,-1.411722E-05,+1.800000E+00,+4.877192E-05
+1.320000E+00,-1.415288E-05,+1.800000E+00,+4.880202E-05
+1.310000E+00,-1.419429E-05,+1.800000E+00,+4.885562E-05
+1.300000E+00,-1.423721E-05,+1.800000E+00,+4.890149E-05
+1.290000E+00,-1.427357E-05,+1.800000E+00,+4.894660E-05
+1.280000E+00,-1.430661E-05,+1.800000E+00,+4.897551E-05
+1.270000E+00,-1.433540E-05,+1.800000E+00,+4.899443E-05
+1.260000E+00,-1.436813E-05,+1.800000E+00,+4.903763E-05
+1.250000E+00,-1.439009E-05,+1.800000E+00,+4.904175E-05
+1.240000E+00,-1.441424E-05,+1.800000E+00,+4.906665E-05
+1.230000E+00,-1.444054E-05,+1.800000E+00,+4.909375E-05
+1.220000E+00,-1.446139E-05,+1.800000E+00,+4.912421E-05
+1.210000E+00,-1.447558E-05,+1.800000E+00,+4.913314E-05
+1.200000E+00,-1.449613E-05,+1.800000E+00,+4.914964E-05
+1.190000E+00,-1.451395E-05,+1.800000E+00,+4.916746E-05
+1.180000E+00,-1.452795E-05,+1.800000E+00,+4.919227E-05
+1.170000E+00,-1.454131E-05,+1.800000E+00,+4.922188E-05
+1.160000E+00,-1.454976E-05,+1.800000E+00,+4.920702E-05
+1.150000E+00,-1.456212E-05,+1.800000E+00,+4.922688E-05
+1.140000E+00,-1.456901E-05,+1.800000E+00,+4.922710E-05
+1.130000E+00,-1.457313E-05,+1.800000E+00,+4.922945E-05
+1.120000E+00,-1.458630E-05,+1.800000E+00,+4.924240E-05
+1.110000E+00,-1.459128E-05,+1.800000E+00,+4.925659E-05
+1.100000E+00,-1.460020E-05,+1.800000E+00,+4.926283E-05
+1.090000E+00,-1.460478E-05,+1.800000E+00,+4.926982E-05
+1.080000E+00,-1.460973E-05,+1.800000E+00,+4.927037E-05
+1.070000E+00,-1.461647E-05,+1.800000E+00,+4.927400E-05
+1.060000E+00,-1.461403E-05,+1.800000E+00,+4.926565E-05
+1.050000E+00,-1.461666E-05,+1.800000E+00,+4.927302E-05
+1.040000E+00,-1.461969E-05,+1.800000E+00,+4.926845E-05
+1.030000E+00,-1.462207E-05,+1.800000E+00,+4.926333E-05
+1.020000E+00,-1.461835E-05,+1.800000E+00,+4.927930E-05
+1.010000E+00,-1.462523E-05,+1.800000E+00,+4.926844E-05
+1.000000E+00,-1.462237E-05,+1.800000E+00,+4.927275E-05
+9.900000E-01,-1.462391E-05,+1.800000E+00,+4.926941E-05
+9.800000E-01,-1.462624E-05,+1.800000E+00,+4.928038E-05
+9.700000E-01,-1.462496E-05,+1.800000E+00,+4.928496E-05
+9.600000E-01,-1.462539E-05,+1.800000E+00,+4.927871E-05
+9.500000E-01,-1.462848E-05,+1.800000E+00,+4.927865E-05
+9.400000E-01,-1.462881E-05,+1.800000E+00,+4.927940E-05
+9.300000E-01,-1.463194E-05,+1.800000E+00,+4.929509E-05
+9.200000E-01,-1.462385E-05,+1.800000E+00,+4.925028E-05
+9.100000E-01,-1.462566E-05,+1.800000E+00,+4.924919E-05
+9.000000E-01,-1.463021E-05,+1.800000E+00,+4.925882E-05
+8.900000E-01,-1.463379E-05,+1.800000E+00,+4.925760E-05
+8.800000E-01,-1.462936E-05,+1.800000E+00,+4.925674E-05
+8.700000E-01,-1.464479E-05,+1.800000E+00,+4.928736E-05
+8.600000E-01,-1.463735E-05,+1.800000E+00,+4.930697E-05
