VDD,IDD,VREF,IREF
+0.000000E+00,-1.922763E-08,+0.000000E+00,-2.503262E-10
+1.000000E-02,+2.363633E-06,+0.000000E+00,-2.100351E-10
+2.000000E-02,+2.397398E-06,+0.000000E+00,-1.898915E-10
+3.000000E-02,+2.405268E-06,+0.000000E+00,-2.251460E-10
+4.000000E-02,+2.393944E-06,+0.000000E+00,-2.704705E-10
+5.000000E-02,+2.459594E-06,+0.000000E+00,-2.100368E-10
+6.000000E-02,+2.489975E-06,+0.000000E+00,-2.402537E-10
+7.000000E-02,+2.480620E-06,+0.000000E+00,-1.898919E-10
+8.000000E-02,+2.464353E-06,+0.000000E+00,-2.553622E-10
+9.000000E-02,+2.477438E-06,+0.000000E+00,-2.352170E-10
+1.000000E-01,+2.537149E-06,+0.000000E+00,-2.251452E-10
+1.100000E-01,+2.503925E-06,+0.000000E+00,-1.848554E-10
+1.200000E-01,+2.502676E-06,+0.000000E+00,-2.050000E-10
+1.300000E-01,+2.506361E-06,+0.000000E+00,-1.848561E-10
+1.400000E-01,+2.530910E-06,+0.000000E+00,-2.251453E-10
+1.500000E-01,+2.565905E-06,+0.000000E+00,-2.050005E-10
+1.600000E-01,+2.528403E-06,+0.000000E+00,-2.201090E-10
+1.700000E-01,+2.509938E-06,+0.000000E+00,-1.999640E-10
+1.800000E-01,+2.554381E-06,+0.000000E+00,-1.999650E-10
+1.900000E-01,+2.580963E-06,+0.000000E+00,-2.050007E-10
+2.000000E-01,+2.536787E-06,+0.000000E+00,-2.452898E-10
+2.100000E-01,+2.514464E-06,+0.000000E+00,-2.049999E-10
+2.200000E-01,+2.538282E-06,+0.000000E+00,-2.201085E-10
+2.300000E-01,+2.573366E-06,+0.000000E+00,-2.452893E-10
+2.400000E-01,+2.566116E-06,+0.000000E+00,-1.949276E-10
+2.500000E-01,+2.538504E-06,+0.000000E+00,-1.747821E-10
+2.600000E-01,+2.531150E-06,+0.000000E+00,-2.251445E-10
+2.700000E-01,+2.576838E-06,+0.000000E+00,-2.352173E-10
+2.800000E-01,+2.572955E-06,+0.000000E+00,-8.916856E-11
