VDD,IDD,VREF,IREF
+1.800000E+00,+4.980943E-05,+0.000000E+00,-1.481099E-05
+1.790000E+00,+4.977693E-05,+0.000000E+00,-1.481246E-05
+1.780000E+00,+4.975294E-05,+0.000000E+00,-1.480189E-05
+1.770000E+00,+4.973508E-05,+0.000000E+00,-1.480157E-05
+1.760000E+00,+4.971832E-05,+0.000000E+00,-1.479865E-05
+1.750000E+00,+4.970710E-05,+0.000000E+00,-1.479190E-05
+1.740000E+00,+4.968608E-05,+0.000000E+00,-1.478773E-05
+1.730000E+00,+4.970106E-05,+0.000000E+00,-1.479321E-05
+1.720000E+00,+4.969138E-05,+0.000000E+00,-1.479773E-05
+1.710000E+00,+4.969500E-05,+0.000000E+00,-1.479909E-05
+1.700000E+00,+4.968597E-05,+0.000000E+00,-1.479239E-05
+1.690000E+00,+4.963402E-05,+0.000000E+00,-1.477910E-05
+1.680000E+00,+4.964479E-05,+0.000000E+00,-1.478397E-05
+1.670000E+00,+4.964390E-05,+0.000000E+00,-1.478427E-05
+1.660000E+00,+4.961426E-05,+0.000000E+00,-1.477941E-05
+1.650000E+00,+4.960045E-05,+0.000000E+00,-1.477183E-05
+1.640000E+00,+4.957900E-05,+0.000000E+00,-1.476138E-05
+1.630000E+00,+4.958331E-05,+0.000000E+00,-1.476359E-05
+1.620000E+00,+4.958688E-05,+0.000000E+00,-1.477046E-05
+1.610000E+00,+4.958273E-05,+0.000000E+00,-1.476924E-05
+1.600000E+00,+4.957170E-05,+0.000000E+00,-1.476824E-05
+1.590000E+00,+4.953663E-05,+0.000000E+00,-1.475050E-05
+1.580000E+00,+4.952768E-05,+0.000000E+00,-1.475145E-05
+1.570000E+00,+4.952134E-05,+0.000000E+00,-1.475315E-05
+1.560000E+00,+4.949417E-05,+0.000000E+00,-1.474332E-05
+1.550000E+00,+4.945585E-05,+0.000000E+00,-1.473660E-05
+1.540000E+00,+4.942364E-05,+0.000000E+00,-1.472840E-05
+1.530000E+00,+4.936232E-05,+0.000000E+00,-1.471092E-05
+1.520000E+00,+4.931008E-05,+0.000000E+00,-1.469407E-05
+1.510000E+00,+4.924374E-05,+0.000000E+00,-1.467576E-05
+1.500000E+00,+4.916203E-05,+0.000000E+00,-1.465320E-05
+1.490000E+00,+4.900957E-05,+0.000000E+00,-1.460250E-05
+1.480000E+00,+4.884975E-05,+0.000000E+00,-1.455404E-05
+1.470000E+00,+4.861068E-05,+0.000000E+00,-1.448930E-05
+1.460000E+00,+4.831112E-05,+0.000000E+00,-1.440309E-05
+1.450000E+00,+4.793599E-05,+0.000000E+00,-1.428981E-05
+1.440000E+00,+4.748264E-05,+0.000000E+00,-1.414629E-05
+1.430000E+00,+4.695179E-05,+0.000000E+00,-1.399169E-05
+1.420000E+00,+4.636421E-05,+0.000000E+00,-1.382713E-05
+1.410000E+00,+4.568586E-05,+0.000000E+00,-1.362570E-05
+1.400000E+00,+4.495427E-05,+0.000000E+00,-1.341332E-05
+1.390000E+00,+4.416709E-05,+0.000000E+00,-1.317903E-05
+1.380000E+00,+4.331903E-05,+0.000000E+00,-1.292826E-05
+1.370000E+00,+4.245538E-05,+0.000000E+00,-1.267315E-05
+1.360000E+00,+4.153973E-05,+0.000000E+00,-1.240253E-05
+1.350000E+00,+4.060349E-05,+0.000000E+00,-1.212138E-05
+1.340000E+00,+3.963750E-05,+0.000000E+00,-1.183567E-05
+1.330000E+00,+3.867865E-05,+0.000000E+00,-1.155178E-05
+1.320000E+00,+3.769721E-05,+0.000000E+00,-1.126379E-05
+1.310000E+00,+3.670314E-05,+0.000000E+00,-1.096919E-05
+1.300000E+00,+3.571097E-05,+0.000000E+00,-1.067850E-05
+1.290000E+00,+3.471556E-05,+0.000000E+00,-1.038941E-05
