VDD,IDD,VREF,IREF
+1.800000E+00,+4.985287E-05,+0.000000E+00,-1.482161E-05
+1.799000E+00,+4.983439E-05,+0.000000E+00,-1.481696E-05
+1.798000E+00,+4.982736E-05,+0.000000E+00,-1.481641E-05
+1.797000E+00,+4.982330E-05,+0.000000E+00,-1.481681E-05
+1.796000E+00,+4.982942E-05,+0.000000E+00,-1.482030E-05
+1.795000E+00,+4.981477E-05,+0.000000E+00,-1.481808E-05
+1.794000E+00,+4.983068E-05,+0.000000E+00,-1.482072E-05
+1.793000E+00,+4.983885E-05,+0.000000E+00,-1.482462E-05
+1.792000E+00,+4.982373E-05,+0.000000E+00,-1.482354E-05
+1.791000E+00,+4.980206E-05,+0.000000E+00,-1.481403E-05
+1.790000E+00,+4.980931E-05,+0.000000E+00,-1.481572E-05
+1.789000E+00,+4.982591E-05,+0.000000E+00,-1.482550E-05
+1.788000E+00,+4.981810E-05,+0.000000E+00,-1.482331E-05
+1.787000E+00,+4.980719E-05,+0.000000E+00,-1.481921E-05
+1.786000E+00,+4.981608E-05,+0.000000E+00,-1.482487E-05
+1.785000E+00,+4.981348E-05,+0.000000E+00,-1.482368E-05
+1.784000E+00,+4.979647E-05,+0.000000E+00,-1.481929E-05
+1.783000E+00,+4.980491E-05,+0.000000E+00,-1.482116E-05
+1.782000E+00,+4.980016E-05,+0.000000E+00,-1.482308E-05
+1.781000E+00,+4.979842E-05,+0.000000E+00,-1.481598E-05
+1.780000E+00,+4.975926E-05,+0.000000E+00,-1.481681E-05
+1.779000E+00,+4.977371E-05,+0.000000E+00,-1.481093E-05
+1.778000E+00,+4.978807E-05,+0.000000E+00,-1.482011E-05
+1.777000E+00,+4.979112E-05,+0.000000E+00,-1.481573E-05
+1.776000E+00,+4.978815E-05,+0.000000E+00,-1.482130E-05
+1.775000E+00,+4.979016E-05,+0.000000E+00,-1.482381E-05
+1.774000E+00,+4.978371E-05,+0.000000E+00,-1.481533E-05
+1.773000E+00,+4.978145E-05,+0.000000E+00,-1.481733E-05
+1.772000E+00,+4.979718E-05,+0.000000E+00,-1.482468E-05
+1.771000E+00,+4.977990E-05,+0.000000E+00,-1.482289E-05
+1.770000E+00,+4.980931E-05,+0.000000E+00,-1.482573E-05
+1.769000E+00,+4.977935E-05,+0.000000E+00,-1.482148E-05
+1.768000E+00,+4.978259E-05,+0.000000E+00,-1.481853E-05
+1.767000E+00,+4.978403E-05,+0.000000E+00,-1.481682E-05
+1.766000E+00,+4.979317E-05,+0.000000E+00,-1.482550E-05
+1.765000E+00,+4.978626E-05,+0.000000E+00,-1.482339E-05
+1.764000E+00,+4.977455E-05,+0.000000E+00,-1.481470E-05
+1.763000E+00,+4.981092E-05,+0.000000E+00,-1.483480E-05
+1.762000E+00,+4.979886E-05,+0.000000E+00,-1.482629E-05
+1.761000E+00,+4.979355E-05,+0.000000E+00,-1.482296E-05
+1.760000E+00,+4.980215E-05,+0.000000E+00,-1.482558E-05
+1.759000E+00,+4.978738E-05,+0.000000E+00,-1.482354E-05
+1.758000E+00,+4.979841E-05,+0.000000E+00,-1.482230E-05
+1.757000E+00,+4.979130E-05,+0.000000E+00,-1.481651E-05
+1.756000E+00,+4.975605E-05,+0.000000E+00,-1.481243E-05
+1.755000E+00,+4.975391E-05,+0.000000E+00,-1.481397E-05
+1.754000E+00,+4.976181E-05,+0.000000E+00,-1.481379E-05
+1.753000E+00,+4.974161E-05,+0.000000E+00,-1.480778E-05
+1.752000E+00,+4.974645E-05,+0.000000E+00,-1.481343E-05
+1.751000E+00,+4.976611E-05,+0.000000E+00,-1.481927E-05
+1.750000E+00,+4.975137E-05,+0.000000E+00,-1.481392E-05
+1.749000E+00,+4.976233E-05,+0.000000E+00,-1.481619E-05
+1.748000E+00,+4.975145E-05,+0.000000E+00,-1.481232E-05
+1.747000E+00,+4.975275E-05,+0.000000E+00,-1.481419E-05
+1.746000E+00,+4.976412E-05,+0.000000E+00,-1.482059E-05
+1.745000E+00,+4.976459E-05,+0.000000E+00,-1.481798E-05
+1.744000E+00,+4.974498E-05,+0.000000E+00,-1.481031E-05
+1.743000E+00,+4.973114E-05,+0.000000E+00,-1.480483E-05
+1.742000E+00,+4.975948E-05,+0.000000E+00,-1.481557E-05
+1.741000E+00,+4.974792E-05,+0.000000E+00,-1.481529E-05
+1.740000E+00,+4.973829E-05,+0.000000E+00,-1.481064E-05
+1.739000E+00,+4.975838E-05,+0.000000E+00,-1.481615E-05
+1.738000E+00,+4.972758E-05,+0.000000E+00,-1.480908E-05
+1.737000E+00,+4.975639E-05,+0.000000E+00,-1.481191E-05
+1.736000E+00,+4.975114E-05,+0.000000E+00,-1.481200E-05
+1.735000E+00,+4.973050E-05,+0.000000E+00,-1.480604E-05
+1.734000E+00,+4.972755E-05,+0.000000E+00,-1.480549E-05
+1.733000E+00,+4.973730E-05,+0.000000E+00,-1.481337E-05
+1.732000E+00,+4.972901E-05,+0.000000E+00,-1.480703E-05
+1.731000E+00,+4.972921E-05,+0.000000E+00,-1.480664E-05
+1.730000E+00,+4.970373E-05,+0.000000E+00,-1.479416E-05
+1.729000E+00,+4.972923E-05,+0.000000E+00,-1.480396E-05
+1.728000E+00,+4.975128E-05,+0.000000E+00,-1.481717E-05
+1.727000E+00,+4.976036E-05,+0.000000E+00,-1.481746E-05
+1.726000E+00,+4.974083E-05,+0.000000E+00,-1.481226E-05
+1.725000E+00,+4.971205E-05,+0.000000E+00,-1.480991E-05
+1.724000E+00,+4.973893E-05,+0.000000E+00,-1.481777E-05
+1.723000E+00,+4.973128E-05,+0.000000E+00,-1.481207E-05
+1.722000E+00,+4.971856E-05,+0.000000E+00,-1.480620E-05
+1.721000E+00,+4.972681E-05,+0.000000E+00,-1.480699E-05
+1.720000E+00,+4.972795E-05,+0.000000E+00,-1.480682E-05
+1.719000E+00,+4.973303E-05,+0.000000E+00,-1.480842E-05
+1.718000E+00,+4.972531E-05,+0.000000E+00,-1.480671E-05
+1.717000E+00,+4.973207E-05,+0.000000E+00,-1.480645E-05
+1.716000E+00,+4.971517E-05,+0.000000E+00,-1.480254E-05
+1.715000E+00,+4.972836E-05,+0.000000E+00,-1.480299E-05
+1.714000E+00,+4.970963E-05,+0.000000E+00,-1.480082E-05
+1.713000E+00,+4.970678E-05,+0.000000E+00,-1.480338E-05
+1.712000E+00,+4.970172E-05,+0.000000E+00,-1.480086E-05
+1.711000E+00,+4.972981E-05,+0.000000E+00,-1.480311E-05
+1.710000E+00,+4.970009E-05,+0.000000E+00,-1.480465E-05
+1.709000E+00,+4.971137E-05,+0.000000E+00,-1.480492E-05
+1.708000E+00,+4.970405E-05,+0.000000E+00,-1.479980E-05
+1.707000E+00,+4.973080E-05,+0.000000E+00,-1.480722E-05
+1.706000E+00,+4.974561E-05,+0.000000E+00,-1.481460E-05
+1.705000E+00,+4.974037E-05,+0.000000E+00,-1.481357E-05
+1.704000E+00,+4.973245E-05,+0.000000E+00,-1.481034E-05
+1.703000E+00,+4.973167E-05,+0.000000E+00,-1.480782E-05
+1.702000E+00,+4.970670E-05,+0.000000E+00,-1.479854E-05
+1.701000E+00,+4.970465E-05,+0.000000E+00,-1.479861E-05
+1.700000E+00,+4.972748E-05,+0.000000E+00,-1.480868E-05
+1.699000E+00,+4.970590E-05,+0.000000E+00,-1.480216E-05
+1.698000E+00,+4.971598E-05,+0.000000E+00,-1.480526E-05
+1.697000E+00,+4.972935E-05,+0.000000E+00,-1.481070E-05
+1.696000E+00,+4.971172E-05,+0.000000E+00,-1.480699E-05
+1.695000E+00,+4.971739E-05,+0.000000E+00,-1.480551E-05
+1.694000E+00,+4.972094E-05,+0.000000E+00,-1.480294E-05
+1.693000E+00,+4.968210E-05,+0.000000E+00,-1.479384E-05
+1.692000E+00,+4.968244E-05,+0.000000E+00,-1.479471E-05
+1.691000E+00,+4.969898E-05,+0.000000E+00,-1.479978E-05
+1.690000E+00,+4.969191E-05,+0.000000E+00,-1.480021E-05
+1.689000E+00,+4.969573E-05,+0.000000E+00,-1.480082E-05
+1.688000E+00,+4.968600E-05,+0.000000E+00,-1.479654E-05
+1.687000E+00,+4.969159E-05,+0.000000E+00,-1.479880E-05
+1.686000E+00,+4.970194E-05,+0.000000E+00,-1.480410E-05
+1.685000E+00,+4.968957E-05,+0.000000E+00,-1.480123E-05
+1.684000E+00,+4.968221E-05,+0.000000E+00,-1.480511E-05
+1.683000E+00,+4.968021E-05,+0.000000E+00,-1.479827E-05
+1.682000E+00,+4.966569E-05,+0.000000E+00,-1.478926E-05
+1.681000E+00,+4.968839E-05,+0.000000E+00,-1.480446E-05
