VDD,IDD,VREF,IREF
+0.000000E+00,-3.684144E-09,+0.000000E+00,-2.050042E-10
+1.000000E-03,-1.572802E-09,+0.000000E+00,-2.201120E-10
+2.000000E-03,+4.226750E-10,+0.000000E+00,-2.452933E-10
+3.000000E-03,+7.795526E-10,+0.000000E+00,-2.251489E-10
+4.000000E-03,+3.187198E-09,+0.000000E+00,-2.251488E-10
+5.000000E-03,+1.498329E-09,+0.000000E+00,-1.496065E-10
+6.000000E-03,+3.227412E-09,+0.000000E+00,-2.352223E-10
+7.000000E-03,+2.242241E-09,+0.000000E+00,-2.654380E-10
+8.000000E-03,+3.282700E-09,+0.000000E+00,-2.050045E-10
+9.000000E-03,+6.136791E-10,+0.000000E+00,-2.755104E-10
+1.000000E-02,+7.946321E-10,+0.000000E+00,-1.747869E-10
+1.100000E-02,+7.585710E-11,+0.000000E+00,-2.452931E-10
+1.200000E-02,-1.487353E-09,+0.000000E+00,-1.949317E-10
+1.300000E-02,-1.553575E-10,+0.000000E+00,-1.848592E-10
+1.400000E-02,+1.267112E-09,+0.000000E+00,-2.352210E-10
+1.500000E-02,+2.870534E-09,+0.000000E+00,-1.697507E-10
+1.600000E-02,+3.021329E-09,+0.000000E+00,-2.201128E-10
+1.700000E-02,+3.187199E-09,+0.000000E+00,-1.999676E-10
+1.800000E-02,+4.282942E-09,+0.000000E+00,-1.999677E-10
+1.900000E-02,+6.037168E-09,+0.000000E+00,-1.898957E-10
+2.000000E-02,+4.504107E-09,+0.000000E+00,-1.395343E-10
+2.100000E-02,+3.805444E-09,+0.000000E+00,-1.798240E-10
+2.200000E-02,+2.458368E-09,+0.000000E+00,-1.697510E-10
+2.300000E-02,+4.800671E-09,+0.000000E+00,-2.050037E-10
+2.400000E-02,+2.287464E-09,+0.000000E+00,-1.848601E-10
+2.500000E-02,+1.885363E-09,+0.000000E+00,-2.050032E-10
+2.600000E-02,+1.206795E-09,+0.000000E+00,-1.999680E-10
+2.700000E-02,+1.377690E-09,+0.000000E+00,-2.402570E-10
+2.800000E-02,+2.302551E-09,+0.000000E+00,-2.201129E-10
+2.900000E-02,+2.488524E-09,+0.000000E+00,-2.855831E-10
+3.000000E-02,+1.538540E-09,+0.000000E+00,-2.352217E-10
+3.100000E-02,+2.890639E-09,+0.000000E+00,-2.201124E-10
+3.200000E-02,+3.926073E-09,+0.000000E+00,-2.201124E-10
+3.300000E-02,+5.635048E-09,+0.000000E+00,-2.452939E-10
+3.400000E-02,+6.680546E-09,+0.000000E+00,-2.201131E-10
+3.500000E-02,+5.926580E-09,+0.000000E+00,-2.150768E-10
+3.600000E-02,+5.207798E-09,+0.000000E+00,-1.596787E-10
+3.700000E-02,+5.826061E-09,+0.000000E+00,-2.402579E-10
+3.800000E-02,+4.850929E-09,+0.000000E+00,-1.596795E-10
+3.900000E-02,+1.493300E-09,+0.000000E+00,-3.057267E-10
+4.000000E-02,+2.865503E-09,+0.000000E+00,-2.402581E-10
+4.100000E-02,+2.453343E-09,+0.000000E+00,-2.100398E-10
+4.200000E-02,+1.146479E-09,+0.000000E+00,-1.546426E-10
+4.300000E-02,+1.920542E-09,+0.000000E+00,-2.100405E-10
+4.400000E-02,+3.815498E-09,+0.000000E+00,-2.251492E-10
+4.500000E-02,+3.584278E-09,+0.000000E+00,-1.363054E-11
+4.600000E-02,+5.504368E-09,+0.000000E+00,-1.697508E-10
+4.700000E-02,+5.841133E-09,+0.000000E+00,-1.949328E-10
+4.800000E-02,+6.554879E-09,+0.000000E+00,-1.193886E-10
+4.900000E-02,+6.569964E-09,+0.000000E+00,-1.496062E-10
+5.000000E-02,+8.299047E-09,+0.000000E+00,-1.596793E-10
+5.100000E-02,+5.112310E-09,+0.000000E+00,-2.251481E-10
+5.200000E-02,+4.876078E-09,+0.000000E+00,-1.999683E-10
+5.300000E-02,+4.398562E-09,+0.000000E+00,-1.848596E-10
+5.400000E-02,+3.332969E-09,+0.000000E+00,-2.503301E-10
+5.500000E-02,+2.709682E-09,+0.000000E+00,-2.201117E-10
+5.600000E-02,+1.297268E-09,+0.000000E+00,-2.150767E-10
+5.700000E-02,+2.966036E-09,+0.000000E+00,-2.201123E-10
+5.800000E-02,+3.493815E-09,+0.000000E+00,-1.546426E-10
+5.900000E-02,+4.318132E-09,+0.000000E+00,-2.452933E-10
+6.000000E-02,+3.202271E-09,+0.000000E+00,-3.208350E-10
+6.100000E-02,+6.866521E-09,+0.000000E+00,-2.251491E-10
+6.200000E-02,+6.750914E-09,+0.000000E+00,-1.747862E-10
+6.300000E-02,+7.615445E-09,+0.000000E+00,-2.553659E-10
+6.400000E-02,+8.233696E-09,+0.000000E+00,-2.150760E-10
+6.500000E-02,+8.027629E-09,+0.000000E+00,-1.898955E-10
+6.600000E-02,+5.574730E-09,+0.000000E+00,-2.100408E-10
+6.700000E-02,+5.132408E-09,+0.000000E+00,-2.100402E-10
+6.800000E-02,+6.801177E-09,+0.000000E+00,-1.344979E-10
