VREF,IREF,VDD,IDD
+1.800000E+00,+2.583261E-10,+1.800000E+00,+2.367891E-09
+1.799000E+00,-5.896167E-11,+1.800000E+00,-7.996337E-11
+1.798000E+00,-8.999917E-10,+1.800000E+00,+2.850425E-09
+1.797000E+00,-4.064466E-10,+1.800000E+00,+2.212072E-09
+1.796000E+00,-4.971049E-10,+1.800000E+00,+2.443289E-09
+1.795000E+00,+8.709011E-11,+1.800000E+00,+3.443542E-09
+1.794000E+00,+3.137304E-10,+1.800000E+00,+2.463390E-09
+1.793000E+00,+6.813728E-10,+1.800000E+00,+4.539296E-09
+1.792000E+00,-3.459950E-10,+1.800000E+00,+5.464152E-09
+1.791000E+00,+1.537536E-09,+1.800000E+00,+2.895664E-09
+1.790000E+00,-5.222827E-10,+1.800000E+00,+3.911006E-09
+1.789000E+00,+1.727075E-10,+1.800000E+00,+3.518936E-09
+1.788000E+00,-2.100382E-10,+1.800000E+00,+2.996194E-09
+1.787000E+00,+8.374755E-10,+1.800000E+00,+2.976083E-09
+1.786000E+00,+7.015233E-10,+1.800000E+00,+3.820520E-09
+1.785000E+00,+4.899993E-10,+1.800000E+00,+3.061533E-09
+1.784000E+00,-1.630310E-09,+1.800000E+00,+3.131900E-09
+1.783000E+00,+5.756418E-10,+1.800000E+00,+1.880332E-09
+1.782000E+00,+5.685608E-11,+1.800000E+00,+3.890893E-09
+1.781000E+00,+5.051009E-10,+1.800000E+00,+4.463902E-09
+1.780000E+00,-1.353287E-09,+1.800000E+00,+5.217859E-09
+1.779000E+00,-1.848654E-10,+1.800000E+00,+2.302549E-09
+1.778000E+00,+7.166635E-10,+1.800000E+00,+3.152015E-09
+1.777000E+00,+2.935872E-10,+1.800000E+00,+2.704659E-09
+1.776000E+00,+1.003656E-09,+1.800000E+00,+3.443542E-09
+1.775000E+00,+4.799128E-10,+1.800000E+00,+2.066309E-09
+1.774000E+00,-2.053396E-09,+1.800000E+00,+1.010763E-09
+1.773000E+00,-5.323487E-10,+1.800000E+00,+3.312858E-09
+1.772000E+00,+1.978727E-10,+1.800000E+00,+2.015138E-10
+1.771000E+00,-5.877475E-10,+1.800000E+00,+1.970807E-09
+1.770000E+00,+2.583345E-10,+1.800000E+00,+1.317376E-09
+1.769000E+00,-2.402610E-10,+1.800000E+00,+2.483498E-09
+1.768000E+00,-4.870303E-10,+1.800000E+00,+3.076613E-09
+1.767000E+00,+1.374517E-10,+1.800000E+00,+4.850935E-09
+1.766000E+00,-6.381214E-10,+1.800000E+00,+5.127388E-09
+1.765000E+00,+2.281093E-10,+1.800000E+00,+4.016555E-09
+1.764000E+00,+3.993464E-10,+1.800000E+00,+4.378454E-09
+1.763000E+00,+5.201980E-10,+1.800000E+00,+2.589054E-09
+1.762000E+00,+3.187804E-10,+1.800000E+00,+1.663309E-10
+1.761000E+00,-4.668871E-10,+1.800000E+00,+2.684553E-09
+1.760000E+00,-2.754930E-10,+1.800000E+00,+4.594103E-13
+1.759000E+00,+7.316965E-10,+1.800000E+00,+3.197244E-09
+1.758000E+00,+5.554592E-10,+1.800000E+00,+1.960757E-09
+1.757000E+00,-2.369782E-11,+1.800000E+00,+2.222129E-09
+1.756000E+00,-7.910106E-11,+1.800000E+00,+4.634795E-09
+1.755000E+00,+1.033922E-09,+1.800000E+00,+3.428461E-09
+1.754000E+00,+4.043811E-10,+1.800000E+00,+1.950698E-09
+1.753000E+00,+1.628187E-09,+1.800000E+00,+3.011268E-09
+1.752000E+00,+8.205803E-11,+1.800000E+00,+3.126877E-09
+1.751000E+00,+4.346082E-10,+1.800000E+00,+2.528737E-09
+1.750000E+00,-9.604264E-10,+1.800000E+00,+1.231929E-09
+1.749000E+00,-8.546663E-10,+1.800000E+00,+1.759700E-09
+1.748000E+00,+6.763401E-10,+1.800000E+00,+3.573348E-10
+1.747000E+00,+1.532542E-09,+1.800000E+00,+2.342756E-09
+1.746000E+00,-1.816669E-09,+1.800000E+00,+2.734812E-09
+1.745000E+00,+1.658729E-11,+1.800000E+00,+2.599102E-09
+1.744000E+00,-4.618559E-10,+1.800000E+00,+3.820522E-09
+1.743000E+00,-9.755368E-10,+1.800000E+00,+5.031884E-09
+1.742000E+00,-1.705850E-09,+1.800000E+00,+3.503859E-09
+1.741000E+00,-1.015831E-09,+1.800000E+00,+4.101997E-09
+1.740000E+00,-3.812679E-10,+1.800000E+00,+3.900943E-09
+1.739000E+00,+1.978933E-10,+1.800000E+00,+1.779801E-09
+1.738000E+00,+7.015198E-10,+1.800000E+00,+1.754672E-09
+1.737000E+00,-6.398215E-11,+1.800000E+00,-2.668684E-09
+1.736000E+00,+7.065510E-10,+1.800000E+00,+2.749896E-09
+1.735000E+00,+5.687717E-11,+1.800000E+00,+1.518434E-09
+1.734000E+00,+1.626396E-10,+1.800000E+00,+2.433236E-09
+1.733000E+00,-1.615207E-09,+1.800000E+00,+3.157047E-09
+1.732000E+00,+4.748639E-10,+1.800000E+00,+4.147237E-09
+1.731000E+00,+9.213730E-11,+1.800000E+00,+4.277920E-09
+1.730000E+00,+6.713138E-10,+1.800000E+00,+5.253039E-09
+1.729000E+00,+3.792062E-10,+1.800000E+00,+3.433487E-09
+1.728000E+00,+1.054047E-09,+1.800000E+00,+3.559144E-09
+1.727000E+00,-1.222341E-09,+1.800000E+00,+3.664704E-09
+1.726000E+00,+8.205514E-11,+1.800000E+00,+1.221874E-09
+1.725000E+00,-7.841606E-10,+1.800000E+00,+9.403951E-10
+1.724000E+00,-8.496334E-10,+1.800000E+00,+1.603881E-09
+1.723000E+00,-2.395919E-09,+1.800000E+00,+1.493297E-09
+1.722000E+00,+1.315895E-09,+1.800000E+00,+2.015167E-10
+1.721000E+00,+1.174899E-09,+1.800000E+00,+1.930597E-09
+1.720000E+00,+6.410688E-10,+1.800000E+00,+2.895661E-09
+1.719000E+00,-7.791274E-10,+1.800000E+00,+2.860479E-09
+1.718000E+00,+3.943117E-10,+1.800000E+00,+4.142210E-09
+1.717000E+00,+1.676744E-10,+1.800000E+00,+4.906217E-09
+1.716000E+00,+1.089286E-09,+1.800000E+00,+3.413385E-09
+1.715000E+00,+9.684311E-10,+1.800000E+00,+1.076111E-09
+1.714000E+00,-2.018159E-09,+1.800000E+00,+2.272396E-09
+1.713000E+00,+3.674716E-11,+1.800000E+00,+2.654397E-09
+1.712000E+00,+3.439203E-10,+1.800000E+00,+1.769751E-09
+1.711000E+00,-4.385253E-11,+1.800000E+00,+3.257567E-09
+1.710000E+00,+6.511288E-10,+1.800000E+00,+1.121346E-09
+1.709000E+00,-5.877486E-10,+1.800000E+00,+5.483372E-10
+1.708000E+00,+3.691267E-10,+1.800000E+00,+2.770004E-09
+1.707000E+00,+7.065638E-10,+1.800000E+00,+1.880334E-09
+1.706000E+00,+3.087059E-10,+1.800000E+00,+2.372919E-09
+1.705000E+00,+5.806291E-10,+1.800000E+00,+2.830319E-09
+1.704000E+00,-9.654634E-10,+1.800000E+00,+2.528740E-09
+1.703000E+00,+6.914223E-10,+1.800000E+00,+2.207051E-09
+1.702000E+00,-2.150768E-10,+1.800000E+00,+3.197250E-09
+1.701000E+00,+5.000741E-10,+1.800000E+00,+4.478105E-10
+1.700000E+00,-5.373856E-10,+1.800000E+00,+1.146476E-09
+1.699000E+00,+2.381794E-10,+1.800000E+00,+1.759701E-09
+1.698000E+00,-4.316375E-10,+1.800000E+00,+2.669472E-09
+1.697000E+00,-4.668769E-10,+1.800000E+00,-5.072049E-10
+1.696000E+00,+7.518992E-10,+1.800000E+00,+2.081390E-09
+1.695000E+00,+2.403753E-09,+1.800000E+00,+1.890381E-09
+1.694000E+00,+7.015343E-10,+1.800000E+00,+2.754919E-09
+1.693000E+00,+5.302726E-10,+1.800000E+00,+3.654650E-09
+1.692000E+00,+2.734645E-10,+1.800000E+00,+3.579255E-09
+1.691000E+00,+1.273722E-10,+1.800000E+00,+5.378706E-09
+1.690000E+00,-1.898965E-10,+1.800000E+00,+2.905719E-09
+1.689000E+00,-5.894935E-11,+1.800000E+00,+2.930849E-09
+1.688000E+00,-7.892006E-10,+1.800000E+00,+8.800773E-10
+1.687000E+00,+8.072805E-10,+1.800000E+00,+3.800410E-09
+1.686000E+00,-1.362432E-11,+1.800000E+00,+4.036654E-09
+1.685000E+00,+1.777543E-10,+1.800000E+00,+1.141451E-09
+1.684000E+00,-7.237259E-10,+1.800000E+00,+2.729797E-09
+1.683000E+00,+1.592944E-09,+1.800000E+00,+3.111803E-09
+1.682000E+00,+1.878170E-10,+1.800000E+00,+2.940908E-09
+1.681000E+00,-4.870302E-10,+1.800000E+00,+3.368141E-09
+1.680000E+00,+7.702006E-11,+1.800000E+00,+3.222382E-09
+1.679000E+00,-2.301741E-10,+1.800000E+00,+2.775026E-09
+1.678000E+00,-2.654346E-10,+1.800000E+00,+3.981360E-09
+1.677000E+00,+7.468375E-10,+1.800000E+00,+4.755428E-09
+1.676000E+00,+1.190052E-09,+1.800000E+00,+2.186942E-09
+1.675000E+00,-1.010795E-09,+1.800000E+00,+1.015792E-09
+1.674000E+00,+8.022059E-10,+1.800000E+00,+8.448950E-10
+1.673000E+00,+4.799225E-10,+1.800000E+00,+3.171243E-10
+1.672000E+00,+5.856727E-10,+1.800000E+00,+1.352560E-09
+1.671000E+00,+4.174727E-11,+1.800000E+00,+2.196995E-09
+1.670000E+00,-1.496066E-10,+1.800000E+00,+1.885356E-09
+1.669000E+00,+3.742162E-10,+1.800000E+00,+2.558895E-09
+1.668000E+00,-2.503197E-10,+1.800000E+00,+1.402827E-09
+1.667000E+00,-2.402656E-10,+1.800000E+00,+5.343525E-09
+1.666000E+00,+4.799237E-10,+1.800000E+00,+2.121598E-09
+1.665000E+00,+1.676672E-10,+1.800000E+00,+1.694355E-09
+1.664000E+00,+3.439591E-10,+1.800000E+00,+3.488778E-09
+1.663000E+00,+4.698472E-10,+1.800000E+00,+1.850175E-09
+1.662000E+00,+4.194538E-10,+1.800000E+00,+5.935736E-10
+1.661000E+00,+4.547307E-10,+1.800000E+00,+1.964895E-10
+1.660000E+00,+2.655550E-09,+1.800000E+00,+2.141702E-09
+1.659000E+00,+1.048973E-09,+1.800000E+00,+1.729537E-09
+1.658000E+00,+2.156971E-09,+1.800000E+00,+4.931352E-09
+1.657000E+00,-7.740902E-10,+1.800000E+00,+9.806069E-10
+1.656000E+00,-2.536892E-09,+1.800000E+00,+2.800163E-09
+1.655000E+00,+4.144568E-10,+1.800000E+00,+4.318142E-09
+1.654000E+00,+2.028963E-10,+1.800000E+00,+3.006251E-09
+1.653000E+00,+7.669717E-10,+1.800000E+00,+2.242233E-09
+1.652000E+00,+1.557639E-09,+1.800000E+00,+3.322906E-09
+1.651000E+00,-3.881012E-11,+1.800000E+00,+5.583878E-10
+1.650000E+00,-1.282784E-09,+1.800000E+00,+2.227153E-09
+1.649000E+00,+3.288469E-10,+1.800000E+00,+1.764723E-09
+1.648000E+00,+5.101365E-10,+1.800000E+00,-1.151478E-10
+1.647000E+00,-8.589462E-12,+1.800000E+00,+8.599730E-10
+1.646000E+00,+3.590472E-10,+1.800000E+00,+2.086413E-09
+1.645000E+00,+2.281076E-10,+1.800000E+00,+2.242235E-09
+1.644000E+00,+5.184897E-11,+1.800000E+00,+1.860227E-09
+1.643000E+00,-1.798156E-10,+1.800000E+00,+3.131901E-09
+1.642000E+00,-3.762309E-10,+1.800000E+00,+4.946433E-09
+1.641000E+00,+7.921147E-10,+1.800000E+00,+3.428456E-09
+1.640000E+00,-6.683314E-10,+1.800000E+00,+2.005990E-09
+1.639000E+00,+2.986040E-10,+1.800000E+00,+3.755183E-09
+1.638000E+00,-8.697744E-10,+1.800000E+00,+1.583774E-09
+1.637000E+00,+7.569269E-10,+1.800000E+00,+2.081388E-09
+1.636000E+00,-3.309032E-10,+1.800000E+00,+1.357584E-09
+1.635000E+00,+6.536882E-12,+1.800000E+00,-5.775767E-10
+1.634000E+00,-1.141749E-09,+1.800000E+00,-2.408078E-10
+1.633000E+00,+1.245381E-09,+1.800000E+00,+2.036152E-09
+1.632000E+00,-3.711802E-10,+1.800000E+00,+1.216848E-09
+1.631000E+00,+6.209242E-10,+1.800000E+00,+3.297774E-09
