VDD,IDD,VREF,IREF
+1.800000E+00,+3.806936E-05,+0.000000E+00,-1.131927E-05
+1.799000E+00,+3.806949E-05,+0.000000E+00,-1.131256E-05
+1.798000E+00,+3.808488E-05,+0.000000E+00,-1.131982E-05
+1.797000E+00,+3.807404E-05,+0.000000E+00,-1.131846E-05
+1.796000E+00,+3.807094E-05,+0.000000E+00,-1.131717E-05
+1.795000E+00,+3.806035E-05,+0.000000E+00,-1.132007E-05
+1.794000E+00,+3.805996E-05,+0.000000E+00,-1.131735E-05
+1.793000E+00,+3.807309E-05,+0.000000E+00,-1.131800E-05
+1.792000E+00,+3.806436E-05,+0.000000E+00,-1.131645E-05
+1.791000E+00,+3.806418E-05,+0.000000E+00,-1.132103E-05
+1.790000E+00,+3.806046E-05,+0.000000E+00,-1.132015E-05
+1.789000E+00,+3.807618E-05,+0.000000E+00,-1.131697E-05
+1.788000E+00,+3.807147E-05,+0.000000E+00,-1.132255E-05
+1.787000E+00,+3.808331E-05,+0.000000E+00,-1.132354E-05
+1.786000E+00,+3.806488E-05,+0.000000E+00,-1.131908E-05
+1.785000E+00,+3.807123E-05,+0.000000E+00,-1.131459E-05
+1.784000E+00,+3.806819E-05,+0.000000E+00,-1.130789E-05
+1.783000E+00,+3.807703E-05,+0.000000E+00,-1.131435E-05
+1.782000E+00,+3.804861E-05,+0.000000E+00,-1.131592E-05
+1.781000E+00,+3.806165E-05,+0.000000E+00,-1.131560E-05
+1.780000E+00,+3.805791E-05,+0.000000E+00,-1.131651E-05
+1.779000E+00,+3.804729E-05,+0.000000E+00,-1.130862E-05
+1.778000E+00,+3.806762E-05,+0.000000E+00,-1.130612E-05
+1.777000E+00,+3.804598E-05,+0.000000E+00,-1.130971E-05
+1.776000E+00,+3.805389E-05,+0.000000E+00,-1.130730E-05
+1.775000E+00,+3.803743E-05,+0.000000E+00,-1.130913E-05
+1.774000E+00,+3.804875E-05,+0.000000E+00,-1.131312E-05
+1.773000E+00,+3.804516E-05,+0.000000E+00,-1.130879E-05
+1.772000E+00,+3.804016E-05,+0.000000E+00,-1.131103E-05
+1.771000E+00,+3.804189E-05,+0.000000E+00,-1.131144E-05
+1.770000E+00,+3.804706E-05,+0.000000E+00,-1.130153E-05
+1.769000E+00,+3.803530E-05,+0.000000E+00,-1.131088E-05
+1.768000E+00,+3.805508E-05,+0.000000E+00,-1.130480E-05
+1.767000E+00,+3.803437E-05,+0.000000E+00,-1.131010E-05
+1.766000E+00,+3.804517E-05,+0.000000E+00,-1.130530E-05
+1.765000E+00,+3.803580E-05,+0.000000E+00,-1.130374E-05
+1.764000E+00,+3.803385E-05,+0.000000E+00,-1.131175E-05
+1.763000E+00,+3.802683E-05,+0.000000E+00,-1.130404E-05
+1.762000E+00,+3.804471E-05,+0.000000E+00,-1.130849E-05
+1.761000E+00,+3.801826E-05,+0.000000E+00,-1.130392E-05
+1.760000E+00,+3.801974E-05,+0.000000E+00,-1.130927E-05
+1.759000E+00,+3.803602E-05,+0.000000E+00,-1.130418E-05
+1.758000E+00,+3.804647E-05,+0.000000E+00,-1.130598E-05
+1.757000E+00,+3.804241E-05,+0.000000E+00,-1.130678E-05
+1.756000E+00,+3.804420E-05,+0.000000E+00,-1.130945E-05
+1.755000E+00,+3.803534E-05,+0.000000E+00,-1.130768E-05
+1.754000E+00,+3.803553E-05,+0.000000E+00,-1.130517E-05
+1.753000E+00,+3.803509E-05,+0.000000E+00,-1.130525E-05
+1.752000E+00,+3.804515E-05,+0.000000E+00,-1.130666E-05
+1.751000E+00,+3.804622E-05,+0.000000E+00,-1.130523E-05
+1.750000E+00,+3.805478E-05,+0.000000E+00,-1.130777E-05
+1.749000E+00,+3.804051E-05,+0.000000E+00,-1.130564E-05
+1.748000E+00,+3.804357E-05,+0.000000E+00,-1.130631E-05
+1.747000E+00,+3.805384E-05,+0.000000E+00,-1.131412E-05
+1.746000E+00,+3.805090E-05,+0.000000E+00,-1.131049E-05
+1.745000E+00,+3.802755E-05,+0.000000E+00,-1.130958E-05
+1.744000E+00,+3.803352E-05,+0.000000E+00,-1.130661E-05
+1.743000E+00,+3.803469E-05,+0.000000E+00,-1.130303E-05
+1.742000E+00,+3.802852E-05,+0.000000E+00,-1.130447E-05
+1.741000E+00,+3.801429E-05,+0.000000E+00,-1.130575E-05
+1.740000E+00,+3.801669E-05,+0.000000E+00,-1.130435E-05
+1.739000E+00,+3.803851E-05,+0.000000E+00,-1.130801E-05
+1.738000E+00,+3.803427E-05,+0.000000E+00,-1.130183E-05
+1.737000E+00,+3.801620E-05,+0.000000E+00,-1.130501E-05
+1.736000E+00,+3.803012E-05,+0.000000E+00,-1.130662E-05
+1.735000E+00,+3.804018E-05,+0.000000E+00,-1.129788E-05
+1.734000E+00,+3.803536E-05,+0.000000E+00,-1.130679E-05
+1.733000E+00,+3.805299E-05,+0.000000E+00,-1.130550E-05
+1.732000E+00,+3.803634E-05,+0.000000E+00,-1.130936E-05
+1.731000E+00,+3.803659E-05,+0.000000E+00,-1.130591E-05
+1.730000E+00,+3.805188E-05,+0.000000E+00,-1.130522E-05
+1.729000E+00,+3.802965E-05,+0.000000E+00,-1.130400E-05
+1.728000E+00,+3.804556E-05,+0.000000E+00,-1.130537E-05
+1.727000E+00,+3.803720E-05,+0.000000E+00,-1.130692E-05
+1.726000E+00,+3.803881E-05,+0.000000E+00,-1.130729E-05
+1.725000E+00,+3.802445E-05,+0.000000E+00,-1.130380E-05
+1.724000E+00,+3.802354E-05,+0.000000E+00,-1.129783E-05
+1.723000E+00,+3.804807E-05,+0.000000E+00,-1.130168E-05
+1.722000E+00,+3.806105E-05,+0.000000E+00,-1.131510E-05
+1.721000E+00,+3.805936E-05,+0.000000E+00,-1.131156E-05
+1.720000E+00,+3.806238E-05,+0.000000E+00,-1.131397E-05
+1.719000E+00,+3.806151E-05,+0.000000E+00,-1.131647E-05
+1.718000E+00,+3.805344E-05,+0.000000E+00,-1.131696E-05
+1.717000E+00,+3.804107E-05,+0.000000E+00,-1.131058E-05
+1.716000E+00,+3.804628E-05,+0.000000E+00,-1.130763E-05
+1.715000E+00,+3.805080E-05,+0.000000E+00,-1.130882E-05
+1.714000E+00,+3.805582E-05,+0.000000E+00,-1.131282E-05
+1.713000E+00,+3.806261E-05,+0.000000E+00,-1.131778E-05
+1.712000E+00,+3.807610E-05,+0.000000E+00,-1.131220E-05
+1.711000E+00,+3.803110E-05,+0.000000E+00,-1.131572E-05
+1.710000E+00,+3.803437E-05,+0.000000E+00,-1.130443E-05
+1.709000E+00,+3.803082E-05,+0.000000E+00,-1.130145E-05
+1.708000E+00,+3.803824E-05,+0.000000E+00,-1.130470E-05
+1.707000E+00,+3.802998E-05,+0.000000E+00,-1.130599E-05
+1.706000E+00,+3.802917E-05,+0.000000E+00,-1.130361E-05
+1.705000E+00,+3.802823E-05,+0.000000E+00,-1.130258E-05
+1.704000E+00,+3.802544E-05,+0.000000E+00,-1.129855E-05
+1.703000E+00,+3.802598E-05,+0.000000E+00,-1.130040E-05
+1.702000E+00,+3.803759E-05,+0.000000E+00,-1.131236E-05
+1.701000E+00,+3.804273E-05,+0.000000E+00,-1.130760E-05
+1.700000E+00,+3.805914E-05,+0.000000E+00,-1.130815E-05
+1.699000E+00,+3.804698E-05,+0.000000E+00,-1.131135E-05
+1.698000E+00,+3.805555E-05,+0.000000E+00,-1.130931E-05
+1.697000E+00,+3.805624E-05,+0.000000E+00,-1.131195E-05
+1.696000E+00,+3.806856E-05,+0.000000E+00,-1.130991E-05
