VDD,IDD,VREF,IREF
+0.000000E+00,-2.759169E-09,+0.000000E+00,-1.579949E-09
+1.000000E-03,-2.507819E-09,+0.000000E+00,-1.489280E-09
+2.000000E-03,-3.231708E-09,+0.000000E+00,-3.881978E-11
+3.000000E-03,-2.055390E-09,+0.000000E+00,-4.114886E-10
+4.000000E-03,-1.371746E-09,+0.000000E+00,+5.806473E-10
+5.000000E-03,-1.331535E-09,+0.000000E+00,-2.855885E-10
+6.000000E-03,-2.070470E-09,+0.000000E+00,+1.426776E-09
+7.000000E-03,-1.929714E-09,+0.000000E+00,+2.079700E-10
+8.000000E-03,-9.796887E-10,+0.000000E+00,-3.157975E-10
+9.000000E-03,+1.136425E-09,+0.000000E+00,-1.539646E-09
+1.000000E-02,-1.618041E-09,+0.000000E+00,+1.462013E-09
+1.100000E-02,-1.386826E-09,+0.000000E+00,-5.524992E-10
+1.200000E-02,-6.630246E-10,+0.000000E+00,-2.603961E-10
+1.300000E-02,-5.323386E-10,+0.000000E+00,+3.338815E-10
+1.400000E-02,-1.105347E-09,+0.000000E+00,-6.078920E-10
+1.500000E-02,-3.327218E-09,+0.000000E+00,-3.661664E-10
+1.600000E-02,-2.301712E-09,+0.000000E+00,+1.426728E-09
+1.700000E-02,-8.087904E-10,+0.000000E+00,+2.029171E-10
+1.800000E-02,-3.664694E-10,+0.000000E+00,+4.396193E-10
+1.900000E-02,-1.000686E-10,+0.000000E+00,-6.280336E-10
+2.000000E-02,+1.111289E-09,+0.000000E+00,+1.905135E-09
+2.100000E-02,+8.298138E-10,+0.000000E+00,+4.245267E-10
+2.200000E-02,-9.495287E-10,+0.000000E+00,-1.747798E-10
+2.300000E-02,+9.353678E-10,+0.000000E+00,+1.525723E-10
+2.400000E-02,-1.251113E-09,+0.000000E+00,-3.409796E-10
+2.500000E-02,-1.542643E-09,+0.000000E+00,-7.388376E-10
+2.600000E-02,-1.572802E-09,+0.000000E+00,-6.481877E-10
+2.700000E-02,-2.920033E-09,+0.000000E+00,-4.467364E-10
+2.800000E-02,-1.447142E-09,+0.000000E+00,+4.043903E-10
+2.900000E-02,-4.720230E-10,+0.000000E+00,-8.917106E-11
+3.000000E-02,-2.408088E-10,+0.000000E+00,-5.895012E-11
+3.100000E-02,-5.483058E-11,+0.000000E+00,+4.679757E-11
+3.200000E-02,+5.081224E-10,+0.000000E+00,-3.863015E-10
+3.300000E-02,+1.372663E-09,+0.000000E+00,-2.365676E-09
+3.400000E-02,+1.644090E-09,+0.000000E+00,+1.374582E-10
+3.500000E-02,+1.950699E-09,+0.000000E+00,-8.949568E-10
+3.600000E-02,+1.257058E-09,+0.000000E+00,-3.460168E-10
