VREF,IREF,VDD,IDD
+1.800000E+00,+6.191603E-11,+1.800000E+00,-5.675238E-10
+1.799000E+00,+1.576048E-10,+1.800000E+00,+1.397800E-09
+1.798000E+00,+1.777488E-10,+1.800000E+00,+2.266428E-10
+1.797000E+00,+2.180357E-10,+1.800000E+00,+5.583856E-10
+1.796000E+00,+1.173149E-10,+1.800000E+00,+1.508378E-09
+1.795000E+00,+1.576042E-10,+1.800000E+00,+1.226900E-09
+1.794000E+00,+6.695156E-11,+1.800000E+00,+2.398054E-09
+1.793000E+00,-1.244241E-10,+1.800000E+00,+3.247514E-09
+1.792000E+00,+1.978956E-10,+1.800000E+00,+2.076364E-09
+1.791000E+00,+1.173134E-10,+1.800000E+00,-1.050945E-10
+1.790000E+00,+1.424938E-10,+1.800000E+00,+1.518432E-09
+1.789000E+00,+1.223488E-10,+1.800000E+00,+1.925569E-09
+1.788000E+00,+1.658917E-11,+1.800000E+00,+3.136935E-09
+1.787000E+00,-1.244230E-10,+1.800000E+00,-3.262561E-10
+1.786000E+00,+6.191514E-11,+1.800000E+00,-1.075189E-09
+1.785000E+00,+2.180374E-10,+1.800000E+00,+1.644090E-09
+1.784000E+00,+1.122763E-10,+1.800000E+00,-4.267828E-10
+1.783000E+00,+2.029287E-10,+1.800000E+00,+1.623981E-09
+1.782000E+00,+1.576013E-10,+1.800000E+00,+1.287219E-09
+1.781000E+00,+2.666301E-11,+1.800000E+00,+4.176512E-10
+1.780000E+00,+4.680700E-11,+1.800000E+00,+2.438263E-09
+1.779000E+00,+1.475299E-10,+1.800000E+00,+2.945925E-09
+1.778000E+00,+9.213363E-11,+1.800000E+00,+1.789857E-09
+1.777000E+00,+1.676751E-10,+1.800000E+00,+1.744619E-09
+1.776000E+00,+9.213075E-11,+1.800000E+00,+6.237362E-10
+1.775000E+00,+1.273850E-10,+1.800000E+00,-3.815455E-10
+1.774000E+00,-3.880857E-11,+1.800000E+00,-4.016524E-10
+1.773000E+00,+1.424967E-10,+1.800000E+00,+1.598859E-09
+1.772000E+00,+1.978961E-10,+1.800000E+00,+2.071334E-09
+1.771000E+00,+2.230734E-10,+1.800000E+00,+5.182669E-09
+1.770000E+00,+1.978950E-10,+1.800000E+00,+1.257063E-09
+1.769000E+00,+1.273872E-10,+1.800000E+00,+4.343269E-09
+1.768000E+00,+2.331421E-10,+1.800000E+00,+1.739596E-09
+1.767000E+00,+2.079652E-10,+1.800000E+00,+1.975835E-09
+1.766000E+00,+1.676763E-10,+1.800000E+00,+3.020437E-10
+1.765000E+00,+1.978949E-10,+1.800000E+00,+2.518683E-09
+1.764000E+00,+2.029261E-10,+1.800000E+00,+3.031377E-09
+1.763000E+00,+1.727120E-10,+1.800000E+00,+9.454229E-10
+1.762000E+00,+2.381806E-10,+1.800000E+00,-7.736049E-10
+1.761000E+00,-3.880957E-11,+1.800000E+00,+1.106268E-09
+1.760000E+00,+8.205925E-11,+1.800000E+00,+7.292846E-10
