VREF,IREF,VDD,IDD
+0.000000E+00,-1.596741E-10,+1.800000E+00,-1.045030E-09
+1.000000E-03,-7.406142E-11,+1.800000E+00,+1.990919E-09
+2.000000E-03,-1.798200E-10,+1.800000E+00,-1.442115E-09
+3.000000E-03,-1.362144E-11,+1.800000E+00,-3.472655E-11
+4.000000E-03,-3.409766E-10,+1.800000E+00,+1.915524E-09
+5.000000E-03,-1.697492E-10,+1.800000E+00,+1.508383E-09
+6.000000E-03,+1.827860E-10,+1.800000E+00,+3.162063E-09
+7.000000E-03,+5.688161E-11,+1.800000E+00,+2.800167E-09
+8.000000E-03,+5.688428E-11,+1.800000E+00,+2.754934E-09
+9.000000E-03,-6.902434E-11,+1.800000E+00,+3.870789E-09
+1.000000E-02,-1.546394E-10,+1.800000E+00,+1.985887E-09
+1.100000E-02,-1.042783E-10,+1.800000E+00,+1.009896E-10
+1.200000E-02,-2.150732E-10,+1.800000E+00,-5.725480E-10
+1.300000E-02,-2.050011E-10,+1.800000E+00,+2.986142E-09
+1.400000E-02,-5.895173E-11,+1.800000E+00,+6.287599E-10
+1.500000E-02,-3.057247E-10,+1.800000E+00,+1.578752E-09
+1.600000E-02,-1.362732E-11,+1.800000E+00,+1.512553E-10
+1.700000E-02,-2.873679E-11,+1.800000E+00,-4.468876E-10
+1.800000E-02,-4.417014E-10,+1.800000E+00,+1.960760E-09
+1.900000E-02,-1.949293E-10,+1.800000E+00,+2.433240E-09
+2.000000E-02,-1.697483E-10,+1.800000E+00,+1.905459E-09
+2.100000E-02,-5.391626E-11,+1.800000E+00,+2.297531E-09
+2.200000E-02,+6.516454E-12,+1.800000E+00,+2.478475E-09
+2.300000E-02,-6.902234E-11,+1.800000E+00,-8.188418E-10
+2.400000E-02,-1.596761E-10,+1.800000E+00,+1.402823E-09
+2.500000E-02,-1.496038E-10,+1.800000E+00,-8.037630E-10
+2.600000E-02,-9.923873E-11,+1.800000E+00,-2.196146E-09
+2.700000E-02,-3.661588E-10,+1.800000E+00,-1.024923E-09
+2.800000E-02,-2.553630E-10,+1.800000E+00,+1.473196E-09
+2.900000E-02,-1.445656E-10,+1.800000E+00,+1.307326E-09
+3.000000E-02,-1.546391E-10,+1.800000E+00,+1.282193E-09
+3.100000E-02,-4.265945E-10,+1.800000E+00,+2.302556E-09
+3.200000E-02,-1.362299E-11,+1.800000E+00,+3.036404E-09
+3.300000E-02,-6.398870E-11,+1.800000E+00,+3.182180E-09
+3.400000E-02,+1.374594E-10,+1.800000E+00,+2.805194E-09
+3.500000E-02,-2.604020E-10,+1.800000E+00,+1.211825E-09
+3.600000E-02,-7.406226E-11,+1.800000E+00,+2.046205E-09
+3.700000E-02,-1.445650E-10,+1.800000E+00,-2.156753E-10
+3.800000E-02,+6.191592E-11,+1.800000E+00,+9.001866E-10
+3.900000E-02,-1.596758E-10,+1.800000E+00,+2.769145E-10
+4.000000E-02,-1.949312E-10,+1.800000E+00,+1.553621E-09
+4.100000E-02,-1.361933E-11,+1.800000E+00,+1.613934E-09
+4.200000E-02,-2.755070E-10,+1.800000E+00,+6.991314E-10
+4.300000E-02,+2.666611E-11,+1.800000E+00,+2.548851E-09
+4.400000E-02,-8.413370E-11,+1.800000E+00,+4.876074E-09
+4.500000E-02,-5.391193E-11,+1.800000E+00,+2.282447E-09
+4.600000E-02,-1.496030E-10,+1.800000E+00,+1.644088E-09
+4.700000E-02,-2.201103E-10,+1.800000E+00,+1.920550E-09
+4.800000E-02,-2.251490E-10,+1.800000E+00,-1.905422E-10
+4.900000E-02,-2.873257E-11,+1.800000E+00,+2.533766E-09
+5.000000E-02,-1.496051E-10,+1.800000E+00,-3.463616E-10
+5.100000E-02,-1.093131E-10,+1.800000E+00,+1.613084E-10
+5.200000E-02,+5.688161E-11,+1.800000E+00,+1.814103E-10
+5.300000E-02,-3.880529E-11,+1.800000E+00,-1.553569E-10
+5.400000E-02,-5.391398E-11,+1.800000E+00,+2.181921E-09
+5.500000E-02,-1.496021E-10,+1.800000E+00,+2.709690E-09
+5.600000E-02,+6.516454E-12,+1.800000E+00,+2.694609E-09
+5.700000E-02,+8.709944E-11,+1.800000E+00,+1.965778E-09
+5.800000E-02,-1.445669E-10,+1.800000E+00,+2.523718E-09
+5.900000E-02,-1.848566E-10,+1.800000E+00,+2.046209E-09
+6.000000E-02,-1.344934E-10,+1.800000E+00,+4.628893E-10
+6.100000E-02,-2.402528E-10,+1.800000E+00,+1.146481E-09
+6.200000E-02,-5.895107E-11,+1.800000E+00,+5.634182E-10
+6.300000E-02,-9.420476E-11,+1.800000E+00,+3.458624E-09
+6.400000E-02,-2.805440E-10,+1.800000E+00,-1.190796E-09
+6.500000E-02,+6.191669E-11,+1.800000E+00,-5.373618E-10
+6.600000E-02,+3.170364E-11,+1.800000E+00,-1.422010E-09
+6.700000E-02,-1.949289E-10,+1.800000E+00,+1.076112E-09
+6.800000E-02,-2.654358E-10,+1.800000E+00,+5.282321E-10
+6.900000E-02,+2.162637E-11,+1.800000E+00,+2.317633E-09
+7.000000E-02,-1.496032E-10,+1.800000E+00,+1.709439E-09
+7.100000E-02,-1.362510E-11,+1.800000E+00,+1.629017E-09
+7.200000E-02,-8.413237E-11,+1.800000E+00,+3.292744E-09
+7.300000E-02,-1.093126E-10,+1.800000E+00,+1.171610E-09
+7.400000E-02,-1.647110E-10,+1.800000E+00,+8.750554E-10
+7.500000E-02,-5.391565E-11,+1.800000E+00,-8.741323E-10
+7.600000E-02,+1.155587E-11,+1.800000E+00,-2.458321E-10
+7.700000E-02,-6.902318E-11,+1.800000E+00,-5.985668E-11
+7.800000E-02,-1.395326E-10,+1.800000E+00,-1.472274E-09
+7.900000E-02,-2.369660E-11,+1.800000E+00,+2.216246E-10
+8.000000E-02,-9.420265E-11,+1.800000E+00,+1.009908E-10
+8.100000E-02,-2.201100E-10,+1.800000E+00,+2.015174E-10
+8.200000E-02,-1.898919E-10,+1.800000E+00,-6.982082E-10
+8.300000E-02,-1.647110E-10,+1.800000E+00,+3.775285E-09
+8.400000E-02,+1.273877E-10,+1.800000E+00,+3.051483E-09
+8.500000E-02,+4.177358E-11,+1.800000E+00,-1.151472E-10
+8.600000E-02,-8.591461E-12,+1.800000E+00,-5.985612E-11
+8.700000E-02,-1.093120E-10,+1.800000E+00,+1.045953E-09
+8.800000E-02,-4.384371E-11,+1.800000E+00,+7.946297E-10
+8.900000E-02,-1.798203E-10,+1.800000E+00,+1.412883E-09
+9.000000E-02,-2.251448E-10,+1.800000E+00,+6.689760E-10
+9.100000E-02,+1.022082E-10,+1.800000E+00,+8.348433E-10
+9.200000E-02,-1.546382E-10,+1.800000E+00,-7.082602E-10
+9.300000E-02,-1.344961E-10,+1.800000E+00,+1.096216E-09
+9.400000E-02,-8.412976E-11,+1.800000E+00,+1.830075E-09
+9.500000E-02,-2.755067E-10,+1.800000E+00,+1.262089E-09
+9.600000E-02,-2.369793E-11,+1.800000E+00,+3.720002E-09
+9.700000E-02,+7.199041E-11,+1.800000E+00,+3.232433E-09
+9.800000E-02,-1.898910E-10,+1.800000E+00,+7.343155E-10
+9.900000E-02,+3.169953E-11,+1.800000E+00,+7.644732E-10
+1.000000E-01,-2.452909E-10,+1.800000E+00,+2.181919E-09
