VDD,IDD,VREF,IREF
+1.800000E+00,+5.127935E-05,+0.000000E+00,-1.522969E-05
+1.799000E+00,+5.128665E-05,+0.000000E+00,-1.523263E-05
+1.798000E+00,+5.129299E-05,+0.000000E+00,-1.522892E-05
+1.797000E+00,+5.127432E-05,+0.000000E+00,-1.522622E-05
+1.796000E+00,+5.127192E-05,+0.000000E+00,-1.522634E-05
+1.795000E+00,+5.125767E-05,+0.000000E+00,-1.522664E-05
+1.794000E+00,+5.123527E-05,+0.000000E+00,-1.521535E-05
+1.793000E+00,+5.123987E-05,+0.000000E+00,-1.522057E-05
+1.792000E+00,+5.122768E-05,+0.000000E+00,-1.521336E-05
+1.791000E+00,+5.122760E-05,+0.000000E+00,-1.521691E-05
+1.790000E+00,+5.123635E-05,+0.000000E+00,-1.521780E-05
+1.789000E+00,+5.124674E-05,+0.000000E+00,-1.522024E-05
+1.788000E+00,+5.121891E-05,+0.000000E+00,-1.522300E-05
+1.787000E+00,+5.122279E-05,+0.000000E+00,-1.522570E-05
+1.786000E+00,+5.121147E-05,+0.000000E+00,-1.522928E-05
+1.785000E+00,+5.121096E-05,+0.000000E+00,-1.522013E-05
+1.784000E+00,+5.121433E-05,+0.000000E+00,-1.521374E-05
+1.783000E+00,+5.120825E-05,+0.000000E+00,-1.521579E-05
+1.782000E+00,+5.119829E-05,+0.000000E+00,-1.521252E-05
+1.781000E+00,+5.121987E-05,+0.000000E+00,-1.522082E-05
+1.780000E+00,+5.121206E-05,+0.000000E+00,-1.522434E-05
+1.779000E+00,+5.121717E-05,+0.000000E+00,-1.522020E-05
+1.778000E+00,+5.120792E-05,+0.000000E+00,-1.521990E-05
+1.777000E+00,+5.121102E-05,+0.000000E+00,-1.521713E-05
+1.776000E+00,+5.119962E-05,+0.000000E+00,-1.521848E-05
+1.775000E+00,+5.117989E-05,+0.000000E+00,-1.521630E-05
+1.774000E+00,+5.118034E-05,+0.000000E+00,-1.521249E-05
+1.773000E+00,+5.119118E-05,+0.000000E+00,-1.521297E-05
+1.772000E+00,+5.116568E-05,+0.000000E+00,-1.521324E-05
+1.771000E+00,+5.119622E-05,+0.000000E+00,-1.520567E-05
+1.770000E+00,+5.118714E-05,+0.000000E+00,-1.521987E-05
+1.769000E+00,+5.117424E-05,+0.000000E+00,-1.521623E-05
+1.768000E+00,+5.119846E-05,+0.000000E+00,-1.521767E-05
+1.767000E+00,+5.115119E-05,+0.000000E+00,-1.521883E-05
+1.766000E+00,+5.116661E-05,+0.000000E+00,-1.520871E-05
+1.765000E+00,+5.117267E-05,+0.000000E+00,-1.521452E-05
+1.764000E+00,+5.115430E-05,+0.000000E+00,-1.521709E-05
+1.763000E+00,+5.116402E-05,+0.000000E+00,-1.521172E-05
+1.762000E+00,+5.117937E-05,+0.000000E+00,-1.521939E-05
+1.761000E+00,+5.114993E-05,+0.000000E+00,-1.521199E-05
+1.760000E+00,+5.117313E-05,+0.000000E+00,-1.520779E-05
+1.759000E+00,+5.115073E-05,+0.000000E+00,-1.521369E-05
+1.758000E+00,+5.116272E-05,+0.000000E+00,-1.521455E-05
+1.757000E+00,+5.116355E-05,+0.000000E+00,-1.521472E-05
+1.756000E+00,+5.117050E-05,+0.000000E+00,-1.521909E-05
+1.755000E+00,+5.119154E-05,+0.000000E+00,-1.521176E-05
+1.754000E+00,+5.119940E-05,+0.000000E+00,-1.522449E-05
+1.753000E+00,+5.118884E-05,+0.000000E+00,-1.522280E-05
+1.752000E+00,+5.118348E-05,+0.000000E+00,-1.522208E-05
+1.751000E+00,+5.116642E-05,+0.000000E+00,-1.522344E-05
+1.750000E+00,+5.115719E-05,+0.000000E+00,-1.521246E-05
+1.749000E+00,+5.116254E-05,+0.000000E+00,-1.520603E-05
+1.748000E+00,+5.117297E-05,+0.000000E+00,-1.521108E-05
+1.747000E+00,+5.117639E-05,+0.000000E+00,-1.521402E-05
+1.746000E+00,+5.117048E-05,+0.000000E+00,-1.521307E-05
+1.745000E+00,+5.117206E-05,+0.000000E+00,-1.520861E-05
+1.744000E+00,+5.116188E-05,+0.000000E+00,-1.521390E-05
+1.743000E+00,+5.115146E-05,+0.000000E+00,-1.520812E-05
+1.742000E+00,+5.113920E-05,+0.000000E+00,-1.520947E-05
+1.741000E+00,+5.115464E-05,+0.000000E+00,-1.520890E-05
+1.740000E+00,+5.115953E-05,+0.000000E+00,-1.520886E-05
+1.739000E+00,+5.117133E-05,+0.000000E+00,-1.521048E-05
+1.738000E+00,+5.115048E-05,+0.000000E+00,-1.521136E-05
+1.737000E+00,+5.112546E-05,+0.000000E+00,-1.520629E-05
+1.736000E+00,+5.111809E-05,+0.000000E+00,-1.519463E-05
+1.735000E+00,+5.113198E-05,+0.000000E+00,-1.519821E-05
+1.734000E+00,+5.114013E-05,+0.000000E+00,-1.519808E-05
+1.733000E+00,+5.112239E-05,+0.000000E+00,-1.520170E-05
+1.732000E+00,+5.112503E-05,+0.000000E+00,-1.520113E-05
+1.731000E+00,+5.112364E-05,+0.000000E+00,-1.520876E-05
+1.730000E+00,+5.112526E-05,+0.000000E+00,-1.520147E-05
+1.729000E+00,+5.112718E-05,+0.000000E+00,-1.519280E-05
+1.728000E+00,+5.112220E-05,+0.000000E+00,-1.520252E-05
+1.727000E+00,+5.114648E-05,+0.000000E+00,-1.520712E-05
+1.726000E+00,+5.112726E-05,+0.000000E+00,-1.520664E-05
+1.725000E+00,+5.112302E-05,+0.000000E+00,-1.520874E-05
+1.724000E+00,+5.112208E-05,+0.000000E+00,-1.520028E-05
+1.723000E+00,+5.113143E-05,+0.000000E+00,-1.519436E-05
+1.722000E+00,+5.111363E-05,+0.000000E+00,-1.519340E-05
+1.721000E+00,+5.111126E-05,+0.000000E+00,-1.520025E-05
+1.720000E+00,+5.114489E-05,+0.000000E+00,-1.519217E-05
+1.719000E+00,+5.110193E-05,+0.000000E+00,-1.520161E-05
+1.718000E+00,+5.112414E-05,+0.000000E+00,-1.519923E-05
+1.717000E+00,+5.111381E-05,+0.000000E+00,-1.519755E-05
+1.716000E+00,+5.110123E-05,+0.000000E+00,-1.519913E-05
+1.715000E+00,+5.110021E-05,+0.000000E+00,-1.519141E-05
+1.714000E+00,+5.110256E-05,+0.000000E+00,-1.519109E-05
+1.713000E+00,+5.113771E-05,+0.000000E+00,-1.519327E-05
