VDD,IDD,VREF,IREF
+0.000000E+00,-6.609859E-09,+0.000000E+00,+6.692524E-11
+1.000000E-03,-4.086301E-09,+0.000000E+00,-4.668897E-10
+2.000000E-03,-3.111753E-10,+0.000000E+00,-3.107721E-10
+3.000000E-03,+1.030873E-09,+0.000000E+00,+7.921913E-10
+4.000000E-03,+2.367049E-10,+0.000000E+00,+1.878340E-10
+5.000000E-03,+1.935630E-09,+0.000000E+00,+3.640930E-10
+6.000000E-03,+2.473449E-09,+0.000000E+00,-5.827197E-10
+7.000000E-03,+2.222127E-09,+0.000000E+00,-2.352146E-10
+8.000000E-03,+9.897464E-09,+0.000000E+00,-2.603995E-10
+9.000000E-03,+1.920549E-09,+0.000000E+00,+4.749084E-10
+1.000000E-02,+1.508384E-09,+0.000000E+00,-7.338042E-10
+1.100000E-02,+9.605066E-10,+0.000000E+00,+2.180469E-10
+1.200000E-02,-7.786295E-10,+0.000000E+00,+6.188605E-11
+1.300000E-02,-2.156720E-10,+0.000000E+00,+7.972003E-10
+1.400000E-02,+5.986032E-10,+0.000000E+00,+2.885417E-10
+1.500000E-02,+9.504550E-10,+0.000000E+00,+3.673239E-11
+1.600000E-02,+9.755858E-10,+0.000000E+00,-6.280394E-10
+1.700000E-02,+2.503616E-09,+0.000000E+00,-3.006907E-10
+1.800000E-02,+1.910496E-09,+0.000000E+00,-4.568032E-10
+1.900000E-02,+2.674505E-09,+0.000000E+00,+1.425033E-10
+2.000000E-02,+4.680036E-09,+0.000000E+00,-9.604264E-10
+2.100000E-02,+4.358350E-09,+0.000000E+00,+5.504260E-10
+2.200000E-02,+4.700151E-09,+0.000000E+00,-8.591905E-12
+2.300000E-02,+4.478987E-09,+0.000000E+00,-3.208341E-10
+2.400000E-02,+3.388259E-09,+0.000000E+00,+8.173409E-10
+2.500000E-02,+4.187455E-09,+0.000000E+00,-1.362355E-11
+2.600000E-02,+2.111552E-09,+0.000000E+00,+5.907257E-10
+2.700000E-02,+3.835607E-09,+0.000000E+00,-1.041015E-09
+2.800000E-02,+2.865513E-09,+0.000000E+00,+2.010938E-09
+2.900000E-02,+8.650034E-10,+0.000000E+00,+2.323153E-09
+3.000000E-02,+3.081650E-09,+0.000000E+00,-4.384965E-11
+3.100000E-02,+2.840378E-09,+0.000000E+00,+1.626377E-10
+3.200000E-02,+4.609678E-09,+0.000000E+00,+5.907508E-10
+3.300000E-02,+2.453348E-09,+0.000000E+00,+1.223506E-10
+3.400000E-02,+3.272652E-09,+0.000000E+00,+8.073211E-10
+3.500000E-02,+4.649886E-09,+0.000000E+00,-2.654473E-10
+3.600000E-02,+7.585304E-09,+0.000000E+00,+1.346131E-09
+3.700000E-02,+5.333469E-09,+0.000000E+00,-1.051089E-09
+3.800000E-02,+5.735590E-09,+0.000000E+00,+4.798989E-10
+3.900000E-02,+4.554384E-09,+0.000000E+00,+9.212986E-11
+4.000000E-02,+3.674762E-09,+0.000000E+00,+2.382049E-10
+4.100000E-02,+4.840884E-09,+0.000000E+00,+7.367547E-10
+4.200000E-02,+3.081646E-09,+0.000000E+00,-5.021393E-10
+4.300000E-02,+3.815506E-09,+0.000000E+00,+1.210151E-09
+4.400000E-02,+2.573977E-09,+0.000000E+00,-6.078977E-10
+4.500000E-02,+3.197256E-09,+0.000000E+00,+3.338729E-10
+4.600000E-02,+2.820268E-09,+0.000000E+00,-6.028578E-10
+4.700000E-02,+3.363124E-09,+0.000000E+00,-2.906217E-10
+4.800000E-02,+3.775298E-09,+0.000000E+00,-8.590018E-12
+4.900000E-02,+4.881098E-09,+0.000000E+00,+3.741670E-10
+5.000000E-02,+5.891411E-09,+0.000000E+00,-4.383999E-11
