VDD,IDD,VREF,IREF
+2.100000E+00,+4.090461E-05,+0.000000E+00,-1.211389E-05
+2.099000E+00,+4.089172E-05,+0.000000E+00,-1.211290E-05
+2.098000E+00,+4.087417E-05,+0.000000E+00,-1.211358E-05
+2.097000E+00,+4.084999E-05,+0.000000E+00,-1.211498E-05
+2.096000E+00,+4.084921E-05,+0.000000E+00,-1.211447E-05
+2.095000E+00,+4.084849E-05,+0.000000E+00,-1.211177E-05
+2.094000E+00,+4.082450E-05,+0.000000E+00,-1.211022E-05
+2.093000E+00,+4.082130E-05,+0.000000E+00,-1.211323E-05
+2.092000E+00,+4.081909E-05,+0.000000E+00,-1.211169E-05
+2.091000E+00,+4.080831E-05,+0.000000E+00,-1.210860E-05
+2.090000E+00,+4.078485E-05,+0.000000E+00,-1.211037E-05
+2.089000E+00,+4.079282E-05,+0.000000E+00,-1.210905E-05
+2.088000E+00,+4.079688E-05,+0.000000E+00,-1.210857E-05
+2.087000E+00,+4.079128E-05,+0.000000E+00,-1.211135E-05
+2.086000E+00,+4.077963E-05,+0.000000E+00,-1.210998E-05
+2.085000E+00,+4.077768E-05,+0.000000E+00,-1.211036E-05
+2.084000E+00,+4.076449E-05,+0.000000E+00,-1.211352E-05
+2.083000E+00,+4.077474E-05,+0.000000E+00,-1.211108E-05
+2.082000E+00,+4.077281E-05,+0.000000E+00,-1.210615E-05
+2.081000E+00,+4.075035E-05,+0.000000E+00,-1.211148E-05
+2.080000E+00,+4.076072E-05,+0.000000E+00,-1.210724E-05
+2.079000E+00,+4.075686E-05,+0.000000E+00,-1.210690E-05
+2.078000E+00,+4.075989E-05,+0.000000E+00,-1.210656E-05
+2.077000E+00,+4.077251E-05,+0.000000E+00,-1.210571E-05
+2.076000E+00,+4.075397E-05,+0.000000E+00,-1.210910E-05
+2.075000E+00,+4.077736E-05,+0.000000E+00,-1.210497E-05
+2.074000E+00,+4.078412E-05,+0.000000E+00,-1.211139E-05
+2.073000E+00,+4.075813E-05,+0.000000E+00,-1.211753E-05
+2.072000E+00,+4.075821E-05,+0.000000E+00,-1.210790E-05
+2.071000E+00,+4.075906E-05,+0.000000E+00,-1.211056E-05
+2.070000E+00,+4.076476E-05,+0.000000E+00,-1.211419E-05
+2.069000E+00,+4.076837E-05,+0.000000E+00,-1.211573E-05
+2.068000E+00,+4.076490E-05,+0.000000E+00,-1.211319E-05
+2.067000E+00,+4.076053E-05,+0.000000E+00,-1.211265E-05
+2.066000E+00,+4.075998E-05,+0.000000E+00,-1.211511E-05
+2.065000E+00,+4.074528E-05,+0.000000E+00,-1.210935E-05
+2.064000E+00,+4.078857E-05,+0.000000E+00,-1.211200E-05
+2.063000E+00,+4.076540E-05,+0.000000E+00,-1.211486E-05
+2.062000E+00,+4.076154E-05,+0.000000E+00,-1.211527E-05
+2.061000E+00,+4.076982E-05,+0.000000E+00,-1.211354E-05
+2.060000E+00,+4.077574E-05,+0.000000E+00,-1.211687E-05
+2.059000E+00,+4.077180E-05,+0.000000E+00,-1.211418E-05
+2.058000E+00,+4.075467E-05,+0.000000E+00,-1.211384E-05
+2.057000E+00,+4.074833E-05,+0.000000E+00,-1.210954E-05
+2.056000E+00,+4.075551E-05,+0.000000E+00,-1.211151E-05
+2.055000E+00,+4.076749E-05,+0.000000E+00,-1.211448E-05
+2.054000E+00,+4.074489E-05,+0.000000E+00,-1.210825E-05
+2.053000E+00,+4.075105E-05,+0.000000E+00,-1.210992E-05
+2.052000E+00,+4.074914E-05,+0.000000E+00,-1.210924E-05
+2.051000E+00,+4.075489E-05,+0.000000E+00,-1.210876E-05
+2.050000E+00,+4.075039E-05,+0.000000E+00,-1.211042E-05
+2.049000E+00,+4.073413E-05,+0.000000E+00,-1.211063E-05
+2.048000E+00,+4.074447E-05,+0.000000E+00,-1.210905E-05
+2.047000E+00,+4.075034E-05,+0.000000E+00,-1.210861E-05
+2.046000E+00,+4.075396E-05,+0.000000E+00,-1.210890E-05
+2.045000E+00,+4.073703E-05,+0.000000E+00,-1.210897E-05
+2.044000E+00,+4.073837E-05,+0.000000E+00,-1.210778E-05
+2.043000E+00,+4.071961E-05,+0.000000E+00,-1.210735E-05
+2.042000E+00,+4.073532E-05,+0.000000E+00,-1.210900E-05
+2.041000E+00,+4.073350E-05,+0.000000E+00,-1.210868E-05
+2.040000E+00,+4.073831E-05,+0.000000E+00,-1.210608E-05
+2.039000E+00,+4.073671E-05,+0.000000E+00,-1.210850E-05
+2.037950E+00,+4.073612E-05,+0.000000E+00,-1.211124E-05
+2.036950E+00,+4.073316E-05,+0.000000E+00,-1.210924E-05
+2.035950E+00,+4.073208E-05,+0.000000E+00,-1.210683E-05
+2.034950E+00,+4.073886E-05,+0.000000E+00,-1.210517E-05
+2.033950E+00,+4.071637E-05,+0.000000E+00,-1.211212E-05
+2.032950E+00,+4.072688E-05,+0.000000E+00,-1.210624E-05
+2.031950E+00,+4.072198E-05,+0.000000E+00,-1.211637E-05
+2.030950E+00,+4.073012E-05,+0.000000E+00,-1.210934E-05
+2.029950E+00,+4.071094E-05,+0.000000E+00,-1.210910E-05
+2.028950E+00,+4.072039E-05,+0.000000E+00,-1.210859E-05
+2.027950E+00,+4.073029E-05,+0.000000E+00,-1.210470E-05
+2.026950E+00,+4.073521E-05,+0.000000E+00,-1.210536E-05
+2.025950E+00,+4.072524E-05,+0.000000E+00,-1.210582E-05
+2.024950E+00,+4.075718E-05,+0.000000E+00,-1.211618E-05
+2.023950E+00,+4.075513E-05,+0.000000E+00,-1.211446E-05
+2.022950E+00,+4.073330E-05,+0.000000E+00,-1.211338E-05
+2.021950E+00,+4.074052E-05,+0.000000E+00,-1.210525E-05
+2.020950E+00,+4.072394E-05,+0.000000E+00,-1.210726E-05
+2.019950E+00,+4.075454E-05,+0.000000E+00,-1.210930E-05
+2.018950E+00,+4.071819E-05,+0.000000E+00,-1.211072E-05
+2.017950E+00,+4.071343E-05,+0.000000E+00,-1.210512E-05
+2.016950E+00,+4.071182E-05,+0.000000E+00,-1.210640E-05
+2.015950E+00,+4.071504E-05,+0.000000E+00,-1.210425E-05
+2.014950E+00,+4.070813E-05,+0.000000E+00,-1.210308E-05
+2.013950E+00,+4.071682E-05,+0.000000E+00,-1.210222E-05
+2.012950E+00,+4.072587E-05,+0.000000E+00,-1.210202E-05
+2.011950E+00,+4.071651E-05,+0.000000E+00,-1.210440E-05
+2.010950E+00,+4.070549E-05,+0.000000E+00,-1.210191E-05
