VDD,IDD,VREF,IREF
+2.200000E+00,+4.070301E-05,+0.000000E+00,-1.213451E-05
+2.199000E+00,+4.120285E-05,+0.000000E+00,-1.213565E-05
+2.198000E+00,+4.133658E-05,+0.000000E+00,-1.213361E-05
+2.197000E+00,+4.145608E-05,+0.000000E+00,-1.213117E-05
+2.196000E+00,+4.144130E-05,+0.000000E+00,-1.213104E-05
+2.195000E+00,+4.150957E-05,+0.000000E+00,-1.212559E-05
+2.194000E+00,+4.134272E-05,+0.000000E+00,-1.212682E-05
+2.193000E+00,+4.128702E-05,+0.000000E+00,-1.212639E-05
+2.192000E+00,+4.121528E-05,+0.000000E+00,-1.212346E-05
+2.191000E+00,+4.122562E-05,+0.000000E+00,-1.212608E-05
+2.190000E+00,+4.129088E-05,+0.000000E+00,-1.212165E-05
+2.189000E+00,+4.134585E-05,+0.000000E+00,-1.212078E-05
+2.188000E+00,+4.143672E-05,+0.000000E+00,-1.212176E-05
+2.187000E+00,+4.143274E-05,+0.000000E+00,-1.213011E-05
+2.186000E+00,+4.132433E-05,+0.000000E+00,-1.212098E-05
+2.185000E+00,+4.117371E-05,+0.000000E+00,-1.212067E-05
+2.184000E+00,+4.136784E-05,+0.000000E+00,-1.211993E-05
+2.183000E+00,+4.130469E-05,+0.000000E+00,-1.212022E-05
+2.182000E+00,+4.129562E-05,+0.000000E+00,-1.212137E-05
+2.181000E+00,+4.126160E-05,+0.000000E+00,-1.211886E-05
+2.180000E+00,+4.114638E-05,+0.000000E+00,-1.212066E-05
+2.179000E+00,+4.126550E-05,+0.000000E+00,-1.212232E-05
+2.178000E+00,+4.133841E-05,+0.000000E+00,-1.212138E-05
+2.177000E+00,+4.137763E-05,+0.000000E+00,-1.211730E-05
+2.176000E+00,+4.138124E-05,+0.000000E+00,-1.212383E-05
+2.175000E+00,+4.129950E-05,+0.000000E+00,-1.212018E-05
+2.174000E+00,+4.134257E-05,+0.000000E+00,-1.212372E-05
+2.173000E+00,+4.135912E-05,+0.000000E+00,-1.211873E-05
+2.172000E+00,+4.127720E-05,+0.000000E+00,-1.212062E-05
+2.171000E+00,+4.131333E-05,+0.000000E+00,-1.212344E-05
+2.170000E+00,+4.145101E-05,+0.000000E+00,-1.212091E-05
+2.169000E+00,+4.142316E-05,+0.000000E+00,-1.211943E-05
+2.168000E+00,+4.141175E-05,+0.000000E+00,-1.211899E-05
+2.167000E+00,+4.138666E-05,+0.000000E+00,-1.212769E-05
+2.166000E+00,+4.142546E-05,+0.000000E+00,-1.212943E-05
+2.165000E+00,+4.147051E-05,+0.000000E+00,-1.211798E-05
+2.164000E+00,+4.136505E-05,+0.000000E+00,-1.212314E-05
+2.163000E+00,+4.125807E-05,+0.000000E+00,-1.212721E-05
+2.162000E+00,+4.121552E-05,+0.000000E+00,-1.212838E-05
+2.161000E+00,+4.131880E-05,+0.000000E+00,-1.212686E-05
+2.160000E+00,+4.142354E-05,+0.000000E+00,-1.211929E-05
+2.159000E+00,+4.157809E-05,+0.000000E+00,-1.212107E-05
+2.158000E+00,+4.142157E-05,+0.000000E+00,-1.212009E-05
+2.157000E+00,+4.132008E-05,+0.000000E+00,-1.212233E-05
+2.156000E+00,+4.142184E-05,+0.000000E+00,-1.212505E-05
+2.155000E+00,+4.135424E-05,+0.000000E+00,-1.212351E-05
+2.154000E+00,+4.126560E-05,+0.000000E+00,-1.212261E-05
+2.153000E+00,+4.139344E-05,+0.000000E+00,-1.212350E-05
+2.152000E+00,+4.137958E-05,+0.000000E+00,-1.212154E-05
+2.151000E+00,+4.138727E-05,+0.000000E+00,-1.211748E-05
+2.150000E+00,+4.145169E-05,+0.000000E+00,-1.211823E-05
+2.149000E+00,+4.134916E-05,+0.000000E+00,-1.211635E-05
+2.148000E+00,+4.130444E-05,+0.000000E+00,-1.211937E-05
+2.147000E+00,+4.154423E-05,+0.000000E+00,-1.211835E-05
+2.146000E+00,+4.144217E-05,+0.000000E+00,-1.211927E-05
+2.145000E+00,+4.130395E-05,+0.000000E+00,-1.212028E-05
+2.144000E+00,+4.132943E-05,+0.000000E+00,-1.211729E-05
+2.143000E+00,+4.135697E-05,+0.000000E+00,-1.212093E-05
+2.142000E+00,+4.133892E-05,+0.000000E+00,-1.212103E-05
+2.141000E+00,+4.145592E-05,+0.000000E+00,-1.211832E-05
+2.140000E+00,+4.146663E-05,+0.000000E+00,-1.212904E-05
+2.139000E+00,+4.132516E-05,+0.000000E+00,-1.212777E-05
+2.138000E+00,+4.141337E-05,+0.000000E+00,-1.212533E-05
+2.137000E+00,+4.134139E-05,+0.000000E+00,-1.211813E-05
+2.136000E+00,+4.142820E-05,+0.000000E+00,-1.211605E-05
+2.135000E+00,+4.141743E-05,+0.000000E+00,-1.212108E-05
+2.134000E+00,+4.144196E-05,+0.000000E+00,-1.212059E-05
+2.133000E+00,+4.143047E-05,+0.000000E+00,-1.212018E-05
+2.132000E+00,+4.152721E-05,+0.000000E+00,-1.211060E-05
+2.131000E+00,+4.155930E-05,+0.000000E+00,-1.211538E-05
+2.130000E+00,+4.144023E-05,+0.000000E+00,-1.212152E-05
+2.129000E+00,+4.147792E-05,+0.000000E+00,-1.212205E-05
+2.128000E+00,+4.138514E-05,+0.000000E+00,-1.212301E-05
+2.127000E+00,+4.136016E-05,+0.000000E+00,-1.212196E-05
+2.126000E+00,+4.123741E-05,+0.000000E+00,-1.211492E-05
+2.125000E+00,+4.133084E-05,+0.000000E+00,-1.211514E-05
+2.124000E+00,+4.134513E-05,+0.000000E+00,-1.211518E-05
+2.123000E+00,+4.137266E-05,+0.000000E+00,-1.211636E-05
+2.122000E+00,+4.128403E-05,+0.000000E+00,-1.211449E-05
+2.121000E+00,+4.139679E-05,+0.000000E+00,-1.211453E-05
+2.120000E+00,+4.136282E-05,+0.000000E+00,-1.211188E-05
+2.119000E+00,+4.144081E-05,+0.000000E+00,-1.211233E-05
+2.118000E+00,+4.136418E-05,+0.000000E+00,-1.211170E-05
+2.117000E+00,+4.140505E-05,+0.000000E+00,-1.211472E-05
+2.116000E+00,+4.145610E-05,+0.000000E+00,-1.211285E-05
+2.115000E+00,+4.111507E-05,+0.000000E+00,-1.211510E-05
+2.114000E+00,+4.134049E-05,+0.000000E+00,-1.211319E-05
+2.113000E+00,+4.137680E-05,+0.000000E+00,-1.211749E-05
+2.112000E+00,+4.137013E-05,+0.000000E+00,-1.212569E-05
+2.111000E+00,+4.144743E-05,+0.000000E+00,-1.211223E-05
+2.110000E+00,+4.138746E-05,+0.000000E+00,-1.210965E-05
+2.109000E+00,+4.135252E-05,+0.000000E+00,-1.211076E-05
+2.108000E+00,+4.133224E-05,+0.000000E+00,-1.211289E-05
+2.107000E+00,+4.128613E-05,+0.000000E+00,-1.211488E-05
+2.106000E+00,+4.137172E-05,+0.000000E+00,-1.211613E-05
+2.105000E+00,+4.137056E-05,+0.000000E+00,-1.211391E-05
+2.104000E+00,+4.141315E-05,+0.000000E+00,-1.211354E-05
+2.103000E+00,+4.137682E-05,+0.000000E+00,-1.211930E-05
+2.102000E+00,+4.139165E-05,+0.000000E+00,-1.211577E-05
+2.101000E+00,+4.136425E-05,+0.000000E+00,-1.211196E-05
+2.100000E+00,+4.137350E-05,+0.000000E+00,-1.211701E-05
+2.099000E+00,+4.134191E-05,+0.000000E+00,-1.212278E-05
+2.098000E+00,+4.131582E-05,+0.000000E+00,-1.213271E-05
+2.097000E+00,+4.141162E-05,+0.000000E+00,-1.212767E-05
+2.096000E+00,+4.137555E-05,+0.000000E+00,-1.211678E-05
+2.095000E+00,+4.148619E-05,+0.000000E+00,-1.211723E-05
+2.094000E+00,+4.140898E-05,+0.000000E+00,-1.211480E-05
+2.093000E+00,+4.141618E-05,+0.000000E+00,-1.211745E-05
+2.092000E+00,+4.137087E-05,+0.000000E+00,-1.212455E-05
+2.091000E+00,+4.146004E-05,+0.000000E+00,-1.211960E-05
+2.090000E+00,+4.148589E-05,+0.000000E+00,-1.212069E-05
+2.089000E+00,+4.151917E-05,+0.000000E+00,-1.212009E-05
+2.088000E+00,+4.144255E-05,+0.000000E+00,-1.212222E-05
+2.087000E+00,+4.142661E-05,+0.000000E+00,-1.211917E-05
+2.086000E+00,+4.134008E-05,+0.000000E+00,-1.211776E-05
+2.085000E+00,+4.130268E-05,+0.000000E+00,-1.212382E-05
+2.084000E+00,+4.134061E-05,+0.000000E+00,-1.213606E-05
+2.083000E+00,+4.138633E-05,+0.000000E+00,-1.213537E-05
+2.082000E+00,+4.136041E-05,+0.000000E+00,-1.213332E-05
+2.081000E+00,+4.131420E-05,+0.000000E+00,-1.211840E-05
+2.080000E+00,+4.131812E-05,+0.000000E+00,-1.211490E-05
+2.079000E+00,+4.151460E-05,+0.000000E+00,-1.211802E-05
