VDD,IDD,VREF,IREF
+0.000000E+00,+7.142333E-10,+0.000000E+00,-9.419271E-11
+1.000000E-03,+1.232138E-07,+0.000000E+00,-1.143399E-10
+2.000000E-03,+5.871364E-09,+0.000000E+00,-1.647010E-10
+3.000000E-03,+5.202853E-09,+0.000000E+00,-1.361344E-11
+4.000000E-03,+1.003326E-08,+0.000000E+00,-1.999539E-10
+5.000000E-03,-1.580943E-08,+0.000000E+00,-1.647016E-10
+6.000000E-03,-1.791071E-08,+0.000000E+00,-3.879458E-11
+7.000000E-03,+1.071111E-09,+0.000000E+00,-8.412088E-11
+8.000000E-03,+2.679572E-09,+0.000000E+00,-1.898822E-10
+9.000000E-03,+1.060314E-10,+0.000000E+00,-1.093010E-10
+1.000000E-02,+1.560760E-08,+0.000000E+00,-1.294468E-10
+1.100000E-02,+1.439121E-08,+0.000000E+00,-3.375922E-11
+1.200000E-02,+8.228780E-09,+0.000000E+00,-1.647005E-10
+1.300000E-02,+3.900574E-08,+0.000000E+00,-9.922912E-11
+1.400000E-02,+2.713826E-08,+0.000000E+00,-6.397544E-11
+1.500000E-02,+1.883454E-08,+0.000000E+00,-1.596648E-10
+1.600000E-02,+2.707295E-08,+0.000000E+00,-1.093016E-10
+1.700000E-02,+2.186983E-09,+0.000000E+00,-1.244111E-10
+1.800000E-02,+2.205656E-08,+0.000000E+00,-1.344843E-10
+1.900000E-02,-3.307130E-09,+0.000000E+00,-1.848457E-10
+2.000000E-02,+1.314463E-08,+0.000000E+00,-1.798090E-10
+2.100000E-02,+1.890421E-09,+0.000000E+00,-1.193750E-10
+2.200000E-02,-1.782025E-08,+0.000000E+00,-1.344831E-10
+2.300000E-02,+7.575332E-09,+0.000000E+00,-9.922968E-11
+2.400000E-02,+2.126236E-08,+0.000000E+00,-6.397488E-11
+2.500000E-02,+1.898034E-08,+0.000000E+00,-1.193742E-10
+2.600000E-02,-9.631151E-09,+0.000000E+00,-9.922929E-11
+2.700000E-02,+3.379328E-08,+0.000000E+00,-1.546275E-10
+2.800000E-02,+4.122164E-09,+0.000000E+00,-1.596652E-10
+2.900000E-02,+1.967399E-08,+0.000000E+00,-1.747736E-10
+3.000000E-02,+1.802532E-08,+0.000000E+00,-1.244111E-10
+3.100000E-02,+4.665028E-09,+0.000000E+00,-1.193748E-10
+3.200000E-02,+2.287585E-08,+0.000000E+00,-5.893996E-11
+3.300000E-02,+1.632638E-08,+0.000000E+00,-1.495921E-10
+3.400000E-02,+7.298881E-09,+0.000000E+00,-8.412043E-11
+3.500000E-02,+2.004095E-08,+0.000000E+00,-4.886624E-11
+3.600000E-02,+1.145073E-08,+0.000000E+00,-1.143389E-10
+3.700000E-02,+1.490388E-08,+0.000000E+00,-2.049910E-10
+3.800000E-02,+1.864861E-08,+0.000000E+00,-9.419210E-11
+3.900000E-02,+3.147613E-08,+0.000000E+00,-1.445561E-10
+4.000000E-02,+2.694727E-08,+0.000000E+00,-1.697376E-10
+4.100000E-02,+5.010410E-08,+0.000000E+00,-3.879502E-11
+4.200000E-02,+3.903084E-08,+0.000000E+00,-9.419371E-11
+4.300000E-02,+3.835662E-09,+0.000000E+00,-7.404782E-11
+4.400000E-02,+1.763327E-08,+0.000000E+00,-1.999546E-10
+4.500000E-02,-1.343162E-08,+0.000000E+00,-1.949175E-10
+4.600000E-02,-3.744485E-09,+0.000000E+00,-1.244110E-10
+4.700000E-02,+2.639363E-09,+0.000000E+00,-1.647008E-10
