VDD,IDD,VREF,IREF
+1.800000E+00,+4.894766E-05,+0.000000E+00,-1.454485E-05
+1.799000E+00,+4.894986E-05,+0.000000E+00,-1.455093E-05
+1.798000E+00,+4.890546E-05,+0.000000E+00,-1.454909E-05
+1.797000E+00,+4.891757E-05,+0.000000E+00,-1.454305E-05
+1.796000E+00,+4.890580E-05,+0.000000E+00,-1.453498E-05
+1.795000E+00,+4.892444E-05,+0.000000E+00,-1.453566E-05
+1.794000E+00,+4.892071E-05,+0.000000E+00,-1.454452E-05
+1.793000E+00,+4.892396E-05,+0.000000E+00,-1.453910E-05
+1.792000E+00,+4.891316E-05,+0.000000E+00,-1.454498E-05
+1.791000E+00,+4.892155E-05,+0.000000E+00,-1.454594E-05
+1.790000E+00,+4.891380E-05,+0.000000E+00,-1.454195E-05
+1.789000E+00,+4.891324E-05,+0.000000E+00,-1.454131E-05
+1.788000E+00,+4.890212E-05,+0.000000E+00,-1.454169E-05
+1.787000E+00,+4.886904E-05,+0.000000E+00,-1.453907E-05
+1.786000E+00,+4.887593E-05,+0.000000E+00,-1.453359E-05
+1.785000E+00,+4.886987E-05,+0.000000E+00,-1.454236E-05
+1.784000E+00,+4.886397E-05,+0.000000E+00,-1.453250E-05
+1.783000E+00,+4.885943E-05,+0.000000E+00,-1.453126E-05
+1.782000E+00,+4.885742E-05,+0.000000E+00,-1.454229E-05
+1.781000E+00,+4.883617E-05,+0.000000E+00,-1.452978E-05
+1.780000E+00,+4.886707E-05,+0.000000E+00,-1.452972E-05
+1.779000E+00,+4.886612E-05,+0.000000E+00,-1.452785E-05
+1.778000E+00,+4.884657E-05,+0.000000E+00,-1.453654E-05
+1.777000E+00,+4.883304E-05,+0.000000E+00,-1.452764E-05
+1.776000E+00,+4.884028E-05,+0.000000E+00,-1.453412E-05
+1.775000E+00,+4.883921E-05,+0.000000E+00,-1.453364E-05
+1.774000E+00,+4.882346E-05,+0.000000E+00,-1.453128E-05
+1.773000E+00,+4.883136E-05,+0.000000E+00,-1.450789E-05
+1.772000E+00,+4.882546E-05,+0.000000E+00,-1.452050E-05
+1.771000E+00,+4.884207E-05,+0.000000E+00,-1.451856E-05
+1.770000E+00,+4.884952E-05,+0.000000E+00,-1.452419E-05
+1.769000E+00,+4.886585E-05,+0.000000E+00,-1.452879E-05
+1.768000E+00,+4.885943E-05,+0.000000E+00,-1.453424E-05
+1.767000E+00,+4.887099E-05,+0.000000E+00,-1.453276E-05
+1.766000E+00,+4.886634E-05,+0.000000E+00,-1.453400E-05
+1.765000E+00,+4.885258E-05,+0.000000E+00,-1.453678E-05
+1.764000E+00,+4.886355E-05,+0.000000E+00,-1.453051E-05
+1.763000E+00,+4.885362E-05,+0.000000E+00,-1.452732E-05
+1.762000E+00,+4.886293E-05,+0.000000E+00,-1.452915E-05
+1.761000E+00,+4.886434E-05,+0.000000E+00,-1.453303E-05
+1.760000E+00,+4.885692E-05,+0.000000E+00,-1.453075E-05
+1.759000E+00,+4.884574E-05,+0.000000E+00,-1.453552E-05
+1.758000E+00,+4.884164E-05,+0.000000E+00,-1.452284E-05
+1.757000E+00,+4.883944E-05,+0.000000E+00,-1.452834E-05
+1.756000E+00,+4.884297E-05,+0.000000E+00,-1.452011E-05
+1.755000E+00,+4.883464E-05,+0.000000E+00,-1.452107E-05
+1.754000E+00,+4.882186E-05,+0.000000E+00,-1.452284E-05
+1.753000E+00,+4.882374E-05,+0.000000E+00,-1.451671E-05
+1.752000E+00,+4.881227E-05,+0.000000E+00,-1.451976E-05
+1.751000E+00,+4.881983E-05,+0.000000E+00,-1.451952E-05
