VREF,IREF,VDD,IDD
+1.800000E+00,+2.310289E-08,+1.800000E+00,+4.602880E-05
+1.799000E+00,-6.259742E-08,+1.800000E+00,+4.613203E-05
+1.798000E+00,-1.450421E-07,+1.800000E+00,+4.622671E-05
+1.797000E+00,-2.296827E-07,+1.800000E+00,+4.629813E-05
+1.796000E+00,-3.116931E-07,+1.800000E+00,+4.641051E-05
+1.795000E+00,-3.964449E-07,+1.800000E+00,+4.649041E-05
+1.794000E+00,-4.781943E-07,+1.800000E+00,+4.655403E-05
+1.793000E+00,-5.621996E-07,+1.800000E+00,+4.663772E-05
+1.792000E+00,-6.428663E-07,+1.800000E+00,+4.671170E-05
+1.791000E+00,-7.271088E-07,+1.800000E+00,+4.681443E-05
+1.790000E+00,-8.078462E-07,+1.800000E+00,+4.688205E-05
+1.789000E+00,-8.914281E-07,+1.800000E+00,+4.699369E-05
+1.788000E+00,-9.715328E-07,+1.800000E+00,+4.706217E-05
+1.787000E+00,-1.054521E-06,+1.800000E+00,+4.714640E-05
+1.786000E+00,-1.135184E-06,+1.800000E+00,+4.723407E-05
+1.785000E+00,-1.217907E-06,+1.800000E+00,+4.730151E-05
+1.784000E+00,-1.296761E-06,+1.800000E+00,+4.736748E-05
+1.783000E+00,-1.379191E-06,+1.800000E+00,+4.745898E-05
+1.782000E+00,-1.458381E-06,+1.800000E+00,+4.752929E-05
+1.781000E+00,-1.540192E-06,+1.800000E+00,+4.761954E-05
+1.780000E+00,-1.619077E-06,+1.800000E+00,+4.771459E-05
+1.779000E+00,-1.699552E-06,+1.800000E+00,+4.775042E-05
+1.778000E+00,-1.778986E-06,+1.800000E+00,+4.786154E-05
+1.777000E+00,-1.860057E-06,+1.800000E+00,+4.793659E-05
+1.776000E+00,-1.938344E-06,+1.800000E+00,+4.801594E-05
+1.775000E+00,-2.018905E-06,+1.800000E+00,+4.807605E-05
+1.774000E+00,-2.096241E-06,+1.800000E+00,+4.816151E-05
+1.773000E+00,-2.176736E-06,+1.800000E+00,+4.824295E-05
+1.772000E+00,-2.253643E-06,+1.800000E+00,+4.832654E-05
+1.771000E+00,-2.332298E-06,+1.800000E+00,+4.837951E-05
+1.770000E+00,-2.410874E-06,+1.800000E+00,+4.849442E-05
+1.769000E+00,-2.490234E-06,+1.800000E+00,+4.856009E-05
+1.768000E+00,-2.567129E-06,+1.800000E+00,+4.864788E-05
+1.767000E+00,-2.646108E-06,+1.800000E+00,+4.873514E-05
+1.766000E+00,-2.721853E-06,+1.800000E+00,+4.878727E-05
+1.765000E+00,-2.800869E-06,+1.800000E+00,+4.888486E-05
+1.764000E+00,-2.876535E-06,+1.800000E+00,+4.894420E-05
+1.763000E+00,-2.953662E-06,+1.800000E+00,+4.901544E-05
+1.762000E+00,-3.029034E-06,+1.800000E+00,+4.905754E-05
+1.761000E+00,-3.107525E-06,+1.800000E+00,+4.915906E-05
+1.760000E+00,-3.182479E-06,+1.800000E+00,+4.922293E-05
+1.759000E+00,-3.261551E-06,+1.800000E+00,+4.933859E-05
+1.758000E+00,-3.335298E-06,+1.800000E+00,+4.938891E-05
+1.757000E+00,-3.411690E-06,+1.800000E+00,+4.945440E-05
+1.756000E+00,-3.486780E-06,+1.800000E+00,+4.954835E-05
+1.755000E+00,-3.561634E-06,+1.800000E+00,+4.958544E-05
+1.754000E+00,-3.637026E-06,+1.800000E+00,+4.968514E-05
+1.753000E+00,-3.712858E-06,+1.800000E+00,+4.975906E-05
+1.752000E+00,-3.785913E-06,+1.800000E+00,+4.982708E-05
+1.751000E+00,-3.862514E-06,+1.800000E+00,+4.992023E-05
+1.750000E+00,-3.936109E-06,+1.800000E+00,+4.997911E-05
+1.749000E+00,-4.011079E-06,+1.800000E+00,+5.005549E-05
+1.748000E+00,-4.083975E-06,+1.800000E+00,+5.014680E-05
+1.747000E+00,-4.159242E-06,+1.800000E+00,+5.022107E-05
+1.746000E+00,-4.231869E-06,+1.800000E+00,+5.029196E-05
+1.745000E+00,-4.307077E-06,+1.800000E+00,+5.038263E-05
+1.744000E+00,-4.378073E-06,+1.800000E+00,+5.046224E-05
+1.743000E+00,-4.454018E-06,+1.800000E+00,+5.053134E-05
+1.742000E+00,-4.525496E-06,+1.800000E+00,+5.061144E-05
