VREF,IREF,VDD,IDD
+1.800000E+00,-2.150652E-10,+1.800000E+00,+7.308972E-09
+1.799000E+00,+2.667466E-11,+1.800000E+00,+6.268490E-09
+1.798000E+00,-8.915635E-11,+1.800000E+00,+6.831450E-09
+1.797000E+00,+1.173288E-10,+1.800000E+00,+4.584618E-09
+1.796000E+00,+2.784908E-10,+1.800000E+00,+5.152615E-09
+1.795000E+00,+1.979122E-10,+1.800000E+00,+2.619274E-09
+1.794000E+00,-4.383155E-11,+1.800000E+00,+4.227043E-10
+1.793000E+00,+2.482692E-10,+1.800000E+00,+2.970457E-10
+1.792000E+00,-1.865019E-11,+1.800000E+00,-1.955505E-10
+1.791000E+00,+1.777640E-10,+1.800000E+00,+3.292819E-09
+1.790000E+00,+1.497136E-12,+1.800000E+00,+4.710279E-09
+1.789000E+00,+7.703849E-11,+1.800000E+00,+2.282499E-09
+1.788000E+00,-5.893375E-11,+1.800000E+00,+5.434082E-09
+1.787000E+00,+2.667888E-11,+1.800000E+00,+8.600766E-09
+1.786000E+00,+5.185841E-11,+1.800000E+00,+6.439392E-09
+1.785000E+00,+2.130170E-10,+1.800000E+00,+6.469546E-09
+1.784000E+00,-1.361178E-11,+1.800000E+00,+3.870856E-09
+1.783000E+00,-8.915829E-11,+1.800000E+00,+7.324049E-09
+1.782000E+00,+2.029475E-10,+1.800000E+00,+3.031445E-09
+1.781000E+00,-1.143341E-10,+1.800000E+00,+1.556100E-11
+1.780000E+00,+1.156686E-11,+1.800000E+00,-1.281267E-09
+1.779000E+00,+8.207413E-11,+1.800000E+00,+1.311700E-10
+1.778000E+00,-1.864942E-11,+1.800000E+00,+2.815306E-09
+1.777000E+00,-6.901341E-11,+1.800000E+00,+1.709481E-09
+1.776000E+00,-8.578360E-12,+1.800000E+00,+4.830917E-09
+1.775000E+00,-5.893463E-11,+1.800000E+00,+4.971656E-09
+1.774000E+00,+6.529666E-12,+1.800000E+00,+7.721146E-09
+1.773000E+00,-4.886536E-11,+1.800000E+00,+7.706054E-09
+1.772000E+00,-3.879802E-11,+1.800000E+00,+4.333300E-09
+1.771000E+00,+7.200518E-11,+1.800000E+00,+3.885937E-09
+1.770000E+00,+1.475455E-10,+1.800000E+00,+3.192294E-09
+1.769000E+00,-3.544165E-12,+1.800000E+00,+1.950751E-09
+1.768000E+00,+1.156886E-11,+1.800000E+00,+1.588843E-09
+1.767000E+00,+5.051239E-10,+1.800000E+00,-1.165657E-09
+1.766000E+00,-1.294466E-10,+1.800000E+00,+1.101280E-09
+1.765000E+00,-6.901191E-11,+1.800000E+00,+1.392811E-09
+1.764000E+00,+2.180537E-10,+1.800000E+00,+3.247583E-09
+1.763000E+00,+2.180522E-10,+1.800000E+00,+3.187265E-09
+1.762000E+00,-4.382905E-11,+1.800000E+00,+4.881182E-09
+1.761000E+00,-3.375938E-11,+1.800000E+00,+7.665839E-09
+1.760000E+00,+7.703982E-11,+1.800000E+00,+6.429339E-09
+1.759000E+00,+1.156730E-11,+1.800000E+00,+6.389121E-09
+1.758000E+00,-3.540057E-12,+1.800000E+00,+5.876426E-09
+1.757000E+00,+1.676937E-10,+1.800000E+00,+5.127472E-09
+1.756000E+00,+1.475503E-10,+1.800000E+00,+5.408968E-09
+1.755000E+00,+2.180539E-10,+1.800000E+00,+1.231968E-09
+1.754000E+00,-7.908674E-11,+1.800000E+00,-2.834591E-09
+1.753000E+00,-1.244125E-10,+1.800000E+00,-4.418467E-10
+1.752000E+00,-1.093023E-10,+1.800000E+00,+2.594139E-09
+1.751000E+00,+4.178968E-11,+1.800000E+00,+2.277468E-09
+1.750000E+00,-1.848449E-10,+1.800000E+00,+3.126950E-09
+1.749000E+00,-3.541389E-12,+1.800000E+00,+3.353139E-09
+1.748000E+00,+1.979121E-10,+1.800000E+00,+8.826942E-09
+1.747000E+00,+5.689338E-11,+1.800000E+00,+8.756591E-09
+1.746000E+00,+8.207701E-11,+1.800000E+00,+6.590176E-09
+1.745000E+00,+3.171607E-11,+1.800000E+00,+5.675362E-09
+1.744000E+00,-1.495937E-10,+1.800000E+00,+3.830647E-09
+1.743000E+00,-9.923085E-11,+1.800000E+00,+6.595201E-09
+1.742000E+00,-1.596631E-10,+1.800000E+00,+1.287257E-09
+1.741000E+00,+1.122934E-10,+1.800000E+00,-1.286293E-09
+1.740000E+00,+8.207490E-11,+1.800000E+00,-7.491430E-11
+1.739000E+00,-1.193756E-10,+1.800000E+00,+1.196782E-09
+1.738000E+00,+6.193013E-11,+1.800000E+00,+2.850486E-09
+1.737000E+00,+2.533085E-10,+1.800000E+00,+1.593873E-09
+1.736000E+00,+4.178558E-11,+1.800000E+00,+5.705528E-09
+1.735000E+00,-8.412315E-11,+1.800000E+00,+6.348913E-09
+1.734000E+00,+3.675005E-11,+1.800000E+00,+8.299176E-09
+1.733000E+00,-3.375844E-11,+1.800000E+00,+1.130500E-08
+1.732000E+00,-4.886902E-11,+1.800000E+00,+4.338321E-09
+1.731000E+00,-3.537615E-12,+1.800000E+00,+1.020858E-09
+1.730000E+00,+1.274006E-10,+1.800000E+00,+4.087003E-09
+1.729000E+00,+1.576257E-10,+1.800000E+00,+1.347578E-09
+1.728000E+00,-1.193745E-10,+1.800000E+00,-1.954855E-09
