VDD,IDD,VREF,IREF
+1.800000E+00,+4.065441E-05,+0.000000E+00,-1.207941E-05
+1.799000E+00,+4.064761E-05,+0.000000E+00,-1.208336E-05
+1.798000E+00,+4.065126E-05,+0.000000E+00,-1.208420E-05
+1.797000E+00,+4.064968E-05,+0.000000E+00,-1.208572E-05
+1.796000E+00,+4.067454E-05,+0.000000E+00,-1.209325E-05
+1.795000E+00,+4.069049E-05,+0.000000E+00,-1.209605E-05
+1.794000E+00,+4.070095E-05,+0.000000E+00,-1.209906E-05
+1.793000E+00,+4.069678E-05,+0.000000E+00,-1.210881E-05
+1.792000E+00,+4.064774E-05,+0.000000E+00,-1.209900E-05
+1.791000E+00,+4.063573E-05,+0.000000E+00,-1.208791E-05
+1.790000E+00,+4.063716E-05,+0.000000E+00,-1.208882E-05
+1.789000E+00,+4.066189E-05,+0.000000E+00,-1.209236E-05
+1.788000E+00,+4.064203E-05,+0.000000E+00,-1.210080E-05
+1.787000E+00,+4.064196E-05,+0.000000E+00,-1.208803E-05
+1.786000E+00,+4.063920E-05,+0.000000E+00,-1.208878E-05
+1.785000E+00,+4.065458E-05,+0.000000E+00,-1.209728E-05
+1.784000E+00,+4.064029E-05,+0.000000E+00,-1.208869E-05
+1.783000E+00,+4.062567E-05,+0.000000E+00,-1.208590E-05
+1.782000E+00,+4.065941E-05,+0.000000E+00,-1.208040E-05
+1.781000E+00,+4.065453E-05,+0.000000E+00,-1.209147E-05
+1.780000E+00,+4.066092E-05,+0.000000E+00,-1.209098E-05
+1.779000E+00,+4.065949E-05,+0.000000E+00,-1.209349E-05
+1.778000E+00,+4.065057E-05,+0.000000E+00,-1.209263E-05
+1.777000E+00,+4.064312E-05,+0.000000E+00,-1.209102E-05
+1.776000E+00,+4.063861E-05,+0.000000E+00,-1.208082E-05
+1.775000E+00,+4.064051E-05,+0.000000E+00,-1.208186E-05
+1.774000E+00,+4.063417E-05,+0.000000E+00,-1.208363E-05
+1.773000E+00,+4.063841E-05,+0.000000E+00,-1.208280E-05
+1.772000E+00,+4.062718E-05,+0.000000E+00,-1.208270E-05
+1.771000E+00,+4.062775E-05,+0.000000E+00,-1.208074E-05
+1.770000E+00,+4.061940E-05,+0.000000E+00,-1.208474E-05
+1.769000E+00,+4.062009E-05,+0.000000E+00,-1.207781E-05
+1.768000E+00,+4.062414E-05,+0.000000E+00,-1.208222E-05
+1.767000E+00,+4.062484E-05,+0.000000E+00,-1.207929E-05
+1.766000E+00,+4.065755E-05,+0.000000E+00,-1.209006E-05
+1.765000E+00,+4.067276E-05,+0.000000E+00,-1.209158E-05
+1.764000E+00,+4.067127E-05,+0.000000E+00,-1.209142E-05
+1.763000E+00,+4.066225E-05,+0.000000E+00,-1.208978E-05
+1.762000E+00,+4.064473E-05,+0.000000E+00,-1.208984E-05
+1.761000E+00,+4.064315E-05,+0.000000E+00,-1.209181E-05
+1.760000E+00,+4.064439E-05,+0.000000E+00,-1.208834E-05
+1.759000E+00,+4.062956E-05,+0.000000E+00,-1.208768E-05
+1.758000E+00,+4.063754E-05,+0.000000E+00,-1.208777E-05
+1.757000E+00,+4.064710E-05,+0.000000E+00,-1.209170E-05
+1.756000E+00,+4.062592E-05,+0.000000E+00,-1.208919E-05
+1.755000E+00,+4.062479E-05,+0.000000E+00,-1.207939E-05
+1.754000E+00,+4.061160E-05,+0.000000E+00,-1.208287E-05
+1.753000E+00,+4.062285E-05,+0.000000E+00,-1.208158E-05
+1.752000E+00,+4.062344E-05,+0.000000E+00,-1.208284E-05
+1.751000E+00,+4.062868E-05,+0.000000E+00,-1.207708E-05
+1.750000E+00,+4.062436E-05,+0.000000E+00,-1.207800E-05
+1.749000E+00,+4.062532E-05,+0.000000E+00,-1.209357E-05
+1.748000E+00,+4.061703E-05,+0.000000E+00,-1.207778E-05
+1.747000E+00,+4.061279E-05,+0.000000E+00,-1.207750E-05
+1.746000E+00,+4.061604E-05,+0.000000E+00,-1.207661E-05
+1.745000E+00,+4.062206E-05,+0.000000E+00,-1.207605E-05
+1.744000E+00,+4.061381E-05,+0.000000E+00,-1.207958E-05
+1.743000E+00,+4.061687E-05,+0.000000E+00,-1.207656E-05
+1.742000E+00,+4.061741E-05,+0.000000E+00,-1.207704E-05
+1.741000E+00,+4.061234E-05,+0.000000E+00,-1.207904E-05
+1.740000E+00,+4.061300E-05,+0.000000E+00,-1.207790E-05
+1.739000E+00,+4.062655E-05,+0.000000E+00,-1.208416E-05
+1.738000E+00,+4.060511E-05,+0.000000E+00,-1.207589E-05
+1.737000E+00,+4.060459E-05,+0.000000E+00,-1.207603E-05
+1.736000E+00,+4.061595E-05,+0.000000E+00,-1.207756E-05
+1.735000E+00,+4.060963E-05,+0.000000E+00,-1.207722E-05
+1.734000E+00,+4.061022E-05,+0.000000E+00,-1.208508E-05
+1.733000E+00,+4.061504E-05,+0.000000E+00,-1.207582E-05
+1.732000E+00,+4.060059E-05,+0.000000E+00,-1.208211E-05
+1.731000E+00,+4.061194E-05,+0.000000E+00,-1.207426E-05
+1.730000E+00,+4.059909E-05,+0.000000E+00,-1.208070E-05
+1.729000E+00,+4.060323E-05,+0.000000E+00,-1.207436E-05
+1.728000E+00,+4.061055E-05,+0.000000E+00,-1.207618E-05
+1.727000E+00,+4.061325E-05,+0.000000E+00,-1.207257E-05
+1.726000E+00,+4.062571E-05,+0.000000E+00,-1.207093E-05
+1.725000E+00,+4.062045E-05,+0.000000E+00,-1.208328E-05
+1.724000E+00,+4.062814E-05,+0.000000E+00,-1.208231E-05
+1.723000E+00,+4.062145E-05,+0.000000E+00,-1.208555E-05
+1.722000E+00,+4.063898E-05,+0.000000E+00,-1.208644E-05
+1.721000E+00,+4.062666E-05,+0.000000E+00,-1.208755E-05
+1.720000E+00,+4.061669E-05,+0.000000E+00,-1.208057E-05
+1.719000E+00,+4.061044E-05,+0.000000E+00,-1.208306E-05
+1.718000E+00,+4.062228E-05,+0.000000E+00,-1.207850E-05
+1.717000E+00,+4.059980E-05,+0.000000E+00,-1.207706E-05
+1.716000E+00,+4.061289E-05,+0.000000E+00,-1.207631E-05
+1.715000E+00,+4.061752E-05,+0.000000E+00,-1.207809E-05
+1.714000E+00,+4.061328E-05,+0.000000E+00,-1.207583E-05
+1.713000E+00,+4.060701E-05,+0.000000E+00,-1.207752E-05
+1.712000E+00,+4.059418E-05,+0.000000E+00,-1.207602E-05
+1.711000E+00,+4.060293E-05,+0.000000E+00,-1.206975E-05
+1.710000E+00,+4.059356E-05,+0.000000E+00,-1.206736E-05
+1.709000E+00,+4.059049E-05,+0.000000E+00,-1.206695E-05
+1.708000E+00,+4.059598E-05,+0.000000E+00,-1.206949E-05
+1.707000E+00,+4.059700E-05,+0.000000E+00,-1.207135E-05
+1.706000E+00,+4.060514E-05,+0.000000E+00,-1.206925E-05
+1.705000E+00,+4.061228E-05,+0.000000E+00,-1.207093E-05
+1.704000E+00,+4.060807E-05,+0.000000E+00,-1.207451E-05
+1.703000E+00,+4.060115E-05,+0.000000E+00,-1.207986E-05
+1.702000E+00,+4.060373E-05,+0.000000E+00,-1.207643E-05
+1.701000E+00,+4.059946E-05,+0.000000E+00,-1.206984E-05
+1.700000E+00,+4.059322E-05,+0.000000E+00,-1.206987E-05
+1.699000E+00,+4.061450E-05,+0.000000E+00,-1.206678E-05
+1.698000E+00,+4.062252E-05,+0.000000E+00,-1.208019E-05
+1.697000E+00,+4.061219E-05,+0.000000E+00,-1.207748E-05
+1.696000E+00,+4.061249E-05,+0.000000E+00,-1.207671E-05
+1.695000E+00,+4.062032E-05,+0.000000E+00,-1.207231E-05
+1.694000E+00,+4.060332E-05,+0.000000E+00,-1.206427E-05
+1.693000E+00,+4.058635E-05,+0.000000E+00,-1.207028E-05
+1.692000E+00,+4.059170E-05,+0.000000E+00,-1.206280E-05
+1.691000E+00,+4.058298E-05,+0.000000E+00,-1.206636E-05
+1.690000E+00,+4.058385E-05,+0.000000E+00,-1.206474E-05
+1.689000E+00,+4.057146E-05,+0.000000E+00,-1.206426E-05
+1.688000E+00,+4.058552E-05,+0.000000E+00,-1.206157E-05
+1.687000E+00,+4.059390E-05,+0.000000E+00,-1.206505E-05
+1.686000E+00,+4.060377E-05,+0.000000E+00,-1.206570E-05
+1.685000E+00,+4.059911E-05,+0.000000E+00,-1.206895E-05
+1.684000E+00,+4.059866E-05,+0.000000E+00,-1.207162E-05
+1.683000E+00,+4.057462E-05,+0.000000E+00,-1.206928E-05
+1.682000E+00,+4.060890E-05,+0.000000E+00,-1.206549E-05
+1.681000E+00,+4.057669E-05,+0.000000E+00,-1.207345E-05
+1.680000E+00,+4.057284E-05,+0.000000E+00,-1.206529E-05
+1.679000E+00,+4.057712E-05,+0.000000E+00,-1.206232E-05
+1.678000E+00,+4.057509E-05,+0.000000E+00,-1.206272E-05
+1.677000E+00,+4.059265E-05,+0.000000E+00,-1.206015E-05
+1.676000E+00,+4.057977E-05,+0.000000E+00,-1.206525E-05
+1.675000E+00,+4.057345E-05,+0.000000E+00,-1.206238E-05
+1.674000E+00,+4.058946E-05,+0.000000E+00,-1.206107E-05
+1.673000E+00,+4.057113E-05,+0.000000E+00,-1.206296E-05
+1.672000E+00,+4.057369E-05,+0.000000E+00,-1.206034E-05
+1.671000E+00,+4.057465E-05,+0.000000E+00,-1.206674E-05
+1.670000E+00,+4.058715E-05,+0.000000E+00,-1.206033E-05
+1.669000E+00,+4.056714E-05,+0.000000E+00,-1.206475E-05
+1.668000E+00,+4.056760E-05,+0.000000E+00,-1.206369E-05
+1.667000E+00,+4.057116E-05,+0.000000E+00,-1.206018E-05
+1.666000E+00,+4.058204E-05,+0.000000E+00,-1.206163E-05
+1.665000E+00,+4.056464E-05,+0.000000E+00,-1.206167E-05
+1.664000E+00,+4.056726E-05,+0.000000E+00,-1.206160E-05
+1.663000E+00,+4.058111E-05,+0.000000E+00,-1.205665E-05
+1.662000E+00,+4.057164E-05,+0.000000E+00,-1.205820E-05
+1.661000E+00,+4.056068E-05,+0.000000E+00,-1.205858E-05
