VDD,IDD,VREF,IREF
+0.000000E+00,-5.875977E-09,+0.000000E+00,-3.006800E-10
+1.000000E-03,-4.071250E-09,+0.000000E+00,-9.419249E-11
+2.000000E-03,-5.815647E-09,+0.000000E+00,-1.546254E-10
+3.000000E-03,-7.303660E-09,+0.000000E+00,-3.308965E-10
+4.000000E-03,-6.177597E-09,+0.000000E+00,+1.660549E-11
+5.000000E-03,-4.292446E-09,+0.000000E+00,-1.848481E-10
+6.000000E-03,-3.855090E-09,+0.000000E+00,-2.603905E-10
+7.000000E-03,-1.587881E-09,+0.000000E+00,+5.252656E-10
+8.000000E-03,-7.233288E-10,+0.000000E+00,-3.541833E-12
+9.000000E-03,+2.327738E-09,+0.000000E+00,-1.418782E-09
+1.000000E-02,+2.151806E-09,+0.000000E+00,-5.893497E-11
+1.100000E-02,+4.779972E-10,+0.000000E+00,-5.877453E-10
+1.200000E-02,-5.071893E-10,+0.000000E+00,-3.963689E-10
+1.300000E-02,-2.105667E-09,+0.000000E+00,-5.389850E-11
+1.400000E-02,-2.326859E-09,+0.000000E+00,-7.690505E-10
+1.500000E-02,-5.770404E-09,+0.000000E+00,-1.395227E-10
+1.600000E-02,-5.649751E-09,+0.000000E+00,+4.178446E-11
+1.700000E-02,-2.573185E-09,+0.000000E+00,-1.344811E-10
+1.800000E-02,-5.825872E-10,+0.000000E+00,+2.684230E-10
+1.900000E-02,-2.176046E-09,+0.000000E+00,-4.316227E-10
+2.000000E-02,-1.150578E-09,+0.000000E+00,-2.301719E-10
+2.100000E-02,+2.775089E-09,+0.000000E+00,-4.668749E-10
+2.200000E-02,+4.092027E-09,+0.000000E+00,-5.323463E-10
+2.300000E-02,+1.845194E-09,+0.000000E+00,-2.150650E-10
+2.400000E-02,+9.303807E-10,+0.000000E+00,-6.900941E-11
+2.500000E-02,-6.881417E-10,+0.000000E+00,+2.734595E-10
+2.600000E-02,-2.346966E-09,+0.000000E+00,-1.646981E-10
+2.700000E-02,-3.573573E-09,+0.000000E+00,-1.864364E-11
+2.800000E-02,-6.182622E-09,+0.000000E+00,+1.777675E-10
+2.900000E-02,-3.161351E-09,+0.000000E+00,+1.676955E-10
+3.000000E-02,-1.231002E-09,+0.000000E+00,+3.675971E-11
+3.100000E-02,-8.590428E-10,+0.000000E+00,-1.596649E-10
+3.200000E-02,-4.720045E-10,+0.000000E+00,-2.654255E-10
+3.300000E-02,+2.252338E-09,+0.000000E+00,+2.165113E-11
+3.400000E-02,+5.207898E-09,+0.000000E+00,+2.667944E-11
+3.500000E-02,+3.991505E-09,+0.000000E+00,-3.258658E-10
+3.600000E-02,+2.202075E-09,+0.000000E+00,+1.878373E-10
+3.700000E-02,+4.930769E-10,+0.000000E+00,-1.015832E-09
+3.800000E-02,-1.311425E-09,+0.000000E+00,-1.596645E-10
+3.900000E-02,-3.478058E-09,+0.000000E+00,-6.632898E-10
+4.000000E-02,-3.759572E-09,+0.000000E+00,-2.754949E-10
+4.100000E-02,-3.719357E-09,+0.000000E+00,-6.834336E-10
+4.200000E-02,-1.416981E-09,+0.000000E+00,-4.886319E-11
+4.300000E-02,-4.368197E-10,+0.000000E+00,-5.122034E-10
+4.400000E-02,-3.614214E-10,+0.000000E+00,+1.660705E-11
+4.500000E-02,+1.473239E-09,+0.000000E+00,-1.864753E-11
+4.600000E-02,+3.755262E-09,+0.000000E+00,+1.173356E-10
+4.700000E-02,+5.243083E-09,+0.000000E+00,-3.409674E-10
+4.800000E-02,+1.588845E-09,+0.000000E+00,+3.389310E-10
+4.900000E-02,+4.277310E-10,+0.000000E+00,-2.503134E-10
+5.000000E-02,+2.568357E-10,+0.000000E+00,-6.632886E-10
+5.100000E-02,-1.386822E-09,+0.000000E+00,+2.667566E-11
+5.200000E-02,-4.217037E-09,+0.000000E+00,-8.915940E-11
+5.300000E-02,-3.664060E-09,+0.000000E+00,-1.193733E-10
+5.400000E-02,-2.910518E-10,+0.000000E+00,-3.963693E-10
+5.500000E-02,+4.377863E-10,+0.000000E+00,-1.546278E-10
+5.600000E-02,+1.181703E-09,+0.000000E+00,-7.404394E-11
+5.700000E-02,+3.925476E-10,+0.000000E+00,-1.344818E-10
+5.800000E-02,+4.378526E-09,+0.000000E+00,-1.949171E-10
+5.900000E-02,+5.675358E-09,+0.000000E+00,-8.412099E-11
+6.000000E-02,+4.182505E-09,+0.000000E+00,-2.906037E-10
+6.100000E-02,+2.458426E-09,+0.000000E+00,-8.411843E-11
+6.200000E-02,+1.975883E-09,+0.000000E+00,+1.122911E-10
+6.300000E-02,+1.362657E-09,+0.000000E+00,-1.798066E-10
+6.400000E-02,-1.713555E-09,+0.000000E+00,-2.367762E-11
+6.500000E-02,-4.081304E-09,+0.000000E+00,+5.186307E-11
+6.600000E-02,-2.723997E-09,+0.000000E+00,-1.546293E-10
+6.700000E-02,+3.975740E-10,+0.000000E+00,+6.193412E-11
+6.800000E-02,+1.272180E-09,+0.000000E+00,-1.949214E-10
+6.900000E-02,+8.399017E-10,+0.000000E+00,-8.411705E-11
+7.000000E-02,+2.930911E-09,+0.000000E+00,-1.294443E-10
+7.100000E-02,+7.208433E-09,+0.000000E+00,-1.646945E-10
+7.200000E-02,+6.308698E-09,+0.000000E+00,-5.071653E-10
+7.300000E-02,+1.598898E-09,+0.000000E+00,-1.093006E-10
