VREF,IREF,VDD,IDD
+0.000000E+00,-1.211039E-05,+1.800000E+00,+4.073834E-05
+1.000000E-03,-1.210809E-05,+1.800000E+00,+4.073471E-05
+2.000000E-03,-1.210963E-05,+1.800000E+00,+4.073116E-05
+3.000000E-03,-1.210639E-05,+1.800000E+00,+4.074739E-05
+4.000000E-03,-1.210543E-05,+1.800000E+00,+4.072641E-05
+5.000000E-03,-1.210392E-05,+1.800000E+00,+4.071774E-05
+6.000000E-03,-1.210575E-05,+1.800000E+00,+4.071491E-05
+7.000000E-03,-1.210708E-05,+1.800000E+00,+4.071173E-05
+8.000000E-03,-1.210482E-05,+1.800000E+00,+4.070508E-05
+9.000000E-03,-1.210500E-05,+1.800000E+00,+4.070845E-05
+1.000000E-02,-1.210529E-05,+1.800000E+00,+4.072600E-05
+1.100000E-02,-1.210189E-05,+1.800000E+00,+4.071340E-05
+1.200000E-02,-1.210383E-05,+1.800000E+00,+4.070496E-05
+1.300000E-02,-1.210318E-05,+1.800000E+00,+4.072185E-05
+1.400000E-02,-1.210527E-05,+1.800000E+00,+4.074003E-05
+1.500000E-02,-1.210205E-05,+1.800000E+00,+4.072618E-05
+1.600000E-02,-1.210224E-05,+1.800000E+00,+4.072191E-05
+1.700000E-02,-1.210537E-05,+1.800000E+00,+4.072893E-05
+1.800000E-02,-1.210357E-05,+1.800000E+00,+4.070430E-05
+1.900000E-02,-1.210531E-05,+1.800000E+00,+4.070339E-05
+2.000000E-02,-1.210342E-05,+1.800000E+00,+4.070356E-05
+2.100000E-02,-1.210017E-05,+1.800000E+00,+4.071542E-05
+2.200000E-02,-1.210466E-05,+1.800000E+00,+4.071857E-05
+2.300000E-02,-1.210238E-05,+1.800000E+00,+4.069865E-05
+2.400000E-02,-1.210459E-05,+1.800000E+00,+4.070249E-05
+2.500000E-02,-1.210348E-05,+1.800000E+00,+4.072050E-05
+2.600000E-02,-1.210484E-05,+1.800000E+00,+4.071759E-05
+2.700000E-02,-1.209981E-05,+1.800000E+00,+4.071639E-05
+2.800000E-02,-1.210614E-05,+1.800000E+00,+4.071563E-05
+2.900000E-02,-1.210535E-05,+1.800000E+00,+4.071896E-05
+3.000000E-02,-1.210474E-05,+1.800000E+00,+4.069770E-05
+3.100000E-02,-1.210213E-05,+1.800000E+00,+4.070601E-05
+3.200000E-02,-1.210364E-05,+1.800000E+00,+4.069693E-05
+3.300000E-02,-1.210882E-05,+1.800000E+00,+4.070085E-05
+3.400000E-02,-1.210421E-05,+1.800000E+00,+4.070502E-05
+3.500000E-02,-1.210890E-05,+1.800000E+00,+4.070299E-05
+3.600000E-02,-1.210862E-05,+1.800000E+00,+4.070536E-05
+3.700000E-02,-1.210781E-05,+1.800000E+00,+4.071435E-05
+3.800000E-02,-1.210595E-05,+1.800000E+00,+4.070745E-05
+3.900000E-02,-1.210623E-05,+1.800000E+00,+4.070976E-05
+4.000000E-02,-1.210645E-05,+1.800000E+00,+4.071381E-05
+4.100000E-02,-1.210692E-05,+1.800000E+00,+4.071719E-05
+4.200000E-02,-1.210436E-05,+1.800000E+00,+4.070837E-05
+4.300000E-02,-1.210424E-05,+1.800000E+00,+4.069874E-05
+4.400000E-02,-1.210380E-05,+1.800000E+00,+4.070395E-05
+4.500000E-02,-1.210569E-05,+1.800000E+00,+4.070209E-05
+4.600000E-02,-1.210475E-05,+1.800000E+00,+4.070012E-05
+4.700000E-02,-1.211227E-05,+1.800000E+00,+4.071420E-05
+4.800000E-02,-1.211129E-05,+1.800000E+00,+4.072027E-05
+4.900000E-02,-1.211222E-05,+1.800000E+00,+4.071088E-05
+5.000000E-02,-1.211690E-05,+1.800000E+00,+4.071766E-05
+5.100000E-02,-1.211826E-05,+1.800000E+00,+4.072397E-05
+5.200000E-02,-1.211334E-05,+1.800000E+00,+4.072792E-05
+5.300000E-02,-1.212366E-05,+1.800000E+00,+4.072625E-05
+5.400000E-02,-1.211859E-05,+1.800000E+00,+4.073769E-05
+5.500000E-02,-1.212142E-05,+1.800000E+00,+4.072975E-05
+5.600000E-02,-1.212251E-05,+1.800000E+00,+4.072638E-05
+5.700000E-02,-1.212033E-05,+1.800000E+00,+4.074694E-05
+5.800000E-02,-1.212178E-05,+1.800000E+00,+4.073215E-05
+5.900000E-02,-1.212053E-05,+1.800000E+00,+4.072085E-05
+6.000000E-02,-1.212136E-05,+1.800000E+00,+4.074075E-05
