VDD,IDD,VREF,IREF
+0.000000E+00,-3.312160E-09,+0.000000E+00,-1.395183E-10
+1.000000E-03,-2.437451E-09,+0.000000E+00,-1.495918E-10
+2.000000E-03,+9.052408E-10,+0.000000E+00,-1.143375E-10
+3.000000E-03,+1.950745E-09,+0.000000E+00,-1.244089E-10
+4.000000E-03,-1.653920E-10,+0.000000E+00,-1.344820E-10
+5.000000E-03,-1.512484E-09,+0.000000E+00,-1.093024E-10
+6.000000E-03,-9.495206E-10,+0.000000E+00,-1.596636E-10
+7.000000E-03,-2.025233E-09,+0.000000E+00,-1.093005E-10
+8.000000E-03,-3.282000E-09,+0.000000E+00,-9.922918E-11
+9.000000E-03,-4.684547E-09,+0.000000E+00,-1.747729E-10
+1.000000E-02,-5.619579E-09,+0.000000E+00,-9.922851E-11
+1.100000E-02,-1.331532E-09,+0.000000E+00,-1.395177E-10
+1.200000E-02,-9.294149E-10,+0.000000E+00,-9.922763E-11
+1.300000E-02,-2.296693E-09,+0.000000E+00,-9.419165E-11
+1.400000E-02,-1.160632E-09,+0.000000E+00,-7.404832E-11
+1.500000E-02,+3.498897E-09,+0.000000E+00,-9.419304E-11
+1.600000E-02,+2.961061E-09,+0.000000E+00,-5.390205E-11
+1.700000E-02,+4.202592E-09,+0.000000E+00,-1.798073E-10
+1.800000E-02,+4.076222E-10,+0.000000E+00,-1.848461E-10
+1.900000E-02,+1.156565E-09,+0.000000E+00,-1.143374E-10
+2.000000E-02,-6.278270E-10,+0.000000E+00,-3.879430E-11
+2.100000E-02,-1.793988E-09,+0.000000E+00,-6.397294E-11
+2.200000E-02,-3.794758E-09,+0.000000E+00,-1.445565E-10
+2.300000E-02,-5.131958E-09,+0.000000E+00,-1.495911E-10
+2.400000E-02,-3.483081E-09,+0.000000E+00,+1.498579E-12
+2.500000E-02,-7.384093E-10,+0.000000E+00,-1.193737E-10
+2.600000E-02,+4.779936E-10,+0.000000E+00,-1.395187E-10
+2.700000E-02,-1.728636E-09,+0.000000E+00,-1.495914E-10
+2.800000E-02,+2.951010E-09,+0.000000E+00,-1.143380E-10
+2.900000E-02,+6.982233E-09,+0.000000E+00,-1.193738E-10
+3.000000E-02,+3.232489E-09,+0.000000E+00,-1.093022E-10
+3.100000E-02,+1.955776E-09,+0.000000E+00,-1.042654E-10
+3.200000E-02,+4.779945E-10,+0.000000E+00,-1.898818E-10
+3.300000E-02,+1.462476E-10,+0.000000E+00,-6.397544E-11
+3.400000E-02,+9.504808E-10,+0.000000E+00,-1.093017E-10
+3.500000E-02,-8.590446E-10,+0.000000E+00,-8.411999E-11
+3.600000E-02,-2.899942E-09,+0.000000E+00,-1.244096E-10
+3.700000E-02,-2.723994E-09,+0.000000E+00,-1.344827E-10
+3.800000E-02,+4.277279E-10,+0.000000E+00,-1.344818E-10
+3.900000E-02,-3.111621E-10,+0.000000E+00,-1.697361E-10
+4.000000E-02,+1.352596E-09,+0.000000E+00,-8.411982E-11
+4.100000E-02,+1.136458E-09,+0.000000E+00,-1.596649E-10
+4.200000E-02,+3.333027E-09,+0.000000E+00,-6.900991E-11
+4.300000E-02,+4.931433E-09,+0.000000E+00,-8.915590E-11
+4.400000E-02,+3.760263E-09,+0.000000E+00,-1.697359E-10
+4.500000E-02,+1.508412E-09,+0.000000E+00,-1.193733E-10
+4.600000E-02,+1.684340E-09,+0.000000E+00,-1.445553E-10
+4.700000E-02,+1.312387E-09,+0.000000E+00,-1.244089E-10
+4.800000E-02,+7.092085E-10,+0.000000E+00,-1.798088E-10
+4.900000E-02,-8.791502E-10,+0.000000E+00,-1.697366E-10
+5.000000E-02,-3.890271E-09,+0.000000E+00,-1.193737E-10
+5.100000E-02,-6.026960E-10,+0.000000E+00,-1.495911E-10
