VDD,IDD,VREF,IREF
+1.800000E+00,+1.825357E-05,+0.000000E+00,-5.407910E-06
+1.799000E+00,+1.825897E-05,+0.000000E+00,-5.410266E-06
+1.798000E+00,+1.825860E-05,+0.000000E+00,-5.410406E-06
+1.797000E+00,+1.826298E-05,+0.000000E+00,-5.408720E-06
+1.796000E+00,+1.825486E-05,+0.000000E+00,-5.408383E-06
+1.795000E+00,+1.824612E-05,+0.000000E+00,-5.410350E-06
+1.794000E+00,+1.823825E-05,+0.000000E+00,-5.405570E-06
+1.793000E+00,+1.824524E-05,+0.000000E+00,-5.407371E-06
+1.792000E+00,+1.825640E-05,+0.000000E+00,-5.408169E-06
+1.791000E+00,+1.826273E-05,+0.000000E+00,-5.410674E-06
+1.790000E+00,+1.826126E-05,+0.000000E+00,-5.413110E-06
+1.789000E+00,+1.827207E-05,+0.000000E+00,-5.412496E-06
+1.788000E+00,+1.827180E-05,+0.000000E+00,-5.415289E-06
+1.787000E+00,+1.828404E-05,+0.000000E+00,-5.417784E-06
+1.786000E+00,+1.827747E-05,+0.000000E+00,-5.414544E-06
+1.785000E+00,+1.830513E-05,+0.000000E+00,-5.419249E-06
+1.784000E+00,+1.828336E-05,+0.000000E+00,-5.419536E-06
+1.783000E+00,+1.828142E-05,+0.000000E+00,-5.419560E-06
+1.782000E+00,+1.825984E-05,+0.000000E+00,-5.416681E-06
+1.781000E+00,+1.825545E-05,+0.000000E+00,-5.414360E-06
+1.780000E+00,+1.825977E-05,+0.000000E+00,-5.412925E-06
+1.779000E+00,+1.827067E-05,+0.000000E+00,-5.412989E-06
+1.778000E+00,+1.825153E-05,+0.000000E+00,-5.411760E-06
+1.777000E+00,+1.824899E-05,+0.000000E+00,-5.411498E-06
+1.776000E+00,+1.823091E-05,+0.000000E+00,-5.409291E-06
+1.775000E+00,+1.823380E-05,+0.000000E+00,-5.427180E-06
+1.774000E+00,+1.823193E-05,+0.000000E+00,-5.405197E-06
+1.773000E+00,+1.822398E-05,+0.000000E+00,-5.405927E-06
+1.772000E+00,+1.821927E-05,+0.000000E+00,-5.402434E-06
+1.771000E+00,+1.821431E-05,+0.000000E+00,-5.399855E-06
+1.770000E+00,+1.821195E-05,+0.000000E+00,-5.400347E-06
+1.769000E+00,+1.820848E-05,+0.000000E+00,-5.400784E-06
+1.768000E+00,+1.820446E-05,+0.000000E+00,-5.401582E-06
+1.767000E+00,+1.819691E-05,+0.000000E+00,-5.395395E-06
+1.766000E+00,+1.819202E-05,+0.000000E+00,-5.392608E-06
+1.765000E+00,+1.818794E-05,+0.000000E+00,-5.388428E-06
+1.764000E+00,+1.817833E-05,+0.000000E+00,-5.390476E-06
+1.763000E+00,+1.816596E-05,+0.000000E+00,-5.390357E-06
+1.762000E+00,+1.816798E-05,+0.000000E+00,-5.386183E-06
+1.761000E+00,+1.817784E-05,+0.000000E+00,-5.388390E-06
+1.760000E+00,+1.819329E-05,+0.000000E+00,-5.391531E-06
+1.759000E+00,+1.819727E-05,+0.000000E+00,-5.397167E-06
+1.758000E+00,+1.819443E-05,+0.000000E+00,-5.395881E-06
+1.757000E+00,+1.819236E-05,+0.000000E+00,-5.395079E-06
+1.756000E+00,+1.819039E-05,+0.000000E+00,-5.392923E-06
+1.755000E+00,+1.818866E-05,+0.000000E+00,-5.408809E-06
+1.754000E+00,+1.818794E-05,+0.000000E+00,-5.393031E-06
+1.753000E+00,+1.818946E-05,+0.000000E+00,-5.393570E-06
+1.752000E+00,+1.818708E-05,+0.000000E+00,-5.394882E-06
+1.751000E+00,+1.820075E-05,+0.000000E+00,-5.397794E-06
+1.750000E+00,+1.820890E-05,+0.000000E+00,-5.398581E-06
+1.749000E+00,+1.822137E-05,+0.000000E+00,-5.401116E-06
+1.748000E+00,+1.823007E-05,+0.000000E+00,-5.402154E-06
+1.747000E+00,+1.821917E-05,+0.000000E+00,-5.401674E-06
+1.746000E+00,+1.820028E-05,+0.000000E+00,-5.398323E-06
+1.745000E+00,+1.820021E-05,+0.000000E+00,-5.397214E-06
+1.744000E+00,+1.819859E-05,+0.000000E+00,-5.395325E-06
+1.743000E+00,+1.820468E-05,+0.000000E+00,-5.395092E-06
+1.742000E+00,+1.820860E-05,+0.000000E+00,-5.398518E-06
+1.741000E+00,+1.821907E-05,+0.000000E+00,-5.399457E-06
+1.740000E+00,+1.821445E-05,+0.000000E+00,-5.401218E-06
+1.739000E+00,+1.823015E-05,+0.000000E+00,-5.405261E-06
+1.738000E+00,+1.822844E-05,+0.000000E+00,-5.405200E-06
+1.737000E+00,+1.823027E-05,+0.000000E+00,-5.406429E-06
+1.736000E+00,+1.824110E-05,+0.000000E+00,-5.406476E-06
+1.735000E+00,+1.822935E-05,+0.000000E+00,-5.407120E-06
+1.734000E+00,+1.823686E-05,+0.000000E+00,-5.398285E-06
+1.733000E+00,+1.823706E-05,+0.000000E+00,-5.407252E-06
+1.732000E+00,+1.823914E-05,+0.000000E+00,-5.408055E-06
+1.731000E+00,+1.824464E-05,+0.000000E+00,-5.409052E-06
+1.730000E+00,+1.826073E-05,+0.000000E+00,-5.409227E-06
+1.729000E+00,+1.826539E-05,+0.000000E+00,-5.412266E-06
+1.728000E+00,+1.824719E-05,+0.000000E+00,-5.413153E-06
+1.727000E+00,+1.824905E-05,+0.000000E+00,-5.411767E-06
+1.726000E+00,+1.824261E-05,+0.000000E+00,-5.409595E-06
+1.725000E+00,+1.823552E-05,+0.000000E+00,-5.409546E-06
+1.724000E+00,+1.823061E-05,+0.000000E+00,-5.406790E-06
+1.723000E+00,+1.822572E-05,+0.000000E+00,-5.404828E-06
+1.722000E+00,+1.823619E-05,+0.000000E+00,-5.405682E-06
+1.721000E+00,+1.822914E-05,+0.000000E+00,-5.403768E-06
+1.720000E+00,+1.824760E-05,+0.000000E+00,-5.406057E-06
+1.719000E+00,+1.824158E-05,+0.000000E+00,-5.408660E-06
+1.718000E+00,+1.823862E-05,+0.000000E+00,-5.407754E-06
+1.717000E+00,+1.822473E-05,+0.000000E+00,-5.408402E-06
+1.716000E+00,+1.821716E-05,+0.000000E+00,-5.403956E-06
+1.715000E+00,+1.821201E-05,+0.000000E+00,-5.403743E-06
+1.714000E+00,+1.820862E-05,+0.000000E+00,-5.401104E-06
+1.713000E+00,+1.820058E-05,+0.000000E+00,-5.398770E-06
+1.712000E+00,+1.821379E-05,+0.000000E+00,-5.399922E-06
+1.711000E+00,+1.821281E-05,+0.000000E+00,-5.400885E-06
+1.710000E+00,+1.822501E-05,+0.000000E+00,-5.401858E-06
+1.709000E+00,+1.821605E-05,+0.000000E+00,-5.400931E-06
+1.708000E+00,+1.820955E-05,+0.000000E+00,-5.400801E-06
+1.707000E+00,+1.819314E-05,+0.000000E+00,-5.398958E-06
+1.706000E+00,+1.820053E-05,+0.000000E+00,-5.397726E-06
+1.705000E+00,+1.819186E-05,+0.000000E+00,-5.394542E-06
+1.704000E+00,+1.819195E-05,+0.000000E+00,-5.393728E-06
+1.703000E+00,+1.818789E-05,+0.000000E+00,-5.393691E-06
