VDD,IDD,VREF,IREF
+0.000000E+00,-8.138017E-10,+0.000000E+00,+7.202550E-11
+1.000000E-03,-5.529117E-09,+0.000000E+00,-3.519407E-12
+2.000000E-03,+3.975824E-10,+0.000000E+00,-1.862965E-11
+3.000000E-03,-4.765003E-09,+0.000000E+00,-8.556711E-12
+4.000000E-03,+3.659774E-09,+0.000000E+00,-9.921036E-11
+5.000000E-03,-1.924693E-09,+0.000000E+00,+5.188128E-11
+6.000000E-03,+2.388072E-09,+0.000000E+00,-3.519962E-12
+7.000000E-03,-4.785115E-09,+0.000000E+00,+6.553202E-12
+8.000000E-03,-2.824543E-09,+0.000000E+00,+4.180623E-11
+9.000000E-03,-2.065452E-09,+0.000000E+00,-3.518630E-12
+1.000000E-02,+9.706025E-10,+0.000000E+00,-9.921070E-11
+1.100000E-02,+2.297594E-09,+0.000000E+00,-1.862899E-11
+1.200000E-02,+3.086750E-09,+0.000000E+00,+6.552536E-12
+1.300000E-02,-9.193575E-10,+0.000000E+00,+3.677036E-11
+1.400000E-02,-4.277372E-09,+0.000000E+00,-3.520184E-12
+1.500000E-02,-2.512864E-09,+0.000000E+00,-4.884709E-11
+1.600000E-02,-3.734448E-09,+0.000000E+00,-3.520295E-12
+1.700000E-02,+1.644151E-09,+0.000000E+00,-3.373846E-11
+1.800000E-02,-8.741189E-10,+0.000000E+00,-5.388395E-11
+1.900000E-02,+3.016385E-09,+0.000000E+00,+9.217116E-11
+2.000000E-02,-2.824544E-09,+0.000000E+00,+3.677070E-11
+2.100000E-02,-2.608865E-10,+0.000000E+00,+3.677092E-11
+2.200000E-02,-4.312562E-09,+0.000000E+00,-2.870137E-11
+2.300000E-02,+3.730147E-09,+0.000000E+00,+2.669776E-11
+2.400000E-02,+1.548648E-09,+0.000000E+00,-8.556267E-12
+2.500000E-02,+1.975902E-09,+0.000000E+00,-8.556378E-12
+2.600000E-02,-1.633122E-09,+0.000000E+00,+9.720702E-11
+2.700000E-02,-3.412713E-09,+0.000000E+00,+1.516676E-12
+2.800000E-02,-5.825821E-10,+0.000000E+00,-5.388329E-11
+2.900000E-02,-1.964910E-09,+0.000000E+00,-1.092827E-10
+3.000000E-02,+5.308460E-09,+0.000000E+00,+6.552758E-12
+3.100000E-02,+1.503406E-09,+0.000000E+00,-6.395573E-11
+3.200000E-02,+2.367964E-09,+0.000000E+00,-1.862888E-11
+3.300000E-02,-3.563527E-09,+0.000000E+00,-4.381051E-11
+3.400000E-02,-1.572801E-09,+0.000000E+00,-8.555934E-12
+3.500000E-02,-3.935530E-09,+0.000000E+00,-5.892042E-11
+3.600000E-02,+4.780683E-09,+0.000000E+00,-4.884709E-11
