VDD,IDD,VREF,IREF
+1.800000E+00,+4.975481E-05,+0.000000E+00,-1.464368E-05
+1.799000E+00,+4.968186E-05,+0.000000E+00,-1.464546E-05
+1.798000E+00,+4.964758E-05,+0.000000E+00,-1.464498E-05
+1.797000E+00,+4.959519E-05,+0.000000E+00,-1.464086E-05
+1.796000E+00,+4.955928E-05,+0.000000E+00,-1.463226E-05
+1.795000E+00,+4.956919E-05,+0.000000E+00,-1.465013E-05
+1.794000E+00,+4.952931E-05,+0.000000E+00,-1.464207E-05
+1.793000E+00,+4.949930E-05,+0.000000E+00,-1.464627E-05
+1.792000E+00,+4.948853E-05,+0.000000E+00,-1.463731E-05
+1.791000E+00,+4.946226E-05,+0.000000E+00,-1.464783E-05
+1.790000E+00,+4.946438E-05,+0.000000E+00,-1.464311E-05
+1.789000E+00,+4.943921E-05,+0.000000E+00,-1.464714E-05
+1.788000E+00,+4.940952E-05,+0.000000E+00,-1.463895E-05
+1.787000E+00,+4.940600E-05,+0.000000E+00,-1.464627E-05
+1.786000E+00,+4.938514E-05,+0.000000E+00,-1.464142E-05
+1.785000E+00,+4.938472E-05,+0.000000E+00,-1.464096E-05
+1.784000E+00,+4.937881E-05,+0.000000E+00,-1.463962E-05
+1.783000E+00,+4.938624E-05,+0.000000E+00,-1.464265E-05
+1.782000E+00,+4.936136E-05,+0.000000E+00,-1.464154E-05
+1.781000E+00,+4.935904E-05,+0.000000E+00,-1.464187E-05
+1.780000E+00,+4.935683E-05,+0.000000E+00,-1.464617E-05
+1.779000E+00,+4.936117E-05,+0.000000E+00,-1.464520E-05
+1.778000E+00,+4.934549E-05,+0.000000E+00,-1.464157E-05
+1.777000E+00,+4.935497E-05,+0.000000E+00,-1.464031E-05
+1.776000E+00,+4.932988E-05,+0.000000E+00,-1.463810E-05
+1.775000E+00,+4.932977E-05,+0.000000E+00,-1.463554E-05
+1.774000E+00,+4.932191E-05,+0.000000E+00,-1.462926E-05
+1.773000E+00,+4.932453E-05,+0.000000E+00,-1.463956E-05
+1.772000E+00,+4.931891E-05,+0.000000E+00,-1.463064E-05
+1.771000E+00,+4.931841E-05,+0.000000E+00,-1.463761E-05
+1.770000E+00,+4.932639E-05,+0.000000E+00,-1.463405E-05
+1.769000E+00,+4.930933E-05,+0.000000E+00,-1.463805E-05
+1.768000E+00,+4.927507E-05,+0.000000E+00,-1.463564E-05
+1.767000E+00,+4.929100E-05,+0.000000E+00,-1.461981E-05
+1.766000E+00,+4.928753E-05,+0.000000E+00,-1.462962E-05
+1.765000E+00,+4.929359E-05,+0.000000E+00,-1.462968E-05
+1.764000E+00,+4.928096E-05,+0.000000E+00,-1.462811E-05
+1.763000E+00,+4.927465E-05,+0.000000E+00,-1.462868E-05
+1.762000E+00,+4.925289E-05,+0.000000E+00,-1.463108E-05
+1.761000E+00,+4.925186E-05,+0.000000E+00,-1.461680E-05
+1.760000E+00,+4.924494E-05,+0.000000E+00,-1.462167E-05
+1.759000E+00,+4.924021E-05,+0.000000E+00,-1.462288E-05
+1.758000E+00,+4.924830E-05,+0.000000E+00,-1.462265E-05
