VDD,IDD,VREF,IREF
+0.000000E+00,-2.901113E-08,+0.000000E+00,-5.388190E-11
+1.000000E-03,-2.420516E-08,+0.000000E+00,-4.884509E-11
+2.000000E-03,-2.396388E-08,+0.000000E+00,-1.294275E-10
+3.000000E-03,-2.708573E-08,+0.000000E+00,-1.042451E-10
+4.000000E-03,-2.992105E-08,+0.000000E+00,-1.042455E-10
+5.000000E-03,-2.634173E-08,+0.000000E+00,-1.243911E-10
+6.000000E-03,-2.281262E-08,+0.000000E+00,-1.243906E-10
+7.000000E-03,-1.958519E-08,+0.000000E+00,-1.646820E-10
+8.000000E-03,-2.046999E-08,+0.000000E+00,-1.445367E-10
+9.000000E-03,-2.359186E-08,+0.000000E+00,-1.697185E-10
+1.000000E-02,-2.181726E-08,+0.000000E+00,-1.344636E-10
+1.100000E-02,-1.592034E-08,+0.000000E+00,-1.747551E-10
+1.200000E-02,-1.211479E-08,+0.000000E+00,-1.949003E-10
+1.300000E-02,-9.586122E-09,+0.000000E+00,-1.243904E-10
+1.400000E-02,-8.630961E-09,+0.000000E+00,-2.402270E-10
+1.500000E-02,-1.097362E-08,+0.000000E+00,-2.402276E-10
+1.600000E-02,-1.242145E-08,+0.000000E+00,-1.898643E-10
+1.700000E-02,-8.324299E-09,+0.000000E+00,-2.402273E-10
+1.800000E-02,-4.548889E-09,+0.000000E+00,-1.949002E-10
+1.900000E-02,-6.946856E-09,+0.000000E+00,-2.754822E-10
+2.000000E-02,-9.435303E-09,+0.000000E+00,-2.100092E-10
+2.100000E-02,-1.134564E-08,+0.000000E+00,-2.704454E-10
+2.200000E-02,-1.423626E-08,+0.000000E+00,-2.200820E-10
+2.300000E-02,-1.255216E-08,+0.000000E+00,-2.553359E-10
+2.400000E-02,-1.150651E-08,+0.000000E+00,-2.905906E-10
+2.500000E-02,-8.480143E-09,+0.000000E+00,-2.301548E-10
+2.600000E-02,-8.852159E-09,+0.000000E+00,-2.654091E-10
+2.700000E-02,-1.134061E-08,+0.000000E+00,-1.898637E-10
+2.800000E-02,-1.315542E-08,+0.000000E+00,-3.208096E-10
+2.900000E-02,-9.706772E-09,+0.000000E+00,-2.956270E-10
+3.000000E-02,-2.271574E-09,+0.000000E+00,-3.056995E-10
+3.100000E-02,+7.142924E-10,+0.000000E+00,-2.905907E-10
+3.200000E-02,+2.041313E-09,+0.000000E+00,-2.754807E-10
+3.300000E-02,-1.613014E-09,+0.000000E+00,-2.502996E-10
+3.400000E-02,-3.106087E-09,+0.000000E+00,-3.056995E-10
+3.500000E-02,+1.815111E-09,+0.000000E+00,-3.157721E-10
+3.600000E-02,+2.559039E-09,+0.000000E+00,-2.956272E-10
